Business Name,Industry Group,Type,Telephone,Cross Streets,Zip Code,Location 1
Trends & Traditional Clothing,AA&F,Men's Apparel,,on 41st,10017,
HK Auctions Collectors' Gallery,Misc. Retail,Art & Photography Supplies,212-889-4686,on 41st,10017,
Vacant,Vacant,Vacant,,on 41st,10017,
H&R Block,Financial Services,Other Financial Services,,on 41st,,
Madison & Vine,Food & Drink,Restaurant,212-561-8968,on 41st,10017,
Homefront Deli,Food & Drink,Quick-Serve Eatery,212-557-3340,,10017,
The Benjamin Steakhouse,Food & Drink,Restaurant,212-682-0202,,10017,
Food Trends,Food & Drink,Quick-Serve Eatery,646-402-6926,,10017,
In Build-out,In Build-out,In Build-out,,on 41st,10017,"100 Park Ave
"
Grand Central Place,Food & Drink,Quick-Serve Eatery,,on 41st,10017,"100 Park Ave
"
Gateway Newstands,Misc. Retail,Newsstand,,on 41st St.,10017,"101 Park Ave
"
Quik Park ,Parking,Parking Lots & Garages,,,10017,"110 41st St
"
NYC Check Express/Western Union,Business Services,Other Financial Services,,,10017,"117 41st St
"
Old Tyme Barber Shop,Pers. & Prof. Services,Barber Shop,,,10017,"117 41st St
"
Classic Nail,Pers. & Prof. Services,Nail Salon,212-697-2696,,10017,"117 41st St
"
Subway,Food & Drink,Quick-Serve Eatery,212-949-1838,,10017,
Previti Pizza,Food & Drink,Quick-Serve Eatery,212-576-1046 ,,10017,
Pret-A-Manger,Food & Drink,Quick-Serve Eatery,,,10168,
Public House,Food & Drink,Restaurant,212-682-3710,,10168,
Num Pang Sandwich Shop,Food & Drink,Quick-Serve Eatery,,on 41st St.,10017,
Café O,Food & Drink,Quick-Serve Eatery,212-697-1770,on 41st St.,10017,
Emigrant Savings Bank,Financial Services,Full-Service Branch,212-599-1531,,10017,
McDonald's,Food & Drink,Quick-Serve Eatery,212-850-4521,,10017,
Café 42,Food & Drink,Quick-Serve Eatery,,,10017,
Imperi Nails & Spa (2nd Floor),Pers. & Prof. Services,Nail Salon,,,10017,
Sephora,Pers. & Prof. Services,Health & Beauty,,on 42nd Street,10017,"300 Madison Avenue
"
Erwin Pearl,AA&F,"Acc., Jewelry & Watches",,,10017,"300 Madison Avenue
"
Starbucks,Food & Drink,Quick-Serve Eatery,,on 42nd Street,10017,
Citibank,Financial Services,Full-Service Branch,,on 42nd Street,10017,
The Change Group,Financial Services,Currency Exchange,,Corner of 42nd & Madison,10017,
Cohen's Fashion Optical,Pers. & Prof. Services,Optical/Eyewear,,,10017,
Sergio Limpopo,Pers. & Prof. Services,Hair Salon,212-697-1838,(2nd Floor),10017,"50 42nd St
"
Portabella,AA&F,Men's Apparel,212-986-1160,,10017,
Radio Shack,Misc. Retail,Elec. & Telecom.,212-681-1464,,10017,
Lucille Roberts,Pers. & Prof. Services,Fitness Club,212-682-5320,,10017,
TD Bank,Financial Services,Full-Service Branch,212-651-2700,on 42nd Street,10017,"317 Madison Ave
"
D'Espresso,Food & Drink,Quick-Serve Eatery,,on 42nd Street,10017,
Destination A Factory Outlet,AA&F,Unisex Apparel,,on 42nd Street,10017,
TGI Friday's,Food & Drink,Restaurant,917-953-5060,,10017,
Tim Hortons and KFC,Food & Drink,Quick-Serve Eatery,212-681-8458,,10017,
Modell's,Misc. Retail,Sporting Goods & Athletic Apparel,212-563-7440,On 42nd St,10017,
Bank of America (1st & 2nd Floor),Financial Services,Full-Service Branch,212-661-4242,,10017,
Charles Schwab,Financial Services,Other Financial Services,212-661-9516,,10165,
Chase Bank ,Financial Services,Full-Service Branch,212-983-0990,,10165,
Gateway Newstand,Misc. Retail,Newsstand,212-661-2783,(indoors),10165,
Abalon Computer Sales & Service,Misc. Retail,Elec. & Telecom.,,(indoors),10165,
Lighting Copy Center,Pers. & Prof. Services,Printing/Shipping,212-682-1653,(indoors),10165,
Rupen's Tailoring,Pers. & Prof. Services,Tailor,212-682-3530,(indoors),10165,
Shoe Repair,Pers. & Prof. Services,Shoe Care/Repair,212-685-9113,(indoors),10165,
Emergency Typing,Pers. & Prof. Services,Business Services,212-661-1560,(indoors),10165,
Jimmy's Coffee Shop,Food & Drink,Quick-Serve Eatery,212-697-1360,(indoors),10165,
Caddie's Corner - Golf Shop,AA&F,Sporting Goods & Athletic Apparel,212-937-0628,(indoors),10165,
Barclay Rex,Misc. Retail,Tobacco Shop,,,10165,"70 42nd St
"
Neuhaus Boutique,Food & Drink,Specialty Food Store,212-692-9680,,10165,
Banana Republic,AA&F,Unisex Apparel,212-972-3740,,10017,
Pershing Square Café ,Food & Drink,Restaurant,212-490-3127,,10017,
Kenneth Cole,AA&F,Unisex Apparel,212-286-9600,,10017,
Chase Bank ,Financial Services,Full-Service Branch,212-949-8079,,10017,
Capital One Bank,Financial Services,Full-Service Branch,212-476-4872,,10017,
Bolton's,AA&F,Women's Apparel,212-681-9000,,10017,
Baked by Melissa,Food & Drink,Baked Goods,,,10017,
Christi Sothers,AA&F,"Acc., Jewelry & Watches",212-867-9412,,10017,
Strawberry,AA&F,Women's Apparel,212-697-2674,,10017,
Cipriani Le Specialita,Food & Drink,Quick-Serve Eatery,212-499-0599,,10017,
You & I,AA&F,"Acc., Jewelry & Watches",212-557-5088,,10017,
Apple Bank,Financial Services,Full-Service Branch,,,10168,
Rize Coffee,Food & Drink,Coffee Shop,,,10168,
K + G Fashion,AA&F,Unisex Apparel,,,10168,
Gateway Newstand,Misc. Retail,Newsstand,212-682-9895,(indoors),10168,
Eunice Tailor & Cleaners,Pers. & Prof. Services,Tailor,,(Arcade),10168,"122 42nd St
"
Vacant,Vacant,Vacant,,(Arcade),10168,"122 42nd St
"
Vacant,Vacant,Vacant,,(Arcade),10168,"122 42nd St
"
O'Sullivan's Heels and Soles Shoe Service,Pers. & Prof. Services,Shoe Care/Repair,,(Arcade),10168,
Jeweler,AA&F,"Acc., Jewelry & Watches",,(Arcade),10168,
Duane Reade,Misc. Retail,Pharmacy,,between 42nd - 43rd St     ,10168,
Aerosoles,AA&F,Women's Footwear,212-808-4743,,10017,
Aldo,AA&F,Unisex Footwear,212-370-0094,,10017,
Citibank,Financial Services,Full-Service Branch,212-661-0208 ,,10017,
AnnTaylor Loft,AA&F,Women's Apparel,800-627-3999,,10017,
Starbucks,Food & Drink,Quick-Serve Eatery,212-883-8766,,10017,
Foot Locker,AA&F,Unisex Footwear,212-949-4122,,10017,
CVS ,Misc. Retail,Pharmacy,212-856-9411,On 42nd St,10017,
The Capital Grille,Food & Drink,Restaurant,212-661-8139,,10017,
Wells Fargo Bank,Financial Services,Full-Service Branch,,on 42nd Street,10017,
GAP,AA&F,Unisex Apparel,,between 41st - 42nd St,10017,
Pax Wholesale Foods,Food & Drink,Quick-Serve Eatery,212-697-3590,between 2nd & 3rd Ave,10017,
Nails for Venus,Pers. & Prof. Services,Nail Salon,212-972-5600,between 2nd & 3rd Ave,10017,"202 42nd St
"
Bank of America,Financial Services,Full-Service Branch,212-983-6245,between 42nd - 43rd St,10017,"675 Third Ave
"
Vacant,Vacant,Vacant,,,10017,
Aroma Espresso & Coffee,Food & Drink,Quick-Serve Eatery,212-697-1591,,10017,
Pret A Manger,Food & Drink,Quick-Serve Eatery,,,10017,
Osteria Laguna,Food & Drink,Restaurant,212-867-1905,,10017,
Alisan Florist,Misc. Retail,Florist,212-557-0001,,10017,
Mindy's Restaurant,Food & Drink,Restaurant,212-682-6623,indoors,10017,
Harry's NY Bar,Food & Drink,Restaurant,212-490-8900,indoors,10017,
Champion Parking,Parking,Parking Lots & Garages,212-490-8900,,10017,
Chashama,Other,Cultural Institution,212-490-1205,,10017,
Liate's Gourmet Café,Food & Drink,Quick-Serve Eatery,"212.391.8151, x27 ",,10017,
Capital One Bank,Financial Services,Full-Service Branch,212-682-4490,,10017,
Starbucks,Food & Drink,Quick-Serve Eatery,212-986-1269,,10017,
The Tudor Neighborhood Bar & Grill,Food & Drink,Restaurant,212-867-1264,,10017,
Equinox,Pers. & Prof. Services,Fitness Club,212-986-8800,on 43rd St,10017,"521 Fifth Ave
"
Little Italy Pizza,Food & Drink,Quick-Serve Eatery,212-972-8000,,10175,
In Build-out,Vacant,In Build-out,,,10017,
Vacant,Vacant,Vacant,,On 43rd St,10017,
Patrick Conway's,Food & Drink,Restaurant,212-557-3123,,10017,
Tony's Barbershop & Hair Styling,Pers. & Prof. Services,Barber Shop,,(2nd Floor),10017,"48 43rd St
"
Annie Moore's,Food & Drink,Restaurant,212-661-1005,,10017,"50 43rd St
"
Angelo David Salon,Pers. & Prof. Services,Hair Salon,,,,"50 43rd St
"
Vacant,Vacant,Vacant,,on 43rd St,10017,
Market Café,Food & Drink,Quick-Serve Eatery ,,on 43rd St,10017,"425 Lexington Ave
"
UPS,Pers. & Prof. Services,Printing/Shipping,212-681-6300,,10017,
Daily Soup,Food & Drink,Quick-Serve Eatery,212-867-0001,,10017,
H&R Block,Financial Services,Other Financial Services,212-949-7687,,10017,
Vacant,Vacant,Vacant,,,10017,
My Maki Sushi,Food & Drink,Quick-Serve Eatery,212-682-2795,,10017,
99 Cent Fresh Pizza,Food & Drink,Quick-Serve Eatery,,,10017,
Subway,Food & Drink,Quick-Serve Eatery,212-922-0257,,10017,
43rd St News & Smoke Shop,Misc. Retail,Newsstand,,,10017,
Vacant,Vacant,Vacant,,,10017,
Friends Shoe Repair,Pers. & Prof. Services,Shoe Care/Repair,212-856-0143,,10017,
Subway,Food & Drink,Quick-Serve Eatery,,,10017,
Sushi Yasuda,Food & Drink,Restaurant,212-682-5656,,10017,
Development Project,Development Project,Development Project,212-972-1001,,10017,
Soba Totto,Food & Drink,Restaurant,,,10017,
Central Parking System,Parking,Parking Lots & Garages,,,10017,
Avis,Misc. Retail,Automotive,,,10017,
Budget,Misc. Retail,Automotive,212-593-8378,,10017,
Pietro's ,Food & Drink,Restaurant,,,10017,
Antonio's Hair Salon,Pers. & Prof. Services,Hair Salon,212-682-9760,,10017,
Azusa of Japan,Food & Drink,Restaurant,212-986-8842,,10017,
Vacant,Vacant,Vacant,212-681-0001,,10017,
Brooks Brothers Women,AA&F,Women's Apparel,212-916-3362,,10017,
Vacant,Vacant,Vacant,,,10017,
Delish,Food & Drink,Quick-Serve Eatery,,,10017,
Ryoshi,Food & Drink,Restaurant,,,,"12 44th St
"
Green Café,Food & Drink,Quick-Serve Eatery,212-599-3700,,10017,
Vacant,Vacant,Vacant,,,10017,
Christian Science Reading Room?,,,,,,"18 44th St
"
Allen Edmonds,AA&F,Men's Footwear,212-867-6356,,10017,
Grand Central Racquet,AA&F,Sporting Goods & Athletic Apparel,212-682-3144,on 44th St,10017,"341 Madison Ave
"
Development Project,Development Project,Development Project,212-292-8851,on 44th St,10017,"335 Madison Ave
"
Fed Ex Kinkos,Pers. & Prof. Services,Printing/Shipping,,,10017,
Alex's Shoe Repair,Pers. & Prof. Services,Shoe Care/Repair,212- 687-3315,,10017,
The Shirt Store,AA&F,Men's Apparel,212-682-4579,,10017,
Ariston Floral Boutique,Misc. Retail,Florist ,212-557-8040,on 44th St,10017,"425 Lexington Ave
"
The Wheel Tapper Pub,Food & Drink,Restaurant,212-867-8880,,10017,
Reamir & Co.,Pers. & Prof. Services,Barber Shop,212-351-6800 ,,10017,
Macchiato ,Food & Drink,Quick-Serve Eatery ,212-867-2525,,10017,
Ricoh Technology Portal,Misc. Retail,Elec. & Telecom.,212-867-6772,,10017,
Potbelly Sandwich Shop,Food & Drink,Quick-Serve Eatery,,,10017,
Chipotle,Food & Drink,Quick-Serve Eatery,212-286-1249,,10017,
Spa Butterfly,Pers. & Prof. Services,Spas & Day Spas,212-682-9860,,10017,"708 Lexington Ave
"
GD 44 Street Cleaners,Pers. & Prof. Services,Dry Cleaning,212-682-6073,,10017,
44 Curry House,Food & Drink,Quick-Serve Eatery,212-286-9712,,10017,
Hot Tasty Café,Food & Drink,Quick-Serve Eatery,212-949-0249,,10017,
Stella's Barbershop & Hair Salon,Pers. & Prof. Services,Barber Shop,212-557-3059,,10017,
Arnold Custom Shoe Repair,Pers. & Prof. Services,Shoe Care/Repair,212-867-0875,,10017,
East Japanese Restaurant,Food & Drink,Restaurant,,,10017,
Ben Jack's Steakhouse,Food & Drink,Restaurant,212-687-5075,,10017,
GGMC Parking,Parking,Parking Lots & Garages,212-682-5678,,10017,
Center 44,Misc. Retail,Antique Dealer,,,,
Overlook ,Food & Drink,Bars & Lounges,212-450-7988,,10017,
Development Project,Development Project,Development Project,,,10017,
Park on 44th Street,Parking,Parking Lots & Garages,212-682-7266,,10017,
Prada Grusel Salon,Pers. & Prof. Services,Hair Salon,212-599-8851,,10017,
Fabio Piccolo Fiore,Food & Drink,Restaurant,212-972-5080,,10017,
Development Project,Development Project,Development Project,,,10017,
Benjamin Moore,Misc. Retail,Home Furnishings,212-922-0581,,10017,
Cinema The Brasserie,Food & Drink,Restaurant,212-682-3585,,10017,
Dream Team 1 Hour Photo,Misc. Retail,Art & Photography Supplies,212-949-0600,,10017,
Dishes,Food & Drink,Quick-Serve Eatery,212-599-5010,,10017,"6 45th St
"
Morton's The Steakhouse,Food & Drink,Restaurant,212-687-5511,,10017,"551 Fifth Ave
"
Eamonns Bar & Grill,Food & Drink,Restaurant,212-972-3315,,10017,
Blake & Todd Fine Foods,Misc. Retail,Bookstore,212-867-9013,enter on 45th St,10017,
Cosi Downtown,Food & Drink,Quick-Serve Eatery,212-883-0011,,10017,
Blimpie's,Food & Drink,Quick-Serve Eatery,212-370-0705,On 45th in the Arcade,10017,"347 Madison Ave
"
Shoe Shine,Pers. & Prof. Services,Shoe Care/Repair,,On 45th in the Arcade,10017,"347 Madison Ave
"
Workshop,AA&F,Women's Apparel,,,10017,
Rain or Shine,Misc. Retail,Umbrella Store,212-682-7556,,10017,
Chickpea,Food & Drink,Quick-Serve Eatery,,,10017,
Vander Bar,Food & Drink,Bars & Lounges,212-850-5474,,10017,
Cafe Centro,Food & Drink,Restaurant,"""                    """,between 44th - 45th St (indoors),10017,"200 Park Ave
"
Naples 45,Food & Drink,Restaurant,212-818-1222,between 44th - 45th St (indoors),10166,"200 Park Ave
"
Fed Ex Kinkos,Pers. & Prof. Services,Printing/Shipping,212-661-0391,on 45th St,10169,"450 Lexington Ave
"
Sushi Express,Food & Drink,Restaurant,212-972-7001,on 45th St,10166,"230 Park Ave
"
Vacant,Vacant,Vacant,,on 45th,,"230 Park Ave
"
Starbucks,Food & Drink,Quick-Serve Eatery,212-922-1311,between 45th - 46th St,10169,"230 Park Ave
"
Wachovia ATM,Financial Services,Bank ATM,212-681-9407,between 45th - 46th St,10169,"230 Park Ave
"
45th Street Park Ave Shoe Repair,Pers. & Prof. Services,Shoe Care/Repair,,at 45th St,10169,"230 Park Ave
"
Eastside Luggage,Misc. Retail,Luggage,212-867-1143,on 45th St,10017,
NY Health and Racquet Club,Pers. & Prof. Services,Fitness Club,212-986-6805,,10017,
Vacant,Vacant,Vacant,,,10017,
Delta,Pers. & Prof. Services,Travel Services,212-338-0606,,10017,
Checks Cashed,Financial Services,Check Cashing ,212-867-6660,,10017,
Oms b Rice Ball Café,Food & Drink,Quick-Serve Eatery,212-682-7858,,,
Midtown News,Misc. Retail,Newsstand,212-338-9255,,10017,
Madhu's Eyebrows,Pers. & Prof. Services,Eyebrow Salon,212-922-9788,,10017,
Mangu,Food & Drink,Quick-Serve Eatery,,,10017,"158 45th St
"
Rickshaw Dumplings,Food & Drink,Quick-Serve Eatery,,Corner of 45th and Lex,10017,"459 Lexington Ave
"
Coco Fresh Tea & Juice,Food & Drink,Quick-Serve Eatery,,,10017,
Bel Paese Italian Deli,Food & Drink,Quick-Serve Eatery,212-818-1550,,10017,
Menchanko-tei,Food & Drink,Restaurant,212-697-4797,,10017,
Maharaja,Food & Drink,Restaurant,212-986-3100,,10017,
Barber Shop,Pers. & Prof. Services,Barber Shop,212- 682-7963 ,2nd Floor,10017,
Oriental  Noodle Shop,Food & Drink,Restaurant,,,10017,
Chef's Secret,Food & Drink,Quick-Serve Eatery,212-697-2353,,10017,
Hop Won Express,Food & Drink,Quick-Serve Eatery,212-867-8222,,10017,
Uncle Charlie's ,Food & Drink,Bars & Lounges,212-867-4996,2nd Floor,10017,
Riki,Food & Drink,Restaurant,,,10017,
Vacant,Vacant,Vacant,212-986-5604 ,2nd Floor,,
Gente,Food & Drink,Restaurant,212-661-6424,,10017,
Midtown Hardware,Misc. Retail,Hardware  Store,212-557-5555,,,
Japanese Culinary Center/NY Mutual Trading,Food & Drink,Specialty Store,212-986-7524,on 45th St,10017,"711 Third Ave
"
Bi Lokma,Food & Drink,Quick-Serve Eatery,,,10017,
Comfort Diner,Food & Drink,Restaurant,,,10017,
Jittery Joe's Coffee,Food & Drink,Quick-Serve Eatery,212-867-4555,,10017,
Vacant,Vacant,Vacant,,,10017,
Graphic Lab,Pers. & Prof. Services,Printing/Shipping,212-682-7811,,10017,
Big Apple Florist,Misc. Retail,Florist,212-682-1815,,10017,
wichcraft,Food & Drink,Quick-Serve Eatery,212-687-3434,on 46th St,10017,
In Build-Out,Vacant,Vacant,,,10017,
Nutri-Pharma,Pers. & Prof. Services,Health & Beauty,212-370-4046,,10017,
Dunkin Donuts,Food & Drink,Quick-Serve Eatery,212-983-8291,,10017,
Qdoba,Food & Drink,Quick-Serve Eatery,212-867-4446,,10017,
In Build-Out,In Build-out,In Build-out,212-661-8080,,10017,
TenPenny/Gotham Hotel,Food & Drink,Restaurant,,,10017,
Food World,Food & Drink,Quick-Serve Eatery,,,10017,
AT&T,Misc. Retail,Elec. & Telecom. ,212-247-7900,,10017,"42 46th St
"
Filicori Zecchini Coffee ,Food & Drink,Quick-Serve Eatery,,,,
John Allan's ,Pers. & Prof. Services,Spas & Day Spas,212-808-0001,,10017,
Doi Camera,Misc. Retail,Art & Photography Supplies,212-922-0361 ,on 46th St,10017,"250 Park Ave
"
Floral Impressions,Misc. Retail,Florist,,on 46th St,10017,"250 Park Ave
"
HSBC,Financial Services,Full-Service Branch,212-986-6195,on 46th St,10017,"250 Park Ave
"
NY Print Group,Pers. & Prof. Services,Printing/Shipping,212-922-9221,on 46th St,10017,
Nanni,Food & Drink,Restaurant,212-953-0014,,10017,
ITP Income Tax,Business Services,Other Financial Services,212-599-9684 ,2nd Floor,10017,
Joy,Food & Drink,Restaurant,,,10017,
Udon West,Food & Drink,Restaurant,212-922-0361 ,,10017,
Darbar,Food & Drink,Restaurant,212-867-5771,,10017,
Aretsky's Patroon,Food & Drink,Restaurant,212-682-4500,,10017,
New York Public Library - Grand Central,Other,Cultural Institution,212-621-0670,,10017,
Kinney Parking,Parking,Parking Lots & Garages,,,10017,
Citibank,Financial Services,Full-Service Branch,,between 45th - 46th St,10017,
Spiff For Men,Pers. & Prof. Services,Spas & Day Spas,212-682-8524,on 46th St,10017,"750 Third Ave
"
Capital One Bank,Financial Services,Full-Service Branch,212-204-8720,between 46th - 47th St,10017,"750 Third Ave
"
McDonald's ,Food & Drink,Quick-Serve Eatery,,between Fifth and Madison,,
Connolly's ,Food & Drink,Restaurant,,,10017,
Sushi-Tei Katsuhama,Food & Drink,Restaurant,212-450-9725,,10017,
Development Project,Development Project,Development Project,,(2nd Floor),10017,"13 47th St
"
Development Project,Development Project,Development Project,,,,
Mercantile Library,Pers. & Prof. Services,Cultural Institution,212-867-3767,,10017,
Hale & Hearty Soups,Food & Drink,Quick-Serve Eatery,212-755-6710,,10017,"22 47th St
"
Maggie's Place ,Food & Drink,Restaurant,212-557-1900 ,,10017,"21 47th St
"
Manhattan Athletic Club,Pers. & Prof. Services,Fitness Club,212-753-5757,Between Park & Lexington 47th,10017,
Oaxaca/ Wa-Haka,Food & Drink,Quick-Serve Eatery,212-486-3477,Between Park & Lexington 47th,10172,"245 Park Ave
"
wichcraft,Food & Drink,Quick-Serve Eatery,212-871-6106,Between Park & Lexington 47th,10017,"245 Park Ave
"
Yu shi,Food & Drink,Quick-Serve Eatery,212-661-7678,Between Park & Lexington 47th,10017,"245 Park Ave
"
Connolly's ,Food & Drink,Restaurant,212-687-1900,,10017,
Shinbashi,Food & Drink,Restaurant,212-692-9342,,10017,
Development Project,Development Project,Development Project,,,10017,
Religious Science,Misc. Retail,Bookstore,,,10017,
Mangia,Food & Drink,Quick-Serve Eatery,212-688-0600,,10017,
Hatsuhana,Food & Drink,Restaurant,212 754-7600,,10017,
Parking,Parking,Parking Lots & Garages,212-355-3345,on 48th St,10017,"277 Park Ave
"
Starbucks,Food & Drink,Quick-Serve Eatery,Parking,on 48th St,10172,
Scottrade,Financial Services,Other Financial Services,212-573-9869,on 48th St,10017,"280 Park Ave
"
Haru,Food & Drink,Restaurant,212-681-1980,on 48th St,10017,
Burger Heaven,Food & Drink,Quick-Serve Eatery,212-490-9680,,10017,
Liberty Deli,Food & Drink,Quick-Serve Eatery,212-755-2166,,10017,
Vacant,Vacant,Vacant,,,10017,"22 49th St
"
Trasspasing,Food & Drink,Quick-Serve Eatery,212-974-1900,,10017,"45 49th St
"
The Prime Grill,Food & Drink,Restaurant,866-692-2233,,10017,
Bread & Company,Food & Drink,Quick-Serve Eatery,212-692-9292,on 49th St,10017,"425 Madison Ave
"
"Sweets Parking I, Inc.",Parking,Parking Lots & Garages,212-888-8808,on 49th St,10017,"437 Madison Ave
"
Vacant,Vacant,Vacant,,on 49th St,10017,"444 Madison Ave
"
Vacant,Vacant,Vacant,,on 49th St,10017,"300 Park Ave
"
NY Health & Raquet Club,Pers. & Prof. Services,Fitness Club,,,10022,"20 50th St
(53.29231512634814, -110.00551325734111)"
Madison Ave Florist,Misc. Retail,Florist,212-593-15800,on 50th St,10022,"437 Madison Ave
"
Kinney Parking System,Parking,Parking Lots & Garages,212-319-0242,,10022,
Maloney & Porcelli,Food & Drink,Restaurant,212-421-3746,,10022,
Chipotle,Food & Drink,Quick-Serve Eatery,212-421-7588,on 50th St ,10022,"320 Park Ave
"
Inside Park at St. Bart's,Food & Drink,Restaurant,212-754-3098,,10022,
Gilt,Food & Drink,Restaurant,212-593-3333,on 51st St,10022,"455 Madison Ave
"
TSE Yang,Food & Drink,Restaurant,212-888-7000,,10022,
Banca di Roma,Financial Services,Full-Service Branch,212-688-5447,,10022,
Sushi Ann,Food & Drink,Restaurant ,212-407-1600,,10022,
Starbucks,Food & Drink,Quick-Serve Eatery,212-755-1780,,10022,
Café Bistro,Food & Drink,Quick-Serve Eatery,212-688-8834,on 51st St,10022,"320 Park Ave
"
Just Salad,Food & Drink,Quick-Serve Eatery,212-826-1015,on 51st St,10022,"320 Park Ave
"
Colortek Image Shop Kodak,Misc. Retail,Art & Photography Supplies,212-244-1111,on 51st St,10022,"350 Park Ave
"
Fresco ,Food & Drink,Restaurant,212-826-8268,,10022,
Fresco on the Go,Food & Drink,Quick-Serve Eatery,212-935-3434,,10022,
Gym Source,Pers. & Prof. Services,Fitness Club,212-754-2700,,10022,
Zeitlin Optik,Pers. & Prof. Services,Optical/Eyewear,212-688-4222,,10022,
Duane Reade,Pers. & Prof. Services,Pharmacy,212-319-5166,,10022,"49 52nd St
"
Brioni,AA&F,Men's Apparel,212-888-2323,(indoors) ,10022,"55 52nd St
"
Chartwell Bookseller,Misc. Retail,Bookstore,212-355-2025,(indoors) ,10055,"55 52nd St
"
Starbucks ,Food & Drink,Quick-Serve Eatery,212-308-0643,(indoors) ,10055,"55 52nd St
"
Dahesh Museum of Art Gift Shop,Misc. Retail,Gifts/Souvenirs,212-421-0112,(indoors) ,10055,"56 7 East 52nd St
"
Neuchatel Fine Swiss Chocolates,Food & Drink,Specialty Store,,(indoors) ,10055,"57 52nd St
"
J & J News,Misc. Retail,Newsstand,,(indoors) ,10055,"55 52nd St
"
Stitches East,AA&F,Unisex Apparel,212-480-3766,(indoors) ,10055,"55 52nd St
"
T-Mobile?,Misc. Retail,Elec. & Telecom.,,on 52nd St,10055,
Vacant,Vacant,Vacant,,on 52nd St,10022,"501 Madison Ave
"
The Four Seasons,Food & Drink,Restaurant,,,10022,
Parking,Parking,Parking Lots & Garages,,on 52nd St,10022,
Vacant,Vacant,Vacant,,,10022,
Masons's Tennis Mart,AA&F,Sporting Goods & Athletic Apparel,212-223-0633,,10022,
Casa Lever,Food & Drink,Restaurant,212-755-5805,On 53rd St,10022,"390 Park Ave
"
Brasserie,Food & Drink,Restaurant,212-888-2700,,10022,
24 Hour Fitness/Derek Jeter,Pers. & Prof. Services,Fitness Club,212-751-4840,(indoors),10022,"153 53rd St
"
Catridge World,Misc. Retail,Office Supplies,,(indoors),10022,"153 53rd St
"
Gateway News,Misc. Retail,Newsstand,212-750-8033,(indoors),10022,"153 53rd St
"
Citibank,Financial Services,Full-Service Branch,,(indoors),10022,"153 53rd St
"
Shear Bella,Pers. & Prof. Services,Hair Salon,,(indoors),10022,"153 53rd St
"
Captions,Pers. & Prof. Services,Specialty Store,,(indoors),,"153 53rd St
"
Barnes & Noble,Misc. Retail,Bookstore,,(indoors),10022,"160 54th St
"
Terry May Concept Flowers ,Misc. Retail,Florist ,,(indoors),10022,"153 53rd St
"
Kushi,Food & Drink,Quick-Serve Eatery,212-355-3656,(indoors),10022,"153 53rd St Plaza
"
Vacant,Vacant,,,(indoors),,"153 53rd St Plaza
"
Cucina Gourmet,Food & Drink,Quick-Serve Eatery,212-888-5415,(indoors),10022,"153 53rd St Plaza
"
Chickpea,Food & Drink,Quick-Serve Eatery,,(indoors),,"153 53rd St Plaza
"
Earth Health Bar,Food & Drink,Quick-Serve Eatery,212-888-3828,(indoors),10022,"153 53rd St Plaza
"
FedEx Office,Pers. & Prof. Services,Printing/Shipping,212-935-1744,(indoors),10022,"153 53rd St Plaza
"
Hillstone Restaurant,Food & Drink,Restaurant,212-750-7629,(indoors),10022,"153 53rd St Plaza
"
Market Café,Food & Drink,Quick-Serve Eatery,,(indoors),10022,"153 53rd St Plaza
"
Piada,Food & Drink,Quick-Serve Eatery,,(indoors),10022,"153 53rd St (Outdoor
"
Dunkin Donuts,Food & Drink,Quick-Serve Eatery,212-888-0303,(outdoors),10022,"153 53rd St (Outdoor
"
Melt Shop Grilled Cheese,Food & Drink,Quick-Serve Eatery,,(outdoors),10022,"153 53rd St (Outdoor
"
Icon Park,Parking,Parking Lots & Garages,212-688-3231,,10017,
Development Project,Development Project,Development Project,,,10016,"6 37th St
"
Development Project,Development Project,Development Project,,,10017,
Development Project,Development Project,Development Project,,,10022,
Development Project,Development Project,Development Project,,,10022,
Development Project,Development Project,Development Project,,,10022,
Development Project,Development Project,Development Project,,,10022,
Total # =,"Apparel, Accessories & Footwear",,,,,
885,102,,,,,
# vacant =,Department Store,,,,,
46,1,,,,,
# in build-out =,Food & Drink,,,,,
13,338,,,,,
# development project =,Financial Services,,,,,
14,86,,,,,
"# ""occupied"" = ",Personal & Professional Services,,,,,
812,123,,,,,
,Misc. Retail,,,,,
,138,,,,,
,Parking,,,,,
,18,,,,,
,Other,,,,,
,3,,,,,
