TYPE,APPROVAL STATUS,TRADE NAME,BUS NAME,MAILING OFFICE,MAIL CITY,State,Zip
LICENSE,APPROVED,"JUNK IN MY TRUNK, INC.","JUNK IN MY TRUNK, INC.",859A SUNRISE HWY,WEST BABYLON,NY,11704
CL.2-EXEMPT,APPROVED,JUNK JUNKIES LLC,JUNK JUNKIES LLC,114-32 220TH STREET,JAMAICA,NY,11411
LICENSE,APPROVED,JUNKLUGGERS OF NEW YORK LLC,JUNKLUGGERS OF NEW YORK LLC,555 8TH AVENUE  SUITE 1709,NEW YORK,NY,10018
CL.2-EXEMPT,APPROVED,JUQUILA TRUCKING LLC,JUQUILA TRUCKING LLC,1 MANUFACTURERS PL,NEWARK,NJ,7105
LICENSE,APPROVED,1-800-GOT-JUNK?,JUST GET IT DONE INC,80 BROAD STREET 5TH FLOOR,NEW YORK,NY,10004
LICENSE,APPROVED,,JUST RUBBISH REMOVAL LLC,7101 19TH AVE APT 2,BROOKLYN,NY,11204
CL.1,APPROVED,JUSTINO LANDSCAPINGS INC,JUSTINO LANDSCAPINGS INC,799 JEWETT AVENUE,STATEN ISLAND,NY,10314
CL.2-EXEMPT,APPROVED,"JVA MASONRY, INC.","JVA MASONRY, INC.",31 SUMMIT ROAD,STATEN ISLAND,NY,10307
CL.1,APPROVED,JVG LANDSCAPING CORP.,JVG LANDSCAPING CORP.,611 E 21ST STREET APT. 2B,BROOKLYN,NY,11226
CL.2-EXEMPT,APPROVED,K & A CONSTRUCTION SERVICE INC.,K & A CONSTRUCTION SERVICE INC.,6 ELWOOD AVENUE,STATEN ISLAND,NY,10314
CL.2-EXEMPT,APPROVED,K & D EQUIPMENT LEASING CORP.,K & D EQUIPMENT LEASING CORP.,24-02 39TH AVENUE,LONG ISLAND CITY,NY,11101
CL.2-EXEMPT,DENIED,K & S SANITATION INC,K & S SANITATION INC,178 MORRIS AVENUE,HOLTSVILLE,NY,11742
CL.2-EXEMPT,APPROVED,S & A CONTAINER SERVICE,"K. GO ENTERPRISES, INC",2065 POND ROAD,RONKONKOMA,NY,11779
CL.2-EXEMPT,APPROVED,"K. N. H. INTERNATIONAL, INC","K. N. H. INTERNATIONAL, INC",5 MILTON STREET,HICKSVILLE,NY,11801
CL.2-EXEMPT,APPROVED,K.L. MAUDLIN INC.,K.L. MAUDLIN INC.,7  TULIP ROAD,ROCKY POINT,NY,11778
CL.2-EXEMPT,APPROVED,K.N.D. CONSTRUCTION INC.,K.N.D. CONSTRUCTION INC.,54-24 73RD PLACE,MASPETH,NY,11378
CL.1,APPROVED,K.W. PRICE LANDSCAPING LLC,K.W. PRICE LANDSCAPING LLC,4319 BRONXWOOD AVE,BRONX,NY,10466
CL.2-EXEMPT,APPROVED,KAIMING ZHANG D.B.A. SITONG COMPANY,KAIMING ZHANG D.B.A. SITONG COMPANY,140-39 34TH AVENUE #2U,FLUSHING,NY,11354
CL.2-EXEMPT,APPROVED,KAMAC TRUCKING CORP.,KAMAC TRUCKING CORP.,77 BLOOMFIELD AVENUE,STATEN ISLAND,NY,10314
CL.2-EXEMPT,APPROVED,KARAPANJO'S CONSTRUCTION CO.,KARAPANJO'S CONSTRUCTION CO.,18 OCEANIC AVE,STATEN ISLAND,NY,10312
LICENSE,DENIED,KARTA CORP.,KARTA CORP.,P.O. BOX 2391,PEEKSKILL,NY,10566
CL.2-EXEMPT,APPROVED,KAS TRUCKING LLC,KAS TRUCKING LLC,169 CHESTNUT STREET,NEWARK,NJ,7105
CL.1,APPROVED,KAYDEE LAWN MAINTENANCE INC.,KAYDEE LAWN MAINTENANCE INC.,19 MCKEE AVENUE,STATEN ISLAND,NY,10308
CL.2-EXEMPT,APPROVED,KC TRUCKING INC.,KC TRUCKING INC.,272 CARTERET STREET,STATEN ISLAND,NY,10307
CL.2-EXEMPT,APPROVED,KDA CONTRACTING CORP.,KDA CONTRACTING CORP.,18-18 26TH ROAD,ASTORIA,NY,11102
CL.1,APPROVED,KEIL BROS INC.,KEIL BROS INC.,210 03 48 AVENUE,BAYSIDE,NY,11364
CL.1,APPROVED,KELCO CONSTRUCTION INC.,KELCO CONSTRUCTION INC.,40 AUSTIN BLVD.,COMMACK,NY,11725
CL.1,APPROVED,"KELCO LANDSCAPING, INC.","KELCO LANDSCAPING, INC.",40 AUSTIN BLVD.,COMMACK,NY,11725
CL.2-EXEMPT,APPROVED,KEL-TECH CONSTRUCTION INC.,KEL-TECH CONSTRUCTION INC.,12-11 REDFERN AVE,FAR ROCKAWAY,NY,11691
CL.2-EXEMPT,APPROVED,KENNETH J. DELANEY CONTRACTING CORP.,KENNETH J. DELANEY CONTRACTING CORP.,125-08 26TH AVENUE,FLUSHING,NY,11354
CL.1,APPROVED,KENNETH LEE LANDSCAPING,KENNETH LEE LANDSCAPING,60 6TH AVENUE,HUNTINGTON STA,NY,11746
CL.1,APPROVED,KENRICK LANDSCAPING & HANDYMAN INC.,KENRICK LANDSCAPING & HANDYMAN INC.,87-31 133RD STREET,RICHMOND HILL,NY,11418
CL.2-EXEMPT,APPROVED,KENRY CONTRACTING INC.,KENRY CONTRACTING INC.,9 CENTRAL PARK AVE,YONKERS,NY,10705
CL.2-EXEMPT,APPROVED,KERRY CRAWFORD DBA TOP SPEED ENTERPRISE,KERRY CRAWFORD DBA TOP SPEED ENTERPRISE,181 NEW JERSEY AVENUE,BROOKLYN,NY,11207
CL.2-BROKER,APPROVED,"KETER ENVIRONMENTAL SERVICES, INC.","KETER ENVIRONMENTAL SERVICES, INC.",1177 HIGH RIDGE ROAD,STAMFORD,CT,6905
CL.1,APPROVED,KEVIN BISHOP LANDSCAPING INC,KEVIN BISHOP LANDSCAPING INC,141-16 184TH STREET,SPRNGFLD GDNS,NY,11413
CL.2-EXEMPT,APPROVED,KEVIN FRIENDLY INC.,KEVIN FRIENDLY INC.,50 DELAWARE AVE,STATEN ISLAND,NY,10304
CL.2-EXEMPT,APPROVED,KEVIN WESTHALL GRAFFITI REMOVAL & MAINTENANCE  INC,KEVIN WESTHALL GRAFFITI REMOVAL & MAINTENANCE  INC,101-31  75TH ROAD,FOREST HILLS,NY,11375
LICENSE,APPROVED,KEY CONTAINER SERVICE INC.,KEY CONTAINER SERVICE INC.,900 MERCHANTS CONCOURSE SUITE 214,WESTBURY,NY,11590
CL.2-EXEMPT,APPROVED,KHC EQUIPMENT INC,KHC EQUIPMENT INC.,16 COVERT AVENUE,NEW HYDE PK,NY,11040
CL.2-EXEMPT,APPROVED,KING RUBBISH LTD,KING RUBBISH LTD,1834 80TH STREET,BROOKLYN,NY,11214
CL.2-EXEMPT,APPROVED,KINGS CARTING INC.,KINGS CARTING INC.,703 3RD AVENUE,BROOKLYN,NY,11232
LICENSE,APPROVED,KINGS COUNTY CARTING CORP.,KINGS COUNTY CARTING CORP.,108 INGRAHAM STREET,BROOKLYN,NY,11237
CL.2-EXEMPT,APPROVED,"KINGS COUNTY DEMOLITION, INC","KINGS COUNTY DEMOLITION, INC",3807 HIGHLAND AVENUE,BROOKLYN,NY,11224
CL.1,APPROVED,KINGS COUNTY LANDSCAPING INC.,KINGS COUNTY LANDSCAPING INC.,25 TUDOR STREET,STATEN ISLAND,NY,10308
CL.1,APPROVED,KINGS COUNTY NURSERIES INC.,KINGS COUNTY NURSERIES INC.,625 NEW YORK AVENUE,BROOLKYN,NY,11203
CL.2-EXEMPT,APPROVED, D/B/A MCMAHON CONSTRUCTION,KNOCKOUT CONSTRUCTION INC.,24 WHITWELL PLACE,BROOKLYN,NY,11215
CL.2-EXEMPT,APPROVED,KROYWEN CONSTRUCTION,KROYWEN REALTY & CONSTRUCTION CORP.,36-02 ASTORIA BLVD.,ASTORIA,NY,11103
CL.1,APPROVED,L & G DESIGN CORP.,L & G DESIGN CORP.,147-24 9 AVENUE,WHITESTONE,NY,11357
CL.2-EXEMPT,APPROVED,L & G METAL INC.,L & G METAL INC.,226 DEVONSHIRE DRIVE,NEW HYDE PARK,NY,11040
CL.2-EXEMPT,APPROVED,L & L TIAN - TIAN  GROUP INC.,L & L TIAN - TIAN  GROUP INC.,43 - 36 ROBINSON STREET #1G,FLUSHING,NY,11355
CL.2-EXEMPT,APPROVED,"L V COMPANY, INC.","L V COMPANY, INC.",P O BOX 7 ROUTE 329,NORTHAMPTON,PA,18067
CL.1,APPROVED,L&G CONTRACTORS CORP.,L&G CONTRACTORS CORP.,166 REDWOOD AVE,INWOOD,NY,11096
LICENSE,APPROVED,L. NEW HIGH INSTALLATION INC.,L. NEW HIGH INSTALLATION INC.,285 EAST 165TH STREET,BRONX,NY,10456
CL.1,APPROVED,L.G. GARDENING,L.G. GARDENING,92-25 212 STREET,QUEENS VILLAGE,NY,11428
CL.1,APPROVED,L.J.' S LAWN MAINTENANCE INC.,L.J.' S LAWN MAINTENANCE INC.,175 ST.GEORGE ROAD,STATEN ISLAND,NY,10306
CL.2-EXEMPT,APPROVED,LA BELLA VISTA INDUSTRIES INC,LA BELLA VISTA INDUSTRIES INC,341 OCONNOR ROAD,NORTH BABYLON,NY,11703
CL.2-EXEMPT,APPROVED,LA STRADA GENERAL CONTRACTING CORP.,LA STRADA GENERAL CONTRACTING CORP.,118-20 29TH AVENUE,COLLEGE POINT,NY,11354
CL.2-EXEMPT,APPROVED,LAD ASSOCIATES INC.,LAD ASSOCIATES INC.,800 SOUTH COLUMBUS AVENUE,MT. VERNON,NY,10550
CL.1,APPROVED,LANDSCAPE 2000 OF BROOKLYN INC.,LANDSCAPE 2000 OF BROOKLYN INC.,231 PURDY AVENUE,STATEN ISLAND,NY,10314
CL.1,APPROVED,LANDSCAPING BY AMOROSI INC,LANDSCAPING BY AMOROSI INC,P O BOX 280222,BROOKLYN,NY,11228
CL.2-EXEMPT,APPROVED,LAPIETRA CONTRACTING CORP.,LAPIETRA CONTRACTING CORP.,545 PRESIDENT STREET,BROOKLYN,NY,11215
CL.2-EXEMPT,APPROVED,"LAPOMA SITE WORK & STRUCTURE, INC.","LAPOMA SITE WORK & STRUCTURE, INC.",55 WEBSTER AVENUE SUITE 401,NEW ROCHELLE,NY,10801
CL.2-EXEMPT,DENIED,LAQUILA CONSTRUCTION INC.,LAQUILA CONSTRUCTION INC.,1590 TROY AVENUE,BROOKLYN,NY,11234
CL.2-EXEMPT,DENIED,LAQUILA CONTRACTING INC.,LAQUILA CONTRACTING INC.,1590 TROY AVENUE,BROOKLYN,NY,11234
CL.2-EXEMPT,DENIED,LAQUILA INDUSTRIES INC.,LAQUILA INDUSTRIES INC.,1590 TROY AVENUE,BROOKLYN,NY,11234
CL.1,APPROVED,LARRY ABBADESSA,LARRY ABBADESSA,83 BURTON AVE,STATEN ISLAND,NY,10309
CL.1,APPROVED,"MARLENY N. SORTO, NOEL SORTO",LARRY'S LANDSCAPING,178 FERNDALE BLVD.,ISLIP,NY,11751
CL.2-EXEMPT,APPROVED,LATIN AMERICAN CONTAINER SERVICE INC.,LATIN AMERICAN CONTAINER SERVICE INC.,911 LONGFELLOW AVENUE,BRONX,NY,10474
CL.2-EXEMPT,APPROVED,O'S GENERAL SERVICES,LAURO O. LOPEZ DBA O'S GENERAL SERVICES,108-23 37TH DRIVE 1ST FL.,CORONA,NY,11368
CL.1,APPROVED,LAWN CARE INC.,LAWN CARE INC.,160 NOEL STREET,STATEN ISLAND,NY,10312
CL.1,APPROVED,"LAWN MAKER AND LANDSCAPER, INC.","LAWN MAKER AND LANDSCAPER, INC.",539 WESTWOOD AVENUE,STATEN ISLAND,NY,10314
CL.1,APPROVED,LAWN PERFECTION CARE INC,LAWN PERFECTION CARE INC,2050 COLONIAL AVE,BRONX,NY,10461
CL.1,APPROVED,LAWNS BY MARTINEZ INC.,LAWNS BY MARTINEZ INC.,23-34 124 STREET,COLLEGE POINT,NY,11356
CL.1,APPROVED,LAZARO GALINDO d/b/a L&G LANDSCAPING,LAZARO GALINDO d/b/a L&G LANDSCAPING,544 CARY AVE,STATEN ISLAND,NY,10310
CL.2-EXEMPT,APPROVED,"LAZAROVITCH TRUCKING, LLC","LAZAROVITCH TRUCKING, LLC",529 WINDSOR PLACE,OCEANSIDE,NY,11572
CL.2-EXEMPT,APPROVED,LAZARUS HOME IMPROVEMENT,LAZARUS HOME IMPROVEMENT,2164 VICTORY BLVD,STATEN ISLAND,NY,10314
CL.2-EXEMPT,APPROVED,EAGLE CONTAINER,LDS CONTAINER CORP,177 PENN STREET,BROOKLYN,NY,11211
CL.2-EXEMPT,APPROVED,LEARDON BOILER WORKS INC.,LEARDON BOILER WORKS INC.,479 WALTON AVENUE,BRONX,NY,10451
CL.2-EXEMPT,APPROVED,LEGACY CARTING CORP.,LEGACY CARTING CORP.,656 MORRIS PARK AVENUE,BRONX,NY,10462
CL.2-EXEMPT,APPROVED,LEMAZIA CONSTRUCTION INC,LEMAZIA CONSTRUCTION INC,130-59 118TH STREET,SOUTH OZONE PARK,NY,11420
CL.2-EXEMPT,APPROVED,LENNY'S REMOVAL SERVICES INC.,LENNY'S REMOVAL SERVICES INC.,116-03 95TH AVENUE,S. RICHMOND HILL,NY,11419
CL.2-EXEMPT,APPROVED,LEONE ENTERPRISE INC.,LEONE ENTERPRISE INC.,58 - 02 FLUSHING AVENUE,MASPETH,NY,11378
CL.1,APPROVED,"LEONIDAS M. VASQUEZ D/B/A LEONIDAS M VASQUEZ, GENERAL GARDENING AND LANDSCAPING","LEONIDAS M. VASQUEZ D/B/A LEONIDAS M VASQUEZ, GENERAL GARDENING AND LANDSCAPING",P.O. BOX 1393,FAR ROCKAWAY,NY,11691
CL.2-EXEMPT,APPROVED,LETICIA INC,LETICIA INC,640 IRVINGTON AVENUE,HILLSIDE,NJ,7205
CL.1,APPROVED,LEWIS TREE SERVICE INC.,LEWIS TREE SERVICE INC.,300 LUCIUS GORDON DRIVE,WEST HENRIETTA,NY,14586
CL.2-EXEMPT,APPROVED,LI HIN CORP.,LI HIN CORP.,2119 63RD STREET,BROOKLYN,NY,11204
LICENSE,APPROVED,LIBERTY ASHES INC.,LIBERTY ASHES INC.,112 PHYLIS COURT,ELMONT,NY,11003
CL.2-EXEMPT,APPROVED,LIBERTY CONTRACTING CORP.,LIBERTY CONTRACTING CORP.,25-31 94TH STREET,NORTH BERGEN,NJ,7047
CL.2-EXEMPT,APPROVED,"LIBERTY DEMOLITION AND CLEANOUT SERVICES, INC.","LIBERTY DEMOLITION AND CLEANOUT SERVICES, INC.",7802 21ST AVENUE SUITE 1C,BROOKLYN,NY,11214
CL.1,APPROVED,LIBERTY LANDSCAPING INC.,LIBERTY LANDSCAPING INC.,707 CORNELL RD.,FRANKLIN,NY,11010
CL.1,APPROVED,LIFFEY VAN LINES INC.,"LIFFEY VAN LINES, INC.",234 EAST 121 STREET,NEW YORK,NY,10035
CL.2-EXEMPT,APPROVED,LIGHT HOUSE DESIGNS INC.,LIGHT HOUSE DESIGNS INC.,10 SHORE BLVD. SUITE 6B,BROOKLYN,NY,11235
CL.2-EXEMPT,APPROVED,LIMITED INTERIOR GROUP CORP.,LIMITED INTERIOR GROUP CORP.,25 - 74 43RD STREET,ASTORIA,NY,11103
CL.2-EXEMPT,APPROVED,LIN V&S CONSTRUCTION,LIN V&S CONSTRUCTION,87 - 29 135TH STREET,RICHMOND HILL,NY,11368
CL.2-BROKER,APPROVED,LINCOLN WASTE SOLUTIONS LLC,LINCOLN WASTE SOLUTIONS LLC,234 MURPHY RD,HARTFORD,CT,6114
CL.1,APPROVED,LINDEN HILL UNITED METHODIST CEMETERY CORP.,LINDEN HILL UNITED METHODIST CEMETERY CORP.,323 WOODWARD AVENUE,RIDGEWOOD,NY,11385
CL.2-EXEMPT,APPROVED,"LIOTTA & SONS, INC.","LIOTTA & SONS, INC",3966 LONG BEACH ROAD,ISLAND PARK,NY,11558
CL.1,APPROVED,"LISENA LANDSCAPING, INC.","LISENA LANDSCAPING, INC.",101 - 20 99TH STREET,OZONE PARK,NY,11416
LICENSE,DENIED,LITOD PAPER STOCK CORP.,LITOD PAPER STOCK CORP.,1645 81 STREET,BROOKLYN,NY,11214
LICENSE,APPROVED,LIVERPOOL CARTING CO. INC.,LIVERPOOL CARTING CO. INC.,5 BRUCKNER BOULEVARD,BRONX,NY,10454
CL.1,APPROVED,LJ CERULLO INC.,LJ CERULLO INC.,130 WAHL AVENUE,INWOOD,NY,11096
CL.2-EXEMPT,APPROVED,LMC TRUCKING CORP.,LMC TRUCKING CORP.,125 TOWNSEND AVENUE,STATEN ISLAND,NY,10304
CL.2-EXEMPT,DENIED,LMR SERVICES CORP.,LMR SERVICES CORP.,P.O. BOX 77,SYOSSET,NY,11791
CL.2-EXEMPT,APPROVED,LO SARDO GENERAL CONTRACTORS INC.,LO SARDO GENERAL CONTRACTORS INC.,35 CRESCENT STREET,BROOKLYN,NY,11208
CL.2-EXEMPT,APPROVED,"LOBO CONSTRUCTION SERVICES, INC.","LOBO CONSTRUCTION SERVICES, INC.",426 SOUTH COUNTRY RD.,BROOKHAVEN,NY,11719
CL.2-EXEMPT,APPROVED,LOFFRENO LANDSCAPE CONTRACTING CORP.,LOFFRENO LANDSCAPE CONTRACTING CORP.,195 GRANITE AVENUE,STATEN ISLAND,NY,10303
LICENSE,APPROVED,LOMANGINO BROS INC,LOMANGINO BROS INC,1321  61 STREET,BROOKLYN,NY,11219
CL.1,APPROVED,LONE PINE ARBORICULTURE CONSULTANTS & SERVICES,LONE PINE ARBORICULTURE CONSULTANTS & SERVICES,211 CERRATO LANE,YONKERS,NY,10701
CL.2-EXEMPT,APPROVED,A & R MATERIALS,"LONG ISLAND SOUND TRANSPORT, INC.",72 UNION AVENUE,RONKONKOMA,NY,11779
CL.1,APPROVED,LONG ISLAND'S FINEST LANDSCAPING,LONG ISLAND'S FINEST LANDSCAPING,81 MOTT AVENUE,INWOOD,NY,11096
CL.1,APPROVED,LONNIE ALBERT D/B/A L A GARDENING SERVICE,LONNIE ALBERT D/B/A L A GARDENING SERVICE,54 GINA CT,STATEN ISLAND,NY,10314
CL.1,APPROVED,"LORENZO LANDSCAPING, INC.","LORENZO LANDSCAPING, INC.",147 19 EIGHTH AVENUE,WHITESTONE,NY,11357
CL.1,APPROVED,LOU FUSCHETTO LANDSCAPE INC.,LOU FUSCHETTO LANDSCAPE INC.,3335 BEDFORD AVENUE,BROOKLYN,NY,11210
CL.1,APPROVED,"LOUIE CONA LANDSCAPING, INC.","LOUIE CONA LANDSCAPING, INC.",900 FIRST AVE,FRANKLIN SQUARE,NY,11010
CL.1,APPROVED,LOUIS ANDRUZZ d/b/a DRUZZI MAINTENANCEI,LOUIS ANDRUZZ d/b/a DRUZZI MAINTENANCEI,218 ABINGDON AVENUE,STATEN ISLAND,NY,10308
CL.2-BROKER,APPROVED,LOUIS MONTELEONE FIBRES LTD.,LOUIS MONTELEONE FIBRES LTD.,1170 LONGWOOD AVENUE,BRONX,NY,10474
CL.2-EXEMPT,APPROVED,"LPA ENTERPRISES, INC.","LPA ENTERPRISES, INC.",1040-57 ST,BROOKLYN,NY,11219
CL.2-EXEMPT,APPROVED,LUCA ANTONELLI CONTRACTING,LUCA ANTONELLI CONTRACTING,42-29 167 STREET,FLUSHING,NY,11358
CL.2-EXEMPT,APPROVED,"LUIGI MASONRY WORKS & HOME IMPROVEMENT, INC.","LUIGI MASONRY WORKS & HOME IMPROVEMENT, INC.",90-71 198TH STREET,HOLLIS,NY,11432
CL.1,APPROVED,LUIS A. MARTINEZ AND WALTER MOLINA d/b/a M&M LANDSCAPING,LUIS A. MARTINEZ AND WALTER MOLINA d/b/a M&M LANDSCAPING,11-27 NAMEOKE STREET APT 4C,FAR ROCKAWAY,NY,11691
CL.1,APPROVED,LUIS A. ROQUE D/B/A LUIS ROQUE LANDSCAPING,LUIS A. ROQUE D/B/A LUIS ROQUE LANDSCAPING,250 PERSALL PLACE,INWOOD,NY,11096
CL.1,APPROVED,LUIS A. UMANSOR d/b/a LUIS LANDSCAPING,LUIS A. UMANSOR d/b/a LUIS LANDSCAPING,87-14 129 STREET 3J,RICHMOND HILL,NY,11418
CL.1,APPROVED,LUIS GARCIA d/b/a LG LANDSCAPING,LUIS GARCIA d/b/a LG LANDSCAPING,132 HORTON AVE,NEW ROCHELLE,NY,10801
CL.1,APPROVED,LUIS M. PRUDENCIO D/B/A L&M LAWNCARE AND MAINTENANCE,LUIS M. PRUDENCIO D/B/A L&M LAWNCARE AND MAINTENANCE,91 ELM STREET,STATEN ISLAND,NY,10310
LICENSE,APPROVED,LUISI BUILDING MATERIALS CO. INC,LUISI BUILDING MATERIALS CO. INC,1628 62ND STREET,BROOKLYN,NY,11204
CL.2-EXEMPT,APPROVED,LVI DEMOLITION SERVICES INC.,LVI DEMOLITION SERVICES INC.,32 WILLIAMS PARKWAY,EAST HANOVER,NJ,7936
CL.2-EXEMPT,APPROVED,M & A CONTAINERS INC.,M & A CONTAINERS INC.,1006 HUGUENOT AVENUE,STATEN ISLAND,NY,10312
CL.1,APPROVED,M & D LANDSCAPING & GARDENING CORP.,M & D LANDSCAPING & GARDENING CORP.,2270 STILLWELL AVENUE,BROOKLYN,NY,11223
LICENSE,APPROVED,"M & E SOAP COMPANY, INC.","M & E SOAP COMPANY, INC.",51 TARN DRIVE,MORRIS PLAINS,NJ,7950
LICENSE,APPROVED,"M & J WASTE SERVICES, INC.","M & J WASTE SERVICES, INC.",38 POCAHONTAS PATH,LINCOLN PARK,NJ,7035
CL.2-EXEMPT,APPROVED,M & M GARBAGE REMOVAL LLC,M & M GARBAGE REMOVAL LLC,552 LINDEN BLVD APT. 1-C,BROOKLYN,NY,11203
CL.1,APPROVED,M & V LANDSCAPING INC.,M & V LANDSCAPING INC.,515 41ST STREET,BROOKLYN,NY,11232
CL.2-EXEMPT,APPROVED,M & Y CONSTRUCTION NY INC.,M & Y CONSTRUCTION NY INC.,54 - 01 92ND STREET,ELMHURST,NY,11373
CL.1,APPROVED,M G M LANDSCAPING INC.,M G M LANDSCAPING INC.,162 PATTON BLVD,NEW HYDE PARK,NY,11040
LICENSE,APPROVED,M&G CARTING CO LLC.,M&G CARTING CO LLC.,303  5TH AVE ROOM 1511,NEW YORK,NY,10016
LICENSE,APPROVED,M&M SANITATION CORP.,M&M SANITATION CORP.,P.O. BOX 497,KEARNY,NJ,7032
CL.2-EXEMPT,APPROVED,M. DEVITO LANDSCAPING & GARDENING INC.,M. DEVITO LANDSCAPING & GARDENING INC.,80 COLFAX AVENUE,STATEN ISLAND,NY,10306
CL.2-EXEMPT,APPROVED,"M.B.M. GENERAL CONTRACTORS, INC.","M.B.M. GENERAL CONTRACTORS, INC.",54-27 73 PLACE,MASPETH,NY,11378
CL.2-EXEMPT,APPROVED,M.J. FORTUNATO SEPTIC CLEANING SERVICE INC.,M.J. FORTUNATO SEPTIC CLEANING SERVICE INC.,26 JOHNSON STREET,STATEN ISLAND,NY,10309
CL.1,APPROVED,KEW FOREST LANDSCAPING,M.J. TANTILLO LTD. d/b/a KEW FOREST LANDSCAPING,8063 GRENFELL STREET,KEW GARDENS,NY,11415
CL.2-EXEMPT,APPROVED,M.R.S. INC. d/b/a RENOVATIONS UNLIMITED,M.R.S. INC. d/b/a RENOVATIONS UNLIMITED,379 5TH AVENUE,BROOKLYN,NY,11215
CL.2-EXEMPT,APPROVED,M.S.A QUALITY INC.,M.S.A QUALITY INC.,2800 COYLE STREET SUITE 603,BROOKLYN,NY,11235
LICENSE,APPROVED,MAC HUDSON INDUSTRIES CORP.,MAC HUDSON INDUSTRIES CORP.,"333 W 56TH STREET, STE. 6C",NEW YORK,NY,10019
CL.2-EXEMPT,APPROVED,MACWAY CONTRACTING OF NEW YORK CORP,MACWAY CONTRACTING OF NEW YORK CORP,66 - 14 51ST ROAD,WOODSIDE,NY,11377
CL.2-EXEMPT,APPROVED,MAES MATERIALS INC.,MAES MATERIALS INC.,174  HOME AVENUE,RUTHERFORD,NJ,7070
CL.1,APPROVED,MAFFEI LANDSCAPE INC,MAFFEI LANDSCAPE INC,ONE SIXTH STREET,NEW ROCHELLE,NY,10801
CL.2-EXEMPT,APPROVED,MAGUIRE AVENUE REALTY CORP.,MAGUIRE AVENUE REALTY CORP.,15 SEGUINE AVENUE,STATEN ISLAND,NY,10309
CL.2-EXEMPT,APPROVED,MAJOR SEWER & WATER CONTRACTORS INC.,MAJOR SEWER & WATER CONTRACTORS INC.,58-66 57TH STREET,MASPETH,NY,11378
CL.2-EXEMPT,APPROVED,MALANGA CONSTRUCTION INC.,MALANGA CONSTRUCTION INC.,15 OCEAN TERRACE,STATEN ISLAND,NY,10314
CL.2-EXEMPT,APPROVED,MALATESTA PALADINO INC.,MALATESTA PALADINO INC.,59 SECATOGUE LANE,WEST ISLIP,NY,11795
CL.1,APPROVED,MALOY LANDSCAPING LLC,MALOY LANDSCAPING LLC,64 APPLBY AVE,STATEN ISLAND,NY,10305
LICENSE,APPROVED,MAME BABA SONGHAY,MAME BABA SONGHAY,243 W 115 STREET #1B,NEW YORK,NY,10026
CL.2-EXEMPT,APPROVED,MANCO EQUIPMENT RENTAL CO. INC.,MANCO EQUIPMENT RENTAL CO. INC.,44-17 54TH DRIVE,MASPETH,NY,11378
CL.1,APPROVED,MANGANO LANDSCAPING INC.,MANGANO LANDSCAPING INC.,84-28 DANA COURT,MIDDLE VILLAGE,NY,11379
CL.2-EXEMPT,APPROVED,"MANHATTAN DEMOLITION CO., INC.","MANHATTAN DEMOLITION CO., INC.",8-16 43 AVENUE,LONG ISLAND CITY,NY,11101
CL.2-EXEMPT,APPROVED,"MANOLOS TRUCKING, LLC.","MANOLOS TRUCKING, LLC.", 58 MOORE PLACE 1ST FL.,BELLEVILLE,NJ,7109
CL.1,APPROVED,M.A LABRA LANDSCAPE,MANUEL A. LABRA-URIBE d/b/a M. A. LABRA LANDSCAPE,466 FIFTH AVENUE,CEDARHURST,NY,11516
CL.1,APPROVED,MANUEL BERMUDEZ D/B/A M BERMUDEZ LANDSCAPING,MANUEL BERMUDEZ D/B/A M BERMUDEZ LANDSCAPING,60 JEFFERSON AVE,BRENTWOOD,NY,11717
CL.1,APPROVED,MANUEL E. FERRUFINO d/b/a MANUEL E. FERRUFINO LANDSCAPING,MANUEL E. FERRUFINO d/b/a MANUEL E. FERRUFINO LANDSCAPING,115 HENRY STREET,INWOOD,NY,11096
CL.1,APPROVED,M H LANDSCAPING,MANUEL E. HERCULES d/b/a M H LANDSCAPING,132-25 MAPLE AVENUE APT 402,FLUSHING,NY,11355
CL.1,APPROVED,MANUEL LOPEZ d/b/a MANUEL LOPEZ LANDSCAPING,MANUEL LOPEZ d/b/a MANUEL LOPEZ LANDSCAPING,30 DRAKE AVENUE,NEW ROCHELLE,NY,10805
CL.1,APPROVED,MANUEL ROMERO'S LANDSCAPING,MANUEL ROMERO'S d/b/a MANUEL ROMEO'S LANDSCAPING,10-41 MCBRIDE STREET,FAR ROCKAWAY,NY,11691
CL.1,APPROVED,MANUEL SERVELLON LANDSCAPING,MANUEL SERVELLON LANDSCAPING,38-11 149TH PLACE,FLUSHING,NY,11354
CL.2-EXEMPT,APPROVED,MAQSOOD A. FAZAL D.B.A. F.M WATER PROOFING CO.,MAQSOOD A. FAZAL D.B.A. F.M WATER PROOFING CO.,760 EAST 46TH STREET,BROOKLYN,NY,11203
CL.1,APPROVED,MARC ROSENFELD DBA STAYGREEN LANDSCAPING,MARC ROSENFELD DBA STAYGREEN LANDSCAPING,47 ROCKVILLE AVENUE,STATEN ISLAND,NY,10314
CL.2-EXEMPT,APPROVED,MCB TRUCKING,MARCO BERMEO d/b/a MCB TRUCKING,104 - 106 BRIGHTON AVENUE,BELLEVILLE,NJ,7109
