PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Flatbush Development Corporation,Brooklyn,Jacob Riis Neighborhood Settlement House,(718) 859-3800,Middle School,"1616 Newkirk Avenue
Brooklyn, NEW YORK 11226
(40.6359962740795, -73.96230212887792)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Erasmus H.S. of Service Learning,Brooklyn,Jacob Riis Neighborhood Settlement House,(718) 859-3800,Middle School,"911 Flatbush Avenue
Brooklyn, NEW YORK 11226
(40.649532936565414, -73.95845755993555)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Middle School 206,Bronx,I.S. 126 - The Albert Shanker School for the Visual and Performing Arts,(212) 243-7070,Middle School,"2280 Aqueduct Avenue
Bronx, NEW YORK 10468
(40.8596801783553, -73.9064756029789)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Grand Street Settlement,New York,"Jewish Community Council of Greater Coney Island, Inc",(646) 201-4288,Middle School,"80 Pitt Street
New York, NEW YORK 10002
(40.718892797836546, -73.98215902487652)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,JHS 292 MARGARET S DOUGLAS (K292),Brooklyn,Kingsbridge Heights Community Center,(718) 346-2200,Middle School,"301 VERMONT STREET
Brooklyn, NEW YORK 11207
(40.67232012790976, -73.89398085584912)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,PS 126 JACOB AUGUST RIIS (M126),New York,Our Lady of Sorrows School,(212) 571-1840,Middle School,"80 CATHERINE STREET
New York, NEW YORK 10038
(40.710854298398544, -73.9966721705172)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,SHOP Architects,New York,Legal Services NYC-Bronx,(212) 571-1840,Middle School,"11 Park Place
New York, NEW YORK 10002
(40.71280919567413, -74.00819922943185)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,The River Project,New York,Help USA - HomeBase,(212) 571-1840,Middle School,"40 Hudson &amp; West Streets
New York, NEW YORK 10014
(40.73358645135369, -74.01019960472792)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,IS 52,New York,Sunset Park Center,(212) 942-0043,Middle School,"650 Academy Street
New York, NEW YORK 10034
(40.8659943773106, -73.92483806023611)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Our Lady of Sorrows School,Queens,Make the Road New York,(718) 651-8427,Middle School,"35 34 105th Street
Queens, NEW YORK 11368
(40.749678220373596, -73.85304068857687)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,JHS 383 PHILLIPPA SCHUYLER (K383),Brooklyn,Make the Road New York,(347) 417-8180,Middle School,"1300 GREENE AVENUE
Brooklyn, NEW YORK 11237
(40.69762704651303, -73.91986972170302)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,I S 364 GATEWAY (K364),Brooklyn,Make the Road New York,(347) 417-8180,Middle School,"1426 FREEPORT LOOP
Brooklyn, NEW YORK 11239
(40.64645050916844, -73.88152763917518)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,I.S 286 M,Manhattan,Make the Road New York Staten Island,(347) 417-8180,Middle School,"509 129 Street
Manhattan, NEW YORK 10027
(40.81520669715875, -73.9551464649788)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,IS 061 LEONARDO DA VINCI (Q061),Corona,Make the Road New York,(347) 417-8180,Middle School,"98 50 50 AVENUE
Corona, NEW YORK 11368
(40.749678220373596, -73.85304068857687)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,PSS/WSF GrandParent Family Apartment,Bronx,Manhattan Legal Services,(212) 874-6633,Middle School,"951 Prospect Avenue
Bronx, NEW YORK 10459
(40.82215857521681, -73.90061538899755)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,St. Dominic School,Bronx,MBD Community Housing Corp,(64) 686-6102,Middle School,"1684 White Plains Road
Bronx, NEW YORK 10462
(40.84352928468312, -73.8654751708726)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Red Hook Initiative,Brooklyn,Morrisania Revitalization Corporation,(718) 858-6782,Middle School,"595 Clinton Street
Brooklyn, NEW YORK 11231
(40.67506809698567, -74.00158556079823)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Middle School 136,Brooklyn,Educational Counseling Center,(718) 788-3500,Middle School,"4004 Fourth Avenue
Brooklyn, NEW YORK 11232
(40.65208990853318, -74.00688510833078)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,MS 216,Bronx,Mount Hope Community Center,(718) 732-7523,Middle School,"977 Fox Street
Bronx, NEW YORK 10459
(40.822428225918, -73.89392410102988)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,PS 3 RAUL JULIA MICRO SOCIETY (X003),Bronx,Healthy Families,(718) 732-7523,Middle School,"2100 LAFONTAINE AVENUE
Bronx, NEW YORK 10457
(40.84986917690515, -73.8922836999623)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,JHS 142 JOHN PHILIP SOUSA (X142),Bronx,Healthy Families,(347) 417-8120,Middle School,"3750 BAYCHESTER AVENUE
Bronx, NEW YORK 10466
(40.88554553526394, -73.84075720750138)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,CONSELYEA PREPARATORY SCHOOL (K577),Brooklyn,Jacobi Medical Center Nurses Residence/ NIDS Young Adult Center,(347) 417-8120,Middle School,"320 MANHATTAN AVENUE
Brooklyn, NEW YORK 11211
(40.71463833332369, -73.94607320762356)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,IS 252 ARTHUR S SOMMERS (K252),Brooklyn,Neighborhood SHOPP Casa Boricua Senior Center,(347) 417-8120,Middle School,"1084 LENOX ROAD
Brooklyn, NEW YORK 11212
(40.658327698451274, -73.92001930874018)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,IS 281 JOSEPH B CAVALLARO (K281),Brooklyn,Thessalonia Baptist Church,(718) 236-5266,Middle School,"8787 24 AVENUE
Brooklyn, NEW YORK 11214
(40.59549272946864, -73.99326546764759)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,JHS 227 EDWARD B SHALLOW (K227),Brooklyn,Highbridge Gardens,(718) 236-5266,Middle School,"6500 16 AVENUE
Brooklyn, NEW YORK 11204
(40.62199170444391, -73.99495737704281)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,I S 187 (K187),Brooklyn,Morrisania Air Rights Housing Development,(718) 236-5266,Middle School,"1171 65 STREET
Brooklyn, NEW YORK 11219
(40.627718796576026, -74.00434443919511)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,The Arab-American Family Support Center,Brooklyn,Concourse Gardens,(718) 643-8000,Middle School,"150 Court Street
Brooklyn, NEW YORK 11201
(40.688807894259774, -73.99283183663935)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Khalil Gibran International Academy,Brooklyn,Jonas Bronck Housing for Seniors,(718) 643-8000,Middle School,"50 Navy Street
Brooklyn, NEW YORK 11201
(40.697950139744485, -73.98057417378759)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,THEATRE ARTS PRODUCTION COMPANY SCHOOL (X225),Bronx,Sedgwick Houses,(212) 949-4919,Middle School,"2225 WEBSTER AVENUE
Bronx, NEW YORK 10457
(40.85466127151118, -73.89664962860274)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,BROOKLYN EXCELSIOR CHARTER (K731),Brooklyn,SEBCO St Barnabas Senior Housing,(212) 630-9680,Middle School,"856 QUINCY STREET
Brooklyn, NEW YORK 11221
(40.68989590664285, -73.92483415895022)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Queens Gateway to Health and Sciences Secondary School,Queens,SEBCO Father Banome Senior Housing,(212) 630-6980,Middle School,"150 91 87th Road
Queens, NEW YORK 11432
(40.71311535449007, -73.79282099978928)"
"Family Support,NDA Programs",Healthy Families,Aids Center of Queens County,Queens,Father David Cassella Plaza,(718) 896-2500,,"1600 Central Avenue
Queens, NEW YORK 11691
(40.60526421293615, -73.75189171476596)"
"Family Support,NDA Programs",Healthy Families,Asian Americans for Equality,Queens,Aquinas Housing for Seniors,(212) 979-8381,,"133 04 39th Ave
Queens, NEW YORK 11354
(40.76862022064671, -73.82719028070687)"
"Family Support,NDA Programs",Healthy Families,Restoration Plaza,Brooklyn,Clinton Senior Housing,(718) 636-6906,,"1368 Fulton Street
Brooklyn, NEW YORK 11216
(40.68016709769277, -73.94592248315027)"
"Family Support,NDA Programs",Healthy Families,Tompkins Housing Community Center,Brooklyn,Lafayette Estates,(718) 636-6906,,"736 Park Avenue
Brooklyn, NEW YORK 11206
(40.69795519428128, -73.94619360909594)"
"Family Support,NDA Programs",Healthy Families,Tompkins Resident Association Office,Brooklyn,San Andres Church,(718) 636-6906,,"77 Tompkins Avenue
Brooklyn, NEW YORK 11206
(40.69690816766297, -73.94656644161232)"
"Family Support,NDA Programs",Healthy Families,BCA Main Community Services Center,Brooklyn,Carol Gardens,(718) 438-0008,,"5000 8th Avenue
Brooklyn, NEW YORK 11220
(40.641104606526014, -74.0037599239347)"
"Family Support,NDA Programs",Healthy Families,BCA Avenue U Senior & Youth Center,Brooklyn,Jaime Towers,(718) 438-0008,,"2072 15th Street
Brooklyn, NEW YORK 11229
(40.59945561594, -73.95655822502813)"
"Family Support,NDA Programs",Healthy Families,"Brooklyn Housing & Family Services, Inc.",Brooklyn,St. Andrews Senior Housing,(718) 435-7585,,"1281 Saint Johns Place
Brooklyn, NEW YORK 11213
(40.67086337854138, -73.9358398249695)"
"Family Support,NDA Programs",Healthy Families,"Brooklyn Housing & Family Services, Inc.",Brooklyn,St. Luke's,(718) 435-7585,,"415 Albemarle Road
Brooklyn, NEW YORK 11218
(40.64548060202624, -73.97668803303637)"
"Family Support,NDA Programs",Healthy Families,"Brooklyn Housing & Family Services, Inc.",Brooklyn,Filomena Gardens,(718) 435-7585,,"415 Albemarle Road
Brooklyn, NEW YORK 11218
(40.64548060202624, -73.97668803303637)"
"Family Support,NDA Programs",Healthy Families,Brooklyn Housing & Family Services,Brooklyn,Mercy House,(718) 435-7585,,"130 Clarkson Avenue
Brooklyn, NEW YORK 11226
(40.65506083208495, -73.95545066497733)"
"Family Support,NDA Programs",Healthy Families,CAMBA Healthy Families,Brooklyn,Mercy House,(718) 287-2600,,"2103 Kenmore Terrace
Brooklyn, NEW YORK 11226
(40.64920668009701, -73.95941921452047)"
"Family Support,NDA Programs",Healthy Families,Project Bridge,Brooklyn,JHS 383 PHILLIPPA SCHUYLER (K383),(718) 722-6023,,"52 Wilson Avenue
Brooklyn, NEW YORK 11237
(40.70259055255882, -73.9290890577379)"
"Family Support,NDA Programs",Healthy Families,Dr. White Community Center,Brooklyn,I S 364 GATEWAY (K364),(718) 722-6023,,"200 Gold Street
Brooklyn, NEW YORK 11201
(40.69828882200633, -73.98309740031785)"
"Family Support,NDA Programs",Healthy Families,St. John The Baptist School,Brooklyn,I.S 286 M,(718) 722-6023,,"82 Lewis Avenue
Brooklyn, NEW YORK 11206
(40.6947019142959, -73.93742841488697)"
"Family Support,NDA Programs",Healthy Families,Project Bridge,Brooklyn,IS 061 LEONARDO DA VINCI (Q061),(718) 722-6023,,"52 Wilson Avenue
Brooklyn, NEW YORK 11237
(40.70259055255882, -73.9290890577379)"
"Family Support,NDA Programs",Healthy Families,Center for the Integration and Advancement of New Americans,Queens,Northern Manhattan Improvement Corporation,(718) 545-4040,,"31 09 Newtown Avenue
Queens, NEW YORK 11102
(40.77152402451418, -73.92643545073543)"
"Family Support,NDA Programs",Healthy Families,Central Brooklyn Economic Development Corporation,Brooklyn,Northern Manhattan Improvement Corporation,(718) 498-4513,,"444 Thomas
Brooklyn, NEW YORK 11212
(40.66279716995348, -73.91298489433734)"
"Family Support,NDA Programs",Healthy Families,Citizen,Bronx,OBT Bushwick,(718) 293-0727,,"632 Southern Boulevard
Bronx, NEW YORK 10453
(40.812893537386145, -73.90133270321454)"
"Family Support,NDA Programs",Healthy Families,Citizens Advice,Bronx,West Farm Technology and Career Center,(718) 293-0727,,"2070 Grand
Bronx, NEW YORK 10457
(40.84579837129786, -73.89832418681175)"
"Family Support,NDA Programs",Healthy Families,Citizens Advice Bureau,Bronx,The Classic Center,(718) 293-0727,,"2925 Grand
Bronx, NEW YORK 10468
(40.86785065240455, -73.89951166617763)"
"Family Support,NDA Programs",Healthy Families,Edith and Carl Marks Jewish Community House of Bensonhurst,Brooklyn,Phipps Opportunity Center,(718) 331-6800,,"7802 Bay Parkway
Brooklyn, NEW YORK 11214
(40.606424326705934, -73.98919274272059)"
"Family Support,NDA Programs",Healthy Families,Agnes Y. Humphrey School for Leadership 27 (K027),Brooklyn,West Farm Technology and Career Center,(718) 237-2017,,"27 HUNTINGTON STREET
Brooklyn, NEW YORK 11231
(40.677570464913735, -74.00509535680479)"
"Family Support,NDA Programs",Healthy Families,PS 015 PATRICK F. DALY (K015),Brooklyn,"Polonians Organized to Minister to Our Community, Inc.",(718) 237-2017,,"71 SULLIVAN STREET
Brooklyn, NEW YORK 11231
(40.67758744585575, -74.01192870924359)"
"Family Support,NDA Programs",Healthy Families,Red Hook Youth Court Internship,Brooklyn,PSS/WSF GrandParent Family Apartment,(718) 237-2017,,"88 Visitation Place
Brooklyn, NEW YORK 11231
(40.679168772791975, -74.00992939933637)"
"Family Support,NDA Programs",Healthy Families,Grand Street Settlement,New York,Project Hopitality,(646) 201-4288,,"80 Pitt Street
New York, NEW YORK 10002
(40.718892797836546, -73.98215902487652)"
"Family Support,NDA Programs",Healthy Families,Greenhope Services for Women,New York,Voyagees Prepatory High School,(212) 996-8633,,"448 119 Street
New York, NEW YORK 10035
(40.797452112731854, -73.93292221503873)"
"Family Support,NDA Programs",Healthy Families,"Guardians of the Sick, Inc.",Brooklyn,Queens Community House,(718) 438-2020,,"5216 11th Avenue
Brooklyn, NEW YORK 11219
(40.635910755077674, -73.9983983514248)"
"Family Support,NDA Programs",Healthy Families,Hebrew Educational Society,Brooklyn,Queens Community in Jackson Heights,(718) 241-3000,,"9502 Seaview Avenue
Brooklyn, NEW YORK 11236
(40.6326745532508, -73.89124182389159)"
"Family Support,NDA Programs",Healthy Families,Highbridge Community Life Center Family & Community Services,Bronx,Rego Park Center,(718) 681-2222,,"156 164th Street
Bronx, NEW YORK 10452
(40.82968508600106, -73.92140229236581)"
"Family Support,NDA Programs",Healthy Families,St. Dominic School / Italian American Civil Rights League,Brooklyn,Italian American Civil Rights League ,(718) 642-2180,,"1460 Pennsylvania Avenue
Brooklyn, NEW YORK 11239
(40.64607779528712, -73.87995018190169)"
"Family Support,NDA Programs",Healthy Families,Jacob Riis Neighborhood Settlement House,Queens,Red Hook Initiative,(718) 784-7447,,"10 25 41st Avenue
Queens, NEW YORK 11101
(40.74570244980828, -73.93866902925225)"
"Family Support,NDA Programs",Healthy Families,I.S. 126 - The Albert Shanker School for the Visual and Performing Arts,Queens,R.A.I.N. Eastchester Senior Center,(718) 784-7447,,"31 51 21 Street
Queens, NEW YORK 11106
(40.761699790013324, -73.9316632529567)"
"Family Support,NDA Programs",Healthy Families,Make the Road New York,Queens,RAIN Boston Secor Senior Center,(347) 243-7249,,"92 10 Roosevelt Avenue
Queens, NEW YORK 11372
(40.75163073936716, -73.88361254528269)"
"Family Support,NDA Programs",Healthy Families,Future Now at Bronx Community College,Bronx,Neighborhood Association for Inter-Cultural Affairs,(718) 538-3344,,"1075 Grand
Bronx, NEW YORK 10452
(40.83772426336412, -73.9233322114124)"
"Family Support,NDA Programs",Healthy Families,Healthy Families,Bronx,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL (K6,(718) 538-3344,,"871 Westchester Avenue
Bronx, NEW YORK 10459
(40.81989437325163, -73.90128792620881)"
"Family Support,NDA Programs",Healthy Families,Phipps Opportunity Center,Bronx,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL (K507),(212) 243-9090,,"3125 Third Avenue
Bronx, NEW YORK 10451
(40.822057811068916, -73.91176496449754)"
"Family Support,NDA Programs",Healthy Families,West Farm Technology and Career Center,Bronx,PAUL ROBESON HIGH SCHOOL (K625),(646) 388-8280,,"1071 Tremont Avenue
Bronx, NEW YORK 10460
(40.840122458145274, -73.87849759908211)"
"Family Support,NDA Programs",Healthy Families,"Polonians Organized to Minister to Our Community, Inc.",Queens,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A CO,(718) 326-9098,,"66 60 Fresh Pond Road
Queens, NEW YORK 11385
(40.70122489161548, -73.88334858436963)"
"Family Support,NDA Programs",Healthy Families,Project Hopitality,Staten Island,Ridgewood Bushwick Youth Center,(718) 448-1544,,"514 Bay Street
Staten Island, NEW YORK 10304
(40.629455779271794, -74.07666243702403)"
"Family Support,NDA Programs",Healthy Families,SSAW,Queens,Bushwick Campus,(212) 714-9153,,"106 03 Liberty Avenue
Queens, NEW YORK 11417
(40.6763637308016, -73.84454275534387)"
"Family Support,NDA Programs",Healthy Families,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",Brooklyn,Ridgewood Bushwick Youth Center,(718) 646-1444,,"3300 Coney Island Avenue
Brooklyn, NEW YORK 11235
(40.575793969703795, -73.95950745079742)"
"Family Support,NDA Programs",Healthy Families,St. Raymond Community Outreach,Bronx,RBSCC,(718) 824-0353,,"1720 Metropolitan Avenue
Bronx, NEW YORK 10462
(40.84055252060703, -73.85386559291338)"
"Family Support,NDA Programs",Healthy Families,Bronx Family Center,Bronx,Riverdale Senior Services,(212) 503-6837,,"1515 Southern Blvd
Bronx, NEW YORK 10460
(40.833941446929565, -73.88990607790718)"
"Family Support,NDA Programs",Healthy Families,Dunlevy Milbank Center,New York,"Riverstone Senior Life Services, Inc.",(212) 503-6837,,"14 32 West 118th Street
New York, NEW YORK 10026
(40.80305812163505, -73.95334277604826)"
"Family Support,NDA Programs",Healthy Families,Children's Aid Society/East Harlem Center,New York,SSAW,(212) 503-6837,,"130 101st Street
New York, NEW YORK 10029
(40.789301756378734, -73.9492064772931)"
"Family Support,NDA Programs",Healthy Families,MIDDLE SCHOOL 322 (M322),New York,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL (X527),(212) 949-4919,,"4600 BROADWAY
New York, NEW YORK 10040
(40.861067654316855, -73.93051856552427)"
"Family Support,NDA Programs",Healthy Families,"The Friends of Crown Heights Educational Centers, Inc.",Brooklyn,Sauti Yetu Center for African Women,(718) 638-8686,,"36 Ford Street
Brooklyn, NEW YORK 11213
(40.66504895469436, -73.92934579457828)"
"Family Support,NDA Programs",Healthy Families,"The Friends of Crown Heights Educational Centers, Inc.",Brooklyn,New Horizons Adullt Education Program,(718) 638-8686,,"36 Ford Street
Brooklyn, NEW YORK 11213
(40.66504895469436, -73.92934579457828)"
"Family Support,NDA Programs",Healthy Families,Mirabal Sisters Cultural and Community Center Office Space,New York,P.S. 503/506,(646) 459-3002,,"618 142 Street
New York, NEW YORK 10031
(40.825013834162235, -73.95303758913792)"
"Family Support,NDA Programs",Healthy Families,WEME/Mainstream Meals-on-Wheels,New York,Middle School 136,(212) 362-3662,,"263 86th Street
New York, NEW YORK 10024
(40.7887128410752, -73.97736302500698)"
"Family Support,NDA Programs",Healthy Families,Columbus -Amsterdam Business Improvement District,New York,Shorefront Jewish Community Council,(212) 362-3662,,"991 Amsterdam Avenue
New York, NEW YORK 10024
(40.79083445134607, -73.97267882585821)"
"Family Support,NDA Programs",Healthy Families,Yeled V Yalda Community Center,Brooklyn,Office of Senator Kruger,(718) 686-3700,,"1312 38 Street
Brooklyn, NEW YORK 11218
(40.64098429694321, -73.9854115723326)"
"Family Support,NDA Programs",Healthy Families,YMPJ,Bronx,Jay Harama Senior Center,(347) 851-5619,,"1384 Stratford Avenue
Bronx, NEW YORK 10472
(40.833517940516856, -73.87646631115457)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Bedford Park Multi-Service Center for Senior Citizens,Bronx,Pan American International High School (PAIHS),(718) 365-3725,Seniors,"243 204 Street
Bronx, NEW YORK 10458
(40.87430335497695, -73.88453389001062)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,BCA Bensonhurst District Office,Brooklyn,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY (X275),(718) 438-0008,Seniors,"6809 20th Avenue
Brooklyn, NEW YORK 11204
(40.614704025531445, -73.98771039717887)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,BCA Sunset Park Asian Senior Center,Brooklyn,MS 216,(718) 438-0008,Seniors,"5010 8th Avenue
Brooklyn, NEW YORK 11220
(40.64105371224104, -74.00381858175466)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,BCA 6th Avenue Senior Center,Brooklyn,PS 3 RAUL JULIA MICRO SOCIETY (X003),(718) 438-0008,Seniors,"545 60th Street
Brooklyn, NEW YORK 11220
(40.638917403201845, -74.01516632836363)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,"Haber, Bernard Senior Houses",Brooklyn,"South Brooklyn Legal Services, Inc.",(800) 624-8474,Seniors,"2410 Surf Avenue
Brooklyn, NEW YORK 11224
(40.57358339616262, -73.99081935332418)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Gravesend Houses,Brooklyn,NEW YORK HARBOR SCHOOL (K551),(800) 624-8474,Seniors,"2793 33rd Street
Brooklyn, NEW YORK 11224
(40.57743035209746, -74.0000210798692)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,O'Dwyer Gardens,Brooklyn,Los Sures,(800) 624-8474,Seniors,"2959 33rd Street
Brooklyn, NEW YORK 11224
(40.57374914947479, -73.99933084108847)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Manhattanville Houses Senior Center,New York,DeWitt,(800) 624-8474,Seniors,"530 133rd Street
New York, NEW YORK 10026
(40.81810690053051, -73.95449058374143)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,St. Luke A.M.E Church,New York,FREDERICK DOUGLASS ACADEMY (M499),(800) 624-8474,Seniors,"1854 Amsterdam Avenue
New York, NEW YORK 10031
(40.82951044430877, -73.94448503663926)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,International Tower for Seniors,Queens,JHS 142 JOHN PHILIP SOUSA (X142),(800) 624-8474,Seniors,"90 20 170th Street
Queens, NEW YORK 11433
(40.698104881734935, -73.7875740339145)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Baisley Park Houses,Queens,CONSELYEA PREPARATORY SCHOOL (K577),(800) 624-8474,Seniors,"116 45 Guy R Brewer Boulevard
Queens, NEW YORK 11434
(40.6769452621142, -73.77530690169215)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,South Jamaica Houses,Queens,IS 252 ARTHUR S SOMMERS (K252),(800) 624-8474,Seniors,"106 62 160th Street
Queens, NEW YORK 11433
(40.698104881734935, -73.7875740339145)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,"Council of Jewish Orgainzations of Flatbush, Inc.",Brooklyn,St. Johns University,(718) 377-2900,Seniors,"1550 Coney Island
Brooklyn, NEW YORK 11230
(40.62192951023877, -73.96551106018723)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,"Council of Jewish Organization of Flatbush, Inc.",Brooklyn,Workforce Development Division,(718) 377-2900,Seniors,"1658 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.616970915722995, -73.96378533350548)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,"Council of Jewish Orgainzations of Flatbush, Inc.",Brooklyn,St. Raymond Community Outreach,(718) 377-2900,Seniors,"1550 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.61969757437525, -73.96431415429318)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,"Council of Jewish Organization of Flatbush, Inc.",Brooklyn,St. Raymond Community Outreach,(718) 377-2900,Seniors,"1658 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.616970915722995, -73.96378533350548)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Crown Heights Jewish Community Council,Brooklyn,IS 281 JOSEPH B CAVALLARO (K281),(718) 771-8808,Seniors,"387 Kingston Ave
Brooklyn, NEW YORK 11225
(40.665762628592155, -73.94250335499902)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Grand Street Settlement,New York,JHS 227 EDWARD B SHALLOW (K227),(646) 201-4288,Seniors,"80 Pitt Street
New York, NEW YORK 10002
(40.718892797836546, -73.98215902487652)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Baruch Houses (Senior Building),New York,I S 187 (K187),(646) 201-4288,Seniors,"72 Columbia Street
New York, NEW YORK 10002
(40.717388686577515, -73.98001783276366)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Vladeck Cares,New York,"Stryckers Bay Neighborhood Council, Inc.",(212) 766-9200,Seniors,"351 Madison Ave
New York, NEW YORK 10002
(40.713407305684896, -73.9824873659316)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Good Companions Senior center,New York,I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL (Q005),(212) 766-9200,Seniors,"334 Madison Street
New York, NEW YORK 10002
(40.71329016943547, -73.9830168780469)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,"Homecrest Community Services, Inc.",Brooklyn,The Arab-American Family Support Center,(718) 376-4036,Seniors,"1413 Avenue
Brooklyn, NEW YORK 11229
(40.60123350732056, -73.94436854117521)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,IPR/HE Brooklyn Caregivers,Brooklyn,Khalil Gibran International Academy,(212) 677-4181,Seniors,"1368 Fulton St
Brooklyn, NEW YORK 11216
(40.68016709769277, -73.94592248315027)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Elmhurst Jackson Heights Senior Center,Queens,The Child Center,(212) 677-4181,Seniors,"75 01 Broadway
Queens, NEW YORK 11368
(40.749678220373596, -73.85304068857687)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,"Jewish Community Council of Greater Coney Island, Inc",Brooklyn,Manhattan Center for Science and Mathematics,(718) 449-5000,Seniors,"3001 37th Street
Brooklyn, NEW YORK 11224
(40.573273749723825, -74.00249064003097)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Sunset Park Center,Brooklyn,THEATRE ARTS PRODUCTION COMPANY SCHOOL (X225),(718) 630-7171,Seniors,"4520 4th Avenue
Brooklyn, NEW YORK 11220
(40.64920987486405, -74.0098758480672)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Neighborhood SHOPP Casa Boricua Senior Center,Bronx,Bronx Family Center,(718) 542-0006,Seniors,"910 172nd Street
Bronx, NEW YORK 10460
(40.83418922117395, -73.89020092303998)"
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Thessalonia Baptist Church,Bronx,Dunlevy Milbank Center,(718) 542-0006,Seniors,"951 Rev James A Polite Avenue
Bronx, NEW YORK 10459
(40.82192634782304, -73.89896684393088)"
