Demographic,Borough,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort
White,Staten Island,2002,2389,1768,74%,1384,57.9%,78.3%,628,26.3%,35.5%,756,31.6%,42.8%,384,16.1%,21.7%,364,15.2%,187,7.8%
White,Staten Island,2003,2336,1726,73.9%,1366,58.5%,79.1%,586,25.1%,34%,780,33.4%,45.2%,360,15.4%,20.9%,381,16.3%,171,7.3%
White,Staten Island,2004,2243,1686,75.2%,1366,60.9%,81%,687,30.6%,40.7%,679,30.3%,40.3%,320,14.3%,19%,315,14%,167,7.4%
White,Staten Island,2005,2368,1855,78.3%,1521,64.2%,82%,715,30.2%,38.5%,806,34%,43.5%,334,14.1%,18%,277,11.7%,139,5.9%
White,Staten Island,2006,2461,1961,79.7%,1678,68.2%,85.6%,746,30.3%,38%,932,37.9%,47.5%,283,11.5%,14.4%,268,10.9%,174,7.1%
White,Staten Island,Aug 2006,2461,1998,81.2%,1697,69%,84.9%,748,30.4%,37.4%,949,38.6%,47.5%,301,12.2%,15.1%,232,9.4%,173,7%
Female,Bronx,2001,5532,2711,49%,1409,25.5%,52%,519,9.4%,19.1%,890,16.1%,32.8%,1305,23.6%,48.1%,1547,28%,1052,19%
Female,Bronx,2002,5835,2921,50.1%,1652,28.3%,56.6%,474,8.1%,16.2%,1178,20.2%,40.3%,1273,21.8%,43.6%,1832,31.4%,880,15.1%
Female,Bronx,2003,6688,3498,52.3%,2081,31.1%,59.5%,649,9.7%,18.6%,1432,21.4%,40.9%,1417,21.2%,40.5%,1969,29.4%,1015,15.2%
Female,Bronx,2004,7085,4091,57.7%,2552,36%,62.4%,731,10.3%,17.9%,1821,25.7%,44.5%,1539,21.7%,37.6%,1853,26.2%,980,13.8%
Female,Bronx,2005,7288,4432,60.8%,3010,41.3%,67.9%,809,11.1%,18.3%,2201,30.2%,49.7%,1422,19.5%,32.1%,1652,22.7%,879,12.1%
Female,Bronx,2006,7505,4455,59.4%,3319,44.2%,74.5%,773,10.3%,17.4%,2546,33.9%,57.1%,1136,15.1%,25.5%,1683,22.4%,1070,14.3%
Female,Bronx,Aug 2006,7505,4792,63.9%,3475,46.3%,72.5%,781,10.4%,16.3%,2694,35.9%,56.2%,1317,17.5%,27.5%,1364,18.2%,1052,14%
Female,Brooklyn,2001,9849,5538,56.2%,3455,35.1%,62.4%,1568,15.9%,28.3%,1887,19.2%,34.1%,2086,21.2%,37.7%,2656,27%,1446,14.7%
Female,Brooklyn,2002,10253,5723,55.8%,3861,37.7%,67.5%,1534,15%,26.8%,2327,22.7%,40.7%,1867,18.2%,32.6%,2827,27.6%,1388,13.5%
Female,Brooklyn,2003,10481,6147,58.6%,4302,41%,70%,1827,17.4%,29.7%,2475,23.6%,40.3%,1845,17.6%,30%,2808,26.8%,1317,12.6%
Female,Brooklyn,2004,10918,6810,62.4%,4905,44.9%,72%,2044,18.7%,30%,2861,26.2%,42%,1905,17.4%,28%,2731,25%,1177,10.8%
Female,Brooklyn,2005,10942,6867,62.8%,5149,47.1%,75%,1939,17.7%,28.2%,3210,29.3%,46.7%,1718,15.7%,25%,2679,24.5%,1032,9.4%
Female,Brooklyn,2006,10790,7034,65.2%,5618,52.1%,79.9%,2048,19%,29.1%,3570,33.1%,50.8%,1416,13.1%,20.1%,2319,21.5%,1163,10.8%
Female,Brooklyn,Aug 2006,10790,7484,69.4%,5825,54%,77.8%,2064,19.1%,27.6%,3761,34.9%,50.3%,1659,15.4%,22.2%,1877,17.4%,1155,10.7%
Female,Manhattan,2001,6720,4434,66%,2995,44.6%,67.5%,1040,15.5%,23.5%,1955,29.1%,44.1%,1440,21.4%,32.5%,1286,19.1%,831,12.4%
Female,Manhattan,2002,7277,4652,63.9%,3265,44.9%,70.2%,990,13.6%,21.3%,2275,31.3%,48.9%,1394,19.2%,30%,1645,22.6%,806,11.1%
Female,Manhattan,2003,7465,4619,61.9%,3318,44.4%,71.8%,1507,20.2%,32.6%,1811,24.3%,39.2%,1301,17.4%,28.2%,1958,26.2%,761,10.2%
Female,Manhattan,2004,8070,5178,64.2%,3743,46.4%,72.3%,1601,19.8%,30.9%,2142,26.5%,41.4%,1435,17.8%,27.7%,2001,24.8%,803,10%
Female,Manhattan,2005,8566,5784,67.5%,4525,52.8%,78.2%,1546,18%,26.7%,2979,34.8%,51.5%,1259,14.7%,21.8%,1819,21.2%,722,8.4%
Female,Manhattan,2006,8907,6214,69.8%,5205,58.4%,83.8%,1593,17.9%,25.6%,3612,40.6%,58.1%,1009,11.3%,16.2%,1708,19.2%,753,8.5%
Female,Manhattan,Aug 2006,8907,6479,72.7%,5328,59.8%,82.2%,1596,17.9%,24.6%,3732,41.9%,57.6%,1151,12.9%,17.8%,1449,16.3%,747,8.4%
Female,Queens,2001,8327,5089,61.1%,3600,43.2%,70.7%,1566,18.8%,30.8%,2034,24.4%,40%,1496,18%,29.4%,1991,23.9%,1064,12.8%
Female,Queens,2002,8976,5511,61.4%,4032,44.9%,73.2%,1695,18.9%,30.8%,2337,26%,42.4%,1484,16.5%,26.9%,2091,23.3%,1124,12.5%
Female,Queens,2003,8992,5779,64.3%,4350,48.4%,75.3%,1877,20.9%,32.5%,2473,27.5%,42.8%,1429,15.9%,24.7%,2007,22.3%,1051,11.7%
Female,Queens,2004,9027,5883,65.2%,4565,50.6%,77.6%,1959,21.7%,33.3%,2606,28.9%,44.3%,1318,14.6%,22.4%,2053,22.7%,989,11%
Female,Queens,2005,9252,6338,68.5%,4937,53.4%,77.9%,2000,21.6%,31.6%,2937,31.7%,46.3%,1401,15.1%,22.1%,1682,18.2%,949,10.3%
Female,Queens,2006,9356,6578,70.3%,5411,57.8%,82.3%,2065,22.1%,31.4%,3346,35.8%,50.9%,1167,12.5%,17.7%,1718,18.4%,878,9.4%
Female,Queens,Aug 2006,9356,6956,74.3%,5588,59.7%,80.3%,2084,22.3%,30%,3504,37.5%,50.4%,1368,14.6%,19.7%,1343,14.4%,875,9.4%
Female,Staten Island,2001,1805,1307,72.4%,964,53.4%,73.8%,453,25.1%,34.7%,511,28.3%,39.1%,344,19.1%,26.3%,304,16.8%,149,8.3%
Female,Staten Island,2002,2023,1426,70.5%,1092,54%,76.6%,461,22.8%,32.3%,631,31.2%,44.2%,335,16.6%,23.5%,341,16.9%,186,9.2%
Female,Staten Island,2003,2115,1515,71.6%,1164,55%,76.8%,479,22.6%,31.6%,685,32.4%,45.2%,351,16.6%,23.2%,389,18.4%,162,7.7%
Female,Staten Island,2004,2050,1478,72.1%,1185,57.8%,80.2%,568,27.7%,38.4%,617,30.1%,41.7%,293,14.3%,19.8%,363,17.7%,156,7.6%
Female,Staten Island,2005,2216,1633,73.7%,1303,58.8%,79.8%,569,25.7%,34.8%,734,33.1%,44.9%,330,14.9%,20.2%,311,14%,158,7.1%
Female,Staten Island,2006,2190,1665,76%,1389,63.4%,83.4%,619,28.3%,37.2%,770,35.2%,46.2%,276,12.6%,16.6%,289,13.2%,179,8.2%
Female,Staten Island,Aug 2006,2190,1698,77.5%,1398,63.8%,82.3%,621,28.4%,36.6%,777,35.5%,45.8%,300,13.7%,17.7%,257,11.7%,178,8.1%
Male,Bronx,2001,5921,2202,37.2%,1235,20.9%,56.1%,479,8.1%,21.8%,756,12.8%,34.3%,966,16.3%,43.9%,1965,33.2%,1386,23.4%
Male,Bronx,2002,6197,2407,38.8%,1466,23.7%,60.9%,518,8.4%,21.5%,948,15.3%,39.4%,944,15.2%,39.2%,2215,35.7%,1260,20.3%
Male,Bronx,2003,6944,2891,41.6%,1780,25.6%,61.6%,606,8.7%,21%,1174,16.9%,40.6%,1111,16%,38.4%,2289,33%,1457,21%
Male,Bronx,2004,7279,3357,46.1%,2073,28.5%,61.8%,664,9.1%,19.8%,1409,19.4%,42%,1284,17.6%,38.2%,2316,31.8%,1323,18.2%
Male,Bronx,2005,7887,3797,48.1%,2608,33.1%,68.7%,735,9.3%,19.4%,1873,23.7%,49.3%,1189,15.1%,31.3%,2291,29%,1268,16.1%
Male,Bronx,2006,8074,4069,50.4%,2993,37.1%,73.6%,785,9.7%,19.3%,2208,27.3%,54.3%,1076,13.3%,26.4%,2141,26.5%,1332,16.5%
Male,Bronx,Aug 2006,8074,4423,54.8%,3130,38.8%,70.8%,791,9.8%,17.9%,2339,29%,52.9%,1293,16%,29.2%,1796,22.2%,1323,16.4%
Male,Brooklyn,2001,10112,4220,41.7%,2722,26.9%,64.5%,1261,12.5%,29.9%,1461,14.4%,34.6%,1505,14.9%,35.7%,3445,34.1%,2101,20.8%
Male,Brooklyn,2002,10555,4614,43.7%,3189,30.2%,69.1%,1331,12.6%,28.8%,1858,17.6%,40.3%,1431,13.6%,31%,3541,33.5%,1981,18.8%
Male,Brooklyn,2003,10853,4917,45.3%,3409,31.4%,69.3%,1412,13%,28.7%,1997,18.4%,40.6%,1508,13.9%,30.7%,3763,34.7%,1881,17.3%
Male,Brooklyn,2004,11435,5493,48%,3967,34.7%,72.2%,1697,14.8%,30.9%,2270,19.9%,41.3%,1526,13.3%,27.8%,3756,32.8%,1796,15.7%
Male,Brooklyn,2005,11389,5736,50.4%,4339,38.1%,75.6%,1679,14.7%,29.3%,2660,23.4%,46.4%,1397,12.3%,24.4%,3641,32%,1546,13.6%
Male,Brooklyn,2006,11387,6006,52.7%,4822,42.3%,80.3%,1669,14.7%,27.8%,3153,27.7%,52.5%,1184,10.4%,19.7%,3317,29.1%,1568,13.8%
Male,Brooklyn,Aug 2006,11387,6559,57.6%,5120,45%,78.1%,1699,14.9%,25.9%,3421,30%,52.2%,1439,12.6%,21.9%,2771,24.3%,1561,13.7%
Male,Manhattan,2001,5950,3046,51.2%,1968,33.1%,64.6%,811,13.6%,26.6%,1157,19.4%,38%,1079,18.1%,35.4%,1543,25.9%,1131,19%
Male,Manhattan,2002,6186,3094,50%,2232,36.1%,72.1%,882,14.3%,28.5%,1350,21.8%,43.6%,865,14%,28%,1916,31%,937,15.1%
Male,Manhattan,2003,6414,2994,46.7%,2181,34%,72.8%,1020,15.9%,34.1%,1161,18.1%,38.8%,813,12.7%,27.2%,2282,35.6%,968,15.1%
Male,Manhattan,2004,7057,3602,51%,2706,38.3%,75.1%,1210,17.1%,33.6%,1496,21.2%,41.5%,896,12.7%,24.9%,2242,31.8%,1039,14.7%
Male,Manhattan,2005,7277,4032,55.4%,3098,42.6%,76.8%,1127,15.5%,28%,1971,27.1%,48.9%,933,12.8%,23.1%,2055,28.2%,875,12%
Male,Manhattan,2006,7509,4197,55.9%,3510,46.7%,83.6%,1188,15.8%,28.3%,2322,30.9%,55.3%,687,9.1%,16.4%,2011,26.8%,931,12.4%
Male,Manhattan,Aug 2006,7509,4468,59.5%,3665,48.8%,82%,1195,15.9%,26.7%,2470,32.9%,55.3%,803,10.7%,18%,1745,23.2%,927,12.3%
Male,Queens,2001,8684,4091,47.1%,2852,32.8%,69.7%,1128,13%,27.6%,1724,19.9%,42.1%,1242,14.3%,30.4%,2688,31%,1632,18.8%
Male,Queens,2002,9286,4358,46.9%,3218,34.7%,73.8%,1142,12.3%,26.2%,2076,22.4%,47.6%,1140,12.3%,26.2%,2870,30.9%,1692,18.2%
Male,Queens,2003,9423,4676,49.6%,3567,37.9%,76.3%,1518,16.1%,32.5%,2049,21.7%,43.8%,1109,11.8%,23.7%,2862,30.4%,1667,17.7%
Male,Queens,2004,9698,5039,52%,3885,40.1%,77.1%,1645,17%,32.6%,2240,23.1%,44.5%,1154,11.9%,22.9%,2948,30.4%,1516,15.6%
Male,Queens,2005,10259,5525,53.9%,4353,42.4%,78.8%,1618,15.8%,29.3%,2735,26.7%,49.5%,1172,11.4%,21.2%,2753,26.8%,1486,14.5%
Male,Queens,2006,10202,5887,57.7%,4874,47.8%,82.8%,1572,15.4%,26.7%,3302,32.4%,56.1%,1013,9.9%,17.2%,2554,25%,1378,13.5%
Male,Queens,Aug 2006,10202,6422,62.9%,5164,50.6%,80.4%,1597,15.7%,24.9%,3567,35%,55.5%,1258,12.3%,19.6%,2020,19.8%,1377,13.5%
Male,Staten Island,2001,2067,1258,60.9%,937,45.3%,74.5%,423,20.5%,33.6%,514,24.9%,40.9%,321,15.5%,25.5%,482,23.3%,268,13%
Male,Staten Island,2002,2111,1295,61.3%,948,44.9%,73.2%,400,18.9%,30.9%,548,26%,42.3%,348,16.5%,26.9%,503,23.8%,240,11.4%
Male,Staten Island,2003,2103,1297,61.7%,1005,47.8%,77.5%,404,19.2%,31.1%,601,28.6%,46.3%,292,13.9%,22.5%,530,25.2%,212,10.1%
Male,Staten Island,2004,2092,1310,62.6%,1035,49.5%,79%,461,22%,35.2%,574,27.4%,43.8%,275,13.1%,21%,481,23%,225,10.8%
Male,Staten Island,2005,2244,1465,65.3%,1164,51.9%,79.5%,490,21.8%,33.4%,674,30%,46%,301,13.4%,20.5%,447,19.9%,204,9.1%
Male,Staten Island,2006,2413,1681,69.7%,1429,59.2%,85%,573,23.7%,34.1%,856,35.5%,50.9%,252,10.4%,15%,394,16.3%,235,9.7%
Male,Staten Island,Aug 2006,2413,1725,71.5%,1458,60.4%,84.5%,573,23.7%,33.2%,885,36.7%,51.3%,267,11.1%,15.5%,350,14.5%,235,9.7%
