Publication,Category,Format,Date,Category 2,Description,Category 3,URL
City Planning Commission Report (C 060104 ZMM),City Planning,West 60th Street - C 060104 ZMM,10-Jan-07,Housing and Buildings,City Planning Commission Report (C 060104 ZMM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/060104.pdf
City Planning Commission Report (C 060105 ZSM),City Planning,West 60th Street - C 060105 ZSM,10-Jan-07,Housing and Buildings,City Planning Commission Report (C 060105 ZSM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/060105.pdf
City Planning Commission Report (C 060106 ZSM),City Planning,West 60th Street - C 060106 ZSM,10-Jan-07,Housing and Buildings,City Planning Commission Report (C 060106 ZSM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/060106.pdf
City Planning Commission Report (N 060103 ZRY),City Planning,West 60th Street - N 060103 ZRY,10-Jan-07,Housing and Buildings,City Planning Commission Report (N 060103 ZRY),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/060103.pdf
City Planning Commission Report (C 060530 ZSM),City Planning,American Express Building/157 Hudson Street -C 060530 ZSM,24-Jan-07,Housing and Buildings,City Planning Commission Report (C 060530 ZSM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/060530.pdf
City Planning Commission Report (C 050493 ZSQ),City Planning,Court Square Parking Garage-C 050493 ZSQ,24-Jan-07,Housing and Buildings,City Planning Commission Report (C 050493 ZSQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/050493.pdf
City Planning Commission Report (C 070119 ZMQ),City Planning,Queensboro Hill Rezoning-C 070119 ZMQ,24-Jan-07,Housing and Buildings,City Planning Commission Report (C 070119 ZMQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070119.pdf
Audit Report on the Financial and Operating Practices of the Fifth Avenue Business Improvement District,Comptroller,"Audit Report on the Financial and Operating Practices of the Fifth Avenue Business Improvement District

MH06-128A
January 29, 2007",29-Jan-07,Finance and Budget,Audit Report on the Financial and Operating Practices of the Fifth Avenue Business Improvement District,Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES/MH06_128A.pdf
AUDIT REPORT ON THE DEVELOPMENT AND IMPLEMENTATION OF THE S-ELECT PROJECT BY THE NEW YORK CITY BOARD OF ELECTIONS,Comptroller,"AUDIT REPORT ON THE DEVELOPMENT AND IMPLEMENTATION OF THE S-ELECT PROJECT BY THE NEW YORK CITY BOARD OF ELECTIONS

7A06-111

January 26, 2007 ",26-Jan-07,Finance and Budget,AUDIT REPORT ON THE DEVELOPMENT AND IMPLEMENTATION OF THE S-ELECT PROJECT BY THE NEW YORK CITY BOARD OF ELECTIONS,Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES/7A06_111.pdf
Audit Report on the Financial Practices and Procedures of the Pomonok Neighborhood Center,Comptroller,"Audit Report on the Financial Practices and Procedures of the Pomonok Neighborhood Center
July 1, 2003 - June 30, 2004

FL05-129A
January 25, 2007",25-Jan-07,Finance and Budget,Audit Report on the Financial Practices and Procedures of the Pomonok Neighborhood Center,Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES/FL05_129A.pdf
Audit Report on the New York Yankees Rental Credits for the First Quarter of 2006,Comptroller,"Audit Report on the New York Yankees Rental Credits for the First Quarter of 2006
January 1– March 31, 2006

FR07-071A
January 10, 200",10-Jan-07,Finance and Budget,Audit Report on the New York Yankees Rental Credits for the First Quarter of 2006,Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES/FR07_071A.pdf
"View The State of the City’s Economy and Finances, 2006 ",Comptroller,"View The State of the City’s Economy and Finances, 2006 ",14-Dec-06,Finance and Budget,"View The State of the City’s Economy and Finances, 2006 ",Budget Report,http://www.comptroller.nyc.gov/bureaus/bud/07reports/dec06_state_of_city_finanances2006.pdf
THOMPSON: ECONOMIC GROWTH SLOWED DURING SECOND HALF OF 2006; NEW YEAR PROMISES STEADY GAINS,Comptroller,THOMPSON: ECONOMIC GROWTH SLOWED DURING SECOND HALF OF 2006; NEW YEAR PROMISES STEADY GAINS,10-Jan-07,Finance and Budget,THOMPSON: ECONOMIC GROWTH SLOWED DURING SECOND HALF OF 2006; NEW YEAR PROMISES STEADY GAINS,Budget Report,http://www.comptroller.nyc.gov/bureaus/bud/econnotes-pdf/volXV-1-Jan07.pdf
"January 2007 Financial Plan - Departmental Estimates, Fiscal Year 2008",Management and Budget,"January 2007 Financial Plan - Departmental Estimates, Fiscal Year 2008",25-Jan-07,Finance and Budget,"January 2007 Financial Plan - Departmental Estimates, Fiscal Year 2008",Budget Report,http://nyc.gov/html/omb/pdf/de1_07.pdf
Report,DOI - Investigation,"DOI FINDS 14 FDNY MEMBERS SUBMITTED BOGUS DEGREES 
TRYING TO EARN PROMOTIONS OR APPOINTMENTS
—Three officers were promoted based on the phony degrees—",31-Jan-07,Labor Relations,Diploma Report,Report,http://www.nyc.gov/html/doi/pdf/report_fdnydiploma_13107final.pdf
Exhibits,DOI - Investigation,"DOI FINDS 14 FDNY MEMBERS SUBMITTED BOGUS DEGREES 
TRYING TO EARN PROMOTIONS OR APPOINTMENTS
—Three officers were promoted based on the phony degrees—",31-Jan-07,Labor Relations,Diploma Report,Report,http://www.nyc.gov/html/doi/pdf/ex_diplomareport_012007.pdf
Release,DOI - Investigation,"DOI FINDS 14 FDNY MEMBERS SUBMITTED BOGUS DEGREES 
TRYING TO EARN PROMOTIONS OR APPOINTMENTS
—Three officers were promoted based on the phony degrees—",31-Jan-07,Labor Relations,Diploma Report,Report,http://www.nyc.gov/html/doi/pdf/pr05fdnydiploma_13107.pdf
City Planning Commission Report (N 070249 HKK),City Planning,James W. and Lucy S. Elwell House-N 070249 HKK,07-Feb-07,Housing and Buildings,City Planning Commission Report (N 070249 HKK),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070249.pdf
City Planning Commission Report (N 070248 HKR),City Planning,New Brighton Hall-N 070248 HKR,07-Feb-07,Housing and Buildings,City Planning Commission Report (N 070248 HKR),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070248.pdf
City Planning Commission Report (N 070214 BDK),City Planning,Court Livingston Schermerhorn Business Improvement District-N 070214 BDK	   ,07-Feb-07,Housing and Buildings,City Planning Commission Report (N 070214 BDK),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070214.pdf
City Planning Commission Report (C 070034 ZSK),City Planning,Hatzolah Garage-C 070034 ZSK,07-Feb-07,Housing and Buildings,City Planning Commission Report (C 070034 ZSK),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070034.pdf
City Planning Commission Report (C 060392 ZSM),City Planning,El Dorado Parking Garage-C 060392 ZSM,07-Feb-07,Housing and Buildings,City Planning Commission Report (C 060392 ZSM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/060392.pdf
City Planning Commission Report (C 050414 ZMM),City Planning,West 145th Street-C 050414 ZMM,07-Feb-07,Housing and Buildings,City Planning Commission Report (C 050414 ZMM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/050414.pdf
City Planning Commission Report (C 070079 ZMQ),City Planning,Jamaica Courthouse - C 070079 ZMQ,07-Feb-07,Housing and Buildings,City Planning Commission Report (C 070079 ZMQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070079.pdf
City Planning Commission Report (C 070080 PPQ),City Planning,Jamaica Courthouse - C 070080 PPQ,07-Feb-07,Housing and Buildings,City Planning Commission Report (C 070080 PPQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070080.pdf
City Planning Commission Report (C 070081 ZSQ),City Planning,Jamaica Courthouse - C 070081 ZSQ,07-Feb-07,Housing and Buildings,City Planning Commission Report (C 070081 ZSQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070081.pdf
City Planning Commission Report (C 070082 ZSQ),City Planning,Jamaica Courthouse - C 070082 ZSQ,07-Feb-07,Housing and Buildings,City Planning Commission Report (C 070082 ZSQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070082.pdf
City Planning Commission Report - C030461ZMX,City Planning,Crotona Parkway - C030461ZMX,19-Dec-05,Housing and Buildings,City Planning Commission Report - C030461ZMX,Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/030461.pdf
Preliminary Mayor's Management Report February 2007,Operations,Preliminary Management Report February 2007,14-Feb-07,Finance and Budget,Preliminary Mayor's Management Report February 2007,Annual Report,http://www.nyc.gov/html/ops/downloads/pdf/2007_mmr/0207_mmr.pdf
"Quarterly Cash Report, October -December-2006,Second Quarter of FY 2007",Comptroller,"Quarterly Cash Report, October -December-2006,Second Quarter of FY 2007",22-Feb-07,Finance and Budget,"Quarterly Cash Report, October -December-2006,Second Quarter of FY 2007",Budget Report,http://comptroller.nyc.gov/bureaus/bud/cashreports06-07/feb07qrt.pdf
2005 Annual Report,Sanitation,2005 DSNY Annual Report,20-Oct-06,Sanitation,2005 Annual Report,Annual Report,http://nyc.gov/html/dsny/downloads/pdf/ar2005.pdf
2004 Annual Report,Sanitation,2004 DSNY Annual Report ,06-Jun-05,Sanitation,2004 Annual Report,Annual Report,http://nyc.gov/html/dsny/downloads/pdf/ar2004.pdf
2002-2003 Annual Report,Sanitation,2002-2003 Annual Report,06-Jul-04,Sanitation,2002-2003 Annual Report,Annual Report,http://nyc.gov/html/dsny/downloads/pdf/ar2002.pdf
2001 Annual Report,Sanitation,2001 DSNY Annual Report,27-Dec-02,Sanitation,2001 Annual Report,Annual Report,http://nyc.gov/html/dsny/downloads/pdf/ar2001.pdf
2000 Annual Report,Sanitation,2000 DSNY Annual Report,03-Jul-01,Sanitation,2000 Annual Report,Annual Report,http://nyc.gov/html/dsny/downloads/pdf/ar2000.pdf
1999 Annual Report,Sanitation,1999 DSNY Annual Report,14-Mar-01,Sanitation,1999 Annual Report,Annual Report,http://nyc.gov/html/dsny/downloads/pdf/ar1999.pdf
DSNY Newsletter January 2007,Sanitation,DSNY Newsletter January 2007,21-Feb-07,Sanitation,DSNY Newsletter January 2007,Serial Publication,http://nyc.gov/html/dsny/downloads/pdf/newslttr/news0107.pdf
DSNY Newsletter Summer 2006,Sanitation,DSNY Newsletter Summer 2006,20-Jul-06,Sanitation,DSNY Newsletter Summer 2006,Serial Publication,http://nyc.gov/html/dsny/downloads/pdf/newslttr/news0402.pdf
DSNY Newsletter March 2006,Sanitation,DSNY Newsletter March 2006,24-Apr-06,Sanitation,DSNY Newsletter March 2006,Serial Publication,http://nyc.gov/html/dsny/downloads/pdf/newslttr/news0401.pdf
DSNY Newsletter December 2005,Sanitation,DSNY Newsletter December 2005,09-Dec-05,Sanitation,DSNY Newsletter December 2005,Serial Publication,http://nyc.gov/html/dsny/downloads/pdf/newslttr/news0303.pdf
DSNY Newsletter October 2005,Sanitation,DSNY Newsletter October 2005,18-Oct-05,Sanitation,DSNY Newsletter October 2005,Serial Publication,http://nyc.gov/html/dsny/downloads/pdf/newslttr/news0302.pdf
DSNY Newsletter July 2005,Sanitation,DSNY Newsletter July 2005,28-Jul-05,Sanitation,DSNY Newsletter July 2005,Serial Publication,http://nyc.gov/html/dsny/downloads/pdf/newslttr/news0301.pdf
DSNY Newsletter March 2005,Sanitation,DSNY Newsletter March 2005,29-Mar-05,Sanitation,DSNY Newsletter March 2005,Serial Publication,http://nyc.gov/html/dsny/downloads/pdf/newslttr/news0206.pdf
DSNY Newsletter December 2004,Sanitation,DSNY Newsletter December 2004,02-Dec-04,Sanitation,DSNY Newsletter December 2004,Serial Publication,http://nyc.gov/html/dsny/downloads/pdf/newslttr/news0205.pdf
DSNY Newsletter September 2004,Sanitation,DSNY Newsletter September 2004,29-Sep-04,Sanitation,DSNY Newsletter September 2004,Serial Publication,http://nyc.gov/html/dsny/downloads/pdf/newslttr/news0204.pdf
DSNY Newsletter June 2004,Sanitation,DSNY Newsletter June 2004,17-Jun-04,Sanitation,DSNY Newsletter June 2004,Serial Publication,http://nyc.gov/html/dsny/downloads/pdf/newslttr/news0203.pdf
DSNY Newsletter February 2004,Sanitation,DSNY Newsletter February 2004,01-Mar-04,Sanitation,DSNY Newsletter February 2004,Serial Publication,http://nyc.gov/html/dsny/downloads/pdf/newslttr/news0202.pdf
DSNY Newsletter October 2003,Sanitation,DSNY Newsletter October 2003,14-Nov-03,Sanitation,DSNY Newsletter October 2003,Annual Report,http://nyc.gov/html/dsny/downloads/pdf/newslttr/news0201.pdf
DSNY Newsletter May 2003,Sanitation,DSNY Newsletter May 2003,19-May-03,Sanitation,DSNY Newsletter May 2003,Serial Publication,http://nyc.gov/html/dsny/downloads/pdf/newslttr/news0104.pdf
DSNY Newsletter February 2003,Sanitation,DSNY Newsletter February 2003,24-Feb-03,Sanitation,DSNY Newsletter February 2003,Serial Publication,http://nyc.gov/html/dsny/downloads/pdf/newslttr/news0103.pdf
DSNY Newsletter October 2002,Sanitation,DSNY Newsletter October 2002,25-Oct-02,Sanitation,DSNY Newsletter October 2002,Annual Report,http://nyc.gov/html/dsny/downloads/pdf/newslttr/news0102.pdf
DSNY Newsletter June 2002,Sanitation,DSNY Newsletter June 2002,24-Jun-02,Sanitation,DSNY Newsletter June 2002,Serial Publication,http://nyc.gov/html/dsny/downloads/pdf/newslttr/news0101.pdf
DSNY Digest of Codes,Sanitation,DSNY Digest of Codes,29-Sep-04,Sanitation,DSNY Digest of Codes,Guide - Manual,http://nyc.gov/html/dsny/downloads/pdf/digest.pdf
DSNY Commercial Recycling Regulations,Sanitation,DSNY Commercial Recycling Regulations,23-Oct-03,Sanitation,DSNY Commercial Recycling Regulations,Guide - Manual,http://www.nyc.gov/html/nycwasteless/downloads/pdf/commercial2.pdf
DSNY Recycling Rule Amendments,Sanitation,DSNY Recycling Rule Amendments,17-May-04,Sanitation,DSNY Recycling Rule Amendments,Guide - Manual,http://www.nyc.gov/html/dsny/downloads/pdf/pubnrpts/recy-fr404.pdf
"Notice of Determination (Positive Declaration) and Notice of Scoping Meeting: Consolidated Sanitation Garage for Manhattan Districts 1, 2 and 5",Sanitation,"Consolidated Sanitation Garage for Manhattan Districts 1, 2 & 5",27-Dec-06,Sanitation,"Consolidated Sanitation Garage for Manhattan Districts 1, 2 & 5",Legislative Document,http://nyc.gov/html/dsny/downloads/pdf/public/MN_125.pdf
"Sanitation Garage for Manhattan Districts 1/2/5 (West St/Spring St/Washington St) Comment Period for DEIS Draft Scope Extended to February 26, 2007",Sanitation,"Consolidated Sanitation Garage for Manhattan Districts 1, 2 & 5",27-Dec-06,Sanitation,"Consolidated Sanitation Garage for Manhattan Districts 1, 2 & 5",Legislative Document,http://nyc.gov/html/dsny/downloads/pdf/public/MN_125new.pdf
Scoping Document,Sanitation,"Consolidated Sanitation Garage for Manhattan Districts 1, 2 & 5",27-Dec-06,Sanitation,"Consolidated Sanitation Garage for Manhattan Districts 1, 2 & 5",Legislative Document,http://nyc.gov/html/dsny/downloads/pdf/guides/MJLMN125.pdf
City Planning Commission Report (C 060367 ZSM),City Planning,River Terrace Parking Garage - C 060367 ZSM,28-Feb-07,Housing and Buildings,City Planning Commission Report (C 060367 ZSM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/060367.pdf
City Planning Commission Report (C 060018 ZMK),City Planning,Carroll Street - C 060018 ZMK,28-Feb-07,Housing and Buildings,City Planning Commission Report (C 060018 ZMK),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/060018.pdf
City Planning Commission Report (C 010284 MMX),City Planning,Horace Mann School - C 010284 MMX,28-Feb-07,Housing and Buildings,City Planning Commission Report (C 010284 MMX),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/010284.pdf
City Planning Commission Report (C 010283 MMX),City Planning,Horace Mann School - C 010283 MMX,28-Feb-07,Housing and Buildings,City Planning Commission Report (C 010283 MMX),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/010283.pdf
City Planning Commission Report (C 070151 HAM),City Planning,Friendly Hands Apartments (C 070151 HAM),07-Feb-07,Housing and Buildings,City Planning Commission Report (C 070151 HAM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070151.pdf
Closure of Central Park and Prospect Park Park Drives,Transportation,The Department of Transportation released a report on the pilot project to further limit the number of hours that motor vehicles can utilize the park drives of both Central Park and Prospect Park. The goal of this project was to minimize potential conflic,28-Feb-07,Transportation,Closure of Central Park and Prospect Park Park Drives,Report,http://www.nyc.gov/html/dot/downloads/pdf/centralprospect.pdf
The Comptroller’s Comments on the Preliminary Budget for FY08 and the Financial Plan for FYs 2007-2011,Comptroller,The Comptroller’s Comments on the Preliminary Budget for FY08 and the Financial Plan for FYs 2007-2011,07-Mar-07,Finance and Budget,The Comptroller’s Comments on the Preliminary Budget for FY08 and the Financial Plan for FYs 2007-2011,Budget Report,http://comptroller.nyc.gov/bureaus/bud/07reports/mar07_comments-on-preliminary-budget2007-2011.pdf
Annual Audit Report Fiscal Year 2006,Comptroller,Annual Audit Report Fiscal Year 2006,07-Mar-07,Finance and Budget,Annual Audit Report Fiscal Year 2006,Annual Report,http://comptroller.nyc.gov/bureaus/audit/PDF_FILES/Mar07_AnnualAuditReport2006_sec.pdf
Kick-Off to a Rip-Off: Loose Laws Lead to Inflated Prices for Rent-to-Own Consumers ,City Council,"New Yorkers who buy televisions from rent-to-own stores could end up paying 300% more than they need to because of a major loophole in State law. This investigation, which compiled prices of three common products at New York's 38 Rent-A-Centers and compar",01-Jan-07,Business and Consumers,Kick-Off to a Rip-Off: Loose Laws Lead to Inflated Prices for Rent-to-Own Consumers ,Staff Report,http://www.nyccouncil.info/pdf_files/reports/rent-to-own.pdf
Between Policy and Reality,Public Advocate,Between Policy and Reality,15-Feb-07,Education,Between Policy and Reality,Report,http://www.pubadvocate.nyc.gov/policy/documents/SchoolSafetyReportFebruary2007_000.pdf
Beyond the Budget Cuts,Public Advocate,Beyond the Budget Cuts,28-Feb-07,Education,Beyond the Budget Cuts,Report,http://www.pubadvocate.nyc.gov/policy/documents/BeyondtheBusCutsFebruary2007_000.pdf
No Shot at Prevention,Public Advocate,No Shot at Prevention,07-Mar-07,Health,No Shot at Prevention,Report,http://www.pubadvocate.nyc.gov/policy/documents/HPVReportMarch2007.pdf
Planning for Failure,Public Advocate,Planning for Failure: How the Department of Education's Capital Plan Undermines its Own Goals for Increasing Graduation Rates,11-Mar-07,Education,Planning for Failure,Report,http://www.pubadvocate.nyc.gov/policy/documents/PlanningforFailureMarch2007.pdf
Earned Income Tax Credit,Public Advocate,Earned Income Tax Credit,11-Mar-07,Business and Consumers,Earned Income Tax Credit,Annual Report,http://www.pubadvocate.nyc.gov/policy/documents/EITCReport.pdf
City Planning Commission  Report (C 070132 PPM),City Planning,"269 Henry Street, Former Firehouse -C 070132 PPM",14-Mar-07,Housing and Buildings,City Planning Commission  Report (C 070132 PPM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070132.pdf
City Planning Commission  Report (C 060493 ZSM),City Planning,27 Wooster Street -  C 060493 ZSM	,14-Mar-07,Housing and Buildings,City Planning Commission  Report (C 060493 ZSM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/060493.pdf
City Planning Commission Report (C 060492 ZSM),City Planning,27 Wooster Street - C 060492 ZSM	,14-Mar-07,Housing and Buildings,City Planning Commission Report (C 060492 ZSM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/060492.pdf
Proposed Amendments to Rules governing Department Collection of Yard Waste Material from Residential Buildings,Sanitation,Public Hearing and Opportunity to Comment on Proposed Amendments to Rules Governing Department Collection of Yard Waste Material from Residential Buildings,02-Mar-07,Sanitation,Proposed Amendments to Rules governing Department Collection of Yard Waste Material from Residential Buildings,Legislative Document,http://nyc.gov/html/dsny/downloads/pdf/public/yardwastepublic.pdf
"Scoping document for the consolidated Sanitation garage for Manhattan District 1,2 & 5",Sanitation,"Scoping document for the consolidated Sanitation garage for Manhattan District 1,2 & 5",26-Dec-06,Sanitation,"Scoping document for the consolidated Sanitation garage for Manhattan District 1,2 & 5",Legislative Document,http://nyc.gov/html/dsny/downloads/pdf/guides/MJLMN125.pdf
Request for Proposals to develop and operate the West 59th Street Marine Transfer Station as a commercial waste export facility ,Sanitation,Request for Proposals to develop and operate the West 59th Street Marine Transfer Station as a commercial waste export facility ,05-Jan-07,Sanitation,Request for Proposals to develop and operate the West 59th Street Marine Transfer Station as a commercial waste export facility ,Legislative Document,http://nyc.gov/html/dsny/downloads/pdf/guides/request/rfp59/rfp5901-2007.pdf
Request for Expressions of Interest to Provide wast disposal capacity,Sanitation,Request for Expressions of Interest to Provide Waste Disposal Capacity,13-Feb-04,Sanitation,Request for Expressions of Interest to Provide Waste Disposal Capacity,Serial Publication,http://nyc.gov/html/dsny/downloads/pdf/guides/request/rfei-wdc/rfei.pdf
Request for Expressions of Interest Notice,Sanitation,Request for Expressions of Interest to Provide Waste Disposal Capacity,13-Feb-04,Sanitation,Request for Expressions of Interest to Provide Waste Disposal Capacity,Serial Publication,http://nyc.gov/html/dsny/downloads/pdf/guides/request/rfei-wdc/rfeinotice.pdf
Request for Information: New and Emerging Solid Waste Management and Recycling Technologies,Sanitation,Request for Information: New and Emerging Solid Waste Management and Recycling Technologies and Approaches,20-Apr-04,Sanitation,Request for Information: New and Emerging Solid Waste Management and Recycling Technologies,Serial Publication,http://nyc.gov/html/dsny/downloads/pdf/guides/request/newt-rfi.pdf
"Request for Proposals to Accept, Process and Market NYC Recyclables",Sanitation,"Request for Proposals to Accept, Process and Market NYC Recyclables",02-May-03,Sanitation,"Request for Proposals to Accept, Process and Market NYC Recyclables",Legislative Document,http://nyc.gov/html/dsny/downloads/pdf/guides/request/rfprecy.pdf
Addendum 1,Sanitation,"Request for Proposals to Accept, Process and Market NYC Recyclables",02-May-03,Sanitation,"Request for Proposals to Accept, Process and Market NYC Recyclables",Legislative Document,http://nyc.gov/html/dsny/downloads/pdf/guides/request/rfprecyadd1.pdf
Addendum 2,Sanitation,"Request for Proposals to Accept, Process and Market NYC Recyclables",02-May-03,Sanitation,"Request for Proposals to Accept, Process and Market NYC Recyclables",Legislative Document,http://nyc.gov/html/dsny/downloads/pdf/guides/request/rfprecyadd2.pdf
Addendum 3,Sanitation,"Request for Proposals to Accept, Process and Market NYC Recyclables",02-May-03,Sanitation,"Request for Proposals to Accept, Process and Market NYC Recyclables",Legislative Document,http://nyc.gov/html/dsny/downloads/pdf/guides/request/rfprecyadd3.pdf
Addendum 4,Sanitation,"Request for Proposals to Accept, Process and Market NYC Recyclables",02-May-03,Sanitation,"Request for Proposals to Accept, Process and Market NYC Recyclables",Legislative Document,http://nyc.gov/html/dsny/downloads/pdf/guides/request/rfprecyadd4.pdf
Court Street Signal Modification Analysis,Transportation,"In response to community concerns about traffic speeds and pedestrian safety on Court Street in Brooklyn, the Department of Transportation modified traffic signals, which resulted in reduced vehicle speed and more opportunities for pedestrians to cross Co",30-Jun-05,Transportation,Court Street Signal Modification Analysis,Staff Report,http://www.nyc.gov/html/dot/downloads/pdf/courtst.pdf
Analysis of the Mayor's Preliminary Budget for 2008 and Financial Plan through 2011,Independent Budget,"Mandated Report, 160 pages (pdf Format)",23-Mar-07,Finance and Budget,Analysis of the Mayor's Preliminary Budget for 2008 and Financial Plan through 2011,Budget Report,http://www.ibo.nyc.ny.us/iboreports/March2007.pdf
City's Fiscal Picture Continues to Brighten: Supplemental Tables,Independent Budget,"Mandated Report: Supplemental Tables, 4 pages (pdf Format)",04-Jan-07,Finance and Budget,City's Fiscal Picture Continues to Brighten: Supplemental Tables,Budget Report,http://www.ibo.nyc.ny.us/iboreports/IBOvOMBEconomicForecast.pdf
City Planning Commission Report (N 070328 HKM),City Planning,St. Aloysius Roman Catholic Church - N070328 HKM,28-Mar-07,Housing and Buildings,City Planning Commission Report (N 070328 HKM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070328.pdf
City Planning  Commission Report (N 070327 HKM),City Planning,\Horn & Hardart Automat Landmark - N 070327 HKM   ,28-Mar-07,Housing and Buildings,City Planning  Commission Report (N 070327 HKM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070327.pdf
City Planning Commission Report (N 070291 BDQ),City Planning,Sunnyside BID - N 070291 BDQ,28-Mar-07,Housing and Buildings,City Planning Commission Report (N 070291 BDQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070291.pdf
City Planning Commission Report (C 070273  HAK),City Planning,The Rockaway  - C 070273  HAK,28-Mar-07,Housing and Buildings,City Planning Commission Report (C 070273  HAK),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070273.pdf
City Planning Commission Report (C 070227 ZSK),City Planning,Capri Optics - C 070227 ZSK,28-Mar-07,Housing and Buildings,City Planning Commission Report (C 070227 ZSK),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070227.pdf
City Planning Commission Report (C 070215 PCQ),City Planning,Materials for the Arts - C 070215 PCQ,28-Mar-07,Housing and Buildings,City Planning Commission Report (C 070215 PCQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070215.pdf
City Planning Commission Report (C 070209 HAK),City Planning,Moffat Gardens Senior Housing - C 070209 HAK,28-Mar-07,Housing and Buildings,City Planning Commission Report (C 070209 HAK),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070209.pdf
City Planning Commission Report (C 070139 HAK),City Planning,Sea Park West Apartments - C 070139 HAK,28-Mar-07,Housing and Buildings,City Planning Commission Report (C 070139 HAK),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070139.pdf
City Planning Commission Report (C 070138 HUK ),City Planning,Sea Park West Apartments -C 070138 HUK  ,28-Mar-07,Housing and Buildings,City Planning Commission Report (C 070138 HUK ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070138.pdf
City Planning Commission Report (C 060561 PQX ),City Planning,Westchester/Tremont Day Care Center - C 060561 PQX ,28-Mar-07,Housing and Buildings,City Planning Commission Report (C 060561 PQX ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/060561.pdf
City Planning Commission Report (C060381 ZSM),City Planning,555 West 59th Street Parking Garage  - C 060381 ZSM  ,28-Mar-07,Housing and Buildings,City Planning Commission Report (C060381 ZSM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/060381.pdf
City Planning Commission Report (C 050037 ZMQ),City Planning,Junction Boulevard Rezoning -C 050037 ZMQ,28-Mar-07,Housing and Buildings,City Planning Commission Report (C 050037 ZMQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/050037.pdf
New York City Commission On Human Rights 2006 Annual Report,Human Rights,"The New York City Human Rights Law is one of the most comprehensive civil rights laws in
the nation. The Law prohibits discrimination in employment, housing and public accommodations based
on race, color, creed, age, national origin, alienage or citizensh",12-Mar-07,Human Services,New York City Commission On Human Rights 2006 Annual Report,Annual Report,http://nyc.gov/html/cchr/pdf/annual06.pdf
City Planning Commission Report (N 070329 HKM),City Planning,All Saints Church - N 070329 HKM,28-Mar-07,Housing and Buildings,City Planning Commission Report (N 070329 HKM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/070329.pdf
COIB 2006 Annual Report ,Conflicts of Interest,Outlines the Board's activities for calendar year 2006,10-Apr-07,Human Services,COIB 2006 Annual Report ,Annual Report,http://www.nyc.gov/html/conflicts/downloads/pdf2/annual_report_2006.pdf
Executive Director's Report January 2007,Civilian Complaint,January 2007 CCRB Executive Director's Report,14-Feb-07,Human Services,Executive Director's Report January 2007,Report,http://www.nyc.gov/html/ccrb/pdf/ed_2007_01.pdf
