Organization Name,Address,City,State,Zip Code,Main Phone #,Discipline,Council District,Community Board,Borough
"Lewis Howard Latimer Fund, Inc.",34-41 137th Street,Flushing,NY,11354,(718) 961-8585,Museum,Queens Council District #25,Queens Community Board #7,Queens
"Liberata Dance Theatre, Inc.","440 West 34th Street, Apt. 13G",New York,NY,10001,(212) 971-6054,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Liberian Cultural Association, Inc.",361 Van Duzer Street,New York,NY,10304,(347) 893-3393,"Multi-Discipline, Performing",Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island
"Library Action Committee of Corona-East Elmhurst, Inc.",100-01 Northern Boulevard,Corona,NY,11368,(718) 651-1100,"Multi-Discipline, Performing",Queens Council District #21,Queens Community Board #3,Queens
"Life Through Dance, Inc.","345 Riverside Drive, Apt. 5A",New York,NY,10025,(646) 250-1847,Dance,Manhattan Council District #9,Bronx Community Board #7,Manhattan
"Light & Love Productions, Inc.","8915 Parsons Boulevard, Ste. 9L",Jamaica,NY,11432,(347) 806-0344,Film/Video/Audio,Queens Council District #24,Queens Community Board #12,Queens
"Light Industry Cinema Projects, Ltd",155 Freeman Street,Brooklyn,NY,11222,(646) 420-0359,Film/Video/Audio,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn
Lighthouse International,111 East 59th Street,New York,NY,10022,(212) 821-9374,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
"Lincoln Center for the Performing Arts, Inc.",165 West 65th Street,New York,NY,10023,(212) 875-5000,"Multi-Discipline, Performing",Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Lincoln Square District Management Association, Inc.","1841 Broadway, Ste. 1112",New York,NY,10023,(212) 581-3774,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Lindsay's Theatre,"161 Sixth Avenue, 14th Floor",New York,NY,10013,(212) 691-6969,Theater,,Manhattan Community Board #2,Manhattan
Literary Arts & Film Foundation Inc.,"608 West 135th Street, Suite 5a",New York,NY,10031,(212) 283-4738,Film/Video/Audio,Manhattan Council District #7,Manhattan Community Board #9,Manhattan
Living Arts Productions,731 West 183rd Street #3-l,New York,NY,10033,(914) 961-8822,"Multi-Discipline, Performing",Manhattan Council District #7,Manhattan Community Board #12,Manhattan
"Living Image Arts, Inc.",1072 Lorimer Street,Brooklyn,NY,11222,(718) 389-2151,Theater,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn
"Living Room for Artists, Inc.",PO Box 778,New York,NY,10108,(212) 279-4040,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Living Theatre, Inc.",21 Clinton Street,New York,NY,10002,(212) 397-9307,Theater,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
"Living Traditions, Inc.","207 West 25th Street, 4th Floor",New York,NY,10001,(212) 532-8202,Folk Arts,Manhattan Council District #2,Manhattan Community Board #5,Manhattan
Local 802 Senior Musicians Association,322 West 48th Street,New York,NY,10036,(212) 245-4802 x228,Music,Manhattan Council District #4,Manhattan Community Board #3,Manhattan
"Location One, Inc.",26 Greene Street,New York,NY,10013,(212) 334-3347,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Loco-Motion Dance Theatre for Children, Inc.",112 St. Marks Place #2,Brooklyn,NY,11217,(212) 995-9027,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Lodyjensky Immigration Archive Center of Russian & Ukrainian Culture, Inc.","1679 East 3 street, Apt 601",Brooklyn,NY,11230,(718) 594-4800,"Multi-Discipline, Non-Perform",Brooklyn Council District #44,Brooklyn Community Board #12,Brooklyn
"LonGar Ebony Ensemble, Ltd.",119 West 119th Street,New York,NY,10026,(212) 749-5500 x2128655522,Music,Manhattan Council District #9,Manhattan Community Board #10,Manhattan
Long Island City Cultural Alliance,P. O. Box 1858,Long Island City,NY,11101,(917) 558-4800,,Queens Council District #26,,Queens
Long Island String Quartet,1434 155th Street,Whitestone,NY,11357,(631) 421-4635,Music,Queens Council District #19,Queens Community Board #11,Queens
"Look & Listen, Inc.",34-29 80th Street,Jackson Heights,NY,11372,(718) 622-3005,Music,Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn
"Looking Glass Productions of New York, Inc.","812 Broadway, 3rd Floor",New York,NY,10003,(212) 420-9208,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #2,Manhattan
"Looking Glass Theatre, Inc.",422 West 57th Street,New York,NY,10019,(212) 307-9467,Theater,Manhattan Council District #6,Manhattan Community Board #5,Manhattan
"Los Pleneros de la 21, Inc.",1680 Lexington Avenue,New York,NY,10029,(212) 427-5221,Folk Arts,Manhattan Council District #8,Manhattan Community Board #11,Manhattan
Lotus Fine Arts Productions Inc.,"109 West 27th Street, 8th Floor",New York,NY,10001,(212) 627-1076 x14,Folk Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Louis Armstrong House,34-56 107th Street,Corona,NY,11368,(718) 997-3920,Museum,Queens Council District #21,Queens Community Board #3,Queens
"Lower East Side Community Music Workshop, Inc.","95 Avenue B, 1st floor",New York,NY,10009,(212) 353-1843,Music,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
Lower East Side Conservancy,235 East Broadway,New York,NY,10002,(212) 233-6037,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #3,Manhattan
Lower East Side District Management Association,54 Orchard Street,New York,NY,10002,(212) 226-9010,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #3,Manhattan
Lower East Side Girls Club,56 East First Street,New York,NY,10003,(212) 982-1633 x104,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Lower East Side Performing Arts, Inc.",268 East Broadway,New York,NY,10002,(212) 388-0202,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Lower East Side Printshop, Inc.","306 West 37th Street, 6th floor",New York,NY,10018,(212) 673-5390 x14,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Lower East Side Tenement Museum,91 Orchard Street,New York,NY,10002,(212) 431-0233 x222,Museum,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
Lower Manhattan Cultural Council,"125 Maiden Lane, 2nd floor",New York,NY,10038,(212) 219-9401 x103,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Lubovitch Dance Foundation, Inc.","229 West 42nd Street, 8th Floor",New York,NY,10036,(212) 221-7909,Dance,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
"Lyric Chamber Music Society of New York, Inc.","20 West 64th Street, Apt. 27H",New York,NY,10023,(212) 496-9927,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"MA-YI Filipino Theatre Ensemble, Inc.","520 Eighth Avenue, Suite #309",New York,NY,10018,(212) 971-4862,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"MAC Creations P.O.P. Arts, Inc.",PO Box 1234,Bronx,NY,10462,(718) 512-5042,Film/Video/Audio,Bronx Council District #18,Bronx Community Board #9,Bronx
"MAPP International Productions, Inc.",140 Second Avenue,New York,NY,10003,(646) 602-9390,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"MUSE Film and Television, Inc.","1 East 53rd Street, 10th Floor",New York,NY,10022,(212) 688-8280,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Mabou Mines Development Foundation, Inc.",67 West Street,Brooklyn,NY,11222,(212) 473-0559,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
Madison Square Park Conservancy,11 Madison Avenue,New York,NY,10010,(212) 538-7150,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Mafata Dance Company, Inc.",301 Admiral Lane,Bronx,NY,10473,(718) 518-8099,Dance,Bronx Council District #18,Bronx Community Board #2,Bronx
"Magic Box Productions, Inc.","320 Central Park West, Apt. 19B",New York,NY,10025,(718) 809-7405,"Multi-Discipline, Non-Perform",Manhattan Council District #6,Manhattan Community Board #6,Manhattan
"Maimouna Keita School of African Dance, Inc.",P.O. Box 470972,Brooklyn,NY,11247,(718) 455-1406,Folk Arts,Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn
"Make Music New York, Inc.",419 Lafayette Street,New York,NY,10003,(917) 779-9709,Music,Manhattan Council District #9,Manhattan Community Board #10,Manhattan
Make the Road New York,301 Grove Street,Brooklyn,NY,11237,(718) 418-7690,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #37,Brooklyn Community Board #4,Brooklyn
"Making Books Sing, Inc.",340 East 46th Street,New York,NY,10017,(212) 573-8791 x240,Theater,Manhattan Council District #4,Manhattan Community Board #6,Manhattan
"Mama Foundation for the Arts, Inc.",149 West 126th Street,New York,NY,10027,(212) 280-1045,Music,Manhattan Council District #9,Manhattan Community Board #10,Manhattan
Man Up! Inc.,821b Van Siclen Avenue,New York,NY,11207,(718) 498-2320,Other,Brooklyn Council District #42,Brooklyn Community Board #5,Brooklyn
"Manhattan Art Program, Inc.","800 6th avenue, suite 11C",New York,NY,10010,(212) 686-2202,Visual Arts,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Manhattan Choral Ensemble,P.O. Box 2044,New York,NY,10108,(917) 586-7593,Music,Manhattan Council District #6,Manhattan Community Board #4,Manhattan
"Manhattan Class Company, Inc.","311 West 43rd Street, Ste. 206",New York,NY,10036,(212) 727-7722 x239,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Manhattan Community Access Corporation,537 West 59th Street,New York,NY,10019,(212) 757-2670 x324,Film/Video/Audio,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Manhattan Graphics Center,481 Washington Street,New York,NY,10013,(212) 219-8783,Visual Arts,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Manhattan New Music Project, Inc.",243 West 30th Street,New York,NY,10001,(212) 977-1070,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Manhattan School of Music,120 Claremont Avenue,New York,NY,10027,(917) 749-4433,Music,Manhattan Council District #7,Manhattan Community Board #9,Manhattan
"Manhattan Sprout, Inc.","893 Amsterdam Avenue, Ste. 128",New York,NY,10025,(212) 222-9575,Film/Video/Audio,Manhattan Council District #8,Manhattan Community Board #7,Manhattan
"Manhattan Theatre Club, Inc.","311 West 43rd Street, Eighth Floor",New York,NY,10036,(212) 399-3000 x4124,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Manhattan Theatre Source Incorporated,177 MacDougal Street,New York,NY,10011,(212) 260-4698,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Manna House Workshops, Inc.",338 East 106th Street,New York,NY,10029,(212) 722-8223,"Multi-Discipline, Performing",Manhattan Council District #8,Manhattan Community Board #11,Manhattan
Mano a Mano: Mexican Culture Without Borders,126 St. Felix Street,Brooklyn,NY,11217-1423,(212) 587-3070,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Marie-Christine Giordano Dance Company,"220 25th Street, Ste. 202",Brooklyn,NY,11232,(718) 369-6459,Dance,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn
"Marilyn Horne Foundation, Inc.","250 West 57th Street, Ste. 603",New York,NY,10107,(212) 582-2000,Music,Manhattan Council District #6,Manhattan Community Board #5,Manhattan
Marine Park Community Association,3221 Avenue S,Brooklyn,NY,11234,(718) 382-1657,"Multi-Discipline, Non-Perform",Brooklyn Council District #46,Brooklyn Community Board #18,Brooklyn
"Marquis Studios, Ltd.",45 Main Street,Brooklyn,NY,11201,(718) 694-9400,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
"Martha Graham Center of Contemporary Dance, Inc.",316 East 63rd Street,New York,NY,10065,(917) 553-5984,Dance,Manhattan Council District #5,Manhattan Community Board #8,Manhattan
"Martin Luther King, Jr. Concert Series, Inc.","32 Court Street, Ste. 607",Brooklyn,NY,11201,(212) 297-4888,Music,Brooklyn Council District #36,Brooklyn Community Board #9,Brooklyn
"Martina Arroyo Foundation, Inc.","200 Central Park South, Apt. 20-I",New York,NY,10019,(212) 397-7256,Music,Manhattan Council District #4,Manhattan Community Board #5,Manhattan
"Maspeth Town Hall, Inc.",53-37 72nd Street,Maspeth,NY,11378,(718) 335-6049,"Multi-Discipline, Non-Perform",Queens Council District #30,Queens Community Board #5,Queens
Mass Transit Street Theater,P.O. Box 347,Bronx,NY,10468,(718) 882-2454,Theater,Bronx Council District #14,Bronx Community Board #7,Bronx
Maysles Institute Inc.,343 Lenox Avenue,New York,NY,10027,(212) 582-6050 x214,Film/Video/Audio,Manhattan Council District #9,Manhattan Community Board #10,Manhattan
"Medicine Show Theatre Ensemble, Inc.","549 West 52nd Street, Third Floor",New York,NY,10019,(212) 262-4216,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Meet the Composer, Inc.","90 John Street, Ste. 312",New York,NY,10038,(212) 645-6949 x111,Music,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Megan Jill Paznik,"275 West 22nd Street, Suite 2A",New York,NY,10011,(212) 924-3622,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Melodia Women's Choir of NYC, Inc.","446 West 47th Street, Apt. 1B",New York,NY,10036,(212) 757-2945,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Melting Pot Theatre, Inc.","2444 Broadway, Suite 231",New York,NY,10024,(212) 874-7210 x2,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Mencius Society for the Arts, Inc.",243 Grand St. 2F,New York,NY,10002,(212) 431-7373,Music,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
Mendelssohn Glee Club,"393 West End Avenue, Apt. 8C",New York,NY,10024,(845) 525-0100,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Mercantile Library Association of the City of New York,17 East 47th Street,New York,NY,10017,(212) 755-6710,Literature,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Mercy Corps,75 Broad Street,New York,NY,10004,(212) 537-0508,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Metropolis Ensemble Inc,"139 Jackson Street, Apt 2A",Brooklyn,NY,11211,(917) 930-6106,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Metropolitan Historic Structures Association,232 East 11th Street,New York,NY,10003,(718) 343-8830,"Multi-Discipline, Non-Perform",Manhattan Council District #2,Manhattan Community Board #3,Manhattan
Metropolitan Museum of Art,1000 Fifth Avenue,New York,NY,10028,(212) 879-5500,Visual Arts,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
"Metropolitan Opera Association, Inc.",30 Lincoln Center,New York,NY,10023,(212) 870-7647,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Metropolitan Opera Guild, Inc.","70 Lincoln Center Plaza, Sixth Floor",New York,NY,10023,(212) 769-7069,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Metropolitan Waterfront Alliance,"241 Water Street, 3rd Floor",New York,NY,10038,(212) 935-9831,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Mexican American Symphony Orchestra,30 West 63rd Street,New York,NY,10023,(212) 564-0508,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Mexicanos Unidos de Queens, Inc.",94-28 32nd Avenue,East Elmhurst,NY,11369,(718) 779-8508,Dance,Queens Council District #21,Queens Community Board #3,Queens
"MiShinnah Productions, Inc",435 E. 76th Street #3D,New York,NY,10021,(917) 664-9696,"Multi-Discipline, Performing",Manhattan Council District #5,Manhattan Community Board #8,Manhattan
Michael Chekhov Theatre Company,"161 Sixth Avenue, 14th Floor",New York,NY,10013,(212) 691-6969 x13,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Midori Foundation, Inc.","352 Seventh Avenue, Ste. 301",New York,NY,10001,(212) 767-1300 x18,Music,Manhattan Council District #3,Manhattan Community Board #6,Manhattan
"Midtown Management Group, Inc.","630 Ninth Avenue, Ste. 802",New York,NY,10036,(212) 245-0710,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Migrating Forms Festival, Inc",Cooper Station,New York,NY,10276,(347) 834-7738,Film/Video/Audio,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Millennium Film Workshop, Inc.",66 East 4th Street,New York,NY,10003,(212) 673-0090,Film/Video/Audio,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Mind to Move, Inc.",129 Columbia Heights,Brooklyn,NY,11201,(917) 767-6350,Dance,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
Mind-Builders Creative Arts Center,333 E. 206th St,Bronx,NY,10467,(718) 652-6256 x11,"Multi-Discipline, Performing",Bronx Council District #11,Bronx Community Board #12,Bronx
"Mint Theater Company, Inc.","311 West 43rd Street, Suite 307",New York,NY,10036,(212) 315-9434,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Mirror Theatre, Ltd.",P.O. Box 286186,New York,NY,10128-0811,(646) 688-4365,Theater,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
"Misnomer, Inc.","588 10th Street, Apt. 4",Brooklyn,NY,11215,(917) 602-0478,Dance,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn
"Momenta Art, Inc.",359 Bedford Avenue,Brooklyn,NY,11211,(718) 218-8058,Visual Arts,Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn
Monica Bill Barnes & Company LLC,"41 Perry Street, Apt. 2A",New York,NY,10014,(917) 903-0149,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
Moose Hall Theatre Company,"25 Indian Road, Studio 4G",New York,NY,10034,(212) 304-8950,Theater,Manhattan Council District #7,Manhattan Community Board #12,Manhattan
"More Art, Inc.","71 Nassau Street, Apt. 13A",New York,NY,10038,(212) 260-7607,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Morphoses, Ltd.",800 Fifth Avenue #18B,New York,NY,10065,(212) 813-9818,Dance,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Morris-Jumel Mansion, Inc.",65 Jumel Terrace,New York,NY,10032,(212) 923-8008,Museum,Manhattan Council District #7,Manhattan Community Board #12,Manhattan
"Movement Research, Inc.",P.O. Box 49,New York,NY,10113,(212) 598-0551 x2,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Moving Theater, Inc.",P.O. Box 1449,New York,NY,10150,(917) 553-5645,"Multi-Discipline, Performing",Brooklyn Council District #37,Brooklyn Community Board #4,Brooklyn
"Mud Bone Collective, Inc.",P.O. Box 21167,Brooklyn,NY,11202,(718) 404-9220,Theater,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn
Muller Works Foundation,"131 West 24th Street, 4th Floor",New York,NY,10011,(212) 691-3803,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Multicultural Music Group, Inc.",601 Walton Avenue,Bronx,NY,10451,(718) 884-5495,Music,Bronx Council District #17,Bronx Community Board #1,Bronx
Municipal Art Society of New York,"594 Broadway, Suite 607",New York,NY,10012,(212) 935-3960 x232,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Museum for African Art,36-01 43rd Avenue,Long Island City,NY,11101,(718) 784-7700 x107,Museum,Queens Council District #26,Queens Community Board #1,Queens
"Museum of African American Cinema, Inc.","163 West 125th Street, Suite 903",New York,NY,10027,(212) 749-5298,Museum,Manhattan Council District #9,Manhattan Community Board #10,Manhattan
Museum of Arts & Design,2 Columbus Circle,New York,NY,10019,(212) 956-3535 x133,Museum,Manhattan Council District #6,Manhattan Community Board #5,Manhattan
Museum of Biblical Art,1865 Broadway,New York,NY,10023,(212) 408-1236,Museum,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Museum of Chinese in the Americas,"70 Mulberry Street, 2nd Floor",New York,NY,10013,(212) 619-4785 x108,Museum,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
Museum of Comic and Cartoon Art,"594 Broadway, Ste. 401",New York,NY,10012,(212) 254-3511,Museum,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Museum of Contemporary African Diasporian Arts, Inc.",80 Hanson Place,Brooklyn,NY,11217,(718) 230-0492 x113,Museum,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
Museum of Jewish Heritage  A Living Memorial to the Holocaust,36 Battery Place,New York,NY,10280,(646) 437-4200,Museum,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Museum of Modern Art,11 West 53rd Street,New York,NY,10019,(212) 708-9773,Museum,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Museum of the City of New York,1220 Fifth Avenue,New York,NY,10029,(212) 534-1672,Museum,Manhattan Council District #8,Manhattan Community Board #11,Manhattan
"Music Associates of New York, Ltd.",P.O. Box 604565,Bay Terrace,NY,11360,(718) 352-3995,Music,,Queens Community Board #11,Queens
"Music Before 1800, Inc.",529 West 121 Street,New York,NY,10027,(212) 666-0675,Music,Manhattan Council District #9,Manhattan Community Board #1,Manhattan
Music Forward,72 Orange Street,Brooklyn,NY,11201,(347) 457-5129,Music,Brooklyn Council District #39,Brooklyn Community Board #7,Manhattan
"Music Outreach/Learning Through Music, Inc.",677 West End Avenue,New York,NY,10025,(212) 316-2000,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Music at the Anthology, Inc.",260 West Broadway,New York,NY,10013,(212) 563-5124,Music,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
Music from China,"170 Park Row, Apt. 12D",New York,NY,10038,(212) 941-8733,Music,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
Music in the Center,"2350 Broadway, Ste. 203",New York,NY,10024,(917) 459-6527,Music,Bronx Council District #15,Bronx Community Board #6,Manhattan
"Music-Theatre Group, Inc.",20 Jay Street,Brooklyn,NY,11201,(718) 797-1145,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Musica De Camara, Inc.",1215 Fifth Avenue,New York,NY,10029,(212) 410-5612,Music,Manhattan Council District #8,Manhattan Community Board #11,Manhattan
Musica Reginae Productions Ltd.,59-56 57th Drive,Maspeth,NY,11378,(718) 894-2517,Music,Queens Council District #19,Queens Community Board #11,Queens
"Musica Sacra of New York, Inc.",P.O. Box 974,New York,NY,10021,(212) 861-5617,Music,Manhattan Council District #5,Manhattan Community Board #8,Manhattan
"Musical Chairs Chamber Ensemble, Inc.","850 Howard Avenue, Ste. 1J",Staten Island,NY,10301,(718) 815-5786,Music,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island
Musicals Tonight! Inc.,"150 West 79th Street, Ste. 9A",New York,NY,10024,(212) 362-5620,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Musicians For Harmony, Inc.","345 East 93rd Street, Ste. 12B",New York,NY,10128,(212) 996-8010,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
Myrtle Avenue Revitalization Project,"472 Myrtle Avenue, Second Floor",Brooklyn,NY,11205,(718) 230-1689,Visual Arts,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"NURTUREart Non-Profit, Inc.",910 Grand Street,Brooklyn,NY,11211,(718) 782-7755,Visual Arts,Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn
"NW&D, Inc.",c/o The Field,New York,NY,10013,(212) 645-6462,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"NY Artists Unlimited, Inc.","212 West 14th Street, Ste. 2A",New York,NY,10011,(212) 242-6036,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
NY JAZZ Initiative,149 W. 46th Street,New York,NY,10036,(646) 395-9581,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
NY United Jewish Association Inc,PO Box 340753,New York City,NY,11234,(718) 407-1832,Dance,Brooklyn Council District #41,Brooklyn Community Board #18,Brooklyn
NY Writers Coalition,"80 Hanson Place, Apt. 603",Brooklyn,NY,11217,(718) 398-2883,Literature,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
NYC KidsFest,"61 Lenox Avenue, Apt. 5A",New York,NY,10026,(646) 229-1900,"Multi-Discipline, Performing",Manhattan Council District #9,Brooklyn Community Board #10,Manhattan
"Nai-Ni Chen Dance Company, Inc.","1133 Broadway, Suite 706",New York,NY,10010,(800) 650-0246,Dance,Manhattan Council District #7,Manhattan Community Board #9,Manhattan
"Naked Angels, Ltd.","191 7th Avenue, Ste. 2-S",New York,NY,10011,(212) 343-7394,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Narrows Community Theater, Inc.","97-28 Third Avenue, #527",Brooklyn,NY,11209,(718) 836-2880,Theater,Brooklyn Council District #43,Brooklyn Community Board #11,Brooklyn
National Academy of Design,1083 Fifth Avenue,New York,NY,10128,(212) 369-4880 x208,Museum,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
"National Alliance for Musical Theatre, Inc.","520 Eighth Avenue, Ste. 301",New York,NY,10018,(212) 714-6668 x11,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
National Asian American Theater Festival,"520 8th Avenue, Ste. 308",New York,NY,10018,(212) 224-0447,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"National Asian American Theatre Co., Inc.","520 Eighth Avenue, Ste. 308",New York,NY,10018,(212) 244-0447,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"National Black Theatre Workshop, Inc.",2031-33 Fifth Avenue,New York,NY,10035,(212) 234-2468,Theater,Manhattan Council District #9,Manhattan Community Board #11,Manhattan
"National Black Touring Circuit, Inc.","790 Riverside Drive, Apt. 3E",New York,NY,10032,(212) 283-0974,Theater,Manhattan Council District #7,Manhattan Community Board #6,Manhattan
"National Book Foundation, Inc.",90 Broad Street,New York,NY,10004,(212) 685-0261,Literature,Manhattan Council District #1,Manhattan Community Board #1,Brooklyn
National Choral Council,"1650 Broadway, Ste. 301",New York,NY,10019,(212) 333-5333,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
National Council of Jewish Women New York Section,820 Second Avenue,New York,NY,10017,(212) 799-7205 x18,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"National Dance Institute, Inc.",217 West 147th Street,New York,NY,10039,(212) 226-0083 x216,Dance,Manhattan Council District #7,Manhattan Community Board #2,Manhattan
National Guild of Community Schools of the Arts,"520 Eighth Avenue, Suite 302",New York,NY,10018,(212) 268-3337 x15,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #5,Manhattan
National Jazz Museum in Harlem,104 East 126th Street #2D,New York,NY,10035,(212) 348-8300,Music,Manhattan Council District #8,Manhattan Community Board #11,Manhattan
National Museum of Catholic Art and History,443 East 115th Street,New York,NY,10029,(212) 828-5209,Museum,Manhattan Council District #8,Manhattan Community Board #11,Manhattan
"National Music Theater Network, Inc.","250 West 49th Street, Suite 601",New York,NY,10019,(212) 664-0979 x13,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"National Theater Workshop of the Handicapped, Inc.",535 Greenwich Street,New York,NY,10013,(212) 206-7789,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"National Video Resources, Inc.","73 Spring Street, Suite 403",New York,NY,10012,(212) 274-8080,Film/Video/Audio,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
