SITE_NAME,SITE_NUMBER,VOTER_ENTRANCE,HANDICAP_ENTRANCE,STREET_NUMBER,STREET_NAME,STREET_SUFFIX,SITE_STATUS,CITY,STATE,ZIP_CODE,LOCATION,BOROUGH
PS 108,B0109,200 Linwood Street,Arlington Avenue,200,Linwood Street,,A,Brooklyn,,11208,"(40.681268, -73.884063)",Brooklyn
PS 179,B0110,480 East 3rd Street,480 East 3rd Street,480,East 3 Street,,A,Brooklyn,,11218,"(40.639861, -73.976745)",Brooklyn
PS 196,B0112,207 Bushwick Avenue,Scholes Street,207,Bushwick Avenue,,A,Brooklyn,,11206,"(40.708723, -73.940002)",Brooklyn
PS 17,B0113,Driggs Avenue,Driggs Avenue,208,North 5 Street,,A,Brooklyn,,11211,"(40.715351, -73.956716)",Brooklyn
PS 307,B0114,209 York Street,Off Hudson Ave,209,York Street,,A,Brooklyn,,11201,"(40.701332, -73.982003)",Brooklyn
IS 323,B0115,210 CHESTER STREET,Inaccessible Poll Site,210,Chester Street,,A,Brooklyn,,11212,"(40.666544, -73.910904)",Brooklyn
PS 102,B0116,211 72 Street,Inaccessible Poll Site,211,72 Street,,A,Brooklyn,,11209,"(40.634019, -74.029036)",Brooklyn
PS 59,B0117,211 Throop Avenue,Park Ave,211,Throop Avenue,,A,Brooklyn,,11206,"(40.697062, -73.943717)",Brooklyn
IS 71,B0119,215 Heyward Street,215 Heyward Street,215,Heyward Street,,A,Brooklyn,,11206,"(40.703624, -73.953146)",Brooklyn
Atlantic Towers,B0120,216 Rockaway Avenue,Rockaway Avenue,216,Rockaway Avenue,,A,Brooklyn,,11233,"(40.675665, -73.911004)",Brooklyn
PS 178,B0121,2163 Dean Street,Pacific Stret,2163,Dean Street,,A,Brooklyn,,11233,"(40.675021, -73.915778)",Brooklyn
PS 284,B0123,220 Watkins Street,Watkins Street,220,Watkins Street,,A,Brooklyn,,11212,"(40.667028, -73.908157)",Brooklyn
St Columba's Church,B0125,2245 Kimball Street,2245 Kimball Street,2245,Kimball Street,,A,Brooklyn,,11234,"(40.607593, -73.923973)",Brooklyn
PS 20,B0126,225 Adelphi Street,Clermont Avenue,225,Adelphi Street,,A,Brooklyn,,11205,"(40.690765, -73.971376)",Brooklyn
Teacher's Prep HS,B0127,226 Bristol Street,Bristol Street,226,Bristol Street,,A,Brooklyn,,11212,"(40.665878, -73.911705)",Brooklyn
PS 152/PS 315,B0131,725 East 23 Street,E 24 Street,725,East 23 Street,,A,Brooklyn,,11210,"(40.632562, -73.954724)",Brooklyn
John Jay HS,B0133,237 7 Avenue,237 7 Avenue,237,7 Avenue,,A,Brooklyn,,11215,"(40.669629, -73.979287)",Brooklyn
PS 270,B0134,241 Emerson Place,Dekalb Avenue,241,Emerson Place,,A,Brooklyn,,11205,"(40.69166, -73.961758)",Brooklyn
PS 73,B0135,241 Mac Dougal Street,Rockaway Avenue,241,Mac Dougal Street,,A,Brooklyn,,11233,"(40.680195, -73.91169)",Brooklyn
PS 384,B0136,242 Cooper Street,242 Cooper Street,242,Cooper Street,,A,Brooklyn,,11207,"(40.690114, -73.905042)",Brooklyn
CO-OP,B0139,2475 West 16 Street,2475 West 16 Street,2475,West 16 Street,,A,Brooklyn,,11214,"(40.586984, -73.985372)",Brooklyn
Wm Grady Voc HS,B0141,25 Brighton 4 Road,Brighton 4 Road,25,Brighton 4 Road,,A,Brooklyn,,11235,"(40.582585, -73.963477)",Brooklyn
PS 84,B0142,250 Berry Street,250 Berry Street,250,Berry Street,,A,Brooklyn,,11211,"(40.714785, -73.963)",Brooklyn
PS 193,B0144,2515 Avenue L,East 26 Street,2515,Avenue L,,A,Brooklyn,,11210,"(40.621507, -73.950473)",Brooklyn
PS 286,B0146,2525 Haring Street,Avenue Y,2525,Haring Street,,A,Brooklyn,,11235,"(40.591108, -73.9391)",Brooklyn
PS 277,B0147,2529 Gerritsen Avenue,2529 Gerritsen Avenue,2529,Gerritsen Avenue,,A,Brooklyn,,11229,"(40.596145, -73.928793)",Brooklyn
Bay Ridge Air Rights,B0149,260 65 Street,65 Street,260,65 Street,,A,Brooklyn,,11220,"(40.639853, -74.024462)",Brooklyn
Bldg l Comm Room,B0152,2630 Cropsey Avenue,Cropsey Avenue,2630,Cropsey Avenue,,A,Brooklyn,,11214,"(40.589571, -73.990894)",Brooklyn
L. H. Pink C. C.,B0155,2702 Linden Boulevard,2702 Linden Boulevard,2702,Linden Boulevard,,A,Brooklyn,,11208,"(40.669216, -73.864464)",Brooklyn
PS 184,B0157,273 Newport Street,Mother  Gaston Boulevard,273,Newport Street,,A,Brooklyn,,11212,"(40.659966, -73.904901)",Brooklyn
Contello Towers#2,B0158,2740 Cropsey Avenue,Cropsey Avenue,2740,Cropsey Avenue,,A,Brooklyn,,11214,"(40.587487, -73.989217)",Brooklyn
CO-OP,B0159,2770 West 5 Street,2770 West 5 Street,2770,West 5 Street,,A,Brooklyn,,11224,"(40.580584, -73.9716)",Brooklyn
PS 159,B0160,2781 Pitkin Avenue,Hemlock Street,2781,Pitkin Avenue,,A,Brooklyn,,11208,"(40.675766, -73.869469)",Brooklyn
CO-OP,B0161,2785 West 5 Street,2785 West 5 Street,2785,West 5 Street,,A,Brooklyn,,11224,"(40.580359, -73.971646)",Brooklyn
Apt House,B0162,28 Marine Avenue,28 Marine Avenue,28,Marine Avenue,,A,Brooklyn,,11209,"(40.619911, -74.037682)",Brooklyn
PS 304,B0163,280 Hart Street,Hart Street,280,Hart Street,,A,Brooklyn,,11206,"(40.694077, -73.940805)",Brooklyn
CO-OP,B0165,2820 Ocean Pkwy,2820 Ocean Pkwy,2820,Ocean Parkway,,A,Brooklyn,,11235,"(40.581214, -73.967416)",Brooklyn
PS 90,B0167,2840 West  12 Street,West 12 Street,2840,West 12 Street,,A,Brooklyn,,11224,"(40.578233, -73.979628)",Brooklyn
Liberation High School,B0168,2865 West   19 Street,W 19 Street,2865,West 19 Street,,A,Brooklyn,,11224,"(40.577422, -73.985993)",Brooklyn
CO-OP,B0169,2935 West 5 Street,2935 West 5 Street,2925,West 5th Street,,A,Brooklyn,,11224,"(40.577167, -73.972659)",Brooklyn
CO-OP,B0170,2928 West 5 Street,2928 West 5 Street,2928,West 5 Street,,A,Brooklyn,,11224,"(40.577713, -73.972508)",Brooklyn
Trump Village Bldg 1,B0171,2940 Ocean Pkwy,Ocean Pkwy,2940,Ocean Parkway,,A,Brooklyn,,11235,"(40.578939, -73.967939)",Brooklyn
CO-OP Bldg 7,B0172,2942 West   5 Street,2942 West   5 Street,2942,West 5 Street,,A,Brooklyn,,11224,"(40.579159, -73.97205)",Brooklyn
PS 288,B0175,2950 West 25 Street,West 25 Street,2950,West 25 Street,,A,Brooklyn,,11224,"(40.574543, -73.991966)",Brooklyn
Edmonds Center (IS 113),B0176,300 Adelphi Street,300 Adelphi Street,300,Adelphi Street,,A,Brooklyn,,11205,"(40.688698, -73.970984)",Brooklyn
PS 161,B0177,330 Crown Street,330 Crown Street,330,Crown Street,,A,Brooklyn,,11225,"(40.66618, -73.949013)",Brooklyn
IS 292,B0179,300 Wyona Street,300 Wyona Street,300,Wyona Street,,A,Brooklyn,,11207,"(40.671544, -73.892844)",Brooklyn
Trump Village Bldg 2,B0180,3000 Ocean Pkwy,Ocean Pkwy,3000,Ocean Pkwy,,A,Brooklyn,,11235,"(40.577478, -73.968275)",Brooklyn
Haber House,B0182,3024 West  24 Street,3024 West  24 Street,3024,West 24 Street,,A,Brooklyn,,11224,"(40.573074, -73.99063)",Brooklyn
Sumner Houses Comm Ctr,B0183,303 Vernon Avenue,Myrtle Ave,303,Vernon Avenue,,A,Brooklyn,,11206,"(40.695743, -73.939516)",Brooklyn
Surfside Garden Consolidated,B0184,3030 Surf Avenue,3030 Surf Avenue,3030,Surf Avenue,,A,Brooklyn,,11224,"(40.572767, -73.996321)",Brooklyn
PS 1,B0185,309 47 Street,47 Street,309,47 Street,,A,Brooklyn,,11220,"(40.649033, -74.012278)",Brooklyn
PS 93,B0186,31 New York Avenue,New York Avenue,31,New York Avenue,,A,Brooklyn,,11216,"(40.679096, -73.94684)",Brooklyn
PS 261,B0187,314 Pacific Street,Pacific Street,314,Pacific Street,,A,Brooklyn,,11201,"(40.687466, -73.988288)",Brooklyn
PS 32,B0188,317 Hoyt Street,Union Street,317,Hoyt Street,,A,Brooklyn,,11231,"(40.680445, -73.991949)",Brooklyn
PS 132,B0189,320 Manhattan Avenue,Conselyea Street,320,Manhattan Avenue,,A,Brooklyn,,11211,"(40.71466, -73.946108)",Brooklyn
Williams Center,B0190,165 Division Avenue,165 Division Avenue,323,Roebling Street,,A,Brooklyn,,11211,"(40.708172, -73.961009)",Brooklyn
PS 19,B0191,325 South 3 Street,South 3 Street,325,South 3 Street,,A,Brooklyn,,11211,"(40.709646, -73.95465)",Brooklyn
PS 328,B0193,330 Alabama Avenue,Williams Avenue,330,Alabama Avenue,,A,Brooklyn,,11207,"(40.668167, -73.897835)",Brooklyn
PS 139,B0194,330 Rugby Road,330 Rugby Road,330,Rugby Road,,A,Brooklyn,,11226,"(40.641936, -73.965523)",Brooklyn
PS 58,B0195,330 Smith Street,Inaccessible Poll Site,330,Smith Street,,A,Brooklyn,,11231,"(40.680149, -73.994938)",Brooklyn
Shorefront YM- YWHA,B0196,3300 Coney Island Avenue,Coney Island Ave,3300,Coney Island Avenue,,A,Brooklyn,,11235,"(40.575494, -73.959453)",Brooklyn
IS 302,B0198,332 Linwood Street,332 Linwood Street,332,Linwood Street,,A,Brooklyn,,11208,"(40.677466, -73.883515)",Brooklyn
PS 305,B0200,344 Monroe Street,344 Monroe Street,344,Monroe Street,,A,Brooklyn,,11216,"(40.686076, -73.945229)",Brooklyn
Seacoast Towers,B0203,1311 Brightwater Avenue,riegelman boardwalk,1311,Brightwater Avenue,,A,Brooklyn,,11235,"(40.575682, -73.955388)",Brooklyn
IS 347/IS 349,B0204,35 Starr Street,Starr Street,35,Starr Street,,A,Brooklyn,,11221,"(40.70069, -73.927481)",Brooklyn
MS 51,B0205,350 5 Avenue,350 5 Avenue,350,5 Avenue,,A,Brooklyn,,11215,"(40.672015, -73.983947)",Brooklyn
Bay Ridge Towers,B0207,350 65 Street,65 Street,350,65 Street,,A,Brooklyn,,11220,"(40.638643, -74.022444)",Brooklyn
PS 216,B0208,350 Avenue X,350 Avenue X,350,Avenue X,,A,Brooklyn,,11223,"(40.590563, -73.969964)",Brooklyn
PS 150,B0211,364 Sackman Street,Sackman Street,364,Sackman Street,,A,Brooklyn,,11212,"(40.668831, -73.904694)",Brooklyn
PS 8,B0212,Poplar Street,Poplar Street,37,Hicks Street,,A,Brooklyn,,11201,"(40.70071, -73.993241)",Brooklyn
PS 218 IS,B0213,370 Fountain Avenue,Inaccessible Poll Site,370,Fountain Avenue,,A,Brooklyn,,11208,"(40.670558, -73.874158)",Brooklyn
James Madison HS,B0217,3787 Bedford Avenue,Bedford Avenue,3787,Bedford Avenue,,A,Brooklyn,,11229,"(40.609912, -73.948512)",Brooklyn
PS 119,B0218,3829 Avenue K,Inaccessible Poll Site,3829,Avenue K,,A,Brooklyn,,11210,"(40.625662, -73.938265)",Brooklyn
PS 158,B0223,400 Ashford Street,Ashford St,400,Ashford Street,,A,Brooklyn,,11207,"(40.672579, -73.884803)",Brooklyn
PS 61 IS,B0225,400 Empire Boulevard,Empire Boulevard,400,Empire Boulevard,,A,Brooklyn,,11225,"(40.664007, -73.94922)",Brooklyn
PS 134,B0227,4001 18 Avenue,Between 18 Ave & Webster Avenue,4001,18 Avenue,,A,Brooklyn,,11218,"(40.63228, -73.973898)",Brooklyn
PS 136 JHS,B0228,4004 4 Avenue,41 Street,4004,4 Avenue,,A,Brooklyn,,11232,"(40.651976, -74.006862)",Brooklyn
PS 207,B0229,4011 Fillmore Avenue,Inaccessible Poll Site,4011,Fillmore Avenue,,A,Brooklyn,,11234,"(40.613353, -73.930129)",Brooklyn
PS 198,B0230,4105 Farragut Road,East 42 Street,4105,Farragut Road,,A,Brooklyn,,11210,"(40.63694, -73.937339)",Brooklyn
Our Savior's Church,B0231,414 80 Street,4 Ave,414,80 Street,,A,Brooklyn,,11209,"(40.626829, -74.025967)",Brooklyn
PS 11 New,B0234,419 Waverly Avenue,Washington Ave,419,Waverly Avenue,,A,Brooklyn,,11238,"(40.685491, -73.966291)",Brooklyn
PS 164,B0235,4211 14 Avenue,43 St,4211,14 Avenue,,A,Brooklyn,,11219,"(40.637486, -73.985955)",Brooklyn
PS 223 IS,B0236,4200 16 Avenue,42 Street,4200,16 Avenue,,A,Brooklyn,,11204,"(40.634875, -73.981528)",Brooklyn
JHS 126,B0237,424 Leonard Street,Manhattan Avenue,424,Leonard Street,,A,Brooklyn,,11222,"(40.719819, -73.948625)",Brooklyn
PS 29,B0238,425 Henry Street,Kane Street,425,Henry Street,,A,Brooklyn,,11201,"(40.68695, -73.99806)",Brooklyn
CO-OP,B0240,425 Neptune Avenue,425 Neptune Avenue,425,Neptune Avenue,,A,Brooklyn,,11224,"(40.580147, -73.969289)",Brooklyn
Sr Citzn Club,B0241,430 Dumont Avenue,430 Dumont Avenue,430,Dumont Avenue,,A,Brooklyn,,11212,"(40.664949, -73.903542)",Brooklyn
PS 169,B0242,4305 7 Avenue,4305 7 Avenue,4305,7 Avenue,,A,Brooklyn,,11232,"(40.646265, -74.001928)",Brooklyn
PS 131,B0243,4305 Ft Hamilton Pkwy,44 Street,4305,Ft Hamilton Parkway,,A,Brooklyn,,11219,"(40.641156, -73.993482)",Brooklyn
PS 44,B0244,432 Monroe Street,Inaccessible Poll Site,432,Monroe Street,,A,Brooklyn,,11221,"(40.686592, -73.940747)",Brooklyn
CO-OP,B0245,444 Neptune Avenue,444 Neptune Avenue,444,Neptune Avenue,,A,Brooklyn,,11224,"(40.580062, -73.969821)",Brooklyn
Hugh Gilroy Sr Center,B0246,447 Kingsborough   4 Walk,Off Bergen Street,447,Kingsborough 4 Walk,,A,Brooklyn,,11233,"(40.675241, -73.924931)",Brooklyn
PS 38,B0247,450 Pacific Street,Dean Street,450,Pacific Street,,A,Brooklyn,,11217,"(40.685264, -73.982639)",Brooklyn
CO-OP,B0249,458 Neptune Avenue,458 Neptune Avenue,458,Neptune Avenue,,A,Brooklyn,,11224,"(40.579996, -73.970304)",Brooklyn
PS 320/PS 375,B0250,46 Mc Keever Place,46 Mc Keever Place,46,Mc Keever Place,,A,Brooklyn,,11225,"(40.665034, -73.959031)",Brooklyn
Vandalia  Center,B0252,47 Vandalia Avenue,47 Vandalia Avenue,47,Vandalia Avenue,,A,Brooklyn,,11239,"(40.649755, -73.886828)",Brooklyn
PS 192,B0253,4715 18 Avenue,4715 18 Avenue,4715,18 Avenue,,A,Brooklyn,,11204,"(40.629303, -73.979995)",Brooklyn
PS 208,B0255,4801 Avenue D,East 48 St,4801,Avenue D,,A,Brooklyn,,11203,"(40.642031, -73.931151)",Brooklyn
PS 220 JHS,B0256,49 St & 9 Av,49 St & 9 Av,4812,9 Avenue,,A,Brooklyn,,11220,"(40.640679, -74.000591)",Brooklyn
Bushwick/Hylan Ctr,B0257,50 Humboldt Street,50 Humboldt Street,50,Humboldt Street,,A,Brooklyn,,11206,"(40.703009, -73.940732)",Brooklyn
Bedford Village School (PS 3),B0258,Bedford Avenue,Bedford Avenue,50,Jefferson Avenue,,A,Brooklyn,,11216,"(40.682663, -73.955338)",Brooklyn
PS 287,B0259,50 Navy Street,Inaccessible Poll Site,50,Navy Street,,A,Brooklyn,,11201,"(40.697898, -73.980544)",Brooklyn
PS 262,B0260,500 Macon Street,Malcolm X Boulevard,500,Macon Street,,A,Brooklyn,,11233,"(40.683241, -73.930813)",Brooklyn
Brightwater's Comm Room,B0261,501 Surf Avenue,West 5 Street,501A,Surf Avenue,,A,Brooklyn,,11224,"(40.574913, -73.973999)",Brooklyn
PS 94,B0262,5010 6 Avenue,50 Street,5010,6 Avenue,,A,Brooklyn,,11220,"(40.64366, -74.008252)",Brooklyn
PS 332,B0263,51 Christopher Avenue,Sackman Street,51,Christopher Avenue,,A,Brooklyn,,11212,"(40.672461, -73.906552)",Brooklyn
PS 67,B0264,51 St Edwards Street,Park Avenue,51,St Edwards Street,,A,Brooklyn,,11205,"(40.695658, -73.978215)",Brooklyn
Sterling HS,B0265,510 Clermont Avenue,510 Clermont Avenue,510,Clermont Avenue,,A,Brooklyn,,11238,"(40.682464, -73.968762)",Brooklyn
PS 160,B0266,5105 Ft Hamilton Pkwy,Ft Hamilton Pkwy,5105,Ft Hamilton Parkway,,A,Brooklyn,,11219,"(40.637322, -73.999215)",Brooklyn
PS 10,B0267,511 7 Avenue,17 St,511,7 Avenue,,A,Brooklyn,,11215,"(40.661061, -73.986534)",Brooklyn
PS 235,B0271,525 Lenox Road,East 39 Street,525,Lenox Road,,A,Brooklyn,,11203,"(40.654709, -73.94101)",Brooklyn
IS 171,B0272,528 Ridgewood Avenue,528 Ridgewood Avenue,528,Ridgewood Avenue,,A,Brooklyn,,11208,"(40.686179, -73.869625)",Brooklyn
PS 121,B0273,5301 20 Avenue,53 Street,5301,20 Avenue,,A,Brooklyn,,11204,"(40.623234, -73.978862)",Brooklyn
CO-OP Bldg 5C,B0274,545 Neptune Avenue,545 Neptune Avenue,545,Neptune Avenue,,A,Brooklyn,,11224,"(40.579898, -73.973249)",Brooklyn
PS 23,B0275,545 Willoughby Avenue,545 Willoughby Avenue,545,Willoughby Avenue,,A,Brooklyn,,11206,"(40.694069, -73.94756)",Brooklyn
Pierrepont House,B0276,55 Pierrepont Street,55 Pierrepont Street,55,Pierrepont Street,,A,Brooklyn,,11201,"(40.695783, -73.995117)",Brooklyn
PS 13,B0277,557 Pennsylvania  Avenue,557 Pennsylvania  Avenue,557,Pennsylvania Avenue,,A,Brooklyn,,11207,"(40.663672, -73.893754)",Brooklyn
Vet Post,B0278,5601 Avenue N,East 56 Street,5601,Avenue N,,A,Brooklyn,,11234,"(40.619325, -73.920959)",Brooklyn
PS/IS 180,B0279,57 St & 16 Av,57 St & 16 Av,5601,16 Avenue,,A,Brooklyn,,11204,"(40.627029, -73.989672)",Brooklyn
PS 213,B0281,580 Hegeman Avenue,New Jersey Avenue,580,Hegeman Avenue,,A,Brooklyn,,11207,"(40.66051, -73.890288)",Brooklyn
Glenwood Community Center - Basement,B0282,5816 Farragut Road,Farragut  Road,5816,Farragut Road,,A,Brooklyn,,11234,"(40.636642, -73.920773)",Brooklyn
PS 190,B0284,590 Sheffield Avenue,Georgia Avenue,590,Sheffield Avenue,,A,Brooklyn,,11207,"(40.662325, -73.894441)",Brooklyn
PS 257,B0286,60 Cook Street,60 Cook Street,60,Cook Street,,A,Brooklyn,,11206,"(40.702392, -73.941801)",Brooklyn
Village Comm Rm,B0287,60 Division Avenue,60 Division Avenue,60,Division Avenue,,A,Brooklyn,,11211,"(40.707169, -73.966309)",Brooklyn
PS 506/503/314,B0288,60 St & 3 Av,60 St & 3 Av,343,60 Street,,A,Brooklyn,,11220,"(40.641462, -74.01944)",Brooklyn
PS 226,B0289,6006 23 Avenue,23 Avenue,6006,23 Avenue,,A,Brooklyn,,11204,"(40.615252, -73.97635)",Brooklyn
PS 92,B0291,601 Parkside Avenue,Parkside Avenue,601,Parkside Avenue,,A,Brooklyn,,11226,"(40.656046, -73.953734)",Brooklyn
PS 48,B0292,6015 18 Avenue,60 Street,6015,18 Avenue,,A,Brooklyn,,11204,"(40.621871, -73.987396)",Brooklyn
PS 72,B0293,605 Shepherd Avenue,605 Shepherd Avenue,605,Shepherd Avenue,,A,Brooklyn,,11208,"(40.669387, -73.879614)",Brooklyn
PS 142 JHS,B0294,610 Henry Street,Rapelye Street,610,Henry Street,,A,Brooklyn,,11231,"(40.680069, -74.001377)",Brooklyn
PS 308,B0295,616 Quincy Street,Gates Ave,616,Quincy Street,,A,Brooklyn,,11221,"(40.688695, -73.935499)",Brooklyn
PS 236,B0298,6302 Avenue U,East 63 Street,6302,Avenue U,,A,Brooklyn,,11234,"(40.615998, -73.912989)",Brooklyn
PS 227 JHS,B0300,6500 16 Avenue,66 Street,6500,16 Avenue,,A,Brooklyn,,11204,"(40.62191, -73.995022)",Brooklyn
PS 205,B0301,6701 20 Avenue,6701 20 Avenue,6701,20 Avenue,,A,Brooklyn,,11204,"(40.61527, -73.987149)",Brooklyn
Linden Plaza Bldg,B0302,675 Lincoln Avenue,675 Lincoln Avenue,675,Lincoln Avenue,,A,Brooklyn,,11208,"(40.672666, -73.866432)",Brooklyn
PS 135,B0303,684 Linden Boulevard,684 Linden Boulevard,684,Linden Boulevard,,A,Brooklyn,,11203,"(40.65364, -73.933122)",Brooklyn
PS 127,B0304,7805 7 Avenue,78 Street,7805,7 Avenue,,A,Brooklyn,,11228,"(40.624066, -74.018873)",Brooklyn
PS 130,B0305,70 Ocean Pkwy,East 5 Street,70,Ocean Parkway,,A,Brooklyn,,11218,"(40.648881, -73.975563)",Brooklyn
IS 33,B0306,70 Tompkins Avenue,70 Tompkins Avenue,70,Tompkins Avenue,,A,Brooklyn,,11206,"(40.697069, -73.946627)",Brooklyn
PS 62 JHS,B0307,700 Cortelyou Road,East 7 Street,700,Cortelyou Road,,A,Brooklyn,,11218,"(40.638686, -73.971651)",Brooklyn
PS 149,B0309,700 Sutter  Avenue,Wyona  Street,700,Sutter Avenue,,A,Brooklyn,,11207,"(40.669718, -73.892822)",Brooklyn
PS 247,B0310,7000 21 Avenue,70 Street,7000,21 Avenue,,A,Brooklyn,,11204,"(40.612272, -73.986713)",Brooklyn
PS 15 New,B0312,71 Sullivan Street,Wolcott Street,71,Sullivan Street,,A,Brooklyn,,11231,"(40.677343, -74.011558)",Brooklyn
PS 312,B0313,7103 Avenue  T,East 71 Street,7103,Avenue T,,A,Brooklyn,,11234,"(40.621413, -73.908987)",Brooklyn
PS 170,B0314,7109 6 Avenue,71 Street,7109,6 Avenue,,A,Brooklyn,,11209,"(40.630843, -74.01913)",Brooklyn
Breukelen's Project,B0315,715 East 105 Street,715 East 105 Street,715,East 105 Street,,A,Brooklyn,,11236,"(40.648732, -73.896001)",Brooklyn
IS 246,B0317,72 Veronica Place,Snyder Avenue,72,Veronica Place,,A,Brooklyn,,11226,"(40.648607, -73.952821)",Brooklyn
Reid Comm Room,B0319,728 East New York Avenue,728 East New York Avenue,728,East New York Avenue,,A,Brooklyn,,11203,"(40.662305, -73.938653)",Brooklyn
IS 259,B0320,7301 Ft Hamilton Pkwy,74 Street,7301,Ft Hamilton Parkway,,A,Brooklyn,,11228,"(40.626693, -74.015098)",Brooklyn
Linden Plaza Assoc,B0321,735 Lincoln Avenue,Lincoln Avenue,735,Lincoln Avenue,,A,Brooklyn,,11208,"(40.671101, -73.866039)",Brooklyn
PS 316,B0323,750 Classon Avenue,750 Classon Avenue,750,Classon Avenue,,A,Brooklyn,,11238,"(40.674469, -73.960232)",Brooklyn
Apt House,B0324,7502 Ridge Boulevard,75 St,7502,Ridge Boulevard,,A,Brooklyn,,11209,"(40.631988, -74.03053)",Brooklyn
PS 224,B0325,755 Wortman Avenue,Hemlock Street,755,Wortman Avenue,,A,Brooklyn,,11208,"(40.664036, -73.86637)",Brooklyn
Cooper Center,B0326,76 Kingsland Avenue,Kingsland Avenue,76,Kingsland Avenue,,A,Brooklyn,,11211,"(40.718335, -73.940409)",Brooklyn
PS 631,B0328,76 Riverdale Avenue,76 Riverdale Avenue,76,Riverdale Avenue,,A,Brooklyn,,11212,"(40.660203, -73.913933)",Brooklyn
Apt House Lobby,B0329,760 67 Street,760 67 Street,760,67 Street,,A,Brooklyn,,11220,"(40.631911, -74.014447)",Brooklyn
Apt Bldg,B0330,760 Eldert Lane,760 Eldert Lane,760,Eldert Lane,,A,Brooklyn,,11208,"(40.671479, -73.863334)",Brooklyn
PS 138,B0331,760 Prospect Place,Park Place,760,Prospect Place,,A,Brooklyn,,11216,"(40.67438, -73.951443)",Brooklyn
PS 186,B0332,7601 19 Avenue,76 Street,7601,19 Avenue,,A,Brooklyn,,11214,"(40.611483, -73.994677)",Brooklyn
PS 151,B0333,763 Knickerbocker Avenue,Halsey Street,763,Knickerbocker Avenue,,A,Brooklyn,,11207,"(40.693293, -73.90864)",Brooklyn
PS 25,B0335,787 Lafayette Avenue,Inaccessible Poll Site,787,Lafayette Avenue,,A,Brooklyn,,11221,"(40.691036, -73.941342)",Brooklyn
Apt Bldg,B0336,790 Eldert Lane,790 Eldert Lane,790,Eldert Lane,,A,Brooklyn,,11208,"(40.670518, -73.863098)",Brooklyn
PS 221 Mini School,B0337,791 Empire Boulevard,Empire Boulevard (Back of buiilding),791,Empire Boulevard,,A,Brooklyn,,11213,"(40.664535, -73.935194)",Brooklyn
PS 309,B0338,Madison Street,Madison Street,794,Monroe Street,,A,Brooklyn,,11221,"(40.688419, -73.924833)",Brooklyn
PS 9 New,B0339,80 Underhill Avenue,Bergen Street,80,Underhill Avenue,,A,Brooklyn,,11238,"(40.678297, -73.965541)",Brooklyn
PS 274,B0340,800 Bushwick Avenue,Koscuisko Street,800,Bushwick Avenue,,A,Brooklyn,,11221,"(40.694937, -73.927956)",Brooklyn
PS 201 JHS,B0343,8010 12 Avenue,81 Street,8010,12 Avenue,,A,Brooklyn,,11228,"(40.618676, -74.012722)",Brooklyn
Silver Houses,B0344,810 Midwood Street,Midwood Street,810,Midwood Street,,A,Brooklyn,,11203,"(40.661196, -73.933489)",Brooklyn
PS 204,B0345,8101 15 Avenue,81 Street,8101,15 Avenue,,A,Brooklyn,,11228,"(40.614159, -74.006638)",Brooklyn
PS 5 New,B0346,820 Hancock Street,820 Hancock Street,820,Hancock Street,,A,Brooklyn,,11233,"(40.685695, -73.92246)",Brooklyn
Ft Hamilton HS,B0348,8301 Shore Road,Shore Road,8301,Shore Road,,A,Brooklyn,,11209,"(40.627813, -74.04005)",Brooklyn
PS 128,B0349,8310 21 Avenue,84 Street,8310,21 Avenue,,A,Brooklyn,,11214,"(40.604879, -73.994404)",Brooklyn
Mt Sinai Church,B0351,84 Quincy Street,84 Quincy Street,84,Quincy Street,,A,Brooklyn,,11238,"(40.686117, -73.957914)",Brooklyn
PS 298,B0353,85 Watkins Street,Watkins & Glenmore,85,Watkins Street,,A,Brooklyn,,11212,"(40.670868, -73.908166)",Brooklyn
PS 157,B0354,850 Kent Avenue,850 Kent Avenue,850,Kent Avenue,,A,Brooklyn,,11205,"(40.695419, -73.959571)",Brooklyn
PS 185,B0355,8601 Ridge Boulevard,87 Street,8601,Ridge Boulevard,,A,Brooklyn,,11209,"(40.623986, -74.033779)",Brooklyn
Marien Heim Comm Ctr,B0357,870 Ocean Pkwy,870 Ocean Pkwy,870,Ocean Parkway,,A,Brooklyn,,11230,"(40.627218, -73.971057)",Brooklyn
PS 260,B0358,875 Williams Avenue,Inaccessible Poll Site,875,Williams Avenue,,A,Brooklyn,,11207,"(40.65377, -73.894664)",Brooklyn
IS 281,B0359,8787 24 Avenue,24 Avenue,8787,24 Avenue,,A,Brooklyn,,11214,"(40.595327, -73.993472)",Brooklyn
PS 299,B0360,88 Woodbine Street,Evergreen Avenue,88,Woodbine Street,,A,Brooklyn,,11221,"(40.691077, -73.918152)",Brooklyn
Apt Building,B0361,8869 20 Avenue,20 Avenue,8869,20 Avenue,,A,Brooklyn,,11214,"(40.599329, -74.003727)",Brooklyn
PS 289,B0362,900 St Marks Avenue,Kingston Avenue,900,St Marks Avenue,,A,Brooklyn,,11213,"(40.674793, -73.942639)",Brooklyn
Apt  House,B0363,9000 Shore Road,9000 Shore Road,9000,Shore Road,,A,Brooklyn,,11209,"(40.62209, -74.040241)",Brooklyn
PS 104,B0366,9115 5 Avenue,9115 5 Avenue,9115,5 Avenue,,A,Brooklyn,,11209,"(40.618415, -74.028842)",Brooklyn
