ID,Business Name,Trade Name,Industry,License Number,Full Address,Address Building,Address Street Name,City,State,ZIP Code,Borough,Address Location,Phone Number
13880,RADIO SHACK CORPORATION,STORE # 2837,ELECTRONIC HOME APPL,1037555,"134-40 SPRINGFIELD BOULEVARD, SPRINGFIELD GND, NY 11413",134-40,SPRINGFIELD BOULEVARD,SPRINGFIELD GND,NY,11413,Queens,RADIO SHACK #2837,(817) 415-3116
13881,SABRINA COMMUNICATIONS INC,,ELECTRONIC HOME APPL,1379879,"13407 230TH ST, LAURELTON, NY 11413",13407,230TH ST,LAURELTON,NY,11413,Queens,,(718) 341-1200
13882,"ALL AIR SYSTEMS, INC.",,ELECTRONIC HOME APPL,1376858,"16333 CROSSBAY BLVD, QUEENS, NY 11414",16333,CROSSBAY BLVD,QUEENS,NY,11414,Queens,,(718) 529-9600
13883,CROSS BAY APPLIANCE SERVICE INC,,ELECTRONIC HOME APPL,903134,"158-34 CROSSBAY BOULEVARD, HOWARD BEACH, NY 11414",158-34,CROSSBAY BOULEVARD,HOWARD BEACH,NY,11414,Queens,,(718) 843-4422
13884,RADIO SHACK CORPORATION,RADIO SHACK,ELECTRONIC HOME APPL,801835,"160-10 CROSSBAY BOULEVARD, HOWARD BEACH, NY 11414",160-10,CROSSBAY BOULEVARD,HOWARD BEACH,NY,11414,Queens,STORE #2657,(817) 390-3116
13885,STAPLES THE OFFICE SUPERSTORE EAST INC,,ELECTRONIC HOME APPL,1231011,"163-50 CROSSBAY BOULEVARD, HOWARD BEACH, NY 11414",163-50,CROSSBAY BOULEVARD,HOWARD BEACH,NY,11414,Queens,,(508) 253-5000
13886,"QUEZADA, AMAURY",MASTER AUTO SOUND,ELECTRONIC HOME APPL,1439255,"7614 ATLANTIC AVE, QUEENS, NY 11416",7614,ATLANTIC AVE,QUEENS,NY,11416,Queens,,(718) 296-8303
13887,RADIO SHACK #2694,RADIO SHACK,ELECTRONIC HOME APPL,835420,"102-40 ATLANTIC AVENUE, OZONE PARK, NY 11416",102-40,ATLANTIC AVENUE,OZONE PARK,NY,11416,Queens,STORE #2694,(817) 390-3116
13888,RF AUTO SOUND SECURITY LLC,,ELECTRONIC HOME APPL,1434412,"10121 94TH AVE, QUEENS, NY 11416",10121,94TH AVE,QUEENS,NY,11416,Queens,,(347) 829-8005
13889,"SHIN, EDWIN H",ROADTRACER ELECTRONICS,ELECTRONIC HOME APPL,1223877,"87-20 ATLANTIC AVENUE, OZONE PARK, NY 11416",87-20,ATLANTIC AVENUE,OZONE PARK,NY,11416,Queens,BASEMENT,(718) 835-7363
13890,"SK CELLULAR DISCOUNT STORE, INC.",,ELECTRONIC HOME APPL,1376710,"107-04 101 AVENUE, OZONE PARK, NY 11416",107-04, 101 AVENUE,OZONE PARK,NY,11416,Queens,,(718) 835-6111
13891,"SKY TECH COMPUTER INT'L, INC",,ELECTRONIC HOME APPL,1198103,"98-09A 101 AVENUE, OZONE PARK, NY 11416",98-09A, 101 AVENUE,OZONE PARK,NY,11416,Queens,,(718) 925-8888
13892,STAPLES THE OFFICE SUPERSTORE EAST INC,,ELECTRONIC HOME APPL,1260984,"102-34 ATLANTIC AVENUE, OZONE PARK, NY 11416",102-34,ATLANTIC AVENUE,OZONE PARK,NY,11416,Queens,,(718) 441-7398
13893,STEREO UPGRADE INC,,ELECTRONIC HOME APPL,890200,"87-20 ATLANTIC AVENUE, OZONE PARK, NY 11416",87-20,ATLANTIC AVENUE,OZONE PARK,NY,11416,Queens,,(718) 641-6000
13894,"UNITED 26, LLC",,ELECTRONIC HOME APPL,1385877,"7407 101ST AVE, OZONE PARK, NY 11416",7407,101ST AVE,OZONE PARK,NY,11416,Queens,GROUND FLOOR,(718) 316-5115
13895,LOVELY STAR WIRELESS INC,,ELECTRONIC HOME APPL,1451702,"10517 LIBERTY AVE, OZONE PARK, NY 11417",10517,LIBERTY AVE,OZONE PARK,NY,11417,Queens,,(347) 685-2320
13896,P.C. RICHARD & SON LONG ISLAND CORPORATION,P.C. RICHARD & SON,ELECTRONIC HOME APPL,899886,"10354 94TH ST, OZONE PARK, NY 11417",10354,94TH ST,OZONE PARK,NY,11417,Queens,,(631) 843-1670
13897,"ABA SECOND HAND APPLIANCES, INC.",,ELECTRONIC HOME APPL,1378821,"112-04 JAMAICA AVE, RICHMOND HILL, NY 11418",112-04,JAMAICA AVE,RICHMOND HILL,NY,11418,Queens,,(718) 847-5416
13898,AIRREFCO CORP,,ELECTRONIC HOME APPL,1376954,"112-11 ATLANTIC AVE, RICHMOND HILL, NY 11418",112-11,ATLANTIC AVE,RICHMOND HILL,NY,11418,Queens,,(347) 494-5173
13899,"ATLANTIC TOOLS RENTAL & REPAIR, INC",,ELECTRONIC HOME APPL,1367844,"118-05 ATLANTIC AVENUE, RICHMOND HILL, NY 11418",118-05,ATLANTIC AVENUE,RICHMOND HILL,NY,11418,Queens,,(718) 844-8633
13900,"COMPUTER PROFESSOR, INC",,ELECTRONIC HOME APPL,1277947,"121-02 JAMAICA AVENUE, RICHMOND HILL, NY 11418",121-02,JAMAICA AVENUE,RICHMOND HILL,NY,11418,Queens,,(718) 849-3100
13901,ECUA APPLIANCE_CORP,,ELECTRONIC HOME APPL,1396959,"123-19 JAMAICA AVENUE, RICHMOND HILL, NY 11418",123-19,JAMAICA AVENUE,RICHMOND HILL,NY,11418,Queens,,(917) 564-4059
13902,"GRAY, HERBERT M",MICHAEL'S COPIER SERVICES,ELECTRONIC HOME APPL,1064324,"102-07 JAMAICA AVENUE, RICHMOND HILL, NY 11418",102-07,JAMAICA AVENUE,RICHMOND HILL,NY,11418,Queens,,(718) 441-1918
13903,"LOCKDOCTOR LOCKSMITHS, INC",,ELECTRONIC HOME APPL,890199,"104-37 ATLANTIC AVENUE, RICHMOND HILLS, NY 11418",104-37,ATLANTIC AVENUE,RICHMOND HILLS,NY,11418,Queens,,(718) 441-6242
13904,"MARTINEZ, ELMER",E M CAR RADIO & ELECTRONICS,ELECTRONIC HOME APPL,859472,"120-15 JAMAICA AVENUE, RICHMOND HILL, NY 11418",120-15,JAMAICA AVENUE,RICHMOND HILL,NY,11418,Queens,,(718) 846-0100
13905,MEGATRONIC 1 ELECTRONICS INC.,,ELECTRONIC HOME APPL,1436870,"11011 JAMAICA AVE, RICHMOND HILL, NY 11418",11011,JAMAICA AVE,RICHMOND HILL,NY,11418,Queens,STORE FRONT,(718) 850-8223
13906,NUEVO MUNDO WIRELESS II INC,,ELECTRONIC HOME APPL,1402345,"10512 JAMAICA AVE, RICHMOND HILL, NY 11418",10512,JAMAICA AVE,RICHMOND HILL,NY,11418,Queens,,(718) 480-6858
13907,PARMOUNT WIRELESS INC,,ELECTRONIC HOME APPL,1431661,"10613 JAMAICA AVE, RICHMOND HILL, NY 11418",10613,JAMAICA AVE,RICHMOND HILL,NY,11418,Queens,,(718) 441-0400
13908,"RANGEL, PAULO S",NUEVO MUNDO WIRELESS,ELECTRONIC HOME APPL,1367068,"12609 JAMAICA AVE, RICHMOND HILL, NY 11418",12609,JAMAICA AVE,RICHMOND HILL,NY,11418,Queens,,(718) 847-0372
13909,STAPLES THE OFFICE SUPERSTORE EAST INC,,ELECTRONIC HOME APPL,1229375,"91-30 VAN WYCK EXPRESSWAY, JAMAICA, NY 11418",91-30,VAN WYCK EXPRESSWAY,JAMAICA,NY,11418,Queens,STORE 65,(508) 253-5000
13910,WORLD OF MUSIC V INC,,ELECTRONIC HOME APPL,1420560,"11629 METROPOLITAN AVE, RICHMOND HILL, NY 11418",11629,METROPOLITAN AVE,RICHMOND HILL,NY,11418,Queens,,(718) 441-0337
13911,"XPRESS AUTO SOUND & SECURITY, INC",,ELECTRONIC HOME APPL,1432723,"10901 ATLANTIC AVE, RICHMOND HILL, NY 11418",10901,ATLANTIC AVE,RICHMOND HILL,NY,11418,Queens,,(917) 297-1503
13912,"ZOOM ZOOM WIRELESS, INC",,ELECTRONIC HOME APPL,1407193,"105-17 JAMAICA AVENUE, RICHMOND HILL, NY 11418",105-17,JAMAICA AVENUE,RICHMOND HILL,NY,11418,Queens,,(718) 374-3135
13913,1547 BERGEN STREET LLC,LIBERTY COMPUTER & WIRELESS,ELECTRONIC HOME APPL,1359723,"135-20 LIBERTY AVENUE, S RICHMOND HILL, NY 11419",135-20,LIBERTY AVENUE,S RICHMOND HILL,NY,11419,Queens,,(718) 206-3336
13914,AMERICAN SOFTWARE CORP,,ELECTRONIC HOME APPL,1310146,"11901 101ST AVE, RICHMOND HILL, NY 11419",11901,101ST AVE,RICHMOND HILL,NY,11419,Queens,,(718) 849-9200
13915,ATTLEY'S CELL FONE REPAIRS INC,,ELECTRONIC HOME APPL,1391653,"11404 LIBERTY AVE, S RICHMOND HILL, NY 11419",11404,LIBERTY AVE,S RICHMOND HILL,NY,11419,Queens,,(516) 439-0435
13916,BUSINESS NETWORKING SOLUTIONS INC,,ELECTRONIC HOME APPL,1336134,"119-15 LIBERTY AVENUE, S RICHMOND HILL, NY 11419",119-15,LIBERTY AVENUE,S RICHMOND HILL,NY,11419,Queens,2ND FLOOR,(718) 738-4012
13917,CELL 2000 LIBERTY LLC,CELL 2000,ELECTRONIC HOME APPL,1362757,"120-18 LIBERTY AVENUE, S RICHMOND HILL, NY 11419",120-18,LIBERTY AVENUE,S RICHMOND HILL,NY,11419,Queens,,(718) 925-8027
13918,DESI DEEN INC,QUEENS AUTOTRONICS,ELECTRONIC HOME APPL,912103,"131-20 LIBERTY AVENUE, RICHMOND HILL, NY 11419",131-20,LIBERTY AVENUE,RICHMOND HILL,NY,11419,Queens,,(718) 641-2212
13919,INFINITI AUTOSOUND & SECURITY INC,,ELECTRONIC HOME APPL,941045,"127-05 LIBERTY AVENUE, RICHMOND HILL, NY 11419",127-05,LIBERTY AVENUE,RICHMOND HILL,NY,11419,Queens,,(718) 845-5625
13920,KING AUTO REPAIR & SOUND INC,,ELECTRONIC HOME APPL,1438780,"11610 ATLANTIC AVE, RICHMOND HILL, NY 11419",11610,ATLANTIC AVE,RICHMOND HILL,NY,11419,Queens,,(718) 441-6850
13921,"KOOMA, RAVI",ECHO COMMUNICATIONS,ELECTRONIC HOME APPL,974699,"130-16 LIBERTY AVENUE, S RICHMOND HILL, NY 11419",130-16,LIBERTY AVENUE,S RICHMOND HILL,NY,11419,Queens,,(718) 848-0997
13922,LIBERTY DISCOUNT BAZAAR INC,WIRELESS CHAMPS,ELECTRONIC HOME APPL,1436693,"11304 LIBERTY AVE, S RICHMOND HILL, NY 11419",11304,LIBERTY AVE,S RICHMOND HILL,NY,11419,Queens,,(718) 701-5200
13923,"MEDRANO, EVELYN M",ALL BORO TELEVISION SERVICE,ELECTRONIC HOME APPL,1150034,"9502 VAN WYCK EXPWY, RIDGEWOOD, NY 11419",9502,VAN WYCK EXPWY,RIDGEWOOD,NY,11419,Queens,,(718) 602-3766
13924,NETTEL PAGING COMMUNICATION INC,,ELECTRONIC HOME APPL,1068937,"116-20 LIBERTY AVENUE, RICHMOND HILL, NY 11419",116-20,LIBERTY AVENUE,RICHMOND HILL,NY,11419,Queens,,(718) 845-0773
13925,"PERSAUD, RANVEER",ZMAX COMPUTER SERVICE,ELECTRONIC HOME APPL,1220610,"11801 LIBERTY AVENUE, S.RICHMOND HILL, NY 11419",11801,LIBERTY AVENUE,S.RICHMOND HILL,NY,11419,Queens,FLOOR 2,(718) 641-7282
13926,RADIO SHACK CORPORATION,RADIO SHACK,ELECTRONIC HOME APPL,801802,"113-20 LIBERTY AVENUE, RICHMOND HILL, NY 11419",113-20,LIBERTY AVENUE,RICHMOND HILL,NY,11419,Queens,STORE #2649,(817) 390-3116
13927,RICHMOND HILL COMPUTERS & ELECTRONICS INC,,ELECTRONIC HOME APPL,1193442,"111-07 101 AVENUE, RICHMOND HILL, NY 11419",111-07, 101 AVENUE,RICHMOND HILL,NY,11419,Queens,,(718) 850-3200
13928,"SINGH, RUPI",INFOCLONE COMPUTERS,ELECTRONIC HOME APPL,1433882,"11406 101 AVE, RICHMOND HILL, NY 11419",11406,101 AVE,RICHMOND HILL,NY,11419,Queens,,(718) 847-5786
13929,SRK LIBERTY WIRELESS INC.,,ELECTRONIC HOME APPL,1249036,"115-19 LIBERTY AVENUE, RICHMOND HILLS, NY 11419",115-19,LIBERTY AVENUE,RICHMOND HILLS,NY,11419,Queens,,(718) 848-2611
13930,UNITED WIRELESS 1 LLC,WIRELESS NETWORK,ELECTRONIC HOME APPL,1368782,"12417 LIBERTY AVE, S. RICHMOND HIL, NY 11419",12417,LIBERTY AVE,S. RICHMOND HIL,NY,11419,Queens,,() -
13931,UNLIMITED WIRELESS NO 1 LLC,WIRELESS WORLD,ELECTRONIC HOME APPL,1321031,"124-07 LIBERTY AVENUE, SO.OZONE PARK, NY 11419",124-07,LIBERTY AVENUE,SO.OZONE PARK,NY,11419,Queens,,(718) 641-7100
13932,WIRELESS 2010 INC,,ELECTRONIC HOME APPL,1376139,"12301 LIBERTY AVE, S RICHMOND HILL, NY 11419",12301,LIBERTY AVE,S RICHMOND HILL,NY,11419,Queens,,(347) 322-2542
13933,XTEL WIRELESS CORP,,ELECTRONIC HOME APPL,1438520,"10902 ATLANTIC AVE, S RICHMOND HILL, NY 11419",10902,ATLANTIC AVE,S RICHMOND HILL,NY,11419,Queens,,(718) 805-3300
13934,XTERRA CONSULTING INC.,INTEGRITY COMPUTER CONSULTANTS,ELECTRONIC HOME APPL,1417039,"13406 LIBERTY AVE, RICHMOND HILL, NY 11419",13406,LIBERTY AVE,RICHMOND HILL,NY,11419,Queens,,(347) 238-1079
13935,"A&A REPAIR, INC.",,ELECTRONIC HOME APPL,1311644,"133-47 116 STREET, S OZONE PARK, NY 11420",133-47, 116 STREET,S OZONE PARK,NY,11420,Queens,,(917) 567-7077
13936,AREA APPLIANCE SERVICE INC,,ELECTRONIC HOME APPL,1085136,"117-34 122 PLACE, OZONE PARK, NY 11420",117-34,122 PLACE,OZONE PARK,NY,11420,Queens,,(718) 845-0337
13937,"DISCOUNT APPLIANCE REPAIRS & SERVICE, INC.",,ELECTRONIC HOME APPL,1171524,"127-20 116 AVE, SOUTH OZONE PK, NY 11420",127-20,116 AVE,SOUTH OZONE PK,NY,11420,Queens,,(718) 464-4622
13938,"UWAGBA, JOSEPH O",DATAFLOW COMMUNICATIONS,ELECTRONIC HOME APPL,959096,"112-07 ROCKAWAY BOULEVARD, SOUTH OZONE PK, NY 11420",112-07,ROCKAWAY BOULEVARD,SOUTH OZONE PK,NY,11420,Queens,,(718) 835-3012
13939,A&M BEST WIRELESS USA LLC,,ELECTRONIC HOME APPL,1425312,"9315 JAMAICA AVE, WOODHAVEN, NY 11421",9315,JAMAICA AVE,WOODHAVEN,NY,11421,Queens,,(718) 849-8001
13940,CELLULAR WIFI INC,ELECTRONIC STORE,ELECTRONIC HOME APPL,1379824,"9203 JAMAICA AVE, WOODHAVEN, NY 11421",9203,JAMAICA AVE,WOODHAVEN,NY,11421,Queens,1ST FLOOR,(646) 361-2908
13941,J & M COMPUTER INC,,ELECTRONIC HOME APPL,1336719,"87-18 JAMAICA AVENUE, WOODHAVEN, NY 11421",87-18,JAMAICA AVENUE,WOODHAVEN,NY,11421,Queens,,(718) 849-7348
13942,"K.P. PRO VIDEO, INC.",,ELECTRONIC HOME APPL,1148544,"87-07 JAMAICA AVENUE, WOODHAVEN, NY 11421",87-07,JAMAICA AVENUE,WOODHAVEN,NY,11421,Queens,,(718) 441-8263
13943,"MISIR, LAKERAM",GRANMRISMO CUSTOMIZING ANYTHING,ELECTRONIC HOME APPL,1444293,"7919 ATLANTIC AVE, WOODHAVEN, NY 11421",7919,ATLANTIC AVE,WOODHAVEN,NY,11421,Queens,,(718) 521-1500
13944,NEW YORK SOUND & SECURITY LLC,,ELECTRONIC HOME APPL,1406459,"8713 ATLANTIC AVE, WOOHAVEN, NY 11421",8713,ATLANTIC AVE,WOOHAVEN,NY,11421,Queens,,(347) 600-5878
13945,ORANGE TECHNOLOGY CORP,,ELECTRONIC HOME APPL,1424840,"7514 JAMAICA AVE, WOODHAVEN, NY 11421",7514,JAMAICA AVE,WOODHAVEN,NY,11421,Queens,,(347) 570-8163
13946,RADIO SHACK #2603,RADIO SHACK,ELECTRONIC HOME APPL,801812,"92-11 JAMAICA AVENUE, WOODHAVEN, NY 11421",92-11,JAMAICA AVENUE,WOODHAVEN,NY,11421,Queens,,(817) 390-3116
13947,"SICILIANO, VICTORIA & SICILANO, JOSEPH JR",V & J VACUUMS,ELECTRONIC HOME APPL,955518,"24610 FRANCIS LEWIS BLVD, ROSEDALE, NY 11422",24610,FRANCIS LEWIS BLVD,ROSEDALE,NY,11422,Queens,,(718) 723-2138
13948,UBREAKIT WEFIXIT CORP,,ELECTRONIC HOME APPL,1453352,"247-14 N CONDUIT AVE, ROSEDALE, NY 11422",247-14,N CONDUIT AVE,ROSEDALE,NY,11422,Queens,,(718) 977-1221
13949,"AAA ELECTRONIC SERVICES, INC.",,ELECTRONIC HOME APPL,1134078,"88-03 182 PLACE, HOLLIS, NY 11423",88-03, 182 PLACE,HOLLIS,NY,11423,Queens,,(718) 526-4848
13950,CHELIN ROSARIO ALEJO,NINO REFRIGERATION,ELECTRONIC HOME APPL,1376280,"182-37 JAMAICA AVENUE, HOLLIS, NY 11423",182-37,JAMAICA AVENUE,HOLLIS,NY,11423,Queens,,(718) 739-6460
13951,COMMUNITY COMPUTER SOLUTIONS INC,,ELECTRONIC HOME APPL,1374809,"19103 JAMAICA AVE, HOLLIS, NY 11423",19103,JAMAICA AVE,HOLLIS,NY,11423,Queens,,(718) 577-2456
13952,DYNAMIC APPLIANCE REPAIR INC,,ELECTRONIC HOME APPL,1376834,"89-47 198 STREET, HOLLIS, NY 11423",89-47, 198 STREET,HOLLIS,NY,11423,Queens,,(718) 465-0002
13953,FORTUNE EMPIRE GROUP INC.,,ELECTRONIC HOME APPL,1437465,"18754 JAMAICA AVE, HOLLIS, NY 11423",18754,JAMAICA AVE,HOLLIS,NY,11423,Queens,,(718) 776-0240
13954,"MOWLA, MOHAMED",PEOPLE'S CHOICE AIR CONDITIONING,ELECTRONIC HOME APPL,1094514,"90-14 187 STREET, HOLLIS, NY 11423",90-14, 187 STREET,HOLLIS,NY,11423,Queens,,(718) 657-6224
13955,"NEFTALI, GUTIERREZ A",ALBERT REFRIGERATION,ELECTRONIC HOME APPL,1336086,"190-26 JAMAICA AVENUE, HOLLIS, NY 11423",190-26,JAMAICA AVENUE,HOLLIS,NY,11423,Queens,,(718) 558-4129
13956,"SUKHRAM, RAVINDRANATH",HOLLIS REFRIGERATION,ELECTRONIC HOME APPL,1234430,"191-11 JAMAICA AVENUE, HOLLIS, NY 11423",191-11,JAMAICA AVENUE,HOLLIS,NY,11423,Queens,,(718) 479-5652
13957,"B & W APPLIANCE, INC",,ELECTRONIC HOME APPL,1115028,"248-01 JAMAICA AVENUE, BELLROSE, NY 11426",248-01,JAMAICA AVENUE,BELLROSE,NY,11426,Queens,,(718) 343-7870
13958,"L.A.B. COMPUTER CONSULTANTS, LLC",,ELECTRONIC HOME APPL,1444205,"24021 BRADDOCK AVE, BELLEROSE, NY 11426",24021,BRADDOCK AVE,BELLEROSE,NY,11426,Queens,,(718) 535-7976
13959,STAPLES THE OFFICE SUPERSTORE EAST INC,,ELECTRONIC HOME APPL,1243916,"251-21 JERICHO TURNPIKE, BELLEROSE, NY 11426",251-21,JERICHO TURNPIKE,BELLEROSE,NY,11426,Queens,,(508) 253-5000
13960,AAA ELECTRONIC SERVICES INC,,ELECTRONIC HOME APPL,1431668,"21810 HILLSIDE AVE, QUEENS VILLAGEN, NY 11427",21810,HILLSIDE AVE,QUEENS VILLAGEN,NY,11427,Queens,,(718) 526-4848
13961,"BAN, DO KYUN",JOYCE GAMELAND,ELECTRONIC HOME APPL,1330044,"87-87 FRANCIS LEWIS BOULEVARD, QUEENS VILLAGE, NY 11427",87-87,FRANCIS LEWIS BOULEVARD,QUEENS VILLAGE,NY,11427,Queens,,(718) 465-4942
13962,MAINLINE RECORDS LIGHTING & SOUND_INC,,ELECTRONIC HOME APPL,1428602,"21812 HILLSIDE AVE, QUEENS_VILLAGE, NY 11427",21812,HILLSIDE AVE,QUEENS_VILLAGE,NY,11427,Queens,,(718) 479-4848
13963,SEARS ROEBUCK AND CO,STORE #46104,ELECTRONIC HOME APPL,1178087,"22005 HILLSIDE AVE, QUEENS VILLAGE, NY 11427",22005,HILLSIDE AVE,QUEENS VILLAGE,NY,11427,Queens,,(847) 286-2687
13964,"AMERICAN COMPUTER CONSULTANTS, INC.",,ELECTRONIC HOME APPL,1341164,"212-55 JAMAICA AVENUE, QUEENS VILLAGE, NY 11428",212-55,JAMAICA AVENUE,QUEENS VILLAGE,NY,11428,Queens,,(718) 740-0442
13965,"MEJIA, NELSON RAMON",MAGIC TOUCH AUTO GLASS SOUND & SECURITY CENTER,ELECTRONIC HOME APPL,1439362,"21025 JAMAICA AVE, QUEENS VILLAGE, NY 11428",21025,JAMAICA AVE,QUEENS VILLAGE,NY,11428,Queens,,(347) 455-6009
13966,"PEP BOYS-MANNY MOE & JACK OF DELAWARE, INC",,ELECTRONIC HOME APPL,1074196,"208-22 JAMAICA AVENUE, QUEENS, NY 11428",208-22,JAMAICA AVENUE,QUEENS,NY,11428,Queens,,(718) 465-6700
13967,"SPOILER WITH A TOUCH OF CLASS, LTD",,ELECTRONIC HOME APPL,1453004,"21250 JAMAICA AVE, QUEENSVILLAGE, NY 11428",21250,JAMAICA AVE,QUEENSVILLAGE,NY,11428,Queens,,(718) 465-3333
13968,"TAMO, INC.",DOREN CAR STEREOS AND ALARMS,ELECTRONIC HOME APPL,1246276,"215-12 JAMAICA AVENUE, QUEENS VILLAGE, NY 11428",215-12,JAMAICA AVENUE,QUEENS VILLAGE,NY,11428,Queens,,(718) 217-7799
13969,ACE TELEVISON CO INC,,ELECTRONIC HOME APPL,730905,"218-75 HEMPSTEAD AVENUE, QUEENS VILLAGE, NY 11429",218-75,HEMPSTEAD AVENUE,QUEENS VILLAGE,NY,11429,Queens,,(718) 464-2732
13970,"B & H APPLIANCE, INC.",,ELECTRONIC HOME APPL,1243998,"113-35 FRANCIS LEWIS BOULEVARD, QUEENS VILLAGE, NY 11429",113-35,FRANCIS LEWIS BOULEVARD,QUEENS VILLAGE,NY,11429,Queens,,(347) 901-4177
13971,"DARBONNE, MARIE J",BOOM BOOM AUTO SOUND & SECURITY SYSTEMS,ELECTRONIC HOME APPL,1438161,"10401 FRANCIS LEWIS BLVD, QUEENS, NY 11429",10401,FRANCIS LEWIS BLVD,QUEENS,NY,11429,Queens,,(718) 908-8905
13972,DIRECT LAUNDRY SYSTEM INC,,ELECTRONIC HOME APPL,1366613,"98-47 212ND ST, QUEENS VILLAGE, NY 11429",98-47,212ND ST,QUEENS VILLAGE,NY,11429,Queens,,(718) 468-1119
13973,110 TECHNOLOGIES INC.,,ELECTRONIC HOME APPL,1315678,"182-30 HILLSIDE AVENUE, JAMAICA, NY 11432",182-30,HILLSIDE AVENUE,JAMAICA,NY,11432,Queens,,(347) 494-4570
13974,"ACTEL WIRELESS, INC",,ELECTRONIC HOME APPL,1436021,"16805 HILLSIDE AVE, JAMAICA, NY 11432",16805,HILLSIDE AVE,JAMAICA,NY,11432,Queens,,(718) 262-8300
13975,"COMPUTER PLACE, INC.",,ELECTRONIC HOME APPL,1071749,"178-01 HILLSIDE AVENUE, JAMAICA, NY 11432",178-01,HILLSIDE AVENUE,JAMAICA,NY,11432,Queens,,(718) 206-0328
13976,"DELEON, MARTIN",J & J REFRIGERATION,ELECTRONIC HOME APPL,1405996,"173-27 JAMAICA AVENUE, JAMAICA, NY 11432",173-27,JAMAICA AVENUE,JAMAICA,NY,11432,Queens,,(718) 523-2607
13977,DYANMIC CELLULAR OF HILL SIDE AV CORP,,ELECTRONIC HOME APPL,1435063,"18102 HILLSIDE AVE, JAMAICA, NY 11432",18102,HILLSIDE AVE,JAMAICA,NY,11432,Queens,,(718) 802-8827
13978,"EASTERN COMPUTER AND NETWORKING, INC.",,ELECTRONIC HOME APPL,1382998,"16841 HILLSIDE AVE, JAMAICA, NY 11432",16841,HILLSIDE AVE,JAMAICA,NY,11432,Queens,2 FL,(718) 314-6137
13979,ELECTRIC PLANET INC,,ELECTRONIC HOME APPL,1417914,"8902 165TH ST, JAMAICA, NY 11432",8902,165TH ST,JAMAICA,NY,11432,Queens,BOOTH MW01,(718) 297-2546
13980,ELECTRONICS DISCOUNT CENTER INC.,,ELECTRONIC HOME APPL,979653,"159-05 JAMAICA AVENUE, QUEENS, NY 11432",159-05,JAMAICA AVENUE,QUEENS,NY,11432,Queens,,(718) 523-1576
13981,"EXCLUSIVE WIRELESS USA, INC",,ELECTRONIC HOME APPL,1418564,"16402 JAMAICA AVE, QUEENS, NY 11432",16402,JAMAICA AVE,QUEENS,NY,11432,Queens,,(718) 297-3929
13982,FABRICS SAVE-A-THON JAMAICA AVENUE INC,,ELECTRONIC HOME APPL,972191,"166-07 JAMAICA AVENUE, JAMAICA, NY 11432",166-07,JAMAICA AVENUE,JAMAICA,NY,11432,Queens,,(718) 558-4334
13983,GAME VILLAGE INC.,,ELECTRONIC HOME APPL,1330013,"89-02 165 STREET, JAMAICA, NY 11432",89-02, 165 STREET,JAMAICA,NY,11432,Queens,#MW22,(718) 526-1916
13984,GLOBAL MASS MEDIA INC,PHOTO VIDEO PLUS,ELECTRONIC HOME APPL,1383442,"16920 HILLSIDE AVE, QUEENS, NY 11432",16920,HILLSIDE AVE,QUEENS,NY,11432,Queens,,(718) 298-6322
13985,INAYA WIRELESS INC.,,ELECTRONIC HOME APPL,1404850,"17931A HILLSIDE AVE, JAMAICA, NY 11432",17931A,HILLSIDE AVE,JAMAICA,NY,11432,Queens,,(347) 418-1957
13986,"KIM, KYUNG AH",DR. GAME & WIRELESS,ELECTRONIC HOME APPL,1144771,"162-02 JAMAICA AVENUE, QUEENS, NY 11432",162-02,JAMAICA AVENUE,QUEENS,NY,11432,Queens,,(718) 206-0019
13987,LEATHER STORE M.G INC.,,ELECTRONIC HOME APPL,1446813,"89-64 165TH ST, JAMAICA, NY 11432",89-64,165TH ST,JAMAICA,NY,11432,Queens,,(646) 427-0127
13988,MAIA WIRELESS CORP.,,ELECTRONIC HOME APPL,1417468,"8316 PARSON BLVD, JAMAICA, NY 11432",8316,PARSON BLVD,JAMAICA,NY,11432,Queens,,(718) 206-0100
13989,MINSHE CORP,WIRELESS TECH,ELECTRONIC HOME APPL,1441571,"160-11 HILLSIDE AVENUE, JAMAICA, NY 11432",160-11,HILLSIDE AVENUE,JAMAICA,NY,11432,Queens,,(347) 392-8547
13990,OM ELECTRONICS INC.,,ELECTRONIC HOME APPL,1346047,"183-02 HILLSIDE AVENUE, JAMAICA, NY 11432",183-02,HILLSIDE AVENUE,JAMAICA,NY,11432,Queens,,(718) 297-0001
13991,RADIOSHACK #2640,RADIO SHACK,ELECTRONIC HOME APPL,801798,"175-51 HILLSIDE AVENUE, JAMAICA, NY 11432",175-51,HILLSIDE AVENUE,JAMAICA,NY,11432,Queens,STORE #2640,(817) 390-3116
13992,RADIOSHACK CORPORATION,,ELECTRONIC HOME APPL,1241312,"168-07 JAMAICA AVENUE, JAMAICA, NY 11432",168-07,JAMAICA AVENUE,JAMAICA,NY,11432,Queens,,(917) 415-0771
13993,SAHARA CELLULAR & COMPUTER INC,,ELECTRONIC HOME APPL,1430696,"16705 HILLSIDE AVE, QUEENS, NY 11432",16705,HILLSIDE AVE,QUEENS,NY,11432,Queens,,(646) 318-3936
13994,SPRINT SPECTRUM LP,,ELECTRONIC HOME APPL,1185065,"16323 JAMAICA AVE, JAMAICA, NY 11432",16323,JAMAICA AVE,JAMAICA,NY,11432,Queens,,(913) 315-5787
