Agency,Indicator Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DOE,Percent of schools with scores of Well Developed on School Quality Reviews,,,,,,,48.10%,43.80%,14.30%,9.00%
DOE,Percent of students with disabilities in cohort dropping out from high school in 4 years (NYSED),,,34.30%,27.60%,22.90%,21.60%,21.00%,20.90%,20.90%,
DOE,Percent of students with disabilities in cohort dropping out from high school in 6 years (NYSED),,,42.50%,36.80%,35.70%,30.90%,31.30%,,,
DOE,Percent of students with disabilities in cohort graduating from high school in 4 years (NYSED),,,17.10%,18.50%,18.30%,22.50%,24.70%,27.90%,27.20%,
DOE,Percent of students with disabilities in cohort graduating from high school in 6 years (NYSED),,,21.50%,27.20%,30.70%,34.50%,35.90%,,,
DOE,Phone calls responded to by parent coordinator (000),,,"1,060","1,379","1,353","1,572","2,006","1,973","1,613",985
DOE,Principals with more than 3 years experience as principal (%),62.50%,54.70%,48.20%,53.70%,53.50%,62.20%,53.50%,59.70%,61.30%,61.60%
DOE,Scheduled new seats constructed on time (%),100%,97%,100%,100%,100%,100%,100%,100%,100%,100%
DOE,School building ratings - Fair condition (%),66.20%,,81.60%,68.60%,64.60%,60.30%,52.00%,51.00%,48.50%,
DOE,School building ratings - Fair to good condition (%),30.20%,,16.30%,28.40%,32.40%,37.10%,46.20%,47.20%,50.00%,
DOE,School building ratings - Fair to poor condition (%),0.80%,,0.30%,0.20%,0.20%,0.10%,0.20%,0.10%,0.10%,
DOE,School building ratings - Good condition (%),2.90%,,1.80%,2.80%,2.90%,2.40%,1.70%,1.70%,1.30%,
DOE,School building ratings - Poor condition (%),0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
DOE,School safety - Other criminal categories,"4,419","4,774","4,741","4,659","4,635","4,533","3,559","3,302","3,089","3,295"
DOE,School safety - Other incidents,"9,247","10,377","10,038","9,288","8,687","7,456","5,843","5,354","5,119","5,365"
DOE,School safety - Seven Major crimes,"1,214","1,365","1,314","1,187","1,164","1,042",902,839,801,812
DOE,Schools that exceed capacity (%) - Elementary schools,38.90%,31.70%,28.60%,24.30%,27.00%,26.00%,28.00%,31.00%,32.00%,
DOE,Schools that exceed capacity (%) - High schools,59.70%,51.00%,48.00%,47.50%,38.00%,40.00%,37.00%,37.00%,37.00%,
DOE,Schools that exceed capacity (%) - Middle schools,35.90%,28.80%,19.50%,14.50%,13.00%,14.00%,12.00%,9.00%,12.00%,
DOE,Schools under Registration Review (SURR),46,46,35,40,35,32,20,14,,
DOE,Special education enrollment - pre-school,,,,,"20,016","21,345","22,740","23,739","25,786","27,588"
DOE,Special education enrollment - school age,,,,,"162,714","173,856","184,020","190,092","194,503","194,073"
DOE,Student Enrollment as of October 31 in grades pre-kindergarten to 12 (000),"1,091.70","1,086.90","1,075.30","1,055.90","1,042.10","1,035.30","1,029.50","1,036.70","1,043.80","1,041.50"
DOE,Students enrolled as English Language Learners (ELL) (000),135,145,144,141,140,148,149,165,164,159
DOE,Students in grades 1 to 9 promoted (%),95.40%,95.90%,95.90%,96.30%,96.60%,97.40%,97.70%,93.20%,93.70%,94.60%
DOE,Students in grades 3 to 8 meeting or exceeding standards - English Language Arts (%),41.00%,41.10%,51.80%,50.70%,50.80%,57.60%,68.80%,42.40%,43.90%,46.90%
DOE,Students in grades 3 to 8 meeting or exceeding standards - Math (%),41.90%,46.70%,52.90%,57.00%,65.10%,74.30%,81.80%,54.00%,57.30%,60.00%
DOE,Students in grades 3 to 8 progressing from below standards to meeting standards - English Language Arts (%),,14.40%,25.80%,16.10%,20.30%,27.30%,37.90%,5.90%,18.40%,17.70%
DOE,Students in grades 3 to 8 progressing from below standards to meeting standards - Math (%),16.50%,19.40%,31.40%,18.10%,23.90%,31.30%,38.60%,4.30%,24.30%,24.80%
DOE,Students in grades 3 to 8 scoring below standards progressing into a higher level - English Language Arts (%),,43.10%,58.50%,44.70%,61.60%,64.80%,78.80%,25.70%,50.30%,46.20%
DOE,Students in grades 3 to 8 scoring below standards progressing into a higher level - Math (%),34.50%,40.70%,51.80%,42.20%,50.00%,59.20%,68.60%,30.50%,54.90%,52.10%
DOE,Students in graduating class with a 55 to 100 passing score on the Regents Examination - English (%),77.20%,77.20%,78.60%,88.30%,91.00%,91.50%,91.20%,91.80%,94.20%,
DOE,Students in graduating class with a 55 to 100 passing score on the Regents Examination - Global history (%),79.50%,76.70%,78.20%,85.80%,87.60%,86.80%,87.00%,87.90%,90.60%,
DOE,Students in graduating class with a 55 to 100 passing score on the Regents Examination - Math (%),66.80%,71.40%,78.50%,91.50%,93.20%,92.90%,92.30%,91.90%,93.30%,
DOE,Students in graduating class with a 55 to 100 passing score on the Regents Examination - Science (%),74.30%,77.00%,79.30%,88.00%,90.10%,90.10%,91.00%,91.60%,93.90%,
DOE,Students in graduating class with a 55 to 100 passing score on the Regents Examination - United States history and government (%),73.70%,72.70%,73.90%,89.70%,92.60%,92.30%,92.00%,91.70%,93.20%,
DOE,Students in graduating class with a 65 to 100 passing score on the Regents Examination - English (%),59.70%,69.20%,68.20%,74.40%,79.50%,81.90%,84.60%,87.40%,89.80%,
DOE,Students in graduating class with a 65 to 100 passing score on the Regents Examination - Global history (%),64.80%,69.00%,66.70%,69.60%,68.70%,69.50%,72.50%,76.70%,82.60%,
DOE,Students in graduating class with a 65 to 100 passing score on the Regents Examination - Math (%),53.10%,56.40%,65.70%,76.10%,77.80%,79.00%,80.60%,82.20%,84.60%,
DOE,Students in graduating class with a 65 to 100 passing score on the Regents Examination - Science (%),58.30%,65.40%,68.80%,72.40%,72.80%,73.30%,76.10%,80.60%,86.60%,
DOE,Students in graduating class with a 65 to 100 passing score on the Regents Examination - United States history and government (%),58.80%,67.40%,62.70%,75.00%,77.40%,79.40%,82.10%,83.60%,86.40%,
DOE,Students in schools that exceed capacity (%) - Elementary/middle schools,38.90%,31.90%,26.00%,22.00%,20.00%,20.00%,22.00%,24.00%,26.00%,
DOE,Students in schools that exceed capacity (%) - High schools,73.80%,71.40%,69.90%,66.90%,59.00%,57.00%,52.00%,53.00%,55.00%,
DOE,Students in special education scoring below standards progressing into a higher level - English Language Arts (%),,26.00%,37.60%,27.90%,47.10%,55.30%,73.20%,20.00%,36.40%,29.30%
DOE,Students in special education scoring below standards progressing into a higher level - Math (%),16.60%,20.30%,33.90%,25.90%,35.80%,45.90%,60.10%,23.20%,42.00%,37.70%
DOE,Students in the graduating class taking required Regents examinations,"34,702","36,471","39,701","42,005","43,747","51,247","53,087","55,378","58,396",
DOE,Students no longer in need of special education services,"4,839","4,454","4,472","5,304","5,626","6,257","6,183","6,469","6,438","6,689"
DOE,Students passing required Regents examinations (%),36.10%,43.40%,47.30%,62.10%,63.10%,63.10%,66.40%,70.80%,70.30%,
DOE,Students receiving special education services (Preliminary Unaudited) -Public Schools (Pre-School),596,566,656,763,787,772,781,748,699,703
DOE,Students receiving special education services (Preliminary Unaudited) -Public schools (school age),"141,905","143,017","145,081","146,681","149,129","154,881","162,034","166,761","169,948","169,503"
DOE,Students receiving special education services (Preliminary Unaudited) - Non-Public Schools (Pre-School),,,,,"19,229","20,573","21,959","22,991","25,087","26,885"
DOE,Students receiving special education services (Preliminary Unaudited) - Non-public schools (school age),,,,,"13,585","18,975","21,986","23,331","25,253","24,570"
DOE,Students receiving special education services (Preliminary unaudited),"169,685","171,782","177,103","180,890","182,730","195,201","206,760","213,831","220,289","221,661"
DOE,Students recommended for special education services,"21,020","18,832","25,098","24,593","24,404","24,077","23,050","22,967","15,528","15,653"
DOE,Students with 90% or better attendance (%),69.30%,68.70%,70.40%,66.00%,69.10%,70.20%,69.80%,74.30%,73.90%,77.30%
DOE,Teachers,"78,680","76,514","76,636","76,167","77,160","79,109","79,021","76,795","74,958","72,787"
DOE,Teachers absent more than 10 days (%),21.20%,19.40%,19.10%,14.40%,18.00%,13.40%,12.90%,12.60%,12.80%,11.40%
DOE,Teachers hired to fill vacancies (%),100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
DOE,Teachers with 5 or more years teaching experience (%),60.10%,59.70%,64.40%,60.00%,62.20%,61.50%,64.40%,69.20%,72.20%,75.00%
DOE,Total new seats created,"22,267","12,921","9,045","5,436","5,556","12,932","14,329","18,525","5,593","10,766"
DOE,Ultimate cost of insurance losses as percent of construction value,,4.78%,3.75%,5.60%,5.29%,5.49%,5.73%,5.97%,7.51%,
DOF,Audits closed within 1 year (%),,,,,,,,33.30%,35.50%,33.70%
DOF,Average amount collected from a closed audit ($000),,,,,,,,$68 ,$90 ,$130 
DOF,Average time to issue a business tax refund (days),,,,,,47,44,39,39,32
DOF,Average time to issue a property tax refund (days),35,28,45,57,30,15,14,19,22,26
DOF,Average time to issue decision for parking ticket appeals (days),82,84,54,10,11,12.3,11.2,11,11,11
DOF,Average time to issue decision for parking ticket hearing-by-mail,,,,,,,,,27.3,23.2
DOF,Average time to process initial SCRIE applications (days),,,,,,,,,,
DOF,Average time to process renewal applications for SCRIE (days),,,,,,,,,,
DOF,Average time to record and index property documents (days) - Citywide,,,,,1.6,1.3,0.9,0.8,0.8,1.9
DOF,Average turnaround time for audits (days),,,,,,,,598,612,684
DOF,Average turnaround time for in-person parking ticket hearings (minutes),40,,55,60,24,26,28,25,23,18
DOF,Average turnaround time to issue decision for parking ticket hearing-by-web (days),,,,,,,,,7,6.5
DOF,Average wait time to see a cashier at payment centers (minutes),,,,,5.9,4.9,4.8,5.5,8.7,7.9
DOF,Number of properties receiving 90-day lien sale notice,,,,,,,"24,111","24,963","25,462","22,111"
DOF,Payment method - Percent of cash transactions,,,,,,,,5.20%,6.20%,4.40%
DOF,Payment method - Percent of check/money order transactions,,,,,,,,56.50%,50.90%,36.80%
DOF,Payment method - Percent of credit card transactions,,,,,,,,21.60%,26.40%,37.90%
DOF,Payment method - Percent of electronic (ACH/EFT) transactions,,,,,,,,16.70%,16.50%,20.80%
DOF,Percent increase in tax liability as a result of audits,,,,,,14.30%,7.40%,18.60%,26.90%,10.50%
DOF,Percent of City debt resolved,,,,,,23.50%,42.60%,42.00%,39.60%,39.20%
DOF,Percent of originally noticed properties sold in lien sale,,,,,,,20%,19%,20%,19%
DOF,Percent of parking ticket appeals granted a reversal,,,,,,17.10%,14.40%,15.10%,15.60%,12.20%
DOF,Percent of parking tickets issued that are: Dismissed within 90 days,,,,,,14.70%,12.90%,13.80%,13.10%,12.60%
DOF,Percent of parking tickets issued that are: Paid within 90 days,,,,,,69.30%,62.00%,61.10%,63.30%,64.90%
DOF,Percent of property taxes billed that are paid,,,,,97.90%,97.70%,98.10%,98.10%,97.00%,97.30%
DOF,Percent of property taxes paid on time,,,,,,94.50%,93.30%,95.00%,95.00%,94.40%
DOF,Property assessments reduced by the Tax Commission (%) (calendar year),18%,12%,17%,14%,11%,12%,11%,12%,13%,16%
DOF,Summonses received - Parking and red light camera (000),"8,091","9,997","9,489","9,601","10,009","10,921","10,662","10,709","9,845","9,823"
DOF,Time to render tax conciliation decision: Cases decided within 6 months (%),67%,70%,71%,68%,56%,60%,78%,68%,76%,79%
DOHMH,Adult New Yorkers without a regular doctor (%) (CY),25.00%,23.90%,20.90%,20.50%,21.00%,19.40%,15.60%,18.10%,16.70%,16.90%
DOHMH,Adults who consume an average of one or more sugar-sweetened beverage per day (%),,,,,,35.90%,32.60%,31.60%,30.30%,29.90%
DOHMH,Adults who smoke (%) (CY),21.50%,19.20%,18.40%,18.90%,17.50%,16.90%,15.80%,15.80%,14.00%,14.80%
DOHMH,"Adults, aged 50+, who received a colonoscopy in the past ten years (%) (CY)",,41.70%,52.20%,55.20%,59.70%,61.70%,65.60%,66.00%,67.50%,68.60%
DOHMH,Alcohol-related deaths (CY 02-06),"1,551","1,696","1,606","1,612","1,563","1,680","1,703","1,675","1,629",
DOHMH,Average response time for birth certificates by mail/online (days),,,,,,,5.1,5.7,4.4,3
DOHMH,Average response time for death certificates by mail/online (days),,,,,,,12,9.8,7.1,4.1
DOHMH,Calls to LifeNet (000),87.7,70.3,67.1,77.1,89.1,88.4,94.5,97.2,92.9,85.8
DOHMH,Childhood Blood Lead Levels - New cases among children aged 6 months to less than 6 years with blood lead levels greater than or equal to 10 micrograms per deciliter,"3,742","3,318","2,993","2,574","2,146","1,822","1,455","1,398","1,319","1,042"
DOHMH,Childhood Blood Lead Levels - New cases among children less than 18 years requiring environmental intervention for lead poisoning,576,578,902,896,712,584,500,532,470,369
DOHMH,Childhood Blood Lead Levels - Primary address inspected within 5 business days (%),86.00%,86.00%,90.00%,88.60%,89.90%,90.20%,90.40%,86.90%,85.00%,89.70%
DOHMH,Children eligible for Early Intervention and authorized for therapeutic and educational services (CY),"29,621.00",32.7,33.3,33.6,33.1,31.5,32.7,34.9,33.9,
DOHMH,Children in the public schools who have completed required immunizations (%),96.00%,96.40%,97.40%,97.60%,98.40%,97.90%,98.80%,98.80%,98.80%,99.10%
DOHMH,Children with Early Intervention program service plans (000) (CY),18.3,19.4,17.6,18.3,17.2,15.8,16.9,17,15.4,
DOHMH,Compliance inspections found to be rat free (%),,,,,,42.20%,40.80%,43.50%,47.10%,51.00%
DOHMH,Day Care site complaints received,,"1,052","1,435","1,508","1,663","1,554","1,525","1,416","1,325","1,082"
DOHMH,Day care initial site inspections,,,"10,597","15,419","17,668","18,695","15,989","20,280","21,610","22,219"
DOHMH,Deaths from unintentional drug overdose,905,960,855,906,979,695,631,624,516,
DOHMH,Dog licenses issued (000),94.4,104.6,100.6,104.4,100.6,91.8,101,99.4,97.6,92.7
DOHMH,HIV tests conducted,,,"141,174","153,042","170,539","201,624","278,222","282,692","291,551","238,347"
DOHMH,"Hospitalization rate for asthma among children ages 0-14 (per 1,000 children) (CY) (preliminary)",7.1,7.3,6.5,5.4,5.4,5.2,5.2,5.2,5.5,
DOHMH,Individuals in the assisted outpatient mental health treatment program,,,"1,212","1,170","1,099","1,061","1,274","1,344","1,315","1,245"
DOHMH,"Infant mortality rate (per 1,000 live births) (CY) *",6,6.5,6.1,6,5.9,5.4,5.5,5.3,4.9,4.7
DOHMH,Initial Inspections with active rat signs (ARS) (%),,,,,,22.30%,13.10%,15.10%,9.80%,11.00%
DOHMH,Initial pest control inspections (000),,,,,,72,99,85,114,124
DOHMH,New adult AIDS cases diagnosed (CY),"4,715","5,323","4,364","4,112","3,695","3,522","3,266","2,947","2,483","2,129"
DOHMH,New buprenorphine patients,,,,,"2,880","4,177","6,733","7,006","7,238",
DOHMH,New tuberculosis cases (CY) (preliminary),"1,084","1,140","1,039",984,953,914,895,760,711,689
DOHMH,Number of New Yorkers who die from HIV/AIDS (CY),"1,712","1,656","1,451","1,419","1,209","1,115","1,073",933,832,766
DOHMH,Number of male condoms distributed (000),,,,"3,855","17,770","39,070","41,838","36,838","36,309","36,108"
DOHMH,Patients who complete treatment for active tuberculosis (%) (CY),91.00%,91.10%,92.40%,93.80%,92.50%,92.00%,94.00%,90.50%,91.00%,91.00%
DOHMH,"Persons diagnosed, living and reported with HIV/AIDS (CY) (preliminary)","88,989","92,971","95,204","98,283","100,610","104,415","106,584","108,791","110,736","112,791"
DOHMH,Pest control complaints received by DOHMH (000),,18,26.6,26.7,22.5,23,22.1,21.8,22.5,22.3
DOHMH,Restaurants inspected (%),87.20%,99.20%,100.00%,99.90%,99.70%,80.10%,99.10%,99.70%,99.80%,99.40%
DOHMH,Restaurants scoring an A grade (%),,,,,,,,,81.70%,85.40%
DOHMH,Screening rates for breast cancer (%)(CY),77.00%,,77.00%,72.90%,75.20%,73.90%,77.80%,78.50%,76.70%,
DOHMH,Screening rates for cervical cancer (%)(CY),80.00%,,81.10%,80.00%,80.60%,79.80%,82.50%,81.60%,78.40%,
DOHMH,"Seniors, aged 65+, who reported receiving a flu shot in the last 12 months (%) (CY)",63.00%,62.60%,63.80%,53.00%,57.30%,54.70%,56.60%,52.60%,62.30%,67.40%
DOHMH,Syphilis cases,456,599,646,587,805,956,"1,075",978,966,859
DOHMH,"Total correctional health clinical visits (includes intake exams, sick calls, follow-up, mental health, and dental)",,,,,"881,443.00","817,437.00","838,467.00","817,012.00","803,871.00","877,270.00"
DOHMH,Unduplicated clients enrolled in HIV/AIDS (Ryan White) health and supportive services (000) (FY March - February),,,,43.3,42,64.7,88,87.7,81.4,70.7
DOHMH,Units of supportive housing available to persons with serious mental illness (000),11.1,12.8,13.3,13.9,14.5,3.3,4.3,4.5,4.7,5
DOI,Arrests resulting from DOI investigations,334,242,299,345,368,676,731,822,790,806
DOI,Average time to complete a VENDEX check (days),,,,,,,,34,15,15
DOI,Average time to complete a background investigation (days),174,215,217,266,278,342,310,451,370,313
DOI,Average time to complete an investigation (days),,330,348,341,330,329,277,296,275,229
DOI,Average time to complete an investigation (days) - Major investigations,875,753,708,618,892,"1,269",869,904,502,819
DOI,Average time to complete an investigation (days) - Routine investigations,283,309,330,330,315,310,267,269,259,216
DOI,Average time to complete an investigation (days) - Significant investigations,502,714,867,604,739,514,484,682,617,324
DOI,Background investigations closed within six months (%),72%,52%,62%,56%,60%,53%,60%,53%,60%,52%
DOI,Caseload/current investigations,"1,721","1,744","1,729","1,908","2,045","2,481","2,396","2,258","1,955","1,917"
DOI,Complaints,"12,296","11,035","11,609","12,668","12,882","13,837","14,594","13,825","13,639","12,595"
DOI,Corruption prevention and whistleblower lectures conducted,492,370,328,308,551,670,546,625,446,478
DOI,Financial recoveries to individuals and non-City entities ordered/agreed ($),,,,,,"$688,110,574 ","$17,981,661 ","$16,840,648 ","$21,001,578 ","$93,690,369 "
DOI,Financial recoveries to the City collected ($),,,,,,"$10,576,694 ","$6,633,626 ","$8,537,930 ","$9,973,645 ","$477,784,197 "
DOI,Financial recoveries to the City ordered/agreed ($),,,,,,"$18,315,332 ","$16,184,024 ","$18,086,520 ","$20,985,513 ","$523,355,872 "
DOI,Integrity monitoring agreements,13,10,9,7,11,9,7,5,12,15
DOI,Investigations closed,896,910,748,961,995,"1,418","1,438","1,427","1,205","1,348"
DOI,Referrals for civil and administrative action,"1,101",835,819,"1,166","1,263","1,499","1,867","1,876","1,100","1,304"
DOI,Referrals for criminal prosecution,612,478,547,624,668,452,630,753,"1,017","1,001"
DOI,Time to notify agencies of arrest notifications for current childcare workers after receipt from State Division of Criminal Justice Services (days),,,,,,,,,2,1
DOI,Time to notify agencies of prospective childcare workers with criminal records after receipt from State Division of Criminal Justice Services (days),7,2,3,2,5,4,4,4,2,1
DOI,VENDEX checks completed within 30 days (%),,,,,,,,60%,98%,98%
DOI,Written policy and procedure recommendations to City agencies,,,80,180,317,469,460,357,310,369
DOITT,All cable complaints resolved within 30 days (%),,,,90.00%,96.00%,95.30%,98.70%,98.70%,98.70%,99.20%
DOITT,Average time to process an enterprise contract (days),,,,,,,,341,212,154
DOITT,Average time to resolve all cable complaints (days),,,,17,15,20,16,13,12,12
DOITT,Average time to resolve all service incidents (days),,,,,,,2.3,2.2,1.4,1.5
DOITT,Average time to resolve billing cable complaints (days),,,,21,19,21,25,19,19,19
DOITT,Average time to resolve requests for new/updated service (days),,,,,,,,7.5,3.1,2.5
DOITT,Average time to resolve service cable complaints (days),,,,16,13,15,12,13,10,10
DOITT,Average time to resolve service incidents - High (days),,,,,,,,0.9,0.8,0.6
DOITT,Average time to resolve service incidents - Low (days),,,,,,,,3.5,1.8,1.7
DOITT,Average time to resolve service incidents - Medium (days),,,,,,,,1.3,1.2,1.6
DOITT,Average time to resolve service incidents - Urgent (days),,,,,,,,4,0.8,0.3
DOITT,Average time to resolve telecommunication incidents (days),,,,,,,,5.9,4.1,4.5
DOITT,Calls to Service Desk,,,,,,"49,225","38,283","26,115","32,967","30,585"
DOITT,Capacity utilization of key systems (mainframe) (%),,,,,,,,,67.94%,63.81%
DOITT,Data sets available for download on NYC.gov/OpenData,,,,,,,,194,361,778
DOITT,Emails to Service Desk,,,,,,,,"11,757","18,190","54,207"
DOITT,Emergency IT infrastructure changes (%),,,,,,,12.60%,10.30%,12.60%,14.90%
DOITT,IT certifications for DoITT employees,,,,,,,,90,105,126
DOITT,IT contracts (all engagements),,,,,,,,232,236,170
DOITT,IT infrastructure changes,,,,,,,"1,125","1,162",946,969
DOITT,IT vendors (project-based),,,,,,,,15,39,44
DOITT,Incident priority level - High,,,,,,,,"26,433","17,197","26,371"
DOITT,Incident priority level - Low,,,,,,,,"61,692","75,644","115,749"
DOITT,Incident priority level - Medium,,,,,,,,"57,025","51,701","63,817"
DOITT,Incident priority level - Urgent,,,,,,,,58,91,"2,043"
DOITT,Inspected phones deemed operable (%),94%,96%,96%,91%,83%,83%,75%,81%,77%,75%
DOITT,Inspected phones passing scorecard appearance standards (%),94%,97%,94%,92%,93%,88%,94%,95%,97%,98%
DOITT,NYC.gov page views (000),,,,,,,,"296,939.80","590,598.90","635,709.80"
DOITT,NYC.gov unique visitors (average monthly) (000),,,,,,,"1,859.60","1,923.10","2,350.80","2,780.70"
DOITT,Open IT procurements,,,,,,,,43,72,66
DOITT,Pay phone Notices of Violation issued,,,,,"1,660","1,996","2,000","1,436","1,291","1,199"
DOITT,Pay phone inspections conducted,,,,,"12,460","10,069","8,643","8,521","8,435","8,614"
DOITT,Pay phone violation fines paid ($ 000),,,,,,,,"$1,412.80 ",$897.50 ,"$1,394.70 "
DOITT,Pay phone violations upheld (%),,,,,,,,71%,71%,52%
DOITT,Service catalog requests,,,,,,,,,187,170
DOITT,Service catalog requests for IT infrastructure,,,,,,,,,21,52
DOITT,Service catalog requests for IT programs and applications,,,,,,,,,171,118
DOITT,Service incidents (total),,,,,,,"140,082","145,208","144,633","207,980"
DOITT,Service incidents - telecommunication repair,,,,,,,,"7,072","6,096","7,194"
DOITT,Service requests for new/updated service,,,,,,,,"38,403","52,978","60,852"
DOITT,Uptime of 800 MHz network (%),,,,,,,,99.99%,99.99%,99.98%
DOITT,Uptime of Citywide Radio Network (%),,,,,,,,99.99%,99.99%,99.99%
DOITT,Uptime of NYC.gov (%),,,,,99.96%,99.95%,99.95%,99.99%,99.88%,99.78%
DOITT,Uptime of NYCWiN (%),,,,,,,,99.99%,99.97%,99.99%
DOITT,"Uptime of key systems (mainframe, UNIX, Wintel) (%)",,,,,99.90%,99.90%,99.99%,99.99%,99.96%,99.95%
DOP,Adult Probationer Rearrest Rate (monthly average)(%),,2.30%,2.40%,2.50%,2.50%,2.70%,2.80%,3.00%,3.10%,3.00%
DOP,Adult probationers arrested citywide as a percentage of the NYPD arrest report (monthly average),,,,,2.90%,2.80%,2.70%,2.70%,2.60%,2.60%
DOP,Average monthly violation rate for adult probationers (%),,,,,,,,1.60%,1.00%,0.90%
DOP,Average monthly violation rate for juvenile probationers (%),,,,,,,,2.70%,2.10%,2.80%
DOP,Juvenile delinquency cases eligible for adjustment (%),,,,,,,,27.40%,40.00%,37.00%
DOP,Juvenile probationer rearrest rate (monthly average)(%),,1.00%,1.10%,1.30%,1.60%,2.10%,2.50%,3.00%,3.00%,2.90%
DOP,Juvenile probationers arrested citywide as a percentage of the NYPD arrest report (monthly average),,,,,0.20%,0.20%,0.20%,0.30%,0.30%,0.30%
DOP,Total probationers supervised in Enhanced Supervision Program (ESP),,,,701,988,"1,083","1,197","1,290","1,287","1,158"
DOP,Youth participating in Esperanza,,,,72,79,51,67,79,77,85
DORIS,Average response time to agency requests for stored records (days),,,,,,,1.4,1.2,1.5,1.3
DORIS,Average response time to historical photo requests (days),,,,,14,13,10.2,11.5,8.1,14
DORIS,Average response time to vital record requests (days),,,,,8.3,9.1,7.9,7.9,7.9,8.8
DORIS,Average time between records disposal eligibility and application sent to Law Department (months),,,,,2.7,1.4,0.9,0.8,3.5,1.1
DORIS,Average time for Law Department to approve records disposal application (months),,,,,3.4,2.6,1.5,3.7,4.6,1.6
DORIS,Information requests received - City Hall Library,"6,490","7,409","7,246","6,799","6,572","5,096","2,295","2,227","3,001","2,233"
DORIS,Information requests received - Municipal Archives,"74,809","52,843","59,990","55,911","57,533","58,626","54,137","53,318","57,207","58,816"
DORIS,Percent of warehouse capacity available for new accessions,,,,,5%,6%,7%,6%,6%,10%
DORIS,Photographic reproduction requests received,"3,870","4,706","6,682","6,644","5,742","4,801","3,723","5,628","4,535","4,607"
DORIS,Publications and reports acquired,,,,"8,115","13,132","11,498","9,861","8,708","7,306","7,382"
DORIS,Records preserved,"523,191","638,486","536,054","404,374","253,487","240,091","907,439","286,665","277,675","241,515"
DORIS,Total information requests received (Municipal Archives & City Hall Library),"81,299","60,252","67,236","62,710","64,105","63,722","56,432","55,545","60,208","61,735"
DORIS,Vital record requests received,"28,636","26,001","32,901","32,155","35,473","37,505","33,394","31,624","34,387","35,474"
DORIS,Vital record requests responded to within 12 business days (%),87%,76%,62%,60%,71%,86%,86%,85%,83%,76%
DORIS,Volume of library collection,,,,"300,419","310,083","317,168","324,039","331,560","338,296","345,151"
DOT,Arterial highway system that is adopted (%),70.30%,64.40%,58.80%,68.80%,63.00%,65.30%,61.90%,61.30%,69.30%,66.30%
DOT,Audited adopted highway miles that receive cleanliness rating of good (%),94.00%,94.00%,95.80%,94.90%,94.80%,96.80%,99.30%,99.40%,100.00%,100.00%
DOT,Average cost per lane mile resurfaced citywide($),"$91,231 ","$83,231 ","$87,237 ","$92,786 ","$118,594 ","$137,113 ","$136,191 ","$166,203 ","$153,790 ","$150,830 "
DOT,Average cost per ton of asphalt placed citywide ($),$93.55 ,$93.44 ,$97.11 ,$99.56 ,$118.67 ,$141.40 ,$143.63 ,$172.39 ,$162.01 ,$149.56 
DOT,Average in-house cost of asphalt per ton ($),$29.67 ,$30.88 ,$33.45 ,$42.06 ,$44.01 ,$47.75 ,$51.17 ,$58.65 ,$63.18 ,$61.26 
DOT,Average time to close a pothole work order where repair was done (days),,,,,2.1,2.7,4.1,5.6,10.8,2.3
DOT,Average time to repair priority regulatory signs after notification (days),3.4,2.9,2.4,2.5,2.9,1.9,1.6,1.8,1.9,1.9
DOT,Average time to repair street lights - by ConEd (days),,,83.9,39.4,16.8,12.5,14,13.5,14.3,12.5
DOT,Average time to repair street lights - by DOT (days),,,19,9,2.4,2.5,2.4,2.2,2.2,2.5
DOT,Average time to respond to traffic signal defect and make safe (hours),,,,,,4,4.3,3.7,4.1,3.8
DOT,Average vehicular travel speed - Manhattan Central Business District,,,,,,,9.1,9.3,9.2,9.1
DOT,Average vendor cost of asphalt per ton ($),$36.30 ,$37.83 ,$43.74 ,$49.53 ,$56.69 ,$61.37 ,$73.67 ,$66.94 ,$69.06 ,$73.29 
DOT,Bicycle lane miles installed (each year),32.2,22.6,11.8,3.5,41.8,70.6,88.7,52.3,33.1,25.8
DOT,Bicycle network connectivity index,,,,249,388,582,919,"1,018","1,134","1,254"
DOT,Bicycle racks installed citywide (each year),218,356,250,523,320,"1,377","1,529",775,"2,750","1,286"
DOT,Bridges rated Fair (%),59.70%,57.00%,57.70%,58.00%,57.90%,58.20%,57.80%,58.10%,58.80%,58.40%
DOT,Bridges rated Poor (%),1.10%,1.10%,0.80%,0.50%,0.40%,0.40%,0.40%,0.50%,0.50%,0.40%
DOT,Bridges rated good or very good (%),39.30%,42.50%,41.50%,41.50%,41.70%,41.40%,41.80%,41.40%,40.70%,41.20%
DOT,Citywide traffic fatalities *,366,337,300,307,310,300,276,259,236,291
DOT,Construction permits issued,"179,460","189,399","200,421","214,016","227,435","253,893","268,915","244,091","264,532","325,839"
DOT,East River bridge projects (structural work) substantially completed on schedule (%),100%,100%,100%,,100%,100%,100%,,100%,
DOT,Inspected street work rated satisfactory (%),84%,72%,76%,76%,76%,77%,78%,75%,74%,76%
DOT,Inspections of permitted street work,"348,047","262,016","310,953","340,578","437,101","532,661","558,025","550,906","539,933","564,852"
