BOROUGH,GRADE LEVEL,PROGRAM TYPE,CORE SUBJECT,SERVICE CATEGORY,CLASS SIZE,NUMBER OF CLASSES,NUMBER OF STUDENTS,PERCENT OF STUDENTS IN BOROUGH / GRADE / PROGRAM / SUBJECT
M,09-12,GEN ED / CTT,ENGLISH,-,>34,46,1767,3%
M,09-12,GEN ED / CTT,MATH,-,<15,152,1874,3%
M,09-12,GEN ED / CTT,MATH,-,15,58,870,2%
M,09-12,GEN ED / CTT,MATH,-,16,56,896,2%
M,09-12,GEN ED / CTT,MATH,-,17,59,1003,2%
M,09-12,GEN ED / CTT,MATH,-,18,79,1422,3%
M,09-12,GEN ED / CTT,MATH,-,19,74,1406,3%
M,09-12,GEN ED / CTT,MATH,-,20,85,1700,3%
M,09-12,GEN ED / CTT,MATH,-,21,80,1680,3%
M,09-12,GEN ED / CTT,MATH,-,22,87,1914,4%
M,09-12,GEN ED / CTT,MATH,-,23,113,2599,5%
M,09-12,GEN ED / CTT,MATH,-,24,89,2136,4%
M,09-12,GEN ED / CTT,MATH,-,25,92,2300,4%
M,09-12,GEN ED / CTT,MATH,-,26,100,2600,5%
M,09-12,GEN ED / CTT,MATH,-,27,107,2889,5%
M,09-12,GEN ED / CTT,MATH,-,28,104,2912,5%
M,09-12,GEN ED / CTT,MATH,-,29,110,3190,6%
M,09-12,GEN ED / CTT,MATH,-,30,107,3210,6%
M,09-12,GEN ED / CTT,MATH,-,31,101,3131,6%
M,09-12,GEN ED / CTT,MATH,-,32,145,4640,9%
M,09-12,GEN ED / CTT,MATH,-,33,144,4752,9%
M,09-12,GEN ED / CTT,MATH,-,34,177,6018,11%
M,09-12,GEN ED / CTT,MATH,-,>34,32,1177,2%
M,09-12,GEN ED / CTT,SCIENCE,-,<15,171,2095,3%
M,09-12,GEN ED / CTT,SCIENCE,-,15,50,750,1%
M,09-12,GEN ED / CTT,SCIENCE,-,16,68,1088,1%
M,09-12,GEN ED / CTT,SCIENCE,-,17,72,1224,1%
M,09-12,GEN ED / CTT,SCIENCE,-,18,82,1476,2%
M,09-12,GEN ED / CTT,SCIENCE,-,19,67,1273,2%
M,09-12,GEN ED / CTT,SCIENCE,-,20,93,1860,2%
M,09-12,GEN ED / CTT,SCIENCE,-,21,117,2457,3%
M,09-12,GEN ED / CTT,SCIENCE,-,22,115,2530,3%
M,09-12,GEN ED / CTT,SCIENCE,-,23,165,3795,5%
M,09-12,GEN ED / CTT,SCIENCE,-,24,145,3480,4%
M,09-12,GEN ED / CTT,SCIENCE,-,25,132,3300,4%
M,09-12,GEN ED / CTT,SCIENCE,-,26,125,3250,4%
M,09-12,GEN ED / CTT,SCIENCE,-,27,157,4239,5%
M,09-12,GEN ED / CTT,SCIENCE,-,28,190,5320,6%
M,09-12,GEN ED / CTT,SCIENCE,-,29,155,4495,5%
M,09-12,GEN ED / CTT,SCIENCE,-,30,176,5280,6%
M,09-12,GEN ED / CTT,SCIENCE,-,31,184,5704,7%
M,09-12,GEN ED / CTT,SCIENCE,-,32,200,6400,8%
M,09-12,GEN ED / CTT,SCIENCE,-,33,283,9339,11%
M,09-12,GEN ED / CTT,SCIENCE,-,34,340,11560,14%
M,09-12,GEN ED / CTT,SCIENCE,-,>34,70,2713,3%
M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,<15,162,1976,3%
M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,15,54,810,1%
M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,16,58,928,1%
M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,17,55,935,1%
M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,18,65,1170,2%
M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,19,68,1292,2%
M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,20,84,1680,3%
M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,21,108,2268,4%
M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,22,109,2398,4%
M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,23,109,2507,4%
M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,24,102,2448,4%
M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,25,118,2950,5%
M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,26,118,3068,5%
M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,27,109,2943,5%
M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,28,128,3584,6%
M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,29,128,3712,6%
M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,30,117,3510,6%
M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,31,146,4526,7%
M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,32,145,4640,7%
M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,33,199,6567,10%
M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,34,230,7820,12%
M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,>34,51,1983,3%
M,09-12,SPEC ED,ENGLISH,-,<6,1,5,1%
M,09-12,SPEC ED,ENGLISH,-,6,3,18,2%
M,09-12,SPEC ED,ENGLISH,-,7,7,49,6%
M,09-12,SPEC ED,ENGLISH,-,8,5,40,4%
M,09-12,SPEC ED,ENGLISH,-,9,2,18,2%
M,09-12,SPEC ED,ENGLISH,-,10,17,170,19%
M,09-12,SPEC ED,ENGLISH,-,11,14,154,17%
M,09-12,SPEC ED,ENGLISH,-,12,8,96,11%
M,09-12,SPEC ED,ENGLISH,-,13,6,78,9%
M,09-12,SPEC ED,ENGLISH,-,14,11,154,17%
M,09-12,SPEC ED,ENGLISH,-,15,6,90,10%
M,09-12,SPEC ED,ENGLISH,-,>15,1,17,2%
M,09-12,SPEC ED,MATH,-,<6,2,10,2%
M,09-12,SPEC ED,MATH,-,6,3,18,3%
M,09-12,SPEC ED,MATH,-,8,1,8,1%
M,09-12,SPEC ED,MATH,-,9,4,36,6%
M,09-12,SPEC ED,MATH,-,10,7,70,12%
M,09-12,SPEC ED,MATH,-,11,7,77,13%
M,09-12,SPEC ED,MATH,-,12,6,72,13%
M,09-12,SPEC ED,MATH,-,13,6,78,14%
M,09-12,SPEC ED,MATH,-,14,6,84,15%
M,09-12,SPEC ED,MATH,-,15,7,105,18%
M,09-12,SPEC ED,MATH,-,>15,1,16,3%
M,09-12,SPEC ED,SCIENCE,-,<6,2,10,1%
M,09-12,SPEC ED,SCIENCE,-,6,3,18,2%
M,09-12,SPEC ED,SCIENCE,-,7,1,7,1%
M,09-12,SPEC ED,SCIENCE,-,8,8,64,8%
M,09-12,SPEC ED,SCIENCE,-,9,2,18,2%
M,09-12,SPEC ED,SCIENCE,-,10,10,100,13%
M,09-12,SPEC ED,SCIENCE,-,11,6,66,8%
M,09-12,SPEC ED,SCIENCE,-,12,3,36,5%
M,09-12,SPEC ED,SCIENCE,-,13,4,52,7%
M,09-12,SPEC ED,SCIENCE,-,14,7,98,12%
M,09-12,SPEC ED,SCIENCE,-,15,14,210,26%
M,09-12,SPEC ED,SCIENCE,-,>15,7,117,15%
M,09-12,SPEC ED,SOCIAL STUDIES,-,<6,2,10,1%
M,09-12,SPEC ED,SOCIAL STUDIES,-,6,2,12,2%
M,09-12,SPEC ED,SOCIAL STUDIES,-,7,4,28,4%
M,09-12,SPEC ED,SOCIAL STUDIES,-,8,4,32,5%
M,09-12,SPEC ED,SOCIAL STUDIES,-,9,3,27,4%
M,09-12,SPEC ED,SOCIAL STUDIES,-,10,5,50,7%
M,09-12,SPEC ED,SOCIAL STUDIES,-,11,4,44,6%
M,09-12,SPEC ED,SOCIAL STUDIES,-,12,6,72,11%
M,09-12,SPEC ED,SOCIAL STUDIES,-,13,8,104,15%
M,09-12,SPEC ED,SOCIAL STUDIES,-,14,8,112,16%
M,09-12,SPEC ED,SOCIAL STUDIES,-,15,6,90,13%
M,09-12,SPEC ED,SOCIAL STUDIES,-,>15,5,99,15%
Q,0K,GEN ED / CTT / G&T,-,-,<15,14,162,1%
Q,0K,GEN ED / CTT / G&T,-,-,15,4,60,0%
Q,0K,GEN ED / CTT / G&T,-,-,16,19,304,1%
Q,0K,GEN ED / CTT / G&T,-,-,17,24,408,2%
Q,0K,GEN ED / CTT / G&T,-,-,18,35,630,3%
Q,0K,GEN ED / CTT / G&T,-,-,19,45,855,4%
Q,0K,GEN ED / CTT / G&T,-,-,20,51,1020,5%
Q,0K,GEN ED / CTT / G&T,-,-,21,83,1743,9%
Q,0K,GEN ED / CTT / G&T,-,-,22,100,2200,11%
Q,0K,GEN ED / CTT / G&T,-,-,23,126,2898,14%
Q,0K,GEN ED / CTT / G&T,-,-,24,140,3360,16%
Q,0K,GEN ED / CTT / G&T,-,-,25,205,5125,25%
Q,0K,GEN ED / CTT / G&T,-,-,26,32,832,4%
Q,0K,GEN ED / CTT / G&T,-,-,27,12,324,2%
Q,0K,GEN ED / CTT / G&T,-,-,28,9,252,1%
Q,0K,GEN ED / CTT / G&T,-,-,29,5,145,1%
Q,0K,GEN ED / CTT / G&T,-,-,30,2,60,0%
Q,01,GEN ED / CTT / G&T,-,-,<15,7,87,0%
Q,01,GEN ED / CTT / G&T,-,-,15,7,105,1%
Q,01,GEN ED / CTT / G&T,-,-,16,7,112,1%
Q,01,GEN ED / CTT / G&T,-,-,17,22,374,2%
Q,01,GEN ED / CTT / G&T,-,-,18,27,486,2%
Q,01,GEN ED / CTT / G&T,-,-,19,35,665,3%
Q,01,GEN ED / CTT / G&T,-,-,20,53,1060,5%
Q,01,GEN ED / CTT / G&T,-,-,21,71,1491,7%
Q,01,GEN ED / CTT / G&T,-,-,22,81,1782,9%
Q,01,GEN ED / CTT / G&T,-,-,23,85,1955,9%
Q,01,GEN ED / CTT / G&T,-,-,24,118,2832,14%
Q,01,GEN ED / CTT / G&T,-,-,25,96,2400,12%
Q,01,GEN ED / CTT / G&T,-,-,26,82,2132,10%
Q,01,GEN ED / CTT / G&T,-,-,27,64,1728,8%
Q,01,GEN ED / CTT / G&T,-,-,28,60,1680,8%
Q,01,GEN ED / CTT / G&T,-,-,29,30,870,4%
Q,01,GEN ED / CTT / G&T,-,-,30,18,540,3%
Q,01,GEN ED / CTT / G&T,-,-,31,7,217,1%
Q,01,GEN ED / CTT / G&T,-,-,32,8,256,1%
Q,01,GEN ED / CTT / G&T,-,-,33,1,33,0%
Q,01,GEN ED / CTT / G&T,-,-,34,1,34,0%
Q,02,GEN ED / CTT / G&T,-,-,<15,9,96,0%
Q,02,GEN ED / CTT / G&T,-,-,15,4,60,0%
Q,02,GEN ED / CTT / G&T,-,-,16,4,64,0%
Q,02,GEN ED / CTT / G&T,-,-,17,9,153,1%
Q,02,GEN ED / CTT / G&T,-,-,18,13,234,1%
Q,02,GEN ED / CTT / G&T,-,-,19,25,475,2%
Q,02,GEN ED / CTT / G&T,-,-,20,35,700,3%
Q,02,GEN ED / CTT / G&T,-,-,21,58,1218,6%
Q,02,GEN ED / CTT / G&T,-,-,22,78,1716,9%
Q,02,GEN ED / CTT / G&T,-,-,23,98,2254,11%
Q,02,GEN ED / CTT / G&T,-,-,24,105,2520,13%
Q,02,GEN ED / CTT / G&T,-,-,25,91,2275,11%
Q,02,GEN ED / CTT / G&T,-,-,26,85,2210,11%
Q,02,GEN ED / CTT / G&T,-,-,27,76,2052,10%
Q,02,GEN ED / CTT / G&T,-,-,28,70,1960,10%
Q,02,GEN ED / CTT / G&T,-,-,29,26,754,4%
Q,02,GEN ED / CTT / G&T,-,-,30,21,630,3%
Q,02,GEN ED / CTT / G&T,-,-,31,13,403,2%
Q,02,GEN ED / CTT / G&T,-,-,32,11,352,2%
Q,03,GEN ED / CTT / G&T,-,-,<15,7,85,0%
Q,03,GEN ED / CTT / G&T,-,-,15,3,45,0%
Q,03,GEN ED / CTT / G&T,-,-,16,7,112,1%
Q,03,GEN ED / CTT / G&T,-,-,17,7,119,1%
Q,03,GEN ED / CTT / G&T,-,-,18,12,216,1%
Q,03,GEN ED / CTT / G&T,-,-,19,30,570,3%
Q,03,GEN ED / CTT / G&T,-,-,20,33,660,3%
Q,03,GEN ED / CTT / G&T,-,-,21,41,861,4%
Q,03,GEN ED / CTT / G&T,-,-,22,39,858,4%
Q,03,GEN ED / CTT / G&T,-,-,23,72,1656,8%
Q,03,GEN ED / CTT / G&T,-,-,24,76,1824,9%
Q,03,GEN ED / CTT / G&T,-,-,25,80,2000,10%
Q,03,GEN ED / CTT / G&T,-,-,26,88,2288,12%
Q,03,GEN ED / CTT / G&T,-,-,27,110,2970,15%
Q,03,GEN ED / CTT / G&T,-,-,28,88,2464,13%
Q,03,GEN ED / CTT / G&T,-,-,29,35,1015,5%
Q,03,GEN ED / CTT / G&T,-,-,30,32,960,5%
Q,03,GEN ED / CTT / G&T,-,-,31,18,558,3%
Q,03,GEN ED / CTT / G&T,-,-,32,10,320,2%
Q,03,GEN ED / CTT / G&T,-,-,33,1,33,0%
Q,04,GEN ED / CTT / G&T,-,-,<15,4,43,0%
Q,04,GEN ED / CTT / G&T,-,-,15,2,30,0%
Q,04,GEN ED / CTT / G&T,-,-,16,4,64,0%
Q,04,GEN ED / CTT / G&T,-,-,17,1,17,0%
Q,04,GEN ED / CTT / G&T,-,-,18,5,90,0%
Q,04,GEN ED / CTT / G&T,-,-,19,6,114,1%
Q,04,GEN ED / CTT / G&T,-,-,20,15,300,2%
Q,04,GEN ED / CTT / G&T,-,-,21,26,546,3%
Q,04,GEN ED / CTT / G&T,-,-,22,31,682,4%
Q,04,GEN ED / CTT / G&T,-,-,23,52,1196,6%
Q,04,GEN ED / CTT / G&T,-,-,24,52,1248,7%
Q,04,GEN ED / CTT / G&T,-,-,25,69,1725,9%
Q,04,GEN ED / CTT / G&T,-,-,26,75,1950,10%
Q,04,GEN ED / CTT / G&T,-,-,27,76,2052,11%
Q,04,GEN ED / CTT / G&T,-,-,28,92,2576,14%
Q,04,GEN ED / CTT / G&T,-,-,29,66,1914,10%
Q,04,GEN ED / CTT / G&T,-,-,30,48,1440,8%
Q,04,GEN ED / CTT / G&T,-,-,31,39,1209,6%
Q,04,GEN ED / CTT / G&T,-,-,32,38,1216,6%
Q,04,GEN ED / CTT / G&T,-,-,33,13,429,2%
Q,04,GEN ED / CTT / G&T,-,-,34,5,170,1%
Q,04,GEN ED / CTT / G&T,-,-,>34,1,35,0%
Q,05,GEN ED / CTT / G&T,-,-,<15,3,30,0%
Q,05,GEN ED / CTT / G&T,-,-,16,2,32,0%
Q,05,GEN ED / CTT / G&T,-,-,17,2,34,0%
Q,05,GEN ED / CTT / G&T,-,-,18,8,144,1%
Q,05,GEN ED / CTT / G&T,-,-,19,12,228,1%
Q,05,GEN ED / CTT / G&T,-,-,20,13,260,1%
Q,05,GEN ED / CTT / G&T,-,-,21,16,336,2%
Q,05,GEN ED / CTT / G&T,-,-,22,32,704,4%
Q,05,GEN ED / CTT / G&T,-,-,23,39,897,5%
Q,05,GEN ED / CTT / G&T,-,-,24,44,1056,5%
Q,05,GEN ED / CTT / G&T,-,-,25,75,1875,10%
Q,05,GEN ED / CTT / G&T,-,-,26,68,1768,9%
Q,05,GEN ED / CTT / G&T,-,-,27,67,1809,9%
Q,05,GEN ED / CTT / G&T,-,-,28,84,2352,12%
Q,05,GEN ED / CTT / G&T,-,-,29,71,2059,11%
Q,05,GEN ED / CTT / G&T,-,-,30,56,1680,9%
Q,05,GEN ED / CTT / G&T,-,-,31,35,1085,6%
Q,05,GEN ED / CTT / G&T,-,-,32,60,1920,10%
Q,05,GEN ED / CTT / G&T,-,-,33,12,396,2%
Q,05,GEN ED / CTT / G&T,-,-,34,11,374,2%
Q,05,GEN ED / CTT / G&T,-,-,>34,5,176,1%
Q,06,GEN ED / CTT / G&T,-,-,<15,7,78,0%
Q,06,GEN ED / CTT / G&T,-,-,15,5,75,0%
Q,06,GEN ED / CTT / G&T,-,-,16,4,64,0%
Q,06,GEN ED / CTT / G&T,-,-,17,4,68,0%
Q,06,GEN ED / CTT / G&T,-,-,18,5,90,0%
Q,06,GEN ED / CTT / G&T,-,-,19,10,190,1%
Q,06,GEN ED / CTT / G&T,-,-,20,16,320,2%
Q,06,GEN ED / CTT / G&T,-,-,21,9,189,1%
Q,06,GEN ED / CTT / G&T,-,-,22,24,528,3%
Q,06,GEN ED / CTT / G&T,-,-,23,28,644,3%
Q,06,GEN ED / CTT / G&T,-,-,24,36,864,5%
Q,06,GEN ED / CTT / G&T,-,-,25,39,975,5%
Q,06,GEN ED / CTT / G&T,-,-,26,53,1378,7%
Q,06,GEN ED / CTT / G&T,-,-,27,70,1890,10%
Q,06,GEN ED / CTT / G&T,-,-,28,71,1988,11%
Q,06,GEN ED / CTT / G&T,-,-,29,92,2668,14%
Q,06,GEN ED / CTT / G&T,-,-,30,121,3630,19%
Q,06,GEN ED / CTT / G&T,-,-,31,46,1426,8%
Q,06,GEN ED / CTT / G&T,-,-,32,33,1056,6%
Q,06,GEN ED / CTT / G&T,-,-,33,13,429,2%
Q,06,GEN ED / CTT / G&T,-,-,34,2,68,0%
Q,06,GEN ED / CTT / G&T,-,-,>34,2,70,0%
Q,07,GEN ED / CTT / G&T,-,-,<15,4,38,0%
Q,07,GEN ED / CTT / G&T,-,-,15,5,75,0%
Q,07,GEN ED / CTT / G&T,-,-,16,4,64,0%
Q,07,GEN ED / CTT / G&T,-,-,17,4,68,0%
Q,07,GEN ED / CTT / G&T,-,-,18,3,54,0%
Q,07,GEN ED / CTT / G&T,-,-,19,9,171,1%
Q,07,GEN ED / CTT / G&T,-,-,20,4,80,0%
Q,07,GEN ED / CTT / G&T,-,-,21,8,168,1%
Q,07,GEN ED / CTT / G&T,-,-,22,20,440,2%
Q,07,GEN ED / CTT / G&T,-,-,23,19,437,2%
Q,07,GEN ED / CTT / G&T,-,-,24,20,480,3%
Q,07,GEN ED / CTT / G&T,-,-,25,30,750,4%
Q,07,GEN ED / CTT / G&T,-,-,26,20,520,3%
Q,07,GEN ED / CTT / G&T,-,-,27,35,945,5%
Q,07,GEN ED / CTT / G&T,-,-,28,69,1932,10%
Q,07,GEN ED / CTT / G&T,-,-,29,98,2842,15%
Q,07,GEN ED / CTT / G&T,-,-,30,140,4200,22%
Q,07,GEN ED / CTT / G&T,-,-,31,73,2263,12%
Q,07,GEN ED / CTT / G&T,-,-,32,57,1824,10%
Q,07,GEN ED / CTT / G&T,-,-,33,30,990,5%
Q,07,GEN ED / CTT / G&T,-,-,34,10,340,2%
Q,07,GEN ED / CTT / G&T,-,-,>34,6,213,1%
Q,08,GEN ED / CTT / G&T,-,-,<15,7,86,0%
Q,08,GEN ED / CTT / G&T,-,-,15,4,60,0%
Q,08,GEN ED / CTT / G&T,-,-,16,4,64,0%
Q,08,GEN ED / CTT / G&T,-,-,17,5,85,0%
Q,08,GEN ED / CTT / G&T,-,-,18,5,90,0%
Q,08,GEN ED / CTT / G&T,-,-,19,4,76,0%
Q,08,GEN ED / CTT / G&T,-,-,20,4,80,0%
Q,08,GEN ED / CTT / G&T,-,-,21,10,210,1%
Q,08,GEN ED / CTT / G&T,-,-,22,17,374,2%
Q,08,GEN ED / CTT / G&T,-,-,23,16,368,2%
Q,08,GEN ED / CTT / G&T,-,-,24,18,432,2%
Q,08,GEN ED / CTT / G&T,-,-,25,26,650,3%
Q,08,GEN ED / CTT / G&T,-,-,26,40,1040,5%
Q,08,GEN ED / CTT / G&T,-,-,27,44,1188,6%
Q,08,GEN ED / CTT / G&T,-,-,28,73,2044,11%
Q,08,GEN ED / CTT / G&T,-,-,29,94,2726,14%
Q,08,GEN ED / CTT / G&T,-,-,30,123,3690,20%
Q,08,GEN ED / CTT / G&T,-,-,31,76,2356,12%
Q,08,GEN ED / CTT / G&T,-,-,32,60,1920,10%
Q,08,GEN ED / CTT / G&T,-,-,33,21,693,4%
Q,08,GEN ED / CTT / G&T,-,-,34,12,408,2%
Q,08,GEN ED / CTT / G&T,-,-,>34,8,281,1%
Q,09,GEN ED / CTT / G&T,-,-,<15,10,83,9%
Q,09,GEN ED / CTT / G&T,-,-,15,1,15,2%
Q,09,GEN ED / CTT / G&T,-,-,17,2,34,4%
Q,09,GEN ED / CTT / G&T,-,-,18,3,54,6%
Q,09,GEN ED / CTT / G&T,-,-,20,1,20,2%
Q,09,GEN ED / CTT / G&T,-,-,22,2,44,5%
Q,09,GEN ED / CTT / G&T,-,-,23,1,23,2%
Q,09,GEN ED / CTT / G&T,-,-,24,2,48,5%
Q,09,GEN ED / CTT / G&T,-,-,25,1,25,3%
Q,09,GEN ED / CTT / G&T,-,-,26,3,78,8%
Q,09,GEN ED / CTT / G&T,-,-,27,3,81,9%
Q,09,GEN ED / CTT / G&T,-,-,28,2,56,6%
Q,09,GEN ED / CTT / G&T,-,-,29,1,29,3%
Q,09,GEN ED / CTT / G&T,-,-,30,1,30,3%
Q,09,GEN ED / CTT / G&T,-,-,32,1,32,3%
Q,09,GEN ED / CTT / G&T,-,-,33,2,66,7%
Q,09,GEN ED / CTT / G&T,-,-,34,2,68,7%
Q,09,GEN ED / CTT / G&T,-,-,>34,2,142,15%
Q,0K-09,SPEC ED,-,12:1,<6,13,52,3%
Q,0K-09,SPEC ED,-,12:1,6,6,36,2%
Q,0K-09,SPEC ED,-,12:1,7,10,70,3%
Q,0K-09,SPEC ED,-,12:1,8,20,160,8%
Q,0K-09,SPEC ED,-,12:1,9,19,171,8%
Q,0K-09,SPEC ED,-,12:1,10,35,350,17%
Q,0K-09,SPEC ED,-,12:1,11,32,352,17%
Q,0K-09,SPEC ED,-,12:1,12,59,708,35%
Q,0K-09,SPEC ED,-,12:1,13,11,143,7%
Q,0K-09,SPEC ED,-,12:1:1,<6,22,87,1%
Q,0K-09,SPEC ED,-,12:1:1,6,31,186,3%
Q,0K-09,SPEC ED,-,12:1:1,7,38,266,4%
Q,0K-09,SPEC ED,-,12:1:1,8,44,352,5%
Q,0K-09,SPEC ED,-,12:1:1,9,80,720,11%
Q,0K-09,SPEC ED,-,12:1:1,10,94,940,14%
Q,0K-09,SPEC ED,-,12:1:1,11,129,1419,22%
Q,0K-09,SPEC ED,-,12:1:1,12,191,2292,35%
Q,0K-09,SPEC ED,-,12:1:1,13,19,247,4%
Q,0K-09,SPEC ED,-,6:1:1,6,2,12,100%
Q,MS Core,GEN ED / CTT,ENGLISH,-,<15,28,351,1%
Q,MS Core,GEN ED / CTT,ENGLISH,-,15,4,60,0%
Q,MS Core,GEN ED / CTT,ENGLISH,-,16,14,224,0%
Q,MS Core,GEN ED / CTT,ENGLISH,-,17,14,238,0%
Q,MS Core,GEN ED / CTT,ENGLISH,-,18,17,306,1%
Q,MS Core,GEN ED / CTT,ENGLISH,-,19,26,494,1%
Q,MS Core,GEN ED / CTT,ENGLISH,-,20,29,580,1%
Q,MS Core,GEN ED / CTT,ENGLISH,-,21,43,903,2%
Q,MS Core,GEN ED / CTT,ENGLISH,-,22,46,1012,2%
Q,MS Core,GEN ED / CTT,ENGLISH,-,23,66,1518,3%
Q,MS Core,GEN ED / CTT,ENGLISH,-,24,69,1656,3%
Q,MS Core,GEN ED / CTT,ENGLISH,-,25,89,2225,4%
Q,MS Core,GEN ED / CTT,ENGLISH,-,26,117,3042,5%
Q,MS Core,GEN ED / CTT,ENGLISH,-,27,156,4212,7%
Q,MS Core,GEN ED / CTT,ENGLISH,-,28,249,6972,12%
Q,MS Core,GEN ED / CTT,ENGLISH,-,29,302,8758,15%
Q,MS Core,GEN ED / CTT,ENGLISH,-,30,342,10260,17%
Q,MS Core,GEN ED / CTT,ENGLISH,-,31,216,6696,11%
Q,MS Core,GEN ED / CTT,ENGLISH,-,32,153,4896,8%
Q,MS Core,GEN ED / CTT,ENGLISH,-,33,71,2343,4%
Q,MS Core,GEN ED / CTT,ENGLISH,-,34,34,1156,2%
Q,MS Core,GEN ED / CTT,ENGLISH,-,>34,21,773,1%
Q,MS Core,GEN ED / CTT,MATH,-,<15,26,326,1%
Q,MS Core,GEN ED / CTT,MATH,-,15,13,195,0%
Q,MS Core,GEN ED / CTT,MATH,-,16,13,208,0%
Q,MS Core,GEN ED / CTT,MATH,-,17,12,204,0%
Q,MS Core,GEN ED / CTT,MATH,-,18,16,288,1%
Q,MS Core,GEN ED / CTT,MATH,-,19,26,494,1%
Q,MS Core,GEN ED / CTT,MATH,-,20,25,500,1%
Q,MS Core,GEN ED / CTT,MATH,-,21,40,840,2%
Q,MS Core,GEN ED / CTT,MATH,-,22,45,990,2%
Q,MS Core,GEN ED / CTT,MATH,-,23,57,1311,3%
Q,MS Core,GEN ED / CTT,MATH,-,24,66,1584,3%
Q,MS Core,GEN ED / CTT,MATH,-,25,72,1800,3%
Q,MS Core,GEN ED / CTT,MATH,-,26,103,2678,5%
Q,MS Core,GEN ED / CTT,MATH,-,27,133,3591,7%
Q,MS Core,GEN ED / CTT,MATH,-,28,210,5880,11%
Q,MS Core,GEN ED / CTT,MATH,-,29,255,7395,14%
Q,MS Core,GEN ED / CTT,MATH,-,30,300,9000,17%
Q,MS Core,GEN ED / CTT,MATH,-,31,200,6200,12%
Q,MS Core,GEN ED / CTT,MATH,-,32,148,4736,9%
Q,MS Core,GEN ED / CTT,MATH,-,33,68,2244,4%
Q,MS Core,GEN ED / CTT,MATH,-,34,31,1054,2%
Q,MS Core,GEN ED / CTT,MATH,-,>34,19,681,1%
Q,MS Core,GEN ED / CTT,SCIENCE,-,<15,16,197,0%
Q,MS Core,GEN ED / CTT,SCIENCE,-,15,6,90,0%
Q,MS Core,GEN ED / CTT,SCIENCE,-,16,13,208,0%
Q,MS Core,GEN ED / CTT,SCIENCE,-,17,12,204,0%
Q,MS Core,GEN ED / CTT,SCIENCE,-,18,18,324,1%
Q,MS Core,GEN ED / CTT,SCIENCE,-,19,24,456,1%
Q,MS Core,GEN ED / CTT,SCIENCE,-,20,23,460,1%
Q,MS Core,GEN ED / CTT,SCIENCE,-,21,46,966,2%
Q,MS Core,GEN ED / CTT,SCIENCE,-,22,42,924,2%
Q,MS Core,GEN ED / CTT,SCIENCE,-,23,61,1403,3%
Q,MS Core,GEN ED / CTT,SCIENCE,-,24,71,1704,3%
Q,MS Core,GEN ED / CTT,SCIENCE,-,25,81,2025,4%
Q,MS Core,GEN ED / CTT,SCIENCE,-,26,118,3068,6%
Q,MS Core,GEN ED / CTT,SCIENCE,-,27,149,4023,7%
Q,MS Core,GEN ED / CTT,SCIENCE,-,28,226,6328,11%
Q,MS Core,GEN ED / CTT,SCIENCE,-,29,277,8033,15%
Q,MS Core,GEN ED / CTT,SCIENCE,-,30,316,9480,17%
Q,MS Core,GEN ED / CTT,SCIENCE,-,31,203,6293,11%
Q,MS Core,GEN ED / CTT,SCIENCE,-,32,153,4896,9%
Q,MS Core,GEN ED / CTT,SCIENCE,-,33,70,2310,4%
Q,MS Core,GEN ED / CTT,SCIENCE,-,34,30,1020,2%
Q,MS Core,GEN ED / CTT,SCIENCE,-,>34,19,684,1%
Q,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,<15,17,213,0%
Q,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,15,9,135,0%
Q,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,16,13,208,0%
Q,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,17,10,170,0%
Q,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,18,16,288,1%
Q,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,19,22,418,1%
Q,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,20,23,460,1%
Q,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,21,39,819,1%
Q,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,22,49,1078,2%
Q,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,23,64,1472,3%
