EventName,EventTypeDescription,EventDescription,EventSetupStartDate,EventStartDate,EventEndDate,EventBreakDownEndDate,Acronym,IsRecurring,RecurringDaysNotes,Location,Borough,SpatialLocation
Bronx Week 2011-Food and Arts Festival,Street Festival,Food and Art Display as well as concert,5/22/11 10:00 AM,5/22/11 12:00 PM,5/22/11 6:00 PM,5/22/11 7:00 PM,SAPO,NO,,  MOSHOLU PARKWAY between BAINBRIDGE AVENUE and VAN CORTLAND AVENUE EAST,Bronx,"GEOMETRYCOLLECTION (LINESTRING (1017085.27860096 257206.444198828, 1016896.14510019 257812.952263194, 1016883.15333653 257876.590582485, 1016723.96043629 258548.5051519))"
Oversea Chinese Mission,Block Party,"Provide fun, prizes, and free service to the Chinatown community thru games, music, drama, and testimony sharing.",7/30/11 10:00 AM,7/30/11 10:00 AM,7/30/11 7:00 PM,7/30/11 7:00 PM,SAPO,NO,, HESTER STREET between ELIZABETH STREET and MOTT STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (985268 200716, 985052 200816))"
Stickball in Midtown,Block Party,This small Stickball event is to re-introduce Stickball to people who have not heard of it or for people that thought Stickball was long gone. We play Stickball in the Bronx every Sunday and would like to play 3 games in Brooklyn,5/7/11 9:00 AM,5/7/11 10:00 AM,5/7/11 3:00 PM,5/7/11 6:00 PM,SAPO,NO,, VANDERBILT AVENUE between EAST   42 STREET and EAST   44 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (990243 213403, 990502 213877))"
Community Celebratons of 20th Anniversary,Block Party,A celebration of school of the future's 20th year,5/21/11 11:00 AM,5/21/11 11:00 AM,5/21/11 5:00 PM,5/21/11 5:00 PM,SAPO,NO,, EAST   22 STREET between LEXINGTON AVENUE and PARK AVENUE SOUTH,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (987894 208705, 988342 208456))"
MNS Fest with Zest,Block Party,"One day event for P.S.290 with games, crafts, jumpy castles, and food.",5/14/11 10:00 AM,5/14/11 12:00 PM,5/14/11 5:00 PM,5/14/11 6:00 PM,SAPO,NO,,311 EAST   82 STREET between 1 AVENUE and 2 AVENUE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (997094 221740, 997749 221376))"
Jamaica Farmers Market,Farmers Market,Farmers Market,6/24/11 5:00 AM,6/24/11 7:00 AM,11/19/11 5:00 PM,11/19/11 7:00 PM,SAPO,Yes,Farmer's Market 6/24/11 - 11/19/11, 160 STREET between JAMAICA AVENUE and 90 AVENUE,Queens,"GEOMETRYCOLLECTION (LINESTRING (1039687 196259, 1039939 195736))"
16th Annual Fiesta San Juan Community Health Fair,Block Party,Health Fair,6/18/11 9:00 AM,6/18/11 9:00 AM,6/18/11 6:00 PM,6/18/11 6:00 PM,SAPO,NO,, WEST FARMS ROAD between HOE AVENUE and WESTCHESTER AVENUE,Bronx,"GEOMETRYCOLLECTION (LINESTRING (1014446 240123, 1014331 239859))"
Festival of Young Artists,Block Party,outdoor festival and performances by youth artists,6/11/11 10:00 AM,6/11/11 12:00 PM,6/11/11 5:00 PM,6/11/11 6:00 PM,SAPO,NO,, EAST    4 STREET between SECOND AVENUE and BOWERY,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (987180 203846, 986593 204175))"
Annual Children's Day Block Party,Block Party,"Annually, we have sponsored a day of fun for the children in the chinatown community and comunities at large. While one of our goals is to do some fundraising, our main goal is to sponsor an event where the children will have game, activities and free give-a-ways.",6/5/11 10:00 AM,6/5/11 12:00 PM,6/5/11 5:00 PM,6/5/11 6:00 PM,SAPO,NO,, HENRY STREET between PIKE STREET and RUTGERS STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (986329 199107, 986987 199181))"
8th Street Block Party,Block Party,Multiple activities for residents including children and adults,5/7/11 10:00 AM,5/7/11 12:00 PM,5/7/11 6:00 PM,5/7/11 6:00 PM,SAPO,NO,, 8 STREET between 7 AVENUE and 6 AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (989501 182465, 988845 182881))"
Spring clean-up and planting,Block Party,clean the block and refurbish the tree pits,5/14/11 9:00 AM,5/14/11 9:00 AM,5/14/11 2:00 PM,5/14/11 3:00 PM,SAPO,NO,, WEST   76 STREET between AMSTERDAM AVENUE and COLUMBUS AVENUE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (989859 223888, 990647 223452))"
Bangladesh League of America,Block Party,Music & Cultural Program,6/19/11 11:00 AM,6/19/11 1:00 PM,6/19/11 8:00 PM,6/19/11 8:00 PM,SAPO,NO,, 57 STREET between 37 AVENUE and 38 AVENUE,Queens,"GEOMETRYCOLLECTION (LINESTRING (1010510 212679, 1010320 212120))"
COMMUNITY BLOCK PARTY,Block Party,"YOUTH, FAMILY, FOOD AND FUN",5/14/11 12:00 PM,5/14/11 12:00 PM,5/14/11 9:00 PM,5/14/11 9:00 PM,SAPO,NO,, 94 AVENUE between 102 STREET and 104 STREET,Queens,"GEOMETRYCOLLECTION (LINESTRING (1027936 190421, 1028409 190598))"
Church of Jesus Christ of Latter Day Saints Block Party,Block Party,Non for profit chuch block party to raise money for youth and scouts summer camps. Food and rummage sale,5/14/11 9:00 AM,5/14/11 9:00 AM,5/14/11 4:00 PM,5/14/11 6:00 PM,SAPO,NO,, EAST   87 STREET between 2 AVENUE and 3 AVENUE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (997130 223272, 997752 222928))"
Pumpkin Fair,Block Party,Fundraiser,10/8/11 9:00 AM,10/8/11 11:00 AM,10/8/11 6:00 PM,10/8/11 6:00 PM,SAPO,NO,, 46 STREET between 43 AVENUE and QUEENS BOULEVARD,Queens,"GEOMETRYCOLLECTION (LINESTRING (1006875 210675, 1006778 210039))"
Strawberry Fair,Block Party,Fundraiser,6/11/11 11:00 AM,6/11/11 11:00 AM,6/11/11 6:30 PM,6/11/11 6:30 PM,SAPO,NO,, 46 STREET between 43 AVENUE and QUEENS BOULEVARD,Queens,"GEOMETRYCOLLECTION (LINESTRING (1006875 210675, 1006778 210039))"
A Community Affair  Family Friends Day,Block Party,Block Party,8/13/11 10:00 AM,8/13/11 10:00 AM,8/13/11 7:00 PM,8/13/11 7:00 PM,SAPO,NO,, EAST  183 STREET between SOUTHERN BOULEVARD and PROSPECT AVENUE,Bronx,"GEOMETRYCOLLECTION (LINESTRING (1016806 249364, 1016391 249523))"
Bangladesh Community Street Festival,Block Party,Bangladesh Cultural Show,9/18/11 11:00 AM,9/18/11 11:00 AM,9/18/11 8:00 PM,9/18/11 8:00 PM,SAPO,NO,, ELDERT LANE between GLENMORE AVENUE and LIBERTY AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1021593 186661, 1021665 186211))"
Israeli Independence Day Festival,Block Party,Fun-filled day of games,5/10/11 12:00 PM,5/10/11 4:00 PM,5/10/11 8:00 PM,5/10/11 8:00 PM,SAPO,NO,, INDEPENDENCE AVENUE between WEST  232 STREET and WEST  235 STREET,Bronx,"GEOMETRYCOLLECTION (LINESTRING (1007514 261667, 1008035 262220))"
St. Ignatius International June Street Fair,Block Party,A one-day fund-raising event sponsored by St. Ignatius Loyola School for the families of the school and the Church community.,6/10/11 2:00 PM,6/10/11 5:00 PM,6/10/11 8:00 PM,6/10/11 9:00 PM,SAPO,NO,, EAST   84 STREET between MADISON AVENUE and PARK AVENUE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (995391 223287, 995836 223040))"
United Together,Block Party,"community all day event with food . music, fun, games , gospel",6/25/11 11:00 AM,6/25/11 11:00 AM,6/25/11 8:00 PM,6/25/11 8:00 PM,SAPO,NO,,118 MAUJER STREET between BUSHWICK AVENUE and HUMBOLT STREET,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1000767 198398, 1000300 198340))"
Farmers Market  Harvest Festival,Block Party,Street Festival with farmers open to the public,10/15/11 9:00 AM,10/15/11 11:00 AM,10/15/11 4:00 PM,10/15/11 6:00 PM,SAPO,NO,, 160 STREET between JAMAICA AVENUE and 90 AVENUE,Queens,"GEOMETRYCOLLECTION (LINESTRING (1039939 195736, 1039687 196259))"
Hunter College Elementary Spring Carnival,Block Party,"Outdoor family activities, used book sale, activity booths",5/22/11 9:00 AM,5/22/11 10:00 AM,5/22/11 4:00 PM,5/22/11 6:00 PM,SAPO,NO,, EAST   95 STREET between MADISON AVENUE and PARK AVENUE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (996807 225842, 997253 225595))"
Oldtimer's Stickball,Block Party,Stickball Block Party game,5/7/11 11:00 AM,5/7/11 12:00 PM,5/7/11 6:00 PM,5/7/11 7:00 PM,SAPO,NO,, RUTGERS STREET between MADISON STREET and CHERRY STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (987030 198913, 987096 198402))"
Oldtimer's Stickball Game,Block Party,Oldtimer's Stickball Block Party Games,6/11/11 11:00 AM,6/11/11 12:00 PM,6/11/11 6:00 PM,6/11/11 7:00 PM,SAPO,NO,, RUTGERS STREET between MADISON STREET and CHERRY STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (987030 198913, 987096 198402))"
Oldtimer's Stickball Game,Block Party,Oldtimer's Stickball game,7/16/11 11:00 AM,7/16/11 12:00 PM,7/16/11 6:00 PM,7/16/11 7:00 PM,SAPO,NO,, RUTGERS STREET between MADISON STREET and CHERRY STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (987030 198913, 987096 198402))"
Oldtimer's Stickball Game,Block Party,Oldtimer's Stickball Block party games,8/13/11 11:00 AM,8/13/11 12:00 PM,8/13/11 6:00 PM,8/13/11 7:00 PM,SAPO,NO,, RUTGERS STREET between MADISON STREET and CHERRY STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (987030 198913, 987096 198402))"
Oldtimer's Stickball Game,Block Party,Oldtimer's Stickball block party game,9/3/11 11:00 AM,9/3/11 12:00 PM,9/3/11 6:00 PM,9/3/11 7:00 PM,SAPO,NO,, RUTGERS STREET between MADISON STREET and CHERRY STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (987030 198913, 987096 198402))"
Touch a Truck,Block Party,"An event where kids can get up close and personal with working vehicles they encounter in everyday life -- fire engine, police car, ambulance, construction trucks, etc. Also food trucks (we hope, and all licensed food vendors of course).",4/9/11 8:00 AM,4/9/11 11:00 AM,4/9/11 2:00 PM,4/9/11 4:00 PM,SAPO,NO,,  18 STREET between 6 AVENUE and 7 AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (987689.366442007 179878.491908255, 987732.001085641 179801.385826339), LINESTRING (987613.00488264 179999.879607931, 987689.366442007 179878.491908255), LINESTRING (987171.444174448 180351.253552526, 987613.00488264 179999.879607931))"
PARK SLOPE CHAMBER OF COMMERCE SEVENTH HEAVEN FESTIVAL,Street Festival,Street Festival,6/19/11 10:00 AM,6/19/11 12:00 PM,6/19/11 6:00 PM,6/19/11 7:00 PM,SAPO,NO,, SEVENTH AVENUE between FLATBUSH AVENUE and 16 STREET,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (991724 186291, 988385 180709))"
Farragut Homeowners Civic Association,Clean-Up,24 homes on Farragut Road from Nostrand Ave to New York Ave,6/18/11 9:00 AM,6/18/11 9:00 AM,6/18/11 1:00 PM,6/18/11 1:00 PM,SAPO,NO,, FARRAGUT ROAD between NOSTRAND AVENUE and NEW YORK AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (998678 171090, 999481 171156))"
Brookdale Hospital Annual Community Health-Street Fair,Block Party,"Health Teaching, Free Health Screening, Entertainment",6/18/11 8:00 AM,6/18/11 10:00 AM,6/18/11 4:30 PM,6/18/11 5:30 PM,SAPO,NO,, ROCKAWAY PARKWAY between LINDEN BOULEVARD and CHURCH AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1008576 177608, 1007929 178364))"
La Escuelita Carnival,Block Party,Block Party,5/6/11 12:00 PM,5/6/11 5:00 PM,5/6/11 7:00 PM,5/6/11 9:00 PM,SAPO,NO,, WEST   91 STREET between WEST END AVENUE and RIVERSIDE DRIVE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (991025 227850, 990593 228088))"
Hinsdale Linden Block Association,Block Party,Hinsdale Linden Block Association,8/27/11 11:00 AM,8/27/11 11:00 AM,8/27/11 8:00 PM,8/27/11 8:00 PM,SAPO,NO,,672 HINSDALE STREET between NEW LOTS AVENUE and LINDEN BOULEVARD,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1012661 179688, 1012816 178898))"
2011 Sports Day,Block Party,"End of the year celebration for the students and staff. Games, activities and food.",6/10/11 9:00 AM,6/10/11 9:00 AM,6/10/11 3:00 PM,6/10/11 4:00 PM,SAPO,NO,,681 KELLY STREET between AVENUE SAINT JOHN and LEGGETT AVENUE,Bronx,"GEOMETRYCOLLECTION (LINESTRING (1011208 236324, 1011790 236539))"
Ave. T and U East 37th Street Block Party,Block Party,Neighborhood block party,9/10/11 10:00 AM,9/10/11 10:00 AM,9/10/11 7:00 PM,9/10/11 7:00 PM,SAPO,NO,,2148 EAST   37 STREET between AVENUE T and AVENUE U,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1004024 161012, 1004530 160417))"
IS 52 4th Annual Arts Festival,Block Party,A celebration of our schools Arts Programs for the year.,6/11/11 9:00 AM,6/11/11 10:00 AM,6/11/11 4:00 PM,6/11/11 5:00 PM,SAPO,NO,, ACADEMY STREET between BROADWAY and VERMILYEA AVENUE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (1004993 254916, 1005165 254563))"
Hancock Street Block Association,Block Party,Block Party,7/16/11 10:00 AM,7/16/11 10:00 AM,7/16/11 6:00 PM,7/16/11 6:00 PM,SAPO,NO,, HANCOCK STREET between RALPH AVENUE and PATCHEN AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1004627 188935, 1005535 189073))"
reboot test 1,Street Festival,test,1/1/15 12:00 AM,1/1/15 12:00 AM,1/1/15 4:00 PM,1/1/15 5:00 PM,SAPO,NO,, 8 AVENUE between WEST   52 STREET and WEST   53 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (988352 217457, 988479 217685))"
reboot test 2,Street Festival,test,2/1/15 12:00 AM,2/1/15 12:00 AM,2/1/15 4:00 PM,2/1/15 6:00 PM,SAPO,NO,, WEST   41 STREET between 8 AVENUE and 9 AVENUE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (986944 214915, 986170 215374))"
10th  Stuyvesant Streets Block Party,Block Party,"Our 40th annual block party featuring mainly antiques, collecitbles, books, live jazz and Veselka peirogi. Our only",9/10/11 9:00 AM,9/10/11 10:00 AM,9/10/11 5:00 PM,9/10/11 6:00 PM,SAPO,NO,, EAST   10 STREET between 2 AVENUE and 3 AVENUE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (987906 205154, 987284 205499))"
New Jersey Ave Block Association  700 blk,Block Party,various outdoor activities including carnival type games and inflatable rides,8/20/11 11:00 AM,8/20/11 11:00 AM,8/20/11 8:00 PM,8/20/11 8:00 PM,SAPO,NO,, NEW JERSEY AVE between NEW LOTS AVENUE and HEGEMAN AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1014116 180540, 1014538 179855))"
block party,Block Party,block party,5/21/11 10:00 AM,5/21/11 10:00 AM,5/21/11 7:00 PM,5/21/11 7:00 PM,SAPO,NO,, EAST   54 STREET between AVENUE D and CLARENDON ROAD,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1004925 173320, 1004863 174157))"
ALABAMA AVENUE BLOCK PARTY,Block Party,BLOCK PARTY,7/9/11 10:00 AM,7/9/11 10:00 AM,7/9/11 7:00 PM,7/9/11 7:00 PM,SAPO,NO,, ALABAMA AVENUE between LIVONIA AVENUE and RIVERDALE AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1012870 181328, 1012978 180773))"
Calhoun School Spring Fair,Block Party,"The fair is open to the public and sponsored by the Parent's Association of the Calhoun School.  Proceeds benefits the school, but the primary focus is community building.",5/7/11 9:00 AM,5/7/11 11:00 AM,5/7/11 5:00 PM,5/7/11 6:00 PM,SAPO,NO,, WEST   81 STREET between WEST END AVENUE and RIVERSIDE DRIVE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (989732 225515, 989388 225705))"
Block Party,Block Party,street party,7/16/11 10:00 AM,7/16/11 10:00 AM,7/16/11 7:00 PM,7/16/11 7:00 PM,SAPO,NO,, ATKINS AVENUE between BLAKE AVENUE and DUMONT AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1018107 183518, 1018214 182957))"
Greene Acres Community Garden 10th Anniversary,Block Party,"Celebration with DJ , local live music, tours of the community garden, free eat healthy BBQ , info on environmental awareness & healthy eating.",5/14/11 10:00 AM,5/14/11 10:00 AM,5/14/11 7:00 PM,5/14/11 7:00 PM,SAPO,NO,, FRANKLIN AVENUE between GREENE AVENUE and CLIFTON PLACE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (996179 189838, 996139 190105))"
CINCO DE MAYO FESTIVAL,Block Party,BUILDING A HOME-SCHOOL RELATIONSHIP THROUGHOUT A CULTURAL CELEBRATION.,5/7/11 8:00 AM,5/7/11 10:00 AM,5/7/11 3:00 PM,5/7/11 4:00 PM,SAPO,NO,,850 KENT AVENUE between PARK AVENUE and MYRTLE AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (995406 193003, 995533 192200))"
East 42 Street Block Party,Block Party,Block Party,7/9/11 11:00 AM,7/9/11 12:00 PM,7/9/11 7:00 PM,7/9/11 8:00 PM,SAPO,NO,, EAST   42 STREET between LINDEN BOULEVARD and LENOX ROAD,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1001373 177307, 1001327 177865))"
Cinco de Mayo  Mother's Day Celebration,Block Party,A community Block party event to celebrate Cinco de Mayo  Mother's Day for the 2nd year.  Will have a stage with community groups performing.,5/8/11 10:00 AM,5/8/11 10:00 AM,5/8/11 7:00 PM,5/8/11 7:00 PM,SAPO,NO,, 43 STREET between 1 AVENUE and 2 AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (980075 177679, 980685 177184))"
Health Fair Concert,Block Party,"Provide health information to the community, breast cancer awareness with entertainment with music, sell merchandise etc.",9/24/11 10:00 AM,9/24/11 12:00 PM,9/24/11 5:00 PM,9/24/11 6:00 PM,SAPO,NO,, WEST  164 STREET between ST NICHOLAS AVENUE and BROADWAY,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (1000854 244485, 1000385 244744))"
New Vision Block Association,Block Party,Neighbors communicating with each other and making plans for a better block.,8/20/11 11:00 AM,8/20/11 11:00 AM,8/20/11 8:00 PM,8/20/11 8:00 PM,SAPO,NO,, SCHENCK AVENUE between LIVONIA AVENUE and DUMONT AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1015575 182444, 1015685 181884))"
PPUABA ANNUAL BLOCK PARTY,Block Party,A block party called by our block association.,5/14/11 10:00 AM,5/14/11 11:00 AM,5/14/11 6:00 PM,5/14/11 7:00 PM,SAPO,NO,, UNDERHILL AVENUE between PROSPECT PLACE and PARK PLACE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (993688 185949, 993599 185629))"
Serrell Avenue Block Party,Block Party,Block Party,8/6/11 1:00 PM,8/6/11 1:00 PM,8/6/11 9:00 PM,8/6/11 9:00 PM,SAPO,NO,, SERRELL AVENUE between WAINWRIGHT AVENUE and POMPEY AVENUE,Staten Island,"GEOMETRYCOLLECTION (LINESTRING (937267 138779, 936478 138645))"
Union Street Merchants Association Block Party,Block Party,"A block party showcasing small business in Flushing, featuring the Union Street Merchants Association.",5/8/11 8:00 AM,5/8/11 9:00 AM,5/8/11 5:00 PM,5/8/11 7:00 PM,SAPO,NO,, 37 AVENUE between 138 STREET and UNION STREET,Queens,"GEOMETRYCOLLECTION (LINESTRING (1031437 216900, 1032032 217094))"
Montgomery St. Block Association,Block Party,MBA 2nd Annual Block Party,7/23/11 8:00 AM,7/23/11 11:00 AM,7/23/11 6:00 PM,7/23/11 7:00 PM,SAPO,NO,, MONTGOMERY STREET between BEDFORD AVENUE and ROGERS AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (996218 181819, 997098 181757))"
Williams and Georgia Block Party,Block Party,"music,rides and bar bq for thefamily of williams and georgia",8/20/11 9:00 AM,8/20/11 9:00 AM,8/20/11 8:00 PM,8/20/11 8:00 PM,SAPO,NO,,574 DUMONT AVENUE between GEORGIA AVENUE and WILLIAMS AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1013014 181942, 1012503 181842))"
BFS End of Year Party,Block Party,"As we did last year, this is an end of year celebration for our community.  We will be celebrating the head of our preschool who is retiring.",5/17/11 12:00 PM,5/17/11 3:00 PM,5/17/11 7:00 PM,5/17/11 7:00 PM,SAPO,NO,,  PEARL STREET between WILLOUGHBY STREET and DEAD END,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (987536.738876969 191868.451592451, 987526.190810616 191491.733357074))"
CGPS Street Fair,Block Party,"School Street Fair (grades PK-12) Food, games, activities for children",5/14/11 9:00 AM,5/14/11 10:00 AM,5/14/11 4:00 PM,5/14/11 5:00 PM,SAPO,NO,, WEST   94 STREET between CENTRAL PARK WEST and COLUMBUS AVENUE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (993766 227230, 992982 227666))"
Bel-pit Block Association,Block Party,BLOCK PARTY,7/9/11 10:00 AM,7/9/11 10:00 AM,7/9/11 7:00 PM,7/9/11 7:00 PM,SAPO,NO,, DOSCHER STREET between PITKIN AVENUE and BELMONT AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1019569 185331, 1019657 184868))"
Mount Lebanon Baptist Church Women's Ministry,Block Party,"Mount Lebanon Baptist Church members will celebrate with their Family and Friends. The event will consist of various food , games and activities throughout the day.",8/20/11 9:00 AM,8/20/11 10:00 AM,8/20/11 6:00 PM,8/20/11 7:00 PM,SAPO,NO,,n/a CLAY AVENUE between EAST  165 STREET and PARK AVENUE,Bronx,"GEOMETRYCOLLECTION (LINESTRING (1008338 241010, 1008153 240560))"
East 38th Street 2001 Block Association,Clean-Up,Block Clean-up,6/18/11 8:00 AM,6/18/11 8:00 AM,6/18/11 12:00 PM,6/18/11 12:00 PM,SAPO,NO,, EAST   38 STREET between FARRAGUT ROAD and GLENWOOD ROAD,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1000806 171265, 1000873 170438))"
Block Party,Block Party,East 38th Street 2001 Block Association Family and Friends Day,7/30/11 11:00 AM,7/30/11 11:00 AM,7/30/11 8:00 PM,7/30/11 8:00 PM,SAPO,NO,, EAST   38 STREET between FARRAGUT ROAD and GLENWOOD ROAD,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1000806 171265, 1000873 170438))"
Eggrolls and Eggcreams Block Party,Block Party,A festival that takes place on the street and in the synagogue:  Chinese and Jewish folk artists and musicians demonstrate and perform thier various art forms to visitors.,6/12/11 9:00 AM,6/12/11 12:00 PM,6/12/11 4:00 PM,6/12/11 5:00 PM,SAPO,NO,,12 ELDRIDGE STREET between CANAL STREET and DIVISION STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (986079 199900, 985927 199512))"
Coleman Street block party,Block Party,block closing,7/30/11 10:00 AM,7/30/11 10:00 AM,7/30/11 7:00 PM,7/30/11 7:00 PM,SAPO,NO,, COLEMAN STREET between AVENUE S and AVENUE T,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1004311 162280, 1004817 161686))"
San Miguel Birthday,Block Party,Religious Ceremony,9/29/11 2:00 PM,9/29/11 3:00 PM,9/29/11 6:00 PM,9/29/11 7:00 PM,SAPO,NO,, MORRIS AVENUE between EAST  193 STREET and EAST KINGSBRIDGE ROAD,Bronx,"GEOMETRYCOLLECTION (LINESTRING (1012759 254893, 1012928 255180))"
Block Clean Up,Clean-Up,Clean up on E40th Street between Farragut and Glenwood Roads,5/21/11 9:00 AM,5/21/11 9:00 AM,5/21/11 12:00 PM,5/21/11 12:00 PM,SAPO,NO,, EAST   40 STREET between FARRAGUT ROAD and GLENWOOD ROAD,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1001324 171308, 1001392 170481))"
"MG CHILDREN, ELDERLY  HEALTH FAIR FESTIVAL OF WEST 107TH STREET",Block Party,"An Entertainment and Health Orientation Event for Children, Senior Citizens and People of all Ages within the Community.",7/23/11 10:00 AM,7/23/11 12:00 PM,7/23/11 5:00 PM,7/23/11 6:00 PM,SAPO,NO,, WEST  107 STREET between MANHATTAN AVENUE and COLUMBUS AVENUE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (995052 230496, 994667 230710))"
Lag B'omer Picnic,Block Party,The Riverdale Community gathers with their families to enjoy the Food and rides.,5/22/11 9:00 AM,5/22/11 11:00 AM,5/22/11 2:00 PM,5/22/11 2:00 PM,SAPO,NO,, WEST  235 STREET between INDEPENDENCE AVENUE and DOUGLAS AVENUE,Bronx,"GEOMETRYCOLLECTION (LINESTRING (1008035 262220, 1007287 262411))"
HEALTH FAIR,Block Party,"Blood pressure,diabetic.High singing and kids playing.",6/18/11 9:00 AM,6/18/11 10:00 AM,6/18/11 5:00 PM,6/18/11 5:00 PM,SAPO,NO,, ARLINGTON PLACE between HALSEY STREET and MACON STREET,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (997751 187618, 997793 187350))"
The Jack and Jill Spring Fair,Block Party,"A fair for preschoolers with games, arts & crafts, food and rides.",4/30/11 9:00 AM,4/30/11 12:00 PM,4/30/11 4:00 PM,4/30/11 6:00 PM,SAPO,NO,, EAST   16 STREET between 3 AVENUE and RUTHERFORD PLACE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (988071 206918, 988470 206697))"
Health Fair,Block Party,Free health services for community,5/21/11 9:00 AM,5/21/11 10:00 AM,5/21/11 3:00 PM,5/21/11 4:00 PM,SAPO,NO,, EAST    7 STREET between AVENUE D and AVENUE C,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (990770 202714, 990110 203080))"
BLOCK PARTY,Block Party,Block party for East 40th Street Progressive Block Association,8/6/11 9:00 AM,8/6/11 10:00 AM,8/6/11 7:00 PM,8/6/11 7:00 PM,SAPO,NO,, EAST   40 STREET between FARRAGUT ROAD and GLENWOOD ROAD,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1001324 171308, 1001392 170481))"
YOM HAATZMAUT,Block Party,ISRAEL INDEPENDENCE DAY CELEBRATION,5/10/11 9:00 AM,5/10/11 10:00 AM,5/10/11 12:00 PM,5/10/11 1:00 PM,SAPO,NO,, EAST   78 STREET between PARK AVENUE and MADISON AVENUE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (994602 221865, 995049 221616))"
Young Bucks Sports Summer Stickball Tournament,Block Party,2 Day stickball tournament for local youth and community residents to promote heatlth and anti violence,7/2/11 9:00 AM,7/2/11 10:00 AM,7/2/11 4:00 PM,7/2/11 4:00 PM,SAPO,NO,, 120 STREET between 1 AVENUE and PLEASANT AVENUE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (1002657 230233, 1003681 229667))"
NYU Earth Day Street Fair,Block Party,"NYU's EarthMatters undergraduate environmental club hosts the Earth Day Street Fair, where local representatives from environmental organizations and companies can table on Washington Place to help raise awareness as to a variety of local and global environmental issues on a very important day for the environmental community. In the past there has also been a live band and free food stationed on the block for the NYU community and Greenwich Village residents to enjoy.",4/22/11 9:00 AM,4/22/11 10:00 AM,4/22/11 4:00 PM,4/22/11 5:00 PM,SAPO,NO,, WASHINGTON PLACE between WASHINGTON SQUARE EAST and GREENE STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (985341 205292, 985550 205154))"
