name,boro,geo_dist,projdesc,award,consttype,buildingid,Location 1
P.S. 329,K,21,WINDOWS/ROOFS,4659000,CIP,K329,"2929 30 STREET
Brooklyn, NY 11212
(40.5746069203897, -73.99625853857127)"
P.S. 33,X,10,"GUTTERS, DOWNSPOUTS & DRAINGAGE/FLOOD/EXT MASONRY",2965000,CIP,X033,"2424 JEROME AVENUE
Bronx, NY 10468
(40.86194912850306, -73.90165549892143)"
P.S. 34,K,14,ROOFS,1297000,CIP,K034,"131 NORMAN AVENUE
Brooklyn, NY 11222
(40.72614326106391, -73.94966946764082)"
P.S. 34,Q,29,PLAYGROUND & TCU REMOVAL,1375500,CIP,Q034,"104 12 SPRINGFIELD BLVD
QUEENS VILLAGE, NY 11428
(40.721396964798146, -73.74193729726841)"
P.S. 36,M,5,REINFORCE SUPPRT ELEMT/MASONRY/FLOOD/PARAPET/ ROOF,7179000,CIP,M036,"123 MORNINGSIDE DRIVE
New York, NY 10027
(40.81034589186436, -73.95760614504678)"
P.S. 36,R,31,PARAPETS,617000,CIP,R036,"255 IONIA AVENUE
Staten Island, NY 10312
(40.54294395216458, -74.18245006610681)"
P.S. 37,Q,29,FLOOD ELMNTN,4627000,CIP,Q037,"179 37 137 AVENUE
JAMAICA, NY 11434
(40.6769452621142, -73.77530690169215)"
P.S. 370,K,21,PLAYGROUND REDEVELOPMENT,2587000,CIP,K370,"3000 1 STREET
Brooklyn, NY 11224
(40.577497294548174, -73.96958337858405)"
P.S. 370,K,21,WINDOWS/FLOOD ELIMNTN/MASONRY/ROOFS/PARAPETS,6920000,CIP,K370,"3000 1 STREET
Brooklyn, NY 11224
(40.577497294548174, -73.96958337858405)"
P.S. 373 (SP ED) @R040,R,31,ROOFS/PARAPETS,824000,CIP,R040,"91 HENDERSON AVENUE
Staten Island, NY 10301
(40.64071111953775, -74.09531252948968)"
P.S. 384,K,32,LL 41/16 COMPLIANCE,275000,CIP,K384,"242 COOPER STREET
Brooklyn, NY 11221
(40.69009686200851, -73.90500308262318)"
P.S. 4,R,31,FY09 RESO A TECHNOLOGY,90290.18,CIP,R004,
P.S. 40,Q,28,CEC REQUEST-TOILETS STUDENTS,889000,CIP,Q040,
P.S. 40,Q,28,EXTERIOR MASONRY/PARAPETS,2520000,CIP,Q040,
P.S. 40,Q,28,PLAYGROUND REDEVELOPMENT,1424537,CIP,Q040,
P.S. 41,M,2,SWB-EXTERIOR MASONRY/WINDOWS/AUD. CEILING/PARAPETS,3447868,CIP,M041,"116 11 STREET
New York, NY 10011
(40.735686525332646, -73.99904466974961)"
P.S. 41,Q,26,MASONRY SUPPORT REPAIR/PARAPETS,2564500,CIP,Q041,"214 43 35 AVENUE
BAYSIDE, NY 11261
(40.773606900238235, -73.77481079967868)"
P.S. 41,R,31,FY10 RESO A PA SYSTEMS,448000,CIP,R041,"216 CLAWSON STREET
Staten Island, NY 10306
(40.574024158045525, -74.10928336025026)"
P.S. 45,R,31,TOILETS STUDENTS,999999,CIP,R045,"58 LAWRENCE AVENUE
Staten Island, NY 10310
(40.62863428073003, -74.10718417740732)"
P.S. 45,R,31,WATER PENETRATION,579900,CIP,R045,"58 LAWRENCE AVENUE
Staten Island, NY 10310
(40.62863428073003, -74.10718417740732)"
P.S. 46,K,13,SCIENCE DEMO ROOM,376999,CIP,K046,"100 CLERMONT AVENUE
Brooklyn, NY 11205
(40.694634881525445, -73.9711875089949)"
P.S. 46,M,5,SCIENCE DEMO LAB,512000,CIP,M046,
P.S. 46,Q,26,CORRIDOR SPACES,290000,CIP,Q046,"64 45 218TH STREET
QUEENS, NY 11364
(40.745924680379744, -73.75790275560763)"
P.S. 48,K,20,EXT MASONRY/PARAPETS/ROOFS,5315000,CIP,K048,
P.S. 50,Q,28,SWB EXT MASONRY/PARAPETS/ROOFS,1900000,CIP,Q050,"143 26 101 AVENUE
JAMAICA, NY 11435
(40.70119264912154, -73.80979665579099)"
P.S. 50,R,31,BOILER REPLACEMENT/CLIMATE CONTROL,3330000,CIP,R050,"200 ADELAIDE AVENUE
Staten Island, NY 10306
(40.561729222740695, -74.12474473444865)"
P.S. 50,X,12,FLOOD ELIMINATION,818000,CIP,X050,"1550 VYSE AVENUE
Bronx, NY 10460
(40.83380386816254, -73.88769223705626)"
P.S. 50 (UDC & ECF),M,4,PLANYC BOILER CONVERSION/PLANYC CLIMATE CONTROL,3174000,CIP,M050,"433 100 STREET
New York, NY 10029
(40.78556522081211, -73.94222449721103)"
P.S. 51 (ECC),Q,27,EXTERIOR MASONRY,1023000,CIP,Q051,"87 45 117TH STREET
QUEENS, NY 11418
(40.69637041236467, -73.84031024991805)"
P.S. 52,Q,29,SWB EXT MASONRY,2700000,CIP,Q052,"178 37 146 TERRACE
SPRINGFIELD GARDENS, NY 11434
(40.6769452621142, -73.77530690169215)"
P.S. 53,R,31,FENCING/PAVED AREAS-CONCRETE,675000,CIP,R053,"330 DURANT AVENUE
Staten Island, NY 10308
(40.55253899268856, -74.13710643405284)"
P.S. 54,R,31,PARAPETS/ROOFS/WINDOWS/EXT MASONRY,5847000,CIP,R054,"1060 WILLOWBROOK RD
Staten Island, NY 10314
(40.60321556338597, -74.13792964309168)"
P.S. 55,Q,28,SWB-BULGING MASONRY/PARAPETS,4795000,CIP,Q055,"131 10 97 AVENUE
RICHMOND HILL, NY 11419
(40.68871379040917, -73.82288833053201)"
P.S. 55,R,31,ROOFS/CEC REQUEST-MASONRY/FLOOD ELMNTN/PARAPETS,1890000,CIP,R055,"54 OSBORNE STREET
Staten Island, NY 10312
(40.53686781464157, -74.16332659953605)"
P.S. 55,X,9,EXTERIOR MASONRY/PARAPETS,1285000,CIP,X055,"450 SAINT PAUL'S PLACE
Bronx, NY 10456
(40.836276563944345, -73.90461113077222)"
P.S. 56,K,13,PLANYC CLIMATE/BOILER CONTROL,5240000,CIP,K056,"170 GATES AVENUE
Brooklyn, NY 11238
(40.68503684353989, -73.960643681102)"
P.S. 57,R,31,PLANYC PLAYGROUND,613715.9,CIP,R057,"140 PALMA DRIVE
Staten Island, NY 10304
(40.61136129612238, -74.08283106498078)"
P.S. 6 (PS 600B),K,17,BLDG MANAGEMENT SYSTEM,2269000,CIP,K006,
P.S. 6 (PS 600B),K,17,EXT MASONRY/ROOFS,773000,CIP,K006,
P.S. 60,X,8,FLOOD/EXT MASONRY/CEC REQUEST-PARAPET/ROOFS/WINDOW,14619000,CIP,X060,"888 REV J A POLITE AVE
Bronx, NY 10459
(40.82552621616202, -73.89313106784448)"
P.S. 61,X,12,FIRE ALARM,349119,CIP,X061,"1550 CROTONA PARK
Bronx, NY 10460
(40.836569959473785, -73.89295310872916)"
P.S. 61,X,12,IP SURVEILLANCE CAMERAS,1528000,CIP,X061,"1550 CROTONA PARK
Bronx, NY 10460
(40.836569959473785, -73.89295310872916)"
P.S. 64,X,9,BATHROOMS 4TH & 5TH FLR,508499,CIP,X064,"1425 WALTON AVENUE
Bronx, NY 10452
(40.8401115358764, -73.91558081775857)"
P.S. 66,Q,27,FLOOD ELIMINATION/EXT MASONRY/PARAPETS,1110000,CIP,Q066,"85 11 102 STREET
RICHMOND HILL, NY 11418
(40.69637041236467, -73.84031024991805)"
P.S. 66 (RICHARD R GREEN),M,2,CAFE MULTIPURPOSE ROOM,482000,CIP,M066,"421 88 STREET
New York, NY 10028
(40.62102637693336, -74.02858656018857)"
P.S. 68,X,11,ELEVATORS & ESCALATORS,688000,CIP,X068,"4011 MONTICELLO AVENUE
Bronx, NY 10466
(40.89141479468151, -73.83837769297637)"
P.S. 69,R,31,FENCING,234000,CIP,R069,"144 KEATING PLACE
Staten Island, NY 10314
(40.59169714382341, -74.15650379993006)"
P.S. 7,X,10,ROOFS/EXT MASONRY/PARAPETS,4700000,CIP,X007,"3201 KINGSBRIDGE AVENUE
Bronx, NY 10463
(40.881013909978904, -73.90547390792568)"
P.S. 71,Q,24,FLOOD ELIMINATION,408990,CIP,Q071,"62 85 FOREST AVENUE
RIDGEWOOD, NY 11385
(40.70122489161548, -73.88334858436963)"
P.S. 72,X,8,BATHROOM,668000,CIP,X072,"2951 DEWEY AVENUE
Bronx, NY 10465
(40.822539080023574, -73.81850425419442)"
P.S. 721 OTC,K,21,TILTED FIELD LIGHTING,1396800,CIP,K722,"64 AVENUE
Brooklyn, NY 11223
(40.596939623165156, -73.97331147204676)"
P.S. 721 OTC SP ED,M,2,FLOOD ELIMINATION,1897000,CIP,M641,"250 HOUSTON ST
MANHATTAN, NY 10014
(40.72862785368122, -74.00542114697957)"
P.S. 73,K,23,SWB EXT MSNRY/SWB PARAPETS/SWB FLOOD/ROOFS,3084000,CIP,K073,"251 MCDOUGAL STREET
Brooklyn, NY 11233
(40.68032732647815, -73.91089377023927)"
P.S. 75,X,8,ROOFS/EXT MASONRY,2549000,CIP,X075,"984 FAILE STREET
Bronx, NY 10459
(40.822818392634325, -73.88942113898915)"
P.S. 754 (@X155),X,7,CAFE/MULTIPURPOSE RM UPGRADE/FLOOD ELIMINATION,1230000,CIP,X155,"470 JACKSON AVENUE
BRONX, NY 10455
(40.81117582303449, -73.90975689502312)"
P.S. 754 (@X155),X,7,FY11 REOS A LIBRARY UPGRADE,299155,CIP,X155,"470 JACKSON AVENUE
BRONX, NY 10455
(40.81117582303449, -73.90975689502312)"
P.S. 76,Q,30,EXTERIOR MASONRY/PARAPETS,2284875,CIP,Q076,"36 36 10 STREET
QUEENS, NY 11103
(40.76286893025696, -73.91327185810974)"
P.S. 76,X,11,MASONRY/PARAPETS/FLOOD ELMNTN/ROOFS,4042000,CIP,X076,"900 ADEE AVENUE
Bronx, NY 10469
(40.86957454109854, -73.8614028579785)"
P.S. 78,X,11,AUDITORIUM UPGRADE/STUDENT TOILETS,715000,CIP,X078,"1400 NEEDHAM AVENUE
Bronx, NY 10469
(40.87847023359842, -73.8513380848076)"
P.S. 79,Q,25,ELEC SYSTEMS,258100,CIP,Q079,"147 27 15 DRIVE
WHITESTONE, NY 11357
(40.78628404147537, -73.81123206101074)"
P.S. 8,R,31,ELEC SYSTEM,790000,CIP,R008,"112 LINDENWOOD ROAD
Staten Island, NY 10308
(40.54764073027023, -74.1517569152093)"
P.S. 80 (PETRIDES BLDG B),R,31,WINDOWS/EXT MASONRY,3228000,CIP,R880,
P.S. 81,Q,24,FLOOD ELIM/STRUCTURAL:FLOOR SYS/EXT MASONRY,1274800,CIP,Q081,"559 CYPRESS AVENUE
RIDGEWOOD, NY 11237
(40.70373293561221, -73.91225035614077)"
P.S. 81,X,10,FLOOD ELIMINATION,474000,CIP,X081,"5550 RIVERDALE AVENUE
Bronx, NY 10471
(40.903559546831026, -73.90520839316682)"
P.S. 81 ANNEX (@Q848),Q,24,FLOOD ELIMINATION/EXT MASONRY,2390270,CIP,Q848,
P.S. 811 (OL 187 - CMCH),Q,26,LL 41/16 COMPLIANCE,954000,CIP,Q811,"61 25 MARATHON PKWY
QUEENS, NY 11362
(40.759074216601846, -73.73430017711144)"
P.S. 811 (OL 187 - CMCH),Q,26,LOW VOLTAGE,560000,CIP,Q811,"61 25 MARATHON PKWY
QUEENS, NY 11362
(40.759074216601846, -73.73430017711144)"
P.S. 811(@ M841),M,3,WORK REQUIRED TO OBTAIN C OF O,1880750,CIP,M841,"466 END AVENUE
NEW YORK, NY 10024
(40.78362556816552, -73.96653900057436)"
P.S. 82,Q,28,WATER PENETRATION,1120000,CIP,Q082,"88 02 144 STREET
QUEENS, NY 11435
(40.70119264912154, -73.80979665579099)"
P.S. 83,X,11,ACCESSIBILITY,3377000,CIP,X083,"950 RHINELANDER AVENUE
Bronx, NY 10462
(40.849332468676785, -73.85933122663833)"
P.S. 85,Q,30,FLOOD ELMNTN/ROOFS/EXT MASONRY/PARAPETS,3111000,CIP,Q085,"23 70 31 STREET
QUEENS, NY 11105
(40.780092072491186, -73.90960650023976)"
P.S. 85,X,10,RETAINING WALL,1596000,CIP,X085,"2400 MARION AVENUE
Bronx, NY 10458
(40.859331900138066, -73.89472052099663)"
P.S. 86,K,32,FLOOD ELMNTN/EXT MASONRY,4269000,CIP,K086,"220 IRVING AVENUE
Brooklyn, NY 11237
(40.7007452458598, -73.91749723727719)"
P.S. 86,X,10,ELEVATORS & ESCALATORS,747400,CIP,X086,"2756 RESERVOIR AVENUE
Bronx, NY 10468
(40.869715575827065, -73.89880422371779)"
P.S. 9,K,13,PAVED AREA - BLACKTOP,974000,CIP,K009,
P.S. 9 (OLD 115),X,10,ACCESSIBILITY,6177000,CIP,X009,"230 183 STREET
Bronx, NY 10458
(40.8571875830873, -73.89936166242526)"
P.S. 90,Q,27,ELEC SYSTEMS,778000,CIP,Q090,"86 50 109 STREET
RICHMOND HILL, NY 11418
(40.69637041236467, -73.84031024991805)"
P.S. 90,Q,27,SWB - EMERGENCY MASONRY REPAIRS/PARAPETS,3769000,CIP,Q090,"86 50 109 STREET
RICHMOND HILL, NY 11418
(40.69637041236467, -73.84031024991805)"
P.S. 90,X,9,EXTERIOR MASONRY/RETAINING WALLS,1857000,CIP,X090,"1116 SHERIDAN AVENUE
Bronx, NY 10456
(40.83197402670032, -73.91794566527413)"
P.S. 93,K,13,FLOORS,1748375,CIP,K093,"31 NEW YORK AVENUE
Brooklyn, NY 11216
(40.679147761017056, -73.94682098403624)"
P.S. 94,K,15,PLANYC PLAYGROUND,264500,CIP,K094,"5010 6TH AVENUE
Brooklyn, NY 11220
(40.64372817395559, -74.0082060957207)"
P.S. 95,K,21,EXT MASONRY/WINDOWS,3373000,CIP,K095,"345 VAN SICKLEN STREET
Brooklyn, NY 11223
(40.595683557953876, -73.97512954825021)"
P.S./I.S. 217 ROOSEVELT ISLAND,M,2,ROOFS/EXT MASONRY/WINDOWS/PARAPETS,8444000,CIP,M271,"645 MAIN STREET
New York, NY 10044
(40.76494453865442, -73.94703392787746)"
PARK EAST ALT HS,M,4,FY10 RESO A SCIENCE LAB,759354,CIP,M495,"230 34 EAST 105 STREET
New York, NY 10029
(40.79161072055837, -73.94403228106489)"
PARK EAST ALT HS,M,4,WATER DAMAGE & MASONRY/ROOF/PARAPETS/WINDOWS,2887000,CIP,M495,"230 34 EAST 105 STREET
New York, NY 10029
(40.79161072055837, -73.94403228106489)"
PS 102 Addition,Q,24,Addition,56222000,CAP,Q102,"55 24 Van Horn St
Elmhurst, NY 11373
(40.73871040256307, -73.87835115518163)"
PS 13 Addition,Q,24,Addition,41250000,CAP,Q013,"55 01 94th St
Elmhurst, NY 11373
(40.73871040256307, -73.87835115518163)"
PS 130,M,2,SWB-WINDOWS,1327000,CIP,M130,"143 BAXTER STREET
New York, NY 10013
(40.7186139475248, -73.99859121725036)"
PS 133,K,13,New,66224000,CAP,K317,"610 Baltic St
Brooklyn, NY 11217
(40.68047819552629, -73.98070466529857)"
PS 143,Q,24,FY10 RESO A PA SYSTEM,189000,CIP,Q143,"34 74 113 STREET
CORONA, NY 11368
(40.749678220373596, -73.85304068857687)"
PS 160 Annex,K,20,Addition,38772000,CAP,K160,"5105 Fort Hamilton Pkwy
Brooklyn, NY 11219
(40.637367859169615, -73.99911127943953)"
PS 186 COMPUTER LAB,X,12,FLOOD ELIMINATION/EXTERIOR RAMPS & CANOPIES,968700,CIP,X136,"750 JENNINGS STREET
Bronx, NY 10459
(40.8318681052202, -73.89748338090764)"
PS 196 Addition,Q,28,Addition,29800000,CAP,Q196,"71 25 113th St
Forest Hills, NY 11375
(40.720707263029794, -73.84628429608335)"
PS 264,K,20,New,39814903,CAP,K264,"8818 4th Ave
Brooklyn, NY 11209
(40.62112765715576, -74.02907223284222)"
PS 280,Q,30,Lease,6230000,CAP,Q280,"34 20 94th St
Jackson Heights, NY 11372
(40.75163073936716, -73.88361254528269)"
PS 280,Q,30,Lease,7250000,CAP,Q280,"34 20 94th St
Jackson Heights, NY 11372
(40.75163073936716, -73.88361254528269)"
PS 29 Addition,Q,25,Addition,20180000,CAP,Q029,"125 10 23rd Ave
College Point, NY 11356
(40.7849280967543, -73.84181070040347)"
PS 290,Q,24,DEMOLITION FOR PS 290,3370000,CIP,Q290,"55 20 METROPOLITAN AVE
RIDGEWOOD, NY 11385
(40.70122489161548, -73.88334858436963)"
PS 292,X,11,New,31927000,CAP,X292,"800 Lydig Ave
Bronx, NY 10462
(40.85441144971648, -73.86385184249058)"
PS 310,K,20,New,26400000,CAP,K310,"942 62nd St
Brooklyn, NY 11219
(40.632432204151364, -74.00762713591367)"
PS 331,K,20,New,51133300,CAP,K331,"7002 4th Ave
Brooklyn, NY 11209
(40.633713521609366, -74.02392108137985)"
PS 333 @ 198,Q,27,SCIENCE DEMO ROOM UPGRADE,670000,CIP,Q198,"3 65 BEACH 56 STREET
QUEENS, NY 11692
(40.593133885620375, -73.79540208463845)"
PS 42 Addition,Q,27,Addition,43065000,CAP,Q042,"488 Beach 66th St
Arverne, NY 11692
(40.59475372321819, -73.79529882397365)"
PS 43,Q,27,FIRE ALARM SYSTEM,1982000,CIP,Q043,"160 BEACH 29TH STREET
ROCKAWAY, NY 11691
(40.594515128003, -73.76182654029463)"
PS 51,M,2,New,54730000,CAP,M338,"525 44th St
New York, NY 10036
(40.761366217679694, -73.99547864190042)"
PS 71,R,31,New,53450000,CAP,R071,"1050 Targee St
Staten Island, NY 10304
(40.60412964758937, -74.09118595249046)"
PS 8 Addition,K,13,Addition,21230000,CAP,K008,"37 Hicks St
Brooklyn, NY 11201
(40.700668802148385, -73.9932378538064)"
PS 916,M,5,Lease,0,CAP,M916,"168 Morningside Ave
New York, NY 10027
(40.81245030541294, -73.95327141286555)"
PS/IS 177,X,10,New,48888000,CAP,X177,"3177 Webster Ave
Bronx, NY 10467
(40.87277450072955, -73.8752514350975)"
PS/IS 277,Q,28,New,47135000,CAP,Q277,"153 27 88th Ave
Jamaica, NY 11432
(40.71311535449007, -73.79282099978928)"
PS/IS 281,M,2,New,47580000,CAP,M281,"425 35th St
New York, NY 10016
(40.74436150165521, -73.97273509303172)"
PS/IS 312,Q,30,New,47820000,CAP,Q312,"46 08 5th St
Long Island City, NY 11101
(40.74570244980828, -73.93866902925225)"
PS/IS 784,X,11,New,0,CAP,X784,"1500 Pelham Pkwy
Bronx, NY 10461
(40.85710649548991, -73.84367515955307)"
Pave Charter School,K,15,New,25933333,CAP,K990,"732 Henry St
Brooklyn, NY 11231
(40.67592711246962, -74.00338737261256)"
RICHMOND HILL HS,Q,27,SWB - EXT MASONRY/WINDOWS/ROOFS,9333000,CIP,Q475,"89 30 114 STREET
QUEENS, NY 11418
(40.69637041236467, -73.84031024991805)"
SARAH J HALE VOCATIONAL HS,K,15,ACCESSIBILITY/SAFETY,2450000,CIP,K655,"345 DEAN STREET
Brooklyn, NY 11217
(40.68371105568558, -73.98061564042008)"
SCH FOR CLASSICS:ACAD OF THINK,K,19,NEW SCIENCE LAB SUITE,845000,CIP,K218,"370 FOUNTAIN AVENUE
Brooklyn, NY 11208
(40.67070199017694, -73.8742292684109)"
SCHOOL OF THE FUTURE @MD BACON,M,2,FLOOD ELIMINATION,618000,CIP,M660,"127 22 STREET
NEW YORK, NY 10010
(40.73900208799275, -73.98552809234425)"
SCHOOL SAFETY PARKING LOT,Q,30,SCHOOL SAFETY PARKING LOT,2648000,CIP,Q751,"43 30 DUTCH KILLS STREET
LONG ISLAND CITY, NY 11101
(40.74570244980828, -73.93866902925225)"
SEWARD PARK HS,M,2,CAFETERIA MULTIPURPOSE RM UPG,929000,CIP,M445,"350 GRAND STREET
New York, NY 10002
(40.716852373698316, -73.98959502962896)"
SOUTH SHORE HS,K,18,ROOFS/EXT MASONRY/PARAPETS,18887000,CIP,K515,"6565 FLATLANDS AVENUE
BROOKLYN, NY 11236
(40.63268510415105, -73.91781691770764)"
STUYVESANT HS (NEW),M,2,EXT MASONRY/ROOFS,7752000,CIP,M477,
Settlement Housing PS/IS/HS,X,78,New,83300000,CAP,X240,"1501 Jerome Ave
Bronx, NY 10452
(40.84236125885491, -73.91619367568833)"
Suspension Center - Bronx,X,78,Lease,7335500,CAP,X988,"1231 Lafayette Ave
Bronx, NY 10474
(40.81655388322442, -73.89020247936504)"
TAFT HS,X,9,PLANYC BOILER CONVERSION/PLANYC CLIMATE CTRL,10174000,CIP,X410,"240 172 STREET
BRONX, NY 10457
(40.84038797720987, -73.9108816444482)"
TELECOM ARTS & TECHNOLOGY H.S.,K,20,EXT MASONRY,4138000,CIP,K485,"350 67TH ST
Brooklyn, NY 11220
(40.63726462862678, -74.02385245520922)"
THEODORE ROOSEVELT H.S.,X,10,FLOORS,1593000,CIP,X435,"500 FORDHAM ROAD
Bronx, NY 10458
(40.85990614640288, -73.88817875264016)"
THEODORE ROOSEVELT H.S.,X,10,SWB - COPPER SIDING,1500000,CIP,X435,"500 FORDHAM ROAD
Bronx, NY 10458
(40.85990614640288, -73.88817875264016)"
TOTTENVILLE H.S.,R,31,FY10 RESO A AF REPLACEMENT,1452882,CIP,R455,"100 LUTEN AVENUE
Staten Island, NY 10312
(40.52826198723337, -74.19217697672369)"
TOTTENVILLE HS,R,31,WINDOWS,7960000,CIP,R455,"100 LUTEN AVENUE
Staten Island, NY 10312
(40.52826198723337, -74.19217697672369)"
The Spruce Street Educational,M,2,New,34146385.86,CAP,M971,"12 Spruce St
New York, NY 10038
(40.71174136432668, -74.00596371272646)"
URBAN ASSEMBLY ACADEMY,M,2,GIRLS SHOWER ROOM,1014300,CIP,M445,"350 GRAND STREET
New York, NY 10002
(40.716852373698316, -73.98959502962896)"
WAGNER HS,R,31,FY06 RESO A ATHLETIC FIELD,5799000,CIP,R460,"1200 MANOR ROAD
Staten Island, NY 10314
(40.59771088831585, -74.12366587081469)"
WATER'S EDGE EDUCATIONAL COMPL,K,13,ELEVATOR UPGRADE,764398,CIP,K805,"49 FLATBUSH AVE EXTENSION
BROOKLYN, NY 11201
(40.69721149151847, -73.98496543482732)"
YOUNG WOMENS' LEADERSHIP SCHOO,Q,28,IP SURVEILLANCE CAMERAS,1047000,CIP,Q680,"150 91 87TH ROAD
JAMAICA, NY 11433
(40.698104881734935, -73.7875740339145)"
