Organization Name,Zip Code,Main Phone #,Discipline Code,Council District,Community Board,Borough,Location 1
Kalavant Center for Music and Dance,10003,(212) 475-2348,Music,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"326 11th Street
New York, NY
(40.668003109210346, -73.9874460353919)"
"Kathak Ensemble & Friends Caravan, Inc.",10009,(212) 673-1282,"Multi-Discipline, Performing",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"141 3rd Street
New York, NY
(40.756053999992105, -73.9869510002884)"
"Keen Theater Company, Inc.",10018,(212) 216-0963,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"520 8th Avenue
New York, NY
(40.75376054978079, -73.99232896859803)"
"Keep Rising to the Top, Inc.",10029,(212) 410-9426,Dance,Manhattan Council District #8,Manhattan Community Board #11,Manhattan,"119 102 Street
New York, NY
(40.79743845697299, -73.96642830544616)"
"Keigwin and Company, Inc.",10018,(212) 278-0691,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"246 38th Street
New York, NY
(40.59350209076893, -73.99303996689655)"
"Kenkeleba House, New York",10009,(212) 674-3939,Visual Arts,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"214 Second Street
New York, NY
(40.67627488663582, -73.98880274383113)"
"Kentler International Drawing Space, Inc.",11231,(718) 875-2098,Visual Arts,Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn,"353 Van Brunt Street
Brooklyn, NY
(40.677118434980386, -74.01313933917372)"
"Keys to the Future Festival, Inc.",10011,(212) 242-2691,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"200 20th Street
New York, NY
(40.60245551987388, -74.00531949965273)"
Kids Creative 404 Inc,10004,(646) 485-5123,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"32 Broadway
New York, NY
(40.70604252290616, -74.01308532103428)"
Kinding Sindaw Melayu Heritage,10012,(917) 710-2335,Folk Arts,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"47 Great Jones Street
New York, NY
(40.726726929580025, -73.99250883300391)"
"King Manor Association of Long Island, Inc.",11432,(718) 206-0545,Museum,Queens Council District #24,Queens Community Board #12,Queens,"90 04 161 Street
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
"Kings County Shakespeare Company, Inc.",11217,(718) 398-2546,Theater,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,"138 Oxford Street
Brooklyn, NY
(40.57919497088509, -73.93801486860956)"
Kings Majestic Corporation,11217,(718) 230-2526,"Multi-Discipline, Performing",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,"651 Fulton Street
Brooklyn, NY
(40.688198677932405, -73.97907767888206)"
Kingsborough Community College Auxiliary Enterprises Corp.,11235,(718) 368-4539,"Multi-Discipline, Performing",Brooklyn Council District #48,Brooklyn Community Board #15,Brooklyn,"2001 Oriental Boulevard
Brooklyn, NY
(40.57812797666047, -73.93294842536075)"
"Kingsbridge Heights Community Center, Inc.",10463,(718) 884-0700 x111,"Multi-Discipline, Non-Perform",Bronx Council District #14,Bronx Community Board #8,Bronx,"3101 Kingsbridge Terrace
Bronx, NY
(40.877585488561785, -73.90026905620573)"
Knickerbocker Chamber Orchestra,10272,(212) 267-3102,Music,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"838 New
York, NY
(43.20390300022325, -76.94420299966868)"
Knowledge Project,10038,(212) 346-9933,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"111 John Street
New York, NY
(40.70770072454058, -74.00572695110161)"
Korean Community Service of Metropolitan New York,11358,(718) 886-8203,Dance,Queens Council District #20,Queens Community Board #7,Queens,"35 56 159th Street
Flushing, NY
(40.76461099979775, -73.8234619999713)"
KowTeff School of African Dance,11216,(718) 789-5870,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #36,Brooklyn Community Board #10,Brooklyn,"168 Macon Street
Brooklyn, NY
(40.68166344208012, -73.94429196145003)"
"Kundiman, Inc.",11104,(347) 693-6506,Literature,Manhattan Council District #8,Manhattan Community Board #8,Manhattan,
"Kunqu Society, Inc.",11357,(718) 352-0070,Folk Arts,Queens Council District #20,Queens Community Board #7,Bronx,"199 36 24th Avenue
Whitestone, NY
(40.79499499981938, -73.81857000010541)"
Kupferberg Center Performances,11367,(718) 997-2785,"Multi-Discipline, Performing",Queens Council District #24,Queens Community Board #8,Queens,"65 30 Kissena Boulevard
Flushing, NY
(40.76461099979775, -73.8234619999713)"
"L'Opera Francais de New York, Inc.",10185,(212) 632-5565,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"33 New
York, NY
(43.20390300022325, -76.94420299966868)"
"LAByrinth, Inc.",10018,(212) 513-1018,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"307 38th Street
New York, NY
(40.654245643761435, -74.00721680973501)"
LEA,10040,(212) 543-0682,"Multi-Discipline, Non-Perform",Manhattan Council District #10,Manhattan Community Board #12,Manhattan,"341 Wadsworth Avenue
New York, NY
(40.85543477797766, -73.93083256281913)"
LEMUR,11215,(212) 431-1130 x12,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn,"461 Third Avenue
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
"La Asociacion Benefica Cultural Padre Billini, Inc.",11369,(718) 651-8427,Dance,Queens Council District #24,Queens Community Board #3,Queens,"25 28 89th Street
Jackson Heights, NY
(40.751979000030815, -73.88282399992767)"
La Casa de la Herencia Cultural Puertorriquena,10029,(212) 722-2600,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #8,Manhattan Community Board #11,Manhattan,"1230 Fifth Avenue
New York, NY
(40.79327675974827, -73.95185048405926)"
"La Donna Dance, Inc.",10003,(212) 982-1227,Dance,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"140 Second Avenue
New York, NY
(40.7289932210939, -73.9873647109963)"
"La Mama Experimental Theater Club, Inc.",10003,(212) 254-6468,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"74A 4th Street
New York, NY
(40.57308301728766, -74.11901668001637)"
"La Troupe Makandal, Inc.",11203,(718) 953-6638,"Multi-Discipline, Performing",Brooklyn Council District #40,Brooklyn Community Board #9,Brooklyn,"621 Rutland Road
Brooklyn, NY
(40.660078892188075, -73.94013778726743)"
LaGuardia Performing Arts Center,11101,(718) 482-5301,"Multi-Discipline, Performing",Queens Council District #26,Queens Community Board #1,Queens,"31 10 Thomson Avenue
Long Island City, NY
(40.74468399996658, -73.94850800004417)"
LaGuardia and Wagner Archives,11101,(718) 482-5301,Humanities,Queens Council District #26,Queens Community Board #2,Queens,"31 10 Thomson Avenue
Long Island City, NY
(40.74468399996658, -73.94850800004417)"
"LaMicro Theater, Inc.",10011,(212) 929-0332,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"20019 New
York, NY
(43.20390300022325, -76.94420299966868)"
"Landmark West, Inc.",10023,(212) 496-8110,Architecture/Design,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"45 67th Street
New York, NY
(40.63954885142252, -74.02998241507515)"
Lark Theatre Company,10019,(212) 246-2676 x23,Theater,Manhattan Council District #6,Manhattan Community Board #4,Manhattan,"939 Eighth Avenue
New York, NY
(40.76588341073574, -73.98348863305)"
"Latin American Cultural Center of Queens, Inc.",11424,(718) 261-7664,"Multi-Discipline, Performing",Queens Council District #24,Queens Community Board #3,Queens,"120 55 Queens Boulevard
Kew Gardens, NY
(40.70830699966825, -73.83076699959736)"
Latin American Theater Experiment & Associates,10701,(212) 529-1948,Theater,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,"20673 New
York, NY
(43.20390300022325, -76.94420299966868)"
Latin American Theatre Ensemble Inc.,10019,(212) 397-3262,Theater,Manhattan Council District #8,Manhattan Community Board #11,Manhattan,"350 51st Street
New York, NY
(40.64645764918918, -74.014107022542)"
"Latino International Theater Festival of New York, Inc.",10016,(212) 695-4010,Theater,Manhattan Council District #2,Manhattan Community Board #6,Manhattan,"142 27th Street
New York, NY
(40.66066022440338, -74.00139124495037)"
"Laundromat Project, Inc.",11233,(718) 574-0798,Visual Arts,Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn,"275 Macdonough Street
Brooklyn, NY
(40.68200547989472, -73.93533421254803)"
"League of American Theatres and Producers, Inc.",10036,(212) 703-0222,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"226 47th Street
New York, NY
(40.588004550478104, -73.98801934359417)"
League of Composers,11217,(718) 622-3005,Music,Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn,"609 Warren Street
Brooklyn, NY
(40.681092061185176, -73.98007780194283)"
League of Professional Theatre Women,10108,(212) 362-3204,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"2292 New
York, NY
(43.20390300022325, -76.94420299966868)"
"Learning Leaders, Inc.",10038,(212) 213-3370 x530,Visual Arts,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"80 Maiden Lane
New York, NY
(40.70722063476455, -74.00745556513084)"
"Learning Through an Expanded Arts Program, Inc.",10024,(212) 769-4160 x7,"Multi-Discipline, Non-Perform",Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"441 End Avenue
New York, NY
(40.756053999992105, -73.9869510002884)"
Legros Cultural Arts,10116,(917) 741-2992,"Multi-Discipl, Perf & Non-Perf",Queens Council District #31,Queens Community Board #13,Manhattan,"333 New
York, NY
(43.20390300022325, -76.94420299966868)"
Lehman College Art Gallery,10468,(718) 960-8731,Visual Arts,Bronx Council District #11,Bronx Community Board #7,Bronx,"250 Bedford Park Boulevard
Bronx, NY
(40.870908370279786, -73.8864313021076)"
"Lehman College Center for the Performing Arts, Inc.",10468,(718) 960-8490,"Multi-Discipline, Performing",Bronx Council District #11,Bronx Community Board #7,Bronx,"250 Bedford Park Boulevard
Bronx, NY
(40.870908370279786, -73.8864313021076)"
Lesbian & Gay Big Apple Corps,10014,(212) 591-2886,Music,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"332 Bleecker Street
New York, NY
(40.73345721219817, -74.00434770456812)"
"Lesbian and Gay Community Services Center, Inc.",10011,(212) 620-7310 x244,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"208 13th Street
New York, NY
(40.60544175899845, -74.01084897656364)"
"Lewis Howard Latimer Fund, Inc.",11354,(718) 961-8585,Museum,Queens Council District #25,Queens Community Board #7,Queens,"34 41 137th Street
Flushing, NY
(40.76461099979775, -73.8234619999713)"
"Liberata Dance Theatre, Inc.",10001,(212) 971-6054,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"440 34th Street
New York, NY
(40.756053999992105, -73.9869510002884)"
"Liberian Cultural Association, Inc.",10304,(347) 893-3393,"Multi-Discipline, Performing",Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,"361 Van Duzer Street
New York, NY
(40.6293265320076, -74.07934519720548)"
"Library Action Committee of Corona-East Elmhurst, Inc.",11368,(718) 651-1100,"Multi-Discipline, Performing",Queens Council District #21,Queens Community Board #3,Queens,"100 01 Northern Boulevard
Corona, NY
(40.75257899982097, -73.85259799999767)"
"Life Through Dance, Inc.",10025,(646) 250-1847,Dance,Manhattan Council District #9,Bronx Community Board #7,Manhattan,"345 Riverside Drive
New York, NY
(40.80272863427621, -73.96972001278141)"
"Light & Love Productions, Inc.",11432,(347) 806-0344,Film/Video/Audio,Queens Council District #24,Queens Community Board #12,Queens,"8915 Parsons Boulevard
Jamaica, NY
(40.70561482180818, -73.8015358422347)"
"Light Industry Cinema Projects, Ltd",11226,(646) 420-0359,Film/Video/Audio,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn,"349 19th Street
Brooklyn, NY
(40.60048392886111, -74.00853056228686)"
Lighthouse International,10022,(212) 821-9374,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,"111 59th Street
New York, NY
(40.64358204145642, -74.02133897318058)"
"Lincoln Center for the Performing Arts, Inc.",10023,(212) 875-5000,"Multi-Discipline, Performing",Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"165 65th Street
New York, NY
(40.64022084969445, -74.02499367162706)"
"Lincoln Square District Management Association, Inc.",10023,(212) 581-3774,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"1841 Broadway
New York, NY
(40.76937278020944, -73.9822205889887)"
Lindsay's Theatre,10013,(212) 691-6969,Theater,,Manhattan Community Board #2,Manhattan,"161 Sixth Avenue
New York, NY
(40.72582760755074, -74.00389424989481)"
Literary Arts & Film Foundation Inc.,10031,(212) 283-4738,Film/Video/Audio,Manhattan Council District #7,Manhattan Community Board #9,Manhattan,"608 135th Street
New York, NY
(40.82018174526131, -73.95534415422574)"
Living Arts Productions,10033,(914) 961-8822,"Multi-Discipline, Performing",Manhattan Council District #7,Manhattan Community Board #12,Manhattan,"731 183rd Street
New York, NY
(40.8520107270516, -73.93716803372209)"
"Living Image Arts, Inc.",11222,(718) 389-2151,Theater,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,"1072 Lorimer Street
Brooklyn, NY
(40.72740472846733, -73.95383130577076)"
"Living Room for Artists, Inc.",10108,(212) 279-4040,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"778 New
York, NY
(43.20390300022325, -76.94420299966868)"
"Living Theatre, Inc.",10002,(212) 397-9307,Theater,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,"21 Clinton Street
New York, NY
(40.720691289566524, -73.98427328968279)"
"Living Traditions, Inc.",10001,(212) 532-8202,Folk Arts,Manhattan Council District #2,Manhattan Community Board #5,Manhattan,"207 25th Street
New York, NY
(40.59994609305139, -74.00184720561569)"
Local 802 Senior Musicians Association,10036,(212) 245-4802 x228,Music,Manhattan Council District #4,Manhattan Community Board #3,Manhattan,"322 48th Street
New York, NY
(40.64841547139822, -74.01284257820978)"
"Location One, Inc.",10013,(212) 334-3347,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,"26 Greene Street
New York, NY
(40.721183707419485, -74.00252282893409)"
"Loco-Motion Dance Theatre for Children, Inc.",10003,(212) 995-9027,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"60 8th Street
New York, NY
(40.57225220447322, -74.11675672851327)"
"LonGar Ebony Ensemble, Ltd.",10026,(212) 749-5500 x2128655522,Music,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,"119 119th Street
New York, NY
(40.80423600227637, -73.9488748193304)"
Long Island String Quartet,11357,(631) 421-4635,Music,Queens Council District #19,Queens Community Board #11,Queens,"1434 155th Street
Whitestone, NY
(40.788597604007286, -73.80681463665739)"
"Look & Listen, Inc.",11217,(718) 622-3005,Music,Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn,"609 Warren Street
Brooklyn, NY
(40.681092061185176, -73.98007780194283)"
"Looking Glass Productions of New York, Inc.",10003,(212) 420-9208,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #2,Manhattan,"812 Broadway
New York, NY
(40.732689434634324, -73.9912407889426)"
"Looking Glass Theatre, Inc.",10019,(212) 307-9467,Theater,Manhattan Council District #6,Manhattan Community Board #5,Manhattan,"422 57th Street
New York, NY
(40.64217084236264, -74.01608230529234)"
"Los Pleneros de la 21, Inc.",10029,(212) 427-5221,Folk Arts,Manhattan Council District #8,Manhattan Community Board #11,Manhattan,"1680 Lexington Avenue
New York, NY
(40.79189180382315, -73.9465354908661)"
Lotus Fine Arts Productions Inc.,10001,(212) 627-1076 x14,Folk Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"109 27th Street
New York, NY
(40.6608989252628, -74.00167258198414)"
Louis Armstrong House,11368,(718) 997-3920,Museum,Queens Council District #21,Queens Community Board #3,Queens,"34 56 107th Street
Corona, NY
(40.75257899982097, -73.85259799999767)"
"Lower East Side Community Music Workshop, Inc.",10009,(212) 353-1843,Music,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"95 Avenue B
New York, NY
(40.724631509251765, -73.98151911780587)"
Lower East Side Conservancy,10002,(212) 233-6037,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,"235 Broadway
New York, NY
(40.87333788079353, -73.91157107750263)"
Lower East Side District Management Association,10002,(212) 226-9010,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,"54 Orchard Street
New York, NY
(40.71664552963159, -73.99097099233381)"
Lower East Side Girls Club,10003,(212) 982-1633 x104,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"56 First Street
New York, NY
(40.57451550195452, -74.12096643533559)"
"Lower East Side Performing Arts, Inc.",10002,(212) 388-0202,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"268 Broadway
New York, NY
(40.87333788079353, -73.91157107750263)"
"Lower East Side Printshop, Inc.",10018,(212) 673-5390 x14,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"306 37th Street
New York, NY
(40.65476738277987, -74.00674697008431)"
Lower East Side Tenement Museum,10002,(212) 431-0233 x222,Museum,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,"91 Orchard Street
New York, NY
(40.71815496127733, -73.9902545458425)"
Lower Manhattan Cultural Council,10038,(212) 219-9401 x103,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"125 Maiden Lane
New York, NY
(40.706178049016415, -74.00602267255746)"
"Lubovitch Dance Foundation, Inc.",10036,(212) 221-7909,Dance,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,"229 42nd Street
New York, NY
(40.653201232081436, -74.01159033211097)"
"Lyric Chamber Music Society of New York, Inc.",10023,(212) 496-9927,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"20 64th Street
New York, NY
(40.64108482200988, -74.02499385570832)"
"MA-YI Filipino Theatre Ensemble, Inc.",10018,(212) 971-4862,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"520 Eighth Avenue
New York, NY
(40.75376054978079, -73.99232896859803)"
"MAC Creations P.O.P. Arts, Inc.",10462,(718) 512-5042,Film/Video/Audio,Bronx Council District #18,Bronx Community Board #9,Bronx,
"MAPP International Productions, Inc.",10003,(646) 602-9390,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"140 Second Avenue
New York, NY
(40.7289932210939, -73.9873647109963)"
"MUSE Film and Television, Inc.",10022,(212) 688-8280,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"1 53rd Street
New York, NY
(40.64871982239463, -74.02077646730692)"
"Mabou Mines Development Foundation, Inc.",10009,(212) 473-0559,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"150 First Avenue
New York, NY
(40.72835470245309, -73.9847566771113)"
Madison Square Park Conservancy,10010,(212) 538-7150,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"11 Madison Avenue
New York, NY
(40.741862519333154, -73.98723880591217)"
"Mafata Dance Company, Inc.",10473,(718) 518-8099,Dance,Bronx Council District #18,Bronx Community Board #2,Bronx,"301 Admiral Lane
Bronx, NY
(40.80721994081736, -73.85425866391431)"
"Magic Box Productions, Inc.",10025,(718) 809-7405,"Multi-Discipline, Non-Perform",Manhattan Council District #6,Manhattan Community Board #6,Manhattan,"320 Central Park
New York, NY
(40.78910808794443, -73.9665996418622)"
"Maimouna Keita School of African Dance, Inc.",11247,(718) 455-1406,Folk Arts,Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn,
"Make Music New York, Inc.",10013,(917) 779-9709,Music,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,"1164 New
York, NY
(43.20390300022325, -76.94420299966868)"
Make the Road New York,11237,(718) 418-7690,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #37,Brooklyn Community Board #4,Brooklyn,"301 Grove Street
Brooklyn, NY
(40.698428502523264, -73.91562347499381)"
"Making Books Sing, Inc.",10017,(212) 573-8791 x240,Theater,Manhattan Council District #4,Manhattan Community Board #6,Manhattan,"340 46th Street
New York, NY
(40.64939654650178, -74.01141862842927)"
"Mama Foundation for the Arts, Inc.",10027,(212) 280-1045,Music,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,"149 126th Street
New York, NY
(40.80905059018808, -73.94636178705912)"
Man Up! Inc.,11207,(718) 498-2320,Other,Brooklyn Council District #42,Brooklyn Community Board #5,Brooklyn,"821b Van Siclen Avenue
New York, NY
(40.65978799620748, -73.88508146390123)"
"Manhattan Art Program, Inc.",10010,(212) 686-2202,Visual Arts,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"800 6th avenue
New York, NY
(40.74562168541564, -73.9908271008091)"
Manhattan Choral Ensemble,10108,(917) 586-7593,Music,Manhattan Council District #6,Manhattan Community Board #4,Manhattan,"2044 New
York, NY
(43.20390300022325, -76.94420299966868)"
"Manhattan Class Company, Inc.",10036,(212) 727-7722 x239,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"311 43rd Street
New York, NY
(40.6513992439949, -74.01011306978462)"
Manhattan Community Access Corporation,10019,(212) 757-2670 x324,Film/Video/Audio,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"537 59th Street
New York, NY
(40.63959020768209, -74.01472146743919)"
Manhattan Graphics Center,10013,(212) 219-8783,Visual Arts,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"481 Washington Street
New York, NY
(40.72555781094195, -74.00998266003319)"
"Manhattan New Music Project, Inc.",10001,(212) 977-1070,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"243 30th Street
New York, NY
(40.65644940908287, -73.99885152694593)"
"Manhattan Sprout, Inc.",10025,(212) 222-9575,Film/Video/Audio,Manhattan Council District #8,Manhattan Community Board #7,Manhattan,"893 Amsterdam Avenue
New York, NY
(40.798953520424135, -73.96676125454576)"
"Manhattan Theatre Club, Inc.",10036,(212) 399-3000 x4124,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"311 43rd Street
New York, NY
(40.6513992439949, -74.01011306978462)"
Manhattan Theatre Source Incorporated,10011,(212) 260-4698,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"177 MacDougal Street
New York, NY
(40.73269842785459, -73.99819254822904)"
"Manna House Workshops, Inc.",10029,(212) 722-8223,"Multi-Discipline, Performing",Manhattan Council District #8,Manhattan Community Board #11,Manhattan,"338 106th Street
New York, NY
(40.80186954360636, -73.96917777286123)"
Mano a Mano: Mexican Culture Without Borders,11217,(212) 587-3070,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"126 St Felix Street
Brooklyn, NY
(40.68640632838538, -73.97729345976005)"
Marie-Christine Giordano Dance Company,11232,(718) 369-6459,Dance,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn,"220 25th Street
Brooklyn, NY
(40.5997134634424, -74.0021794366018)"
"Marilyn Horne Foundation, Inc.",10107,(212) 582-2000,Music,Manhattan Council District #6,Manhattan Community Board #5,Manhattan,"250 57th Street
New York, NY
(40.64449044769492, -74.0199309621451)"
Marine Park Community Association,11234,(718) 382-1657,"Multi-Discipline, Non-Perform",Brooklyn Council District #46,Brooklyn Community Board #18,Brooklyn,"3221 Avenue
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
"Marquis Studios, Ltd.",11201,(718) 694-9400,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,"45 Main Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
"Martha Graham Center of Contemporary Dance, Inc.",10065,(917) 553-5984,Dance,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,"316 63rd Street
New York, NY
(40.6397013880983, -74.02116939765027)"
"Martin Luther King, Jr. Concert Series, Inc.",11201,(212) 297-4888,Music,Brooklyn Council District #36,Brooklyn Community Board #9,Brooklyn,"32 Court Street
Brooklyn, NY
(40.69306878092351, -73.9907471148297)"
"Martina Arroyo Foundation, Inc.",10019,(212) 397-7256,Music,Manhattan Council District #4,Manhattan Community Board #5,Manhattan,"200 Central Park
New York, NY
(40.76687116364651, -73.97911887645647)"
"Maspeth Town Hall, Inc.",11378,(718) 335-6049,"Multi-Discipline, Non-Perform",Queens Council District #30,Queens Community Board #5,Queens,"53 37 72nd Street
Maspeth, NY
(40.723160000233804, -73.90847700031333)"
Mass Transit Street Theater,10468,(718) 882-2454,Theater,Bronx Council District #14,Bronx Community Board #7,Bronx,
Maysles Institute Inc.,10027,(212) 582-6050 x214,Film/Video/Audio,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,"343 Lenox Avenue
New York, NY
(40.809338651191524, -73.94443107731752)"
"Medicine Show Theatre Ensemble, Inc.",10019,(212) 262-4216,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"549 52nd Street
New York, NY
(40.6433534463604, -74.01038546761048)"
"Meet the Composer, Inc.",10038,(212) 645-6949 x111,Music,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"90 John Street
New York, NY
(40.70820612566048, -74.00652765264859)"
Megan Jill Paznik,10011,(212) 924-3622,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"275 22nd Street
New York, NY
(40.600399361171725, -74.00495368012818)"
"Melodia Women's Choir of NYC, Inc.",10036,(212) 757-2945,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"446 47th Street
New York, NY
(40.64747279776416, -74.00975780100303)"
"Melting Pot Theatre, Inc.",10024,(212) 874-7210 x2,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"2444 Broadway
New York, NY
(40.87333788079353, -73.91157107750263)"
Mendelssohn Glee Club,10024,(845) 525-0100,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"393 End Avenue
New York, NY
(40.756053999992105, -73.9869510002884)"
Mercantile Library Association of the City of New York,10017,(212) 755-6710,Literature,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"17 47th Street
New York, NY
(40.59111884641942, -73.98468903519374)"
Mercy Corps,10004,(212) 537-0508,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"75 Broad Street
New York, NY
(40.756053999992105, -73.9869510002884)"
Metropolis Ensemble Inc,11211,(917) 930-6106,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"139 Jackson Street
Brooklyn, NY
(40.71660098226044, -73.94554024587048)"
Metropolitan Historic Structures Association,10003,(718) 343-8830,"Multi-Discipline, Non-Perform",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"232 11th Street
New York, NY
(40.66936400386592, -73.99023495795213)"
Metropolitan Museum of Art,10028,(212) 879-5500,Visual Arts,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,"1000 Fifth Avenue
New York, NY
(40.77894156660119, -73.96227362637882)"
"Metropolitan Opera Association, Inc.",10023,(212) 870-7647,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"30 Lincoln Center
New York, NY
(40.60469182432167, -74.0683360866556)"
"Metropolitan Opera Guild, Inc.",10023,(212) 769-7069,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"70 Lincoln Center Plaza
New York, NY
(40.756053999992105, -73.9869510002884)"
Mexican American Symphony Orchestra,10023,(212) 564-0508,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"30 63rd Street
New York, NY
(40.7709944238065, -73.9812906477888)"
