Contract Type,Provider ID,Program Name,Sponsor Name,Program Address,Program Borough,Program Zipcode,Program Phone
NEIGHBORHOOD SENIOR CENTE,33Z01,OUR LADY OF POMPEII SR. CTR,GREENWICH HOUSE  ,25 CARMINE STREET,NEW YORK,10014,212-989-3620 
NEIGHBORHOOD SENIOR CENTE,26X01,PARKSLOPE NEIGHBORHOOD SENIOR CENTER,PARK SLOPE SENIOR CITIZENS CENTER INC ,463 7TH STREET,BROOKLYN,11215,718-832-3726 
NEIGHBORHOOD SENIOR CENTE,25A01,PENN WORTMAN NEIGHBORHOOD SENIOR CENTER,BERGEN BASIN COMM DEV CORP/DBA MILLENNIUM DEVELOPM,895 PENNSYLVANIA AVENUE,BROOKLYN,11207,347-318-3770 
NEIGHBORHOOD SENIOR CENTE,44G01,PETER CARDELLA NEIGHBORHOOD SENIOR CTR,PETER CARDELLA SENIOR CITIZEN CENTER INC ,68-52 FRESH POND ROAD,NEW YOURK,11011,718-497-2908 
NEIGHBORHOOD SENIOR CENTE,44W01,POMONOK NEIGHBORHOOD SENIOR CENTER,QUEENS COMMUNITY HOUSE INC. ,67-09 KISSENA BOULEVARD,FLUSHING,11367,718-591-3377 
NEIGHBORHOOD SENIOR CENTE,27Z01,PROSPECT HILL NEIGHBORHOOD SENIOR CTR,ST JOHN ST MATTHEW EMANUEL LUTHERAN CHURCH ,283 PROSPECT AVENUE,BROOKLYN,11215,718 499 9574 
NEIGHBORHOOD SENIOR CENTE,14L01,PSS ANDREW JACKSON NEIGHBORHOOD SR CTR,PRESBYTERIAN SENIOR SERVICES  ,325 EAST 156TH STREET,BRONX,10451,718-585-1640 
NEIGHBORHOOD SENIOR CENTE,14M01,PSS DAVIDSON NEIGHBORHOOD SENIOR CENTER,PRESBYTERIAN SENIOR SERVICES  ,950 UNION AVENUE,BRONX,10459,718-328-2811 
NEIGHBORHOOD SENIOR CENTE,34T01,PSS HARLEM NEIGHBORHOOD SENIOR CENTER,PRESBYTERIAN SENIOR SERVICES  ,18 MT. MORRIS PARK WEST,NEW YORK,10027,718-222-3132 
NEIGHBORHOOD SENIOR CENTE,14N01,PSS HIGHBRIDGE NEIGHBORHOOD SENIOR CENTE,PRESBYTERIAN SENIOR SERVICES  ,1181 NELSON AVENUE,BRONX,10452,718-588-3004 
NEIGHBORHOOD SENIOR CENTE,14K01,PSS PARKSIDE NEIGHBORHOOD SENIOR CENTER,PRESBYTERIAN SENIOR SERVICES  ,644 ADEE AVENUE,BRONX,10467,718 881-7780 
NEIGHBORHOOD SENIOR CENTE,43Z01,QUEENS VALLEY NEIGHBORHOOD SENIOR CENTER,YOUNG ISRAEL PROGRAMS INC  ,141-55 77TH AVENUE,FLUSHING,11367,718-263-6995 
NEIGHBORHOOD SENIOR CENTE,43W01,QUEENSBRIDGE-RIIS NEIGHBORHOOD SC,JACOB A RIIS NEIGHBORHOOD SETTLEMENT HOUSE INC ,10-25 41ST AVENUE,LONG ISLAND CIT,11101,718-784-7447 
NEIGHBORHOOD SENIOR CENTE,44T01,RAICES ASTORIA NEIGHBORHOOD SENIOR CTR,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,21-21 30TH DRIVE,LONG ISLAND CIT,11102,718-726-9642 
NEIGHBORHOOD SENIOR CENTE,44R01,RAICES CORONA NEIGHBORHOOD SENIOR CENTER,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,107-24 CORONA AVENUE,CORONA,11368,718-458-7259 
NEIGHBORHOOD SENIOR CENTE,27H01,RAICES TIMES PLAZA NEIGHBORHOOD SC,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,460 ATLANTIC AVENUE,BROOKLYN,11217,718-694-0895 
NEIGHBORHOOD SENIOR CENTE,14V01,RAIN BOSTON EAST NEIGHBORHOOD SENIOR CTR,REGIONAL AID FOR INTERIM NEEDS INC ,3450 BOSTON ROAD,BRONX,10469,718-654-9200 
NEIGHBORHOOD SENIOR CENTE,14U01,RAIN BOSTON ROAD NEIGHBORHOOD SENIOR CTR,REGIONAL AID FOR INTERIM NEEDS INC ,2424 BOSTON ROAD,BRONX,10467,718-547-8827 
NEIGHBORHOOD SENIOR CENTE,14X01,RAIN BOSTON SECOR NEIGHBORHOOD SR CTR,REGIONAL AID FOR INTERIM NEEDS INC ,3540 BIVONA STREET,BRONX,10475,718-671-8550 
NEIGHBORHOOD SENIOR CENTE,14Q01,RAIN EASTCHESTER NEIGHBORHOOD SENIOR CTR,REGIONAL AID FOR INTERIM NEEDS INC ,1246 BURKE AVENUE,BRONX,10469,718-882-8513 
NEIGHBORHOOD SENIOR CENTE,14P01,RAIN GUNHILL NEIGHBORHOOD SENIOR CENTER,REGIONAL AID FOR INTERIM NEEDS INC ,3377 WHITE PLAINS ROAD,BRONX,10467,718-892-5520 
NEIGHBORHOOD SENIOR CENTE,34U01,RAIN INWOOD NEIGHBORHOOD SENIOR CENTER,REGIONAL AID FOR INTERIM NEEDS INC ,84 VERMILYEA AVENUE,NEW YORK,10034,212-567-3200 
NEIGHBORHOOD SENIOR CENTE,14R01,RAIN MIDDLETOWN NEIGHBORHOOD SENIOR CTR,REGIONAL AID FOR INTERIM NEEDS INC ,3035 MIDDLETOWN ROAD,BRONX,10461,(718)822-0486
NEIGHBORHOOD SENIOR CENTE,14S01,RAIN NEREID NEIGHBORHOOD SENIOR CENTER,REGIONAL AID FOR INTERIM NEEDS INC ,720 NEREID AVENUE,BRONX,10466,718-994-0132 
NEIGHBORHOOD SENIOR CENTE,14T01,RAIN PARKCHESTER NEIGHBORHOOD SENIOR CTR,REGIONAL AID FOR INTERIM NEEDS INC ,1380 METROPOLITAN AVENUE,BORNX,10462,(718)892-5520
NEIGHBORHOOD SENIOR CENTE,27G01,RED HOOK NEIGHBORHOOD SENIOR CENTER,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,6 WOLCOTT STREET,BROOKLYN,11231,718-852-4560 
NEIGHBORHOOD SENIOR CENTE,43X01,REGO PARK NEIGHBORHOOD SENIOR CENTER,QUEENS COMMUNITY HOUSE INC. ,93-29 QUEENS BOULEVARD,REGO-PARK,11374,718-896-8511 
NEIGHBORHOOD SENIOR CENTE,25X01,REMSEN NEIGHBORHOOD SENIOR CENTER,FORT GREENE COUNCIL ,3304 CLARENDON ROAD,BROOKLYN,11203,718-566-8421 
NEIGHBORHOOD SENIOR CENTE,26Z01,RIDGEWOOD BUSHWICK NEIGHBORHOOD SC,RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL INC ,319 STANHOPE STREET,BROOKLYN,11221,718 366-3038 
NEIGHBORHOOD SENIOR CENTE,45A01,RIDGEWOOD OLDER ADULT NEIGHBORHOOD SC,RIDGEWOOD OLDER ADULT CENTER AND SERVICES INC ,59-14 70th AVENUE,RIDGEWOOD,11385,718-456-2000 
NEIGHBORHOOD SENIOR CENTE,34X01,RISA NEIGHBORHOOD SENIOR CENTER,ROOSEVELT ISLAND SENIORS ASSOCIATION INC ,546 MAIN STREET,NEW YORK,10044,212-980-1888 
NEIGHBORHOOD SENIOR CENTE,14Y01,RIVERDALE NEIGHBORHOOD SENIOR CENTER,RIVERDALE SENIOR SERVICES INC  ,2600 NETHERLAND AVENUE,BRONX,10463,718-884-5900 
NEIGHBORHOOD SENIOR CENTE,15C01,RIVERDALE Y SENIOR CENTER,YM YWHA OF THE BRONX/RIVERDALE YM YWHA ,5625 ARLINGTON AVENUE,BRONX,10471,718-548-8200 
NEIGHBORHOOD SENIOR CENTE,34V01,RIVERSTONE SENIOR LIFE NEIGHBORHOOD SC,RIVERSTONE SENIOR LIFE SERVICES INC.,99 FORT WASHINGTON AVENUE,NEW YORK,10032,212-927-5600 
NEIGHBORHOOD SENIOR CENTE,44S01,ROBERT COUCHE NEIGHBORHOOD SENIOR CENTER,MERRILL PARK CIVIC ASSOCIATION INC ,137-57 FARMERS BOULEVARD,SPRINGFIELD GAR,11434,718-978-8352 
NEIGHBORHOOD SENIOR CENTE,43M01,ROCHDALE NEIGHBORHOOD SENIOR CENTER,ROCHDALE VILLAGE SOCIAL SERVICES INC ,169-65 137TH AVENUE,JAMAICA,11434,718-525-2800 
NEIGHBORHOOD SENIOR CENTE,44E01,ROCKAWAY BLVD NEIGHBORHOOD SENIOR CENTER,JAMAICA SERVICE PROGRAM FOR OLDER ADULTS INC ,123-10 143RD STREET,JAMAICA,11433,718-657-6468 
NEIGHBORHOOD SENIOR CENTE,40101,ROCKAWAY PARK NEIGHBORHOOD SENIOR CENTER,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,106-20 SHORE FRONT PARKWAY,ROCKAWAY PARK,11694,718-634-3044 
NEIGHBORHOOD SENIOR CENTE,27P01,ROSETTA GASTON NEIGHBORHOOD SENIOR CTR,WAYSIDE OUT-REACH DEVELOPMENT INC ,460 DUMONT AVENUE,BROOKLYN,11212,718-345-5665 
NEIGHBORHOOD SENIOR CENTE,27B01,ROUNDTABLE NEIGHBORHOOD SENIOR CENTER,RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL INC ,1175 GATES AVENUE,BROOKLYN,11221,718 443-1903 
NEIGHBORHOOD SENIOR CENTE,42J01,ROY REUTHER NEIGHBORHOOD SENIOR CENTER,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,711C SEAGIRT AVENUE,FAR RACKAWAY,11691,718-471-3110 
NEIGHBORHOOD SENIOR CENTE,27M01,SAINT GABRIELS NEIGHBORHOOD SENIOR CTR,ST GABRIELS EPISCOPAL CHURCH  ,331 HAWTHORNE STREET,BROOKLYN,11225,718-773-4049 
NEIGHBORHOOD SENIOR CENTE,44X01,SAMUEL FIELD NEIGHBORHOOD SENIOR CENTER,SAMUEL FIELD YM & YWHA INC  ,58-20 LITTLE NECK PARKWAY,LITTLE NECK,11362,718-225-6750 
NEIGHBORHOOD SENIOR CENTE,15A01,SEBCO MT CARMEL NEIGHBORHOOD SENIOR CTR,SEBCO DEVELOPMENT INC  ,2405 SOUTHERN BLVD.,BRONX,10457,718-8852     
NEIGHBORHOOD SENIOR CENTE,14Z01,SEBCO NEIGHBORHOOD SENIOR CENTER,SEBCO DEVELOPMENT INC  ,887 SOUTHERN BLVD,BRONX,10459,718-617-3465 
NEIGHBORHOOD SENIOR CENTE,43P01,SELFHELP AUSTIN STREET NEIGHBORHOOD SC,SELFHELP COMMUNITY SERVICES INC ,106-06 QUEENS BOULEVARD,FOREST HILLS,11375,718-520-8197 
NEIGHBORHOOD SENIOR CENTE,43T01,SELFHELP CLEARVIEW NEIGHBORHOOD SC,SELFHELP COMMUNITY SERVICES INC ,208-11 26th AVENUE,BAYSIDE,11360,718-224-7888 
NEIGHBORHOOD SENIOR CENTE,44A01,SELFHELP LATIMER NEIGHBORHOOD SENIOR CTR,SELFHELP COMMUNITY SERVICES INC ,34-30 137TH STREET,FLUSHING,11354,718-961-3660 
NEIGHBORHOOD SENIOR CENTE,49301,SELFHELP MASPETH NEIGHBORHOOD SENIOR CTR,SELFHELP COMMUNITY SERVICES INC ,69-61 GRAND AVENUE,MASPETH,11378,718-429-3636 
NEIGHBORHOOD SENIOR CENTE,26M01,SENIOR ALLIANCE NEIGHBORHOOD SENIOR CTR,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,161 CORBIN PLACE,BROOKLYN,11235,718-646-4100 
NEIGHBORHOOD SENIOR CENTE,28C01,SEPHARDIC MULTI SERVICE SENIOR CENTER,SEPHARDIC MULTI SERVICE SENIOR CENTER INC ,485 KINGS HIGHWAY,BROOKLYN,11223,718 336 1300 
NEIGHBORHOOD SENIOR CENTE,26L01,SHEUER HOUSE OF CI NEIGHBORHOOD SR CTR,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,3601 SURF AVENUE,BROOKLYN,11224,718-373-3954 
NEIGHBORHOOD SENIOR CENTE,25K01,SHOLOM NEIGHBORHOOD SENIOR CENTER,CROWN HEIGHTS PRESERVATION CORP ,483 ALBANY AVENUE,BROOKLYN,11203,718 774-9213 
NEIGHBORHOOD SENIOR CENTE,27K01,SHORE HILL NEIGHBORHOOD SENIOR CENTER,SUNSET BAY COMMUNITY SERVICES INC ,9000 SHORE ROAD,BROOKLYN,11209,718-630-8302 
NEIGHBORHOOD SENIOR CENTE,26N01,SHOREFRONT NEIGHBORHOOD SENIOR CENTER,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,3300 CONEY ISLAND AVENUE,BROOKLYN,11235,718-646-1444 
NEIGHBORHOOD SENIOR CENTE,33501,SIROVICH NEIGHBORHOOD SENIOR CENTER,THE EDUCATIONAL ALLIANCE INC  ,331 EAST 12TH STREET,NEW YORK,10003,212-228-7836 
NEIGHBORHOOD SENIOR CENTE,13H01,SISTER ANNUNCIATA BETHELL NBRHD SR CTR,BEDFORD PARK MULTI-SERVICE CENTER FOR SENIOR CITIZ,243 EAST 204TH ST,BRONX,10458,718-365-3725 
NEIGHBORHOOD SENIOR CENTE,27C01,SR CITIZENS LEAGUE OF FLATBUSH NBH SR CT,SENIOR CITIZENS LEAGUE OF FLATBUSH INC ,550 OCEAN PARKWAY,BROOKLYN,11218,718-438-7771 
NEIGHBORHOOD SENIOR CENTE,27D01,SR CITIZENS LEAGUE OF FLATBUSH NSC,SENIOR CITIZENS LEAGUE OF FLATBUSH INC ,1625 OCEAN AVENUE,BROOKLYN,11230,718-438-7771 
NEIGHBORHOOD SENIOR CENTE,34Y01,STANLEY ISAACS NEIGHBORHOOD SENIOR CTR,STANLEY M ISAACS NEIGHBORHOOD CENTER INC ,415 EAST 93RD STREET,NEW YORK,10128,212-360-7620 
NEIGHBORHOOD SENIOR CENTE,54701,STAPLETON NEIGHBORHOOD SENIOR CENTER,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC ,189 GORDON STREET,STATEN ISLAND,10304,718-981-8828 
NEIGHBORHOOD SENIOR CENTE,33401,STEIN NEIGHBORHOOD SENIOR CENTER,EAST SIDE COMMUNITY GROUP FOR SENIOR SERVICES INC ,204 EAST 23RD STREET,NEW YORK,10010,646-395-8083 
NEIGHBORHOOD SENIOR CENTE,25Y01,STUYVESANT HEIGHTS NEIGHBORHOOD SC,FORT GREENE COUNCIL ,69 MAC DONOUGH STREET,BROOKLYN,11216,718-230-0824 
NEIGHBORHOOD SENIOR CENTE,43Y01,SUNNYSIDE COMMUNITY NEIGHBORHOOD SC,SUNNYSIDE COMMUNITY SERVICES INC ,4331 39TH STREET,SUNNYSIDE,11104,718-784-6173 
NEIGHBORHOOD SENIOR CENTE,27L01,SUNSET PARK NEIGHBORHOOD SENIOR CENTER,SUNSET BAY COMMUNITY SERVICES INC ,4520 4TH AVENUE,BROOKLYN,11220,718-210-1050 
NEIGHBORHOOD SENIOR CENTE,25Z01,TERESA MOORE NEIGHBORHOOD SENIOR CENTER,FORT GREENE COUNCIL ,2702 LINDEN BOULEVARD,BROOKLYN,11208,347-663-7770 
NEIGHBORHOOD SENIOR CENTE,36B01,THE CENTER AT THE RED OAK NEIGHBR SR CTR,WEST SIDE FEDERATION FOR SENIOR AND SUPPORTIVE HOU,135 WEST 106TH STREET,NEW YORK,10025,212-749-7015 
NEIGHBORHOOD SENIOR CENTE,14B01,THOMAS GUESS NEIGHBORHOOD SENIOR CENTER,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJEC,2070 CLINTON AVENUE,BRONX,10457,718-584-2357 
NEIGHBORHOOD SENIOR CENTE,14E01,THROGS NECK NEIGHBORHOOD SENIOR CENTER,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,2705 SCHLEY AVENUE,BRONX,10465,718-823-1771 
NEIGHBORHOOD SENIOR CENTE,27Q01,TILDEN NEIGHBORHOOD SENIOR CENTER,WAYSIDE OUT-REACH DEVELOPMENT INC ,630 MOTHER GASTON BLVD,BROOKLYN,11212,718-498-2990 
NEIGHBORHOOD SENIOR CENTE,55301,TODT HILL NEIGHBORHOOD SENIOR CENTER,STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS ,184 SCHMIDTS LANE,STATEN ISLAND,10314,718-698-7979 
NEIGHBORHOOD SENIOR CENTE,27R01,TOMPKINS PARK NEIGHBORHOOD SENIOR CENTER,WAYSIDE OUT-REACH DEVELOPMENT INC ,550 GREENE AVENUE,BROOKLYN,11216,718-638-3000 
NEIGHBORHOOD SENIOR CENTE,35501,UBA BEATRICE LEWIS NEIGHBORHOOD SC,UNITED BLOCK ASSOCIATION INC  ,2322 THIRD AVENUE,NEW YORK,10035,212-289-9155 
NEIGHBORHOOD SENIOR CENTE,36101,UBA MARY BETHUNE NEIGHBORHOOD SENIOR CTR,UNITED BLOCK ASSOCIATION INC  ,1970 AMSTERDAM AVENUE,NEW YORK,10032,212-928-6086 
NEIGHBORHOOD SENIOR CENTE,36201,UJC ADULT LUNCHEON CLUB NEIGHBORHOOD SC,UNITED JEWISH COUNCIL OF THE EAST SIDE INC ,15 BIALYSTOKER PLACE,NEW YORK,10002,212-673-9328 
NEIGHBORHOOD SENIOR CENTE,27N01,UNITED NEIGHBORHOOD SENIOR CITIZENS CTR,UNITED SENIOR CITIZENS OF SUNSET PARK INC ,475 53RD STREET,BROOKLYN,11220,718-439-8647 
NEIGHBORHOOD SENIOR CENTE,36301,UNIVERSITY SETTLEMENT NEIGHBORHOOD SR CT,UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK INC ,189 ALLEN STREET,NEW YORK,10002,212-473-8217 
NEIGHBORHOOD SENIOR CENTE,13Y01,VAN CORTLANDT NEIGHBORHOOD SENIOR CENTER,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,3880 SEDGWICK AVENUE,BRONX,10463,718 549-4700 
NEIGHBORHOOD SENIOR CENTE,24Q01,VANDALIA NEIGHBORHOOD SENIOR CENTER,BERGEN BASIN COMM DEV CORP/DBA MILLENNIUM DEVELOPM,47 VANDALIA AVENUE,BROOKLYN,11239,718 272-3949 
NEIGHBORHOOD SENIOR CENTE,27S01,VANDYKE NEIGHBORHOOD SENIOR CENTER,WAYSIDE OUT-REACH DEVELOPMENT INC ,430 DUMONT AVENUE,BROOKLYN,11212,718-385-1110 
NEIGHBORHOOD SENIOR CENTE,36A01,WASHINGTON HEIGHTS NEIGHBORHOOD SR CTR,WASHINGTON HEIGHTS COMMUNITY SERVICE INC ,650 WEST 187TH STREET,NEW YORK,10033,212-781-8331 
NEIGHBORHOOD SENIOR CENTE,44V01,WAVECREST &S BAYSWATER NEIGHBORHOOD SC,YOUNG ISRAEL PROGRAMS INC  ,2716 HEALY AVENUE,FAR ROCKAWAY,11691,718-327-0297 
NEIGHBORHOOD SENIOR CENTE,34N01,WEST 65TH STREET CENTER,LINCOLN SQUARE NEIGHBORHOOD CENTER INC ,250 WEST 65TH STREET,NEW YORK,10023,212-874-0860 
NEIGHBORHOOD SENIOR CENTE,54501,WEST BRIGHTON NEIGHBORHOOD SENIOR CENTER,CATHOLIC CHARITIES COMMUNITY SERVICES ARCHDIOCESE ,230 BROADWAY,STATEN ISLAND,10310,718-727-9763 
NEIGHBORHOOD SENIOR CENTE,33A01,WHITAKER NEIGHBORHOOD SENIOR CENTER,THE EDUCATIONAL ALLIANCE INC  ,232 EAST BROADWAY,NEW YORK,10002,646-395-4274 
NEIGHBORHOOD SENIOR CENTE,15B01,WILLIAM HODSON NEIGHBORHOOD SENIOR CTR,WILLIAM HODSON COMMUNITY CENTER INC ,1320 WEBSTER AVENUE,BRONX,10456,718-538-1515 
NEIGHBORHOOD SENIOR CENTE,26Q01,WILLIAMSBURG NEIGHBORHOOD SENIOR CENTER,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,202 GRAHAM AVENUE,BROOKLYN,11206,718-388-6865 
NEIGHBORHOOD SENIOR CENTE,25J01,WILLIAMSBURG SATMAR NEIGHBORHOOD SR CTR,CONGREGATION YETEV LEV DSATMAR  ,125 HEYWARD STREET,BROOKLYN,11206,718 625 1608 
NEIGHBORHOOD SENIOR CENTE,26501,WILLOUGHBY NEIGHBORHOOD SENIOR CENTER,FORT GREENE COUNCIL ,105 NORTH PORTLAND AVENUE,BROOKLYN,11205,718-875-1011 
NEIGHBORHOOD SENIOR CENTE,42501,WOODHAVEN NEIGHBORHOOD SENIOR CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,78-15 JAMAICA AVENUE,WOODHAVEN,11421,718-847-9200 
NEIGHBORHOOD SENIOR CENTE,45C01,WOODSIDE NEIGHBORHOOD SENIOR CENTER,SAMARITAN VILLAGE INC  ,50-37 NEWTOWN ROAD,WOODSIDE,11377,718-932-6916 
NEIGHBORHOOD SENIOR CENTE,27J01,WYCKOFF GARDENS NEIGHBORHOOD SENIOR CTR,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,280 WYCKOFF STREET,BROOKLYN,11217,718 237-1802 
NEIGHBORHOOD SENIOR CENTE,27T01,YOUNG ISRAEL SR SERVICES NBH SR CTR,YOUNG ISRAEL PROGRAMS INC  ,1694 OCEAN AVENUE,BROOKLYN,11230,718 253-7800 
NORC SITES,N3C01,ALFRED SMITH HOUSES NORC,HAMILTON MADISON HOUSE INC  ,50 MADISON STREET,NEW YORK,10038,212-349-3724 
NORC SITES,N1101,AMALGAMATED PK RESERVOIR NORC,BRONX JEWISH COMMUNITY COUNCIL INC ,80 VAN CORTLANDT PARK SOUTH,BRONX,10463,718-548-4990 
NORC SITES,N2501,CCNS NORC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,3677 NOSTRAND AVENUE,BROOKLYN,11229,718 769-3579 
NORC SITES,N4101,CLEARVIEW GARDENS NORC,SAMUEL FIELD YM & YWHA INC  ,163-59 17TH AVENUE,FLUSHING,11357,718-352-4157 
NORC SITES,N1701,CO-OP CITY NORC PROGRAM,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,2049 BARTOW  AVENUE,BRONX,10475,718-320-2066 
NORC SITES,N3101,CO-OP VILLAGE NORC,THE EDUCATIONAL ALLIANCE INC  ,465 GRAND STREET,NEW YORK,10002,212-358-8489 
NORC SITES,N4401,DEEPDALE GARDENS NORC,SAMUEL FIELD YM & YWHA INC  ,57-17 MARATHON PARKWAY,LITTLE NECK,11362,718-225-6750 
NORC SITES,N3D01,ELLIOT CHELSEA NORC,HUDSON GUILD  ,441 WEST 26TH STREET,NEW YORK,10001,212-760-9800 
NORC SITES,N4501,FOREST HILLS COMMUNITY HOUSE NORC,QUEENS COMMUNITY HOUSE INC. ,108-03 62ND DRIVE,FOREST HILLS,11375,718-760-5231 
NORC SITES,N3E01,FT GEORGE VISTAS NORC,ISABELLA GERIATRIC CENTER INC  ,17 FT. GEORGE HILL,NEW YORK,10040,212-342-9364 
NORC SITES,N3801,GODDARD RIVERSIDE NORC,GODDARD-RIVERSIDE COMMUNITY CENTER ,593 COLUMBUS AVENUE,NEW YORK,10024,212 665-3853 
NORC SITES,N4601,HANAC NORC,HELLENIC AMERICAN NEIGHBORHOOD ACTION COMMITTEE IN,34-35A 12TH STREET,LONG ISLAND CIT,11106,718-609-1028 
NORC SITES,N2101,JASA TRUMP OUTREACH NORC,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,2915 WEST 5TH STREET,BROOKLYN,11224,718-372-8815 
NORC SITES,N2201,JASA WARBASSE CARES NORC,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,2844 OCEAN PARKWAY,BROOKLYN,11235,718-996-5200 
NORC SITES,N3001,KNICKERBOCKER VILLAGE NORC,HAMILTON MADISON HOUSE INC  ,36 MONROE STREET,NEW YORK,10002,212-349-0616 
NORC SITES,N3601,LINCOLN HOUSE OUTREACH NORC,DOROT INC  ,303 WEST 66TH STREET,NEW YORK,10023,212-875-8958 
NORC SITES,N3A01,LINCOLN SQUARE NORC,LINCOLN SQUARE NEIGHBORHOOD CENTER INC ,250 WEST 65TH STREET,NEW YORK,10023,212-874-0860 
NORC SITES,N3201,MRHS NORC PROGRAM,MORNINGSIDE RETIREMENT & HEALTH SERVICES INC ,100 LASALLE STREET,NEW YORK,10027,212-666-4000 
NORC SITES,N1301,PARKCHESTER ENHANCEMENT PROGRAM NORC,BETH ABRAHAM HEALTH SERVICES  ,1525 UNIONPORT ROAD,BRONX,10462,718-409-1619 
NORC SITES,N3301,PENN SOUTH NORC PROGRAM,PENN SOUTH SOCIAL SERVICES INC  ,290 NINTH AVENUE,NEW YORK,10001,212-243-3670 
NORC SITES,N3701,PHIPPS PLAZA WEST NORC,PHIPPS COMMUNITY DEVELOPMENT CORP ,520 SECOND AVENUE,NEW YORK,10016,212 683-6583 
NORC SITES,N4701,ROCHDALE VILLAGE,ROCHDALE VILLAGE SOCIAL SERVICES INC ,169-65 137TH AVENUE,JAMAICA,11434,718-949-3499 
NORC SITES,N4201,SELFHELP BIG SIX NORC,SELFHELP COMMUNITY SERVICES INC ,59-55 47TH AVENUE,WOODSIDE,11377,718-458-8579 
NORC SITES,N4901,SELFHELP NORTHRIDGE 11-BRULENE,SELFHELP COMMUNITY SERVICES INC ,34-10 94TH STREET,JACKSON HEIGHTS,11372,718-396-5425 
NORC SITES,N4301,SELFHELP QUEENSVIEW NORC,SELFHELP COMMUNITY SERVICES INC ,33-34 CRESCENT STREET,LONG ISLAND CIT,11106,718-278-4148 
NORC SITES,N3401,STANLEY ISAACS NORC,STANLEY M ISAACS NEIGHBORHOOD CENTER INC ,415 EAST 93RD STREET,NEW YORK,10128,(212) 360-762
NORC SITES,N2301,TRUMP VILLAGE NORC,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,2942 WEST 5TH STREET,BROOKLYN,11224,718-946-7973 
NORC SITES,N3501,VLADECK CARES NORC,HENRY STREET SETTLEMENT  ,351 MADISON STREET,NEW YORK,10002,212-477-0455 
SOCIAL ADULT DAY CARE,23V01,LUTHERAN MEDICAL SADS,LUTHERAN MEDICAL CENTER  ,9000 SHORE ROAD,BROOKLYN,11209,718 630 7266 
SOCIAL SERVICES ONLY,12F03,BJCC BAINBRIDGE AVENUE OFFICE,BRONX JEWISH COMMUNITY COUNCIL INC ,3176 BAINBRIDGE AVENUE,BRONX,10467,718 652-5500 
SOCIAL SERVICES ONLY,12F01,BRONX JEWISH COMMUNITY COUNCIL,BRONX JEWISH COMMUNITY COUNCIL INC ,2930 WALLACE AVENUE,BRONX,10467,718 652-5500 
SOCIAL SERVICES ONLY,50501,CASC CASE ASSISTANCE AND TRANSPORTATION,COMMUNITY AGENCY FOR SENIOR CITIZENS INC ,56 BAY STREET,STATEN ISLAND,10301,718-981-6226 
SOCIAL SERVICES ONLY,11G01,NEIGHBORHOOD SHOPP-SNAP,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJEC,953 SOUTHERN BOULEVARD,BRONX,10459,718 620-4650 
SOCIAL SERVICES ONLY,63801,NY FDTN HOME SHARING,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC ,11 PARK PLACE,NEW YORK,10007,212-962-7653 
SOCIAL SERVICES ONLY,33301,ONE STOP SENIOR SERVICES,ONE STOP SENIOR SERVICES  ,747 AMSTERDAM AVENUE,NEW YORK,10025,212-864-7900 
SOCIAL SERVICES ONLY,25501,RAICES,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,460 ATLANTIC AVENUE,BROOKLYN,11217,718 643 0232 
SOCIAL SERVICES ONLY,16901,RAIN ONE-STOP SERVICES TO THE ELDERLY,REGIONAL AID FOR INTERIM NEEDS INC ,1168 CASTLE HILL AVENUE,BRONX,10462,718 239-4358 
SOCIAL SERVICES ONLY,23N01,SHOREFRONT JEWISH COMMUNITY COUNCIL,SHOREFRONT JEWISH COMMUNITY COUNCIL,3049 Brighton 6th Street,BROOKLYN,11235,718-743-0575 
