Facility Type,License Number,Entity Name,Camis Trade Name,Address Street Name,Street Address,Address Location,Address Zip Code,Telephone Number,Number of Spaces,Location 1
Parking Garage,1125479,"520 EAST 81ST STREET GARAGE, CORP",,EAST   81 STREET,520 EAST   81 STREET,,10028,2129771300,33,"520 81 STREET
NEW YORK, NY 10028
(40.772160678500256, -73.9481632637391)"
Parking Garage,1125503,CENTRAL PARKING SYSTEM OF NEW YORK INC,,EAST   80 STREET,200-206 EAST   80 STREET,,10021,2126296602,67,"200 206 EAST 80 STREET
NEW YORK, NY 10021
(40.76920532766377, -73.959183941086)"
Parking Garage,1125528,WORLD PARKING GARAGE LLC,,CENTRAL PARK WEST,1 CENTRAL PARK WEST,,10023,2125643199,88,"1 CENTRAL PARK
NEW YORK, NY 10023
(40.76898607173683, -73.98123133475644)"
Garage - Parking Lot Combo,1125593,CHAMPION 126 LLC,,EAST  126 STREET,162 EAST  126 STREET,AKA 163 EAST 125 STREET,10035,2123085959,204,"162 126 STREET
NEW YORK, NY 10035
(40.80477823152241, -73.9363595475333)"
Parking Garage,1126177,FANDA PARKING LLC,,EAST   74 STREET,340 EAST   74 STREET,340-350 EAST 74 STREET,10021,2125945050,38,"340 74 STREET
NEW YORK, NY 10021
(40.76939076665002, -73.95570857556493)"
Parking Garage,1126181,F&S PARKING LLC,,EAST   75 STREET,331-333 EAST   75 STREET,,10021,2123272626,25,"331 333 EAST 75 STREET
NEW YORK, NY 10021
(40.76920532766377, -73.959183941086)"
Parking Garage,1126256,"CENTRAL PARKING SYSTEM OF NEW YORK, INC",,WEST   20 STREET,180 WEST   20 STREET,,10011,2126296602,55,"180 20 STREET
NEW YORK, NY 10011
(40.742051376959296, -73.99656477535603)"
Parking Garage,1126345,79 STREET REALTY LLC,,EAST   79 STREET,350 EAST   79 STREET,,10021,2125358670,83,"350 79 STREET
NEW YORK, NY 10021
(40.6282370106941, -74.02775118852496)"
Parking Lot,1126560,"ROSARIO, HERIBERTO",1318 SOUTHERN BLVD PARKING,SOUTHERN BOULEVARD,1318 SOUTHERN BOULEVARD,,10459,9174175886,33,"1318 SOUTHERN BOULEVARD
BRONX, NY 10459
(40.83078173429836, -73.89168235873349)"
Parking Lot,1126896,IMPARK HSW LLC,,WEST   42 STREET,305-13 WEST   42 STREET,,10036,2129378660,67,"305 13 WEST 42 STREET
NEW YORK, NY 10036
(40.75934682719435, -73.989860554421)"
Parking Garage,1126900,IMPARK HSW LLC,,1 AVE,577 1 AVE,,10016,2129378660,45,"577 1 AVE
NEW YORK, NY 10016
(40.74345847878271, -73.97382408792839)"
Parking Garage,1126970,CHURCH STREET PARKING LLC.,,CHURCH STREET,110 CHURCH STREET,AKA 110-120 CHURCH STREET,10007,2126869800,88,"110 CHURCH STREET
NEW YORK, NY 10007
(40.71351583849072, -74.00910489301086)"
Parking Garage,1126972,"BOBBY CAR PARK, LLC",,UNDERHILL AVENUE,105 UNDERHILL AVENUE,,11238,2122216111,160,"105 UNDERHILL AVENUE
BROOKLYN, NY 11238
(40.67751765685577, -73.96576146466307)"
Parking Garage,1127480,IMPARK HSW LLC,,EAST   77 STREET,300 EAST   77 STREET,,10075,2129378660,28,"300 77 STREET
NEW YORK, NY 10075
(40.77181893612914, -73.95555569081995)"
Parking Garage,1127531,CENTRAL PARKING SYSTEM OF NEW YORK INC,,EAST   61 STREET,330 EAST   61 STREET,,10021,2126296602,75,"330 61 STREET
NEW YORK, NY 10021
(40.64098656023755, -74.02027943263323)"
Parking Garage,1127867,1330 SIXTH PARKING LLC,,WEST   53 STREET,57-59 WEST   53 STREET,,10019,2126869800,225,"57 59 WEST 53 STREET
NEW YORK, NY 10019
(40.76761164715987, -73.99180550022362)"
Parking Garage,1127872,1350 SIXTH PARKING LLC,,6 AVENUE,1350-58 6 AVENUE,AKA 1350 6 AVENUE,10019,2126809800,99,"1350 58 6 AVENUE
NEW YORK, NY 10019
(40.76761164715987, -73.99180550022362)"
Parking Garage,1127924,"2 LINCOLN PARKING, LLC",,LINCOLN PLAZA,2 LINCOLN PLAZA,,10023,2126869800,80,"2 LINCOLN PLAZA
NEW YORK, NY 10023
(40.604795381251094, -74.06876264257916)"
Parking Garage,1128757,"MAJESTIC CAR PARK, LLC",,PARK AVENUE,1199 PARK AVENUE,,10128,2122216111,74,"1199 PARK AVENUE
NEW YORK, NY 10128
(40.785252213256854, -73.95331947008874)"
Parking Garage,1128837,THE GGG PARKING INC,,JEROME AVENUE,1565 JEROME AVENUE,,10452,7189015222,69,"1565 JEROME AVENUE
BRONX, NY 10452
(40.843958487652586, -73.91507485720848)"
Parking Lot,1128977,ALLIED ST. GEORGE LLC,,ACADEMY PLACE,22 ACADEMY PLACE,,10301,7182633800,126,"22 ACADEMY PLACE
STATEN ISLAND, NY 10301
(40.644859419084376, -74.07931813224438)"
Parking Garage,1129152,EAST 14TH GARAGE CORP,,EAST   14 STREET,7 EAST   14 STREET,,10003,2127367171,112,"7 14 STREET
NEW YORK, NY 10003
(40.73588023182016, -73.99327322372638)"
Parking Garage,1129460,F&T MANAGEMENT & PARKING CORP.,,PRINCE STREET,39-07 PRINCE STREET,,11354,7188882828,126,"39 07 PRINCE STREET
QUEENS, NY 11354
(40.76862022064671, -73.82719028070687)"
Parking Garage,1129469,68-60 AUSTIN STREET REALTY CORP,,AUSTIN STREET,68-60 AUSTIN STREET,SUITE 113,11375,7182681085,85,"68 60 AUSTIN STREET
FOREST HILLS, NY 11375
(40.720707263029794, -73.84628429608335)"
Parking Lot,1129975,"LAN TIAN GARAGE, INC",,HENRY STREET,85-89 HENRY STREET,,10002,2123859600,50,"85 89 HENRY STREET
NEW YORK, NY 10002
(40.71612146793143, -73.98583147024613)"
Parking Lot,1130048,F & T MANAGEMENT & PARKING CORP,,COLLEGE POINT BOULEVARD,37-02 COLLEGE POINT BOULEVARD,,11355,7188882828,135,"37 02 COLLEGE POINT BOULEVARD
FLUSHING, NY 11355
(40.7512997969481, -73.82147854789662)"
Parking Garage,1130359,"CENTRAL PARKING SYSTEM OF NEW YORK, INC",,EAST   60 STREET,403-407 EAST   60 STREET,,10022,2126296602,168,"403 407 EAST 60 STREET
NEW YORK, NY 10022
(40.758630224005685, -73.96809182217982)"
Parking Garage,1130472,METROPOLITAN STORAGE CORP,,1 AVENUE,1901 1 AVENUE,,10029,2129999999,95,"1901 1 AVENUE
NEW YORK, NY 10029
(40.784557024104835, -73.9437956536432)"
Parking Garage,1130687,165 EAST PARKING CORP,,EAST   72 STREET,165 EAST   72 STREET,AKA 184 EAST 73 STREET,10021,2127367171,35,"165 72 STREET
NEW YORK, NY 10021
(40.77008682715417, -73.9613320388212)"
Parking Garage,1130760,JDS PARKING LLC,,10 AVENUE,561 10 AVENUE,,10036,2126869800,71,"561 10 AVENUE
NEW YORK, NY 10036
(40.759219434498675, -73.99577337197024)"
Parking Garage,1130762,HJ PARKING LLC.,,WEST   51 STREET,301-9 WEST   51 STREET,AKA 851-859 8 AVENUE,10019,2126869800,226,"301 9 WEST 51 STREET
NEW YORK, NY 10019
(40.76761164715987, -73.99180550022362)"
Parking Garage,1130936,"CHAMPION PARKING 16, LLC",,EAST   16 STREET,101 EAST   16 STREET,,10003,2123085959,61,"101 16 STREET
NEW YORK, NY 10003
(40.73595329332415, -73.98934469855897)"
Parking Lot,1131055,F & T MANAGEMENT & PARKING CORP,,PRINCE STREET,39-04 PRINCE STREET,,11354,7188882828,138,"39 04 PRINCE STREET
FLUSHING, NY 11354
(40.76862022064671, -73.82719028070687)"
Parking Lot,1131830,ALBEE SQUARE PARKING LLC,,ALBEE SQUARE,408-414 ALBEE SQUARE,,11201,2124903460,80,"408 414 ALBEE SQUARE
BROOKLYN, NY 11201
(40.69467825879468, -73.98992086835335)"
Parking Lot,1131833,ALBEE SQUARE PARKING LLC,,DUFFIELD STREET,209-211 DUFFIELD STREET,,11201,2124903460,30,"209 211 DUFFIELD STREET
BROOKLYN, NY 11201
(40.69467825879468, -73.98992086835335)"
Parking Lot,1132122,"JALIL, RODOLFO CLAUDIO",RUDY'S PARKING,EAST  148 STREET,362-364 EAST  148 STREET,,10455,7182929382,80,"362 364 EAST 148 STREET
BRONX, NY 10455
(40.813535754971156, -73.9053552520432)"
Parking Garage,1132131,250 WEST PARKING CORP.,,WEST   19 STREET,250 WEST   19 STREET,,10011,2127367171,61,"250 19 STREET
NEW YORK, NY 10011
(40.7422232484576, -73.99889388115426)"
Garage - Parking Lot Combo,1132509,"CHELSEA MTP OPERATING, LLC",,WEST   18 STREET,511-25 WEST   18 STREET,AKA 508-510 WEST 19 ST,10011,2125755335,250,"511 25 WEST 18 STREET
NEW YORK, NY 10011
(40.74471526669623, -74.00460000028977)"
Parking Garage,1133045,EAST 82 ST GARAGE LLC,,EAST   82 STREET,350 EAST   82 STREET,,10028,2128322066,53,"350 82 STREET
NEW YORK, NY 10028
(40.774746285889066, -73.95242072689805)"
Parking Garage,1133060,CROYDEN PARKING LLC,,EAST   86 STREET,12 EAST   86 STREET,,10028,2129562280,72,"12 86 STREET
NEW YORK, NY 10028
(40.781344935492015, -73.96005628504636)"
Parking Garage,1133061,CHAMPION 221 LLC,,CENTRAL PARK SOUTH,216 CENTRAL PARK SOUTH,,10019,2123085959,44,"216 CENTRAL PARK
NEW YORK, NY 10019
(40.76705294416218, -73.97954335539212)"
Parking Garage,1133585,IMPERIAL PALACE GARAGE CORP,,1 AVENUE,845 1 AVENUE,,10017,2127367171,76,"845 1 AVENUE
NEW YORK, NY 10017
(40.75214110417746, -73.96765190140094)"
Parking Garage,1133680,TIMES SQUARE 41ST STREET GARAGE LLC,,WEST   41 STREET,220 WEST   41 STREET,,10036,2127301777,124,"220 41 STREET
NEW YORK, NY 10036
(40.75561380596294, -73.98808789816832)"
Parking Garage,1133687,SAWYER PARKING LLC,,WEST   20 STREET,148-150 WEST   20 STREET,,10011,2122428310,150,"148 150 WEST 20 STREET
NEW YORK, NY 10011
(40.74471526669623, -74.00460000028977)"
Parking Garage,1134343,JONATHAN & GABRIELLE PARKING INC,,INWOOD AVENUE,1521 INWOOD AVENUE,,10452,7187310931,100,"1521 INWOOD AVENUE
BRONX, NY 10452
(40.84278630345719, -73.91734934332494)"
Parking Lot,1134501,EDISON N.Y. PARKING LLC,,SOUTH STREET,220 SOUTH STREET,,10002,9738492571,63,"220 SOUTH STREET
NEW YORK, NY 10002
(40.70952437036991, -73.99407458804828)"
Parking Garage,1135017,"CENTRAL PARKING SYSTEM OF NEW YORK, INC",,WORTH STREET,101 WORTH STREET,,10013,2126296602,226,"101 WORTH STREET
NEW YORK, NY 10013
(40.7160820540956, -74.00404121192467)"
Parking Garage,1135061,110 EAST 16TH STREET ASSOCIATES LLC,,EAST   16 STREET,110 EAST   16 STREET,,10003,2126869800,275,"110 16 STREET
NEW YORK, NY 10003
(40.73566605534351, -73.98877432724494)"
Parking Garage,1135063,REALPRO PARKING LLC,,EAST   39 STREET,330 EAST   39 STREET,,10016,2126869800,208,"330 39 STREET
NEW YORK, NY 10016
(40.74730341761045, -73.97214818226053)"
Parking Garage,1135076,WEST PLAZA GARAGE LLC,,2 AVENUE,500-520 2 AVENUE,,10016,2126869800,169,"500 520 2 AVENUE
NEW YORK, NY 10016
(40.745242969987146, -73.97823298586354)"
Parking Garage,1135083,WEST PLAZA GARAGE LLC,,2 AVENUE,460-476 2 AVENUE,,10016,2126869800,96,"460 476 2 AVENUE
NEW YORK, NY 10016
(40.745242969987146, -73.97823298586354)"
Parking Garage,1135086,EAST PLAZA GARAGE LLC,,1 AVENUE,479-493 1 AVENUE,,10016,2126869800,42,"479 493 1 AVENUE
NEW YORK, NY 10016
(40.745242969987146, -73.97823298586354)"
Parking Garage,1135103,"WEST PLAZA GARAGE, LLC",,2 AVENUE,480-490 2 AVENUE,,10016,2126869800,96,"480 490 2 AVENUE
NEW YORK, NY 10016
(40.745242969987146, -73.97823298586354)"
Parking Garage,1135106,"SOUTH PLAZA GARAGE, LLC",,2 AVENUE,442-458 2 AVENUE,,10010,2126869800,98,"442 458 2 AVENUE
NEW YORK, NY 10010
(40.73914078212147, -73.98289845639863)"
Parking Garage,1135112,SOUTH PLAZA GARAGE LLC,,EAST   26 STREET,308-330 EAST   26 STREET,,10010,2126869800,62,"308 330 EAST 26 STREET
NEW YORK, NY 10010
(40.73914078212147, -73.98289845639863)"
Parking Garage,1135120,NORTH PLAZA GARAGE LLC,,EAST   29 STREET,331 EAST   29 STREET,,10016,2126869800,83,"331 29 STREET
NEW YORK, NY 10016
(40.74059643081641, -73.9756187960792)"
Parking Garage,1135161,WEST SIDE PARKING CORP,,WASHINGTON STREET,432 WASHINGTON STREET,,10013,2122748513,25,"432 WASHINGTON STREET
NEW YORK, NY 10013
(40.72321058044548, -74.01037836172611)"
Parking Lot,1135386,CITISAFE PARKING CORP.,,CROMWELL AVENUE,1355 CROMWELL AVENUE,,10452,2125416050,100,"1355 CROMWELL AVENUE
BRONX, NY 10452
(40.83976742625547, -73.92042408565115)"
Parking Lot,1135393,WEST 25TH LLC,,WEST   25 STREET,25-27 WEST   25 STREET,,10010,2124903460,54,"25 27 WEST 25 STREET
NEW YORK, NY 10010
(40.73914078212147, -73.98289845639863)"
Parking Lot,1135395,WEST 25TH LLC,,WEST   25 STREET,29-37 WEST   25 STREET,,10010,2124903460,108,"29 37 WEST 25 STREET
NEW YORK, NY 10010
(40.73914078212147, -73.98289845639863)"
Parking Lot,1135396,WEST 25TH LLC,,WEST   25 STREET,39 WEST   25 STREET,,10010,2124903460,18,"39 25 STREET
NEW YORK, NY 10010
(40.74191332509308, -73.98642178582342)"
Parking Garage,1135959,CENTRAL PARKING SYSTEM OF NEW YORK INC,,EAST   71 STREET,525-35 EAST   71 STREET,,10021,2126296602,248,"525 35 EAST 71 STREET
NEW YORK, NY 10021
(40.76920532766377, -73.959183941086)"
Parking Garage,1137035,KINNEY PARKING SYSTEM INC.,CENTRAL PARKING SYSTEM,YORK AVENUE,1153-67 YORK AVENUE,420 EAST 63RD STREET,10021,2126296602,433,"1153 67 YORK AVENUE
NEW YORK, NY 10021
(40.76920532766377, -73.959183941086)"
Parking Garage,1137049,"CENTRAL PARKING SYSTEM OF NEW YORK, INC",,6 AVENUE,1321-35 6 AVENUE,101-39 W 53 ST,10019,2126296602,475,"1321 35 6 AVENUE
NEW YORK, NY 10019
(40.76761164715987, -73.99180550022362)"
Parking Garage,1137052,"KINNEY PARKING SYSTEM, INC",CENTRAL PARKING SYSTEM,NORTH MOORE STREET,56 NORTH MOORE STREET,,10013,2126296602,220,"56 MOORE STREET
NEW YORK, NY 10013
(40.72001798724148, -74.00929018207063)"
Parking Garage,1137167,"KINNEY PARKING SYSTEM, INC",CENTRAL PARKING SYSTEM,WEST   28 STREET,33 WEST   28 STREET,,10001,2126296602,224,"33 28 STREET
NEW YORK, NY 10001
(40.7454027497083, -73.98892401259643)"
Parking Garage,1137171,"KINNEY PARKING SYSTEM, INC",CENTRAL PARKING SYSTEM,WEST   46 STREET,38-42 WEST   46 STREET,,10036,2126296602,225,"38 42 WEST 46 STREET
NEW YORK, NY 10036
(40.75934682719435, -73.989860554421)"
Parking Garage,1137946,KINNEY PARKING SYSTEM INC,CENTRAL PARKING SYSTEM,WEST   48 STREET,153-161 WEST   48 STREET,,10036,2126296602,213,"153 161 WEST 48 STREET
NEW YORK, NY 10036
(40.75934682719435, -73.989860554421)"
Parking Garage,1137953,"KINNEY PARKING SYSTEM, INC",CENTRAL PARKING SYSTEM,11 AVENUE,838-852 11 AVENUE,543-65 WEST 57 ST,10019,2126296602,84,"838 852 11 AVENUE
NEW YORK, NY 10019
(40.76761164715987, -73.99180550022362)"
Parking Garage,1138103,INDOOR PARKING CORP,,DYCKMAN STREET,164 DYCKMAN STREET,,10040,2129429804,150,"164 DYCKMAN STREET
NEW YORK, NY 10040
(40.86373291658316, -73.92616140804795)"
Parking Garage,1139987,"CENTRAL PARKING SYSTEM OF NEW YORK, INC.",,WEST   47 STREET,267 WEST   47 STREET,,10036,2126296602,61,"267 47 STREET
NEW YORK, NY 10036
(40.75997452132542, -73.98637359606901)"
Parking Garage,1140019,"CENTRAL PARKING SYSTEM OF NEW YORK, INC.",,7 AVENUE,882-92 7 AVENUE,201-7 WEST 56 STREET,10019,2126296602,225,"882 92 7 AVENUE
NEW YORK, NY 10019
(40.76761164715987, -73.99180550022362)"
Parking Lot,1140965,"GARDEN GARAGE, LLC",,8 AVENUE,384 8 AVENUE,384-388 8 AVENUE,10001,2128322066,35,"384 8 AVENUE
NEW YORK, NY 10001
(40.74910453074891, -73.99564883798935)"
Parking Lot,1140970,"GARDEN GARAGE, LLC",,WEST   29 STREET,253 WEST   29 STREET,,10001,2128322066,25,"253 29 STREET
NEW YORK, NY 10001
(40.74874233285732, -73.9950359279062)"
Parking Garage,1141698,PINE PARKING CORP,,VARICK STREET,111-115 VARICK STREET,,10013,8007985701,183,"111 115 VARICK STREET
NEW YORK, NY 10013
(40.721242188776046, -74.00888900022716)"
Parking Lot,1141705,PINE PARKING CORP,,GRAND STREET,61-69 GRAND STREET,,10013,8007985701,45,"61 69 GRAND STREET
NEW YORK, NY 10013
(40.721242188776046, -74.00888900022716)"
Parking Garage,1142024,NINTH AVENUE PARKING LLC,,WEST   37 STREET,404 WEST   37 STREET,,10018,2125643199,161,"404 37 STREET
NEW YORK, NY 10018
(40.75584218751839, -73.99629556698147)"
Parking Garage,1142057,22ND AND SIXTH PARKING LLC,,WEST   23 STREET,60 WEST   23 STREET,AKA 56-76 WEST 23 STREET,10010,2126869800,195,"60 23 STREET
NEW YORK, NY 10010
(40.74289673966683, -73.99279661605328)"
Parking Lot,1143627,COMMUNITY PARKING INC,,GARDEN STREET,711-735 GARDEN STREET,,10457,3475388602,145,"711 735 GARDEN STREET
BRONX, NY 10457
(40.84579837129786, -73.89832418681175)"
Parking Garage,1143750,IMPARK 92 LLC,,WEST   91 STREET,101-111 WEST   91 STREET,,10024,2129378660,106,"101 111 WEST 91 STREET
NEW YORK, NY 10024
(40.78362556816552, -73.96653900057436)"
Parking Lot,1144266,M.A.R. PARKING LOT CORP,,EAST  168 STREET,761 EAST  168 STREET,,10456,7188611644,100,"761 168 STREET
BRONX, NY 10456
(40.82934292304695, -73.90105365342356)"
Parking Garage,1144398,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,BROADWAY,1745 BROADWAY,,10019,2126296602,143,"1745 BROADWAY
NEW YORK, NY 10019
(40.76530118794201, -73.98206827987734)"
Parking Garage,1144401,"CENTRAL PARKING SYSTEM OF NEW YORK, INC.",,EAST   50 STREET,138-146 EAST   50 STREET,,10022,2126296602,185,"138 146 EAST 50 STREET
NEW YORK, NY 10022
(40.758630224005685, -73.96809182217982)"
Parking Lot,1145890,"FRANK ZAPPONE, INC",,CAMBRELENG AVENUE,2449 CAMBRELENG AVENUE,,10458,9147620481,15,"2449 CAMBRELENG AVENUE
BRONX, NY 10458
(40.855909458326224, -73.88428535403315)"
Parking Garage,1146395,REGAL PARKING CORP,,64 AVENUE,98-10 64 AVENUE,,11374,2127367171,180,"98 10 64 AVENUE
REGO PARK, NY 11374
(40.72646491702238, -73.86148084756303)"
Parking Garage,1146406,400 GARAGE CORP.,,EAST   85 STREET,400 EAST   85 STREET,,10028,2127367171,60,"400 85 STREET
NEW YORK, NY 10028
(40.776137602328355, -73.94980461547193)"
Parking Garage,1146424,REGAL PARKING CORP,,63 DRIVE,98-22 63 DRIVE,,11374,2127367171,180,"98 22 63 DRIVE
REGO PARK, NY 11374
(40.72646491702238, -73.86148084756303)"
Parking Garage,1146456,IMPERIAL PARKING (US) INC,IMPARK,6 AVENUE,750 6 AVENUE,,10010,2129378660,73,"750 6 AVENUE
NEW YORK, NY 10010
(40.74417899987569, -73.99182498679839)"
Parking Garage,1146716,BROTHERS CAR PARK LLC,,MONTAGUE STREET,180 MONTAGUE STREET,,11201,2122216111,81,"180 MONTAGUE STREET
BROOKLYN, NY 11201
(40.694193658095344, -73.99220505554315)"
Parking Garage,1146910,"CHAMPION CONFUCIUS, LLC",,DIVISION STREET,2 DIVISION STREET,2-68 DIVISION STREET,10002,2123085959,300,"2 DIVISION STREET
NEW YORK, NY 10002
(40.71408335983735, -73.9974210553684)"
Parking Garage,1146930,WEST 31ST GARAGE CORP,,7 AVENUE,371 7 AVENUE,,10001,2127367171,94,"371 7 AVENUE
NEW YORK, NY 10001
(40.74890421082256, -73.99214910419215)"
Parking Lot,1147734,DEAN 111 INC,,GERARD AVENUE,686-88 GERARD AVENUE,,10451,9087831991,50,"686 88 GERARD AVENUE
BRONX, NY 10451
(40.82069640711353, -73.92384136798472)"
Parking Lot,1148572,ST.ANNS PARKING INC,,WEST  148 STREET,234-240 WEST  148 STREET,,10039,2122344326,110,"234 240 WEST 148 STREET
NEW YORK, NY 10039
(40.82668192862815, -73.93777090780111)"
Parking Garage,1148650,WORTHY PARKING LLC,,10 AVENUE,841 10 AVENUE,,10019,2124903460,86,"841 10 AVENUE
NEW YORK, NY 10019
(40.768102746953694, -73.9893565167187)"
Parking Garage,1148651,1020 PARKING LLC,,GRAND CONCOURSE,1020 GRAND CONCOURSE,,10451,2124903460,292,"1020 GRAND
BRONX, NY 10451
(40.82069640711353, -73.92384136798472)"
Parking Garage,1148653,UPTOWN PARKING CORP,,AMSTERDAM AVENUE,1721-1735 AMSTERDAM AVENUE,,,2124903460,53,"1721 1735 AMSTERDAM AVENUE
NEW YORK, NY
(40.756053999992105, -73.9869510002884)"
Parking Lot,1148777,N N I ENTERPRISES LTD,,JEROME AVENUE,2125 JEROME AVENUE,,10453,7185904777,75,"2125 JEROME AVENUE
BRONX, NY 10453
(40.85531621326618, -73.9060556781063)"
Parking Garage,1148944,ELBA OPERATING CORP,,WASHINGTON STREET,575 WASHINGTON STREET,,10014,2129299404,400,"575 WASHINGTON STREET
NY, NY 10014
(40.72952382109116, -74.00924521596914)"
Parking Lot,1150017,"HINCAPIE, GIOVANNI",G H PARKING LOT,CROTONA PARKWAY,2120 CROTONA PARKWAY,A/K/A 850 E 181 ST,10460,7183293539,33,"2120 CROTONA PARKWAY
BRONX, NY 10460
(40.84635168903018, -73.88364335976031)"
Parking Garage,1151530,CITY PARKING LLC,,EAST   11 STREET,525 EAST   11 STREET,525 A/K/A 529,10009,2127078993,90,"525 11 STREET
NEW YORK, NY 10009
(40.727959000760166, -73.9806557686577)"
Parking Garage,1151772,CENTRAL PARKING SYSTEM OF NEW YORK INC,,SEDDON STREET,1601 SEDDON STREET,,10461,7189316541,150,"1601 SEDDON STREET
BRONX, NY 10461
(40.84020169583912, -73.84847448629591)"
Parking Lot,1151777,BROOK PARKING GARAGE INC,,EAST  167 STREET,418 EAST  167 STREET,,10456,7185888328,64,"418 167 STREET
BRONX, NY 10456
(40.830443673563735, -73.90971941897467)"
Parking Lot,1151780,BROOK PARKING GARAGE INC,,EAST  167 STREET,420 EAST  167 STREET,,10456,7185888328,64,"420 167 STREET
BRONX, NY 10456
(40.830423948434635, -73.90965742571183)"
Parking Garage,1152232,72ND STREET LLC,,EAST   71 STREET,517 EAST   71 STREET,,10021,2124903460,50,"517 71 STREET
NEW YORK, NY 10021
(40.76588078360281, -73.95347152059064)"
Parking Garage,1152784,CHAMPION LENOX LLC,,EAST   77 STREET,176 EAST   77 STREET,,10021,2123085959,79,"176 77 STREET
NEW YORK, NY 10021
(40.63078009251138, -74.031712658214)"
Parking Garage,1153003,18TH AND THIRD PARKING LLC,,EAST   17 STREET,201 EAST   17 STREET,,10003,2126869800,108,"201 17 STREET
NEW YORK, NY 10003
(40.73520449313274, -73.98573004610083)"
Parking Lot,1153766,MPC PARKING LLC,,2 AVENUE,1104-1116 2 AVENUE,,10022,2126869800,227,"1104 1116 2 AVENUE
NEW YORK, NY 10022
(40.758630224005685, -73.96809182217982)"
Parking Garage,1154973,ANN PARK LLC,,ANN STREET,57-61 ANN STREET,,10038,2127143521,276,"57 61 ANN STREET
NEW YORK, NY 10038
(40.70935929189784, -74.00307186237649)"
Parking Garage,1154974,45 EAST LLC,,EAST   45 STREET,333 EAST   45 STREET,,10017,2125643199,35,"333 45 STREET
NEW YORK, NY 10017
(40.751070628686385, -73.9690838184026)"
Parking Garage,1154975,87 EAST LLC,,EAST   87 STREET,231 EAST   87 STREET,,10128,2125643199,50,"231 87 STREET
NEW YORK, NY 10128
(40.77921698301194, -73.95275540998819)"
Parking Lot,1155046,KAYLEE OPERATING LLC,,MADISON STREET,148 MADISON STREET,,10002,2129299404,66,"148 MADISON STREET
NEW YORK, NY 10002
(40.71242770931417, -73.99290453469678)"
Parking Garage,1155049,MOTT PARK LLC,,MOTT STREET,284 MOTT STREET,,10012,2125643199,62,"284 MOTT STREET
NEW YORK, NY 10012
(40.72421324184596, -73.9943564456159)"
Parking Garage,1155050,22 EAST LLC,,EAST   22 STREET,329-333 EAST   22 STREET,,10010,2125643199,160,"329 333 EAST 22 STREET
NEW YORK, NY 10010
(40.73914078212147, -73.98289845639863)"
Parking Garage,1155053,PARK 15 WEST LLC,,WEST   15 STREET,422-430 WEST   15 STREET,,10011,2125643199,374,"422 430 WEST 15 STREET
NEW YORK, NY 10011
(40.74471526669623, -74.00460000028977)"
Parking Garage,1155070,30 WEST LLC,,WEST   30 STREET,320 WEST   30 STREET,,10001,2125643199,82,"320 30 STREET
NEW YORK, NY 10001
(40.75006130009778, -73.99630162861854)"
Parking Garage,1155071,69 EAST LLC,,EAST  69TH STREET,200 EAST  69TH STREET,,10021,2125643199,200,"200 69TH STREET
NEW YORK, NY 10021
(40.7676460819132, -73.96162611451774)"
Parking Garage,1155355,"CENTRAL PARKING SYSTEM OF NEW YORK, INC.",,WEST   57 STREET,100 WEST   57 STREET,,10019,9999999999,225,"100 57 STREET
NEW YORK, NY 10019
(40.764332240827144, -73.97728771614693)"
Parking Garage,1155370,"310 EAST 48TH STREET GARAGE, LLC",,EAST   48 STREET,308-316 EAST   48 STREET,,10017,2128887400,300,"308 316 EAST 48 STREET
NEW YORK, NY 10017
(40.75245652744684, -73.97297648087982)"
Parking Lot,1155478,IMPARK HSW LLC,,WEST   42 STREET,315-17 WEST   42 STREET,,10036,2129378660,80,"315 17 WEST 42 STREET
NEW YORK, NY 10036
(40.75934682719435, -73.989860554421)"
Parking Lot,1155671,PROVO PARKING LLC,,TIEBOUT AVENUE,2468 TIEBOUT AVENUE,2468-2478,10458,2124903460,54,"2468 TIEBOUT AVENUE
BRONX, NY 10458
(40.86102316376127, -73.89521438759235)"
Parking Garage,1155791,J & A PARKING INC,,EAST  184 STREET,376 EAST  184 STREET,,10458,7188791782,147,"376 184 STREET
BRONX, NY 10458
(40.85715034380903, -73.89593940682127)"
Parking Lot,1157097,EZ PARK EAST INC,,PARK AVENUE,1845-65 PARK AVENUE,,10035,2122229745,275,"1845 65 PARK AVENUE
NEW YORK, NY 10035
(40.79381703542788, -73.91931750020245)"
Parking Garage,1157180,ALFRED CAR PARK LLC,GGMC,WEST   61 STREET,161 WEST   61 STREET,,10023,2129966363,140,"161 61 STREET
NEW YORK, NY 10023
(40.771360281894204, -73.98599774151177)"
Parking Lot,1157522,CROTONA PARKWAY GARAGE INC,,HONEYWELL AVENUE,1981-85 HONEYWELL AVENUE,,10460,7186206177,250,"1981 85 HONEYWELL AVENUE
BRONX, NY 10460
(40.84309034804119, -73.87860282506028)"
Parking Garage,1157539,KINNEY PARKING SYSTEM INC,CENTRAL PARKING SYSTEM,EAST   88 STREET,200-206 EAST   88 STREET,AKA/ 1551-1565 3RD AVE,10128,2125025490,218,"200 206 EAST 88 STREET
NEW YORK, NY 10128
(40.781770000585084, -73.95062814906976)"
