Demographic,DBN,NAME,Total Cohort  - June,Total Math/ELA APM - June,% of Cohort - June,Total Cohort  - August,Total Math/ELA APM - August,% of Cohort - August
Female,16K455,BOYS AND GIRLS HIGH SCHOOL,214,6,2.8%,214,6,2.8%
Female,17K382,ACADEMY FOR COLLEGE PREPARATION AND C,33,6,18.2%,33,6,18.2%
Female,17K408,ACADEMY OF  HOSPITALITY AND TOURISM,41,7,17.100000000000001%,41,7,17.100000000000001%
Female,17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,48,0,0%,48,0,0%
Female,17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT,37,2,5.4%,37,2,5.4%
Female,17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHI,57,9,15.8%,57,9,15.8%
Female,17K531,SCHOOL FOR HUMAN RIGHTS  THE,27,3,11.1%,27,3,11.1%
Female,17K533,SCHOOL FOR DEMOCRACY AND  LEADERSHIP,50,0,0%,50,5,10%
Female,17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY D,48,6,12.5%,48,6,12.5%
Female,17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT,55,7,12.7%,55,7,12.7%
Female,17K543,SCIENCE  TECHNOLOGY AND RESEARCH EARL,43,10,23.3%,43,10,23.3%
Female,17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,65,4,6.2%,65,5,7.7%
Female,17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROE,74,17,23%,74,17,23%
Female,17K547,BROOKLYN ACADEMY OF SCIENCE AND THE,53,11,20.8%,53,11,20.8%
Female,17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,59,4,6.8%,59,4,6.8%
Female,17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,40,2,5%,40,2,5%
Female,17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHO,76,35,46.1%,76,35,46.1%
Female,17K600,CLARA BARTON HIGH SCHOOL,377,83,22%,377,87,23.1%
Female,17K625,PAUL ROBESON HIGH SCHOOL,121,3,2.5%,121,3,2.5%
Female,18K415,SAMUEL J. TILDEN HIGH SCHOOL,75,1,1.3%,75,1,1.3%
Female,18K500,CANARSIE HIGH SCHOOL,208,6,2.9%,208,6,2.9%
Female,18K515,SOUTH SHORE HIGH SCHOOL,48,6,12.5%,48,6,12.5%
Female,18K563,IT TAKES A VILLAGE ACADEMY,1,s,s,1,s,s
Female,18K566,BROOKLYN GENERATION SCHOOL,3,s,s,3,s,s
Female,18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,1,s,s,1,s,s
Female,18K569,KURT HAHN EXPEDITIONARY LEARNING SCHO,.,.,.,.,.,.
Female,18K576,VICTORY COLLEGIATE HIGH SCHOOL,.,.,.,.,.,.
Female,18K578,BROOKLYN BRIDGE ACADEMY,52,0,0%,52,0,0%
Female,18K589,ARTS & MEDIA PREPARATORY ACADEMY,2,s,s,2,s,s
Female,18K629,CULTURAL ACADEMY FOR THE ARTS AND SCI,.,.,.,.,.,.
Female,18K635,OLYMPUS ACADEMY,49,1,2%,49,1,2%
Female,18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,38,0,0%,38,1,2.6%
Female,19K409,EAST NEW YORK FAMILY ACADEMY,53,5,9.4%,53,5,9.4%
Female,19K420,FRANKLIN K. LANE HIGH SCHOOL,245,17,6.9%,245,17,6.9%
Female,19K435,THOMAS JEFFERSON HIGH SCHOOL,.,.,.,.,.,.
Female,19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SA,20,s,s,20,s,s
Female,19K504,HIGH SCHOOL FOR CIVIL RIGHTS,59,3,5.1%,59,3,5.1%
Female,19K507,PERFORMING ARTS AND TECHNOLOGY HIGH S,65,2,3.1%,65,2,3.1%
Female,19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEA,57,0,0%,57,2,3.5%
Female,19K583,MULTICULTURAL HIGH SCHOOL,3,s,s,3,s,s
Female,19K615,TRANSIT TECH CAREER AND TECHNICAL EDU,68,9,13.2%,68,9,13.2%
Female,19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,1,s,s,1,s,s
Female,19K639,BROOKLYN LAB SCHOOL,1,s,s,1,s,s
Female,19K659,CYPRESS HILLS COLLEGIATE PREPARATORY,64,4,6.3%,64,4,6.3%
Female,19K660,W. H. MAXWELL CAREER AND TECHNICAL ED,152,3,2%,152,3,2%
Female,20K445,NEW UTRECHT HIGH SCHOOL,297,96,32.299999999999997%,297,98,33%
Female,20K485,HIGH SCHOOL OF  TELECOMMUNICATION ART,135,49,36.299999999999997%,135,50,37%
Female,20K490,FORT HAMILTON HIGH SCHOOL,445,153,34.4%,445,157,35.299999999999997%
Female,20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,368,102,27.7%,368,106,28.8%
Female,21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,29,3,10.3%,29,3,10.3%
Female,21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL,65,17,26.2%,65,17,26.2%
Female,21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,18,s,s,18,s,s
Female,21K400,LAFAYETTE HIGH SCHOOL,25,3,12%,25,3,12%
Female,21K410,ABRAHAM LINCOLN HIGH SCHOOL,286,45,15.7%,286,46,16.100000000000001%
Female,21K525,EDWARD R. MURROW HIGH SCHOOL,532,241,45.3%,532,243,45.7%
Female,21K540,JOHN DEWEY HIGH SCHOOL,329,56,17%,329,59,17.899999999999999%
Female,21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND,1,s,s,1,s,s
Female,21K572,EXPEDITIONARY LEARNING SCHOOL FOR COM,2,s,s,2,s,s
Female,21K620,WILLIAM E. GRADY CAREER AND TECHNICAL,41,4,9.800000000000001%,41,4,9.800000000000001%
Female,21K690,BROOKLYN STUDIO SECONDARY SCHOOL,77,22,28.6%,77,22,28.6%
Female,21K728,LIBERATION DIPLOMA PLUS,28,0,0%,28,0,0%
Female,22K405,MIDWOOD HIGH SCHOOL,502,321,63.9%,502,332,66.099999999999994%
Female,22K425,JAMES MADISON HIGH SCHOOL,496,162,32.700000000000003%,496,166,33.5%
Female,22K495,SHEEPSHEAD BAY HIGH SCHOOL,269,22,8.199999999999999%,269,22,8.199999999999999%
Female,22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE,155,129,83.2%,155,129,83.2%
Female,22K555,BROOKLYN COLLEGE ACADEMY,76,29,38.200000000000003%,76,29,38.200000000000003%
Female,23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD,36,3,8.300000000000001%,36,3,8.300000000000001%
Female,23K514,FREDERICK DOUGLASS ACADEMY VII HIGH S,55,5,9.1%,55,5,9.1%
Female,23K643,BROOKLYN DEMOCRACY ACADEMY,58,0,0%,58,0,0%
Female,23K645,EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY,51,2,3.9%,51,2,3.9%
Female,23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,68,0,0%,68,0,0%
Female,23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,58,1,1.7%,58,1,1.7%
Female,23K697,TEACHERS PREPARATORY HIGH SCHOOL,55,17,30.9%,55,17,30.9%
Female,24Q264,ACADEMY OF FINANCE AND  ENTERPRISE,49,6,12.2%,49,6,12.2%
Female,24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,54,7,13%,54,7,13%
Female,24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOO,.,.,.,.,.,.
Female,24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,35,19,54.3%,35,19,54.3%
Female,24Q455,NEWTOWN HIGH SCHOOL,338,48,14.2%,338,48,14.2%
Female,24Q485,GROVER CLEVELAND HIGH SCHOOL,340,61,17.899999999999999%,340,62,18.2%
Female,24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,108,11,10.199999999999999%,108,11,10.199999999999999%
Female,24Q560,ROBERT F. WAGNER  JR. SECONDARY SCHOO,49,13,26.5%,49,13,26.5%
Female,24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH,103,7,6.8%,103,7,6.8%
Female,24Q610,AVIATION CAREER & TECHNICAL EDUCATION,47,13,27.7%,47,13,27.7%
Female,24Q744,VOYAGES PREPARATORY,37,1,2.7%,37,1,2.7%
Female,25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,42,6,14.3%,42,6,14.3%
Female,25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STU,37,10,27%,37,10,27%
Female,25Q285,WORLD JOURNALISM PREPARATORY: A COLLE,46,6,13%,46,6,13%
Female,25Q425,JOHN BOWNE HIGH SCHOOL,346,53,15.3%,346,53,15.3%
Female,25Q460,FLUSHING HIGH SCHOOL,296,30,10.1%,296,30,10.1%
Female,25Q525,TOWNSEND HARRIS HIGH SCHOOL,196,195,99.5%,196,195,99.5%
Female,25Q540,QUEENS ACADEMY HIGH SCHOOL,78,2,2.6%,78,2,2.6%
Female,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,73,20,27.4%,73,20,27.4%
Female,25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,30,0,0%,30,0,0%
Female,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,502,252,50.2%,502,254,50.6%
Female,26Q430,FRANCIS LEWIS HIGH SCHOOL,631,321,50.9%,631,347,55%
Female,26Q435,MARTIN VAN BUREN HIGH SCHOOL,356,55,15.4%,356,55,15.4%
Female,26Q495,BAYSIDE HIGH SCHOOL,470,273,58.1%,470,277,58.9%
Female,26Q566,QUEENS HIGH SCHOOL OF TEACHING  LIBER,164,35,21.3%,164,35,21.3%
Female,27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SC,41,4,9.800000000000001%,41,4,9.800000000000001%
Female,27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,30,9,30%,30,9,30%
Female,27Q302,QUEENS HIGH SCHOOL FOR INFORMATION  R,.,.,.,.,.,.
Female,27Q400,AUGUST MARTIN HIGH SCHOOL,121,2,1.7%,121,2,1.7%
Female,27Q410,BEACH CHANNEL HIGH SCHOOL,174,4,2.3%,174,4,2.3%
Female,27Q465,FAR ROCKAWAY HIGH SCHOOL,84,3,3.6%,84,3,3.6%
Female,27Q475,RICHMOND HILL HIGH SCHOOL,437,49,11.2%,437,51,11.7%
Female,27Q480,JOHN ADAMS HIGH SCHOOL,387,32,8.300000000000001%,387,32,8.300000000000001%
Female,27Q650,HIGH SCHOOL FOR CONSTRUCTION TRADES,43,12,27.9%,43,12,27.9%
Female,28Q440,FOREST HILLS HIGH SCHOOL,442,188,42.5%,442,189,42.8%
Female,28Q470,JAMAICA HIGH SCHOOL,204,19,9.300000000000001%,204,19,9.300000000000001%
Female,28Q505,HILLCREST HIGH SCHOOL,457,65,14.2%,457,66,14.4%
Female,28Q620,THOMAS A. EDISON CAREER AND TECHNICAL,266,144,54.1%,266,145,54.5%
Female,28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SEC,80,47,58.8%,80,50,62.5%
Female,28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES A,57,56,98.2%,57,57,100%
Female,28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND P,62,11,17.7%,62,11,17.7%
Female,29Q248,QUEENS PREPARATORY ACADEMY,56,6,10.7%,56,6,10.7%
Female,29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL:,40,0,0%,40,0,0%
Female,29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,48,4,8.300000000000001%,48,4,8.300000000000001%
Female,29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL,56,16,28.6%,56,16,28.6%
Female,29Q283,PREPARATORY ACADEMY FOR WRITERS: A CO,19,s,s,19,s,s
Female,29Q492,MATHEMATICS  SCIENCE RESEARCH AND TEC,35,8,22.9%,35,8,22.9%
Female,29Q494,LAW  GOVERNMENT AND COMMUNITY SERVICE,63,6,9.5%,63,6,9.5%
Female,29Q496,BUSINESS  COMPUTER APPLICATIONS & ENT,29,0,0%,29,0,0%
Female,29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,48,3,6.3%,48,3,6.3%
Female,30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,368,105,28.5%,368,108,29.3%
Female,30Q450,LONG ISLAND CITY HIGH SCHOOL,347,78,22.5%,347,79,22.8%
Female,30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,120,63,52.5%,120,64,53.3%
Female,30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,90,16,17.8%,90,16,17.8%
Female,30Q555,NEWCOMERS HIGH SCHOOL,101,18,17.8%,101,18,17.8%
Female,30Q575,ACADEMY OF AMERICAN STUDIES,104,61,58.7%,104,63,60.6%
Female,30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCA,41,35,85.4%,41,35,85.4%
Female,31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STU,47,12,25.5%,47,12,25.5%
Female,31R080,THE MICHAEL J. PETRIDES SCHOOL,54,23,42.6%,54,23,42.6%
Female,31R440,NEW DORP HIGH SCHOOL,247,61,24.7%,247,61,24.7%
Female,31R445,PORT RICHMOND HIGH SCHOOL,252,48,19%,252,48,19%
Female,31R450,CURTIS HIGH SCHOOL,353,78,22.1%,353,78,22.1%
Female,31R455,TOTTENVILLE HIGH SCHOOL,503,185,36.799999999999997%,503,185,36.799999999999997%
Female,31R460,SUSAN E. WAGNER HIGH SCHOOL,442,159,36%,442,160,36.200000000000003%
Female,31R470,CONCORD HIGH SCHOOL,33,1,3%,33,1,3%
Female,31R600,RALPH R. MCKEE CAREER AND TECHNICAL E,51,2,3.9%,51,2,3.9%
Female,31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,114,112,98.2%,114,112,98.2%
Female,32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,55,5,9.1%,55,5,9.1%
Female,32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICEBU,88,15,17%,88,15,17%
Female,32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,52,2,3.8%,52,2,3.8%
Female,32K552,ACADEMY OF URBAN PLANNING,65,2,3.1%,65,2,3.1%
Female,32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,19,s,s,19,s,s
Female,32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACAD,66,5,7.6%,66,5,7.6%
Female,32K564,BUSHWICK COMMUNITY HIGH SCHOOL,71,0,0%,71,0,0%
Male,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL,44,5,11.4%,44,5,11.4%
Male,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,59,6,10.199999999999999%,59,6,10.199999999999999%
Male,01M509,MARTA VALLE HIGH SCHOOL,39,3,7.7%,39,3,7.7%
Male,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,92,23,25%,92,23,25%
Male,01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,24,21,87.5%,24,21,87.5%
Male,01M650,CASCADES HIGH SCHOOL,34,4,11.8%,34,4,11.8%
Male,01M696,BARD HIGH SCHOOL EARLY COLLEGE,46,27,58.7%,46,27,58.7%
Male,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,5,s,s,5,s,s
Male,02M288,FOOD AND FINANCE HIGH SCHOOL,43,3,7%,43,3,7%
Male,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,22,4,18.2%,22,4,18.2%
Male,02M298,PACE HIGH SCHOOL,44,15,34.1%,44,15,34.1%
Male,02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,57,6,10.5%,57,6,10.5%
Male,02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT,23,1,4.3%,23,1,4.3%
Male,02M308,LOWER MANHATTAN ARTS ACADEMY,28,2,7.1%,28,2,7.1%
Male,02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,.,.,.,.,.,.
Male,02M374,GRAMERCY ARTS HIGH SCHOOL,40,1,2.5%,40,1,2.5%
Male,02M394,EMMA LAZARUS HIGH SCHOOL,6,s,s,6,s,s
Male,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,166,49,29.5%,166,52,31.3%
Male,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,21,5,23.8%,21,5,23.8%
Male,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,39,28,71.8%,39,28,71.8%
Male,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,60,26,43.3%,60,28,46.7%
Male,02M414,N.Y.C. MUSEUM SCHOOL,55,12,21.8%,55,12,21.8%
Male,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,55,42,76.400000000000006%,55,42,76.400000000000006%
Male,02M418,MILLENNIUM HIGH SCHOOL,52,36,69.2%,52,36,69.2%
Male,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,99,27,27.3%,99,27,27.3%
Male,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,77,6,7.8%,77,6,7.8%
Male,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,174,7,4%,174,7,4%
Male,02M460,WASHINGTON IRVING HIGH SCHOOL,193,5,2.6%,193,5,2.6%
Male,02M475,STUYVESANT HIGH SCHOOL,458,447,97.6%,458,450,98.3%
Male,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,100,26,26%,100,27,27%
Male,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,30,1,3.3%,30,1,3.3%
Male,02M519,TALENT UNLIMITED HIGH SCHOOL,26,4,15.4%,26,4,15.4%
Male,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,314,54,17.2%,314,56,17.8%
Male,02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOO,64,9,14.1%,64,10,15.6%
Male,02M531,REPERTORY COMPANY HIGH SCHOOL FOR THE,11,s,s,11,s,s
Male,02M542,MANHATTAN BRIDGES HIGH SCHOOL,70,7,10%,70,7,10%
Male,02M543,NEW DESIGN HIGH SCHOOL,45,4,8.9%,45,4,8.9%
Male,02M544,INDEPENDENCE HIGH SCHOOL,72,1,1.4%,72,1,1.4%
Male,02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASI,29,21,72.400000000000006%,29,21,72.400000000000006%
Male,02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCO,63,8,12.7%,63,8,12.7%
Male,02M551,THE HARBOR HS,47,4,8.5%,47,4,8.5%
Male,02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY,151,25,16.600000000000001%,151,25,16.600000000000001%
Male,02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACH,41,5,12.2%,41,5,12.2%
Male,02M586,HARVEY MILK HIGH SCHOOL,14,s,s,14,s,s
Male,02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,29,7,24.1%,29,7,24.1%
Male,02M615,CHELSEA CAREER AND TECHNICAL EDUCATIO,109,6,5.5%,109,6,5.5%
Male,02M620,NORMAN THOMAS HIGH SCHOOL,251,8,3.2%,251,8,3.2%
Male,02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION,196,10,5.1%,196,10,5.1%
Male,02M630,ART AND DESIGN HIGH SCHOOL,163,17,10.4%,163,17,10.4%
Male,02M655,LIFE SCIENCES SECONDARY SCHOOL,61,7,11.5%,61,7,11.5%
Male,03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,32,1,3.1%,32,1,3.1%
Male,03M299,HIGH SCHOOL FOR ARTS  IMAGINATION AND,55,3,5.5%,55,3,5.5%
Male,03M307,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDI,68,4,5.9%,68,4,5.9%
Male,03M404,INNOVATION DIPLOMA PLUS,16,s,s,16,s,s
Male,03M415,WADLEIGH SECONDARY SCHOOL FOR THE PER,52,1,1.9%,52,1,1.9%
Male,03M470,LOUIS D. BRANDEIS HIGH SCHOOL,250,5,2%,250,5,2%
Male,03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF,134,86,64.2%,134,89,66.400000000000006%
Male,03M492,HIGH SCHOOL FOR LAW  ADVOCACY AND COM,41,4,9.800000000000001%,41,4,9.800000000000001%
Male,03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,90,7,7.8%,90,7,7.8%
Male,03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCH,83,1,1.2%,83,1,1.2%
Male,03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOO,47,34,72.3%,47,34,72.3%
Male,03M860,FREDERICK DOUGLASS ACADEMY II SECONDA,28,0,0%,28,0,0%
Male,04M409,COALITION SCHOOL FOR SOCIAL CHANGE,35,3,8.6%,35,3,8.6%
Male,04M435,MANHATTAN CENTER FOR SCIENCE AND MATH,191,98,51.3%,191,100,52.4%
Male,04M495,PARK EAST HIGH SCHOOL,36,3,8.300000000000001%,36,3,8.300000000000001%
Male,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,.,.,.,.,.,.
Male,04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECO,47,1,2.1%,47,1,2.1%
Male,04M680,HERITAGE SCHOOL  THE,41,4,9.800000000000001%,41,5,12.2%
Male,04M695,URBAN PEACE ACADEMY,11,s,s,11,s,s
Male,05M285,HARLEM RENAISSANCE HIGH SCHOOL,34,0,0%,34,0,0%
Male,05M304,MOTT HALL HIGH SCHOOL,46,7,15.2%,46,7,15.2%
Male,05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORM,10,s,s,10,s,s
Male,05M469,CHOIR ACADEMY OF HARLEM,13,s,s,13,s,s
Male,05M499,FREDERICK DOUGLASS ACADEMY,129,59,45.7%,129,59,45.7%
Male,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,51,8,15.7%,51,8,15.7%
Male,05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,57,54,94.7%,57,56,98.2%
Male,06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES,94,9,9.6%,94,10,10.6%
Male,06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATI,99,9,9.1%,99,10,10.1%
Male,06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVIC,75,7,9.300000000000001%,75,7,9.300000000000001%
Male,06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SC,83,11,13.3%,83,11,13.3%
Male,06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,136,27,19.899999999999999%,136,27,19.899999999999999%
Male,06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIE,40,6,15%,40,6,15%
Male,07X221,SOUTH BRONX PREPARATORY: A COLLEGE BO,26,3,11.5%,26,3,11.5%
Male,07X321,CROTONA ACADEMY HIGH SCHOOL,22,0,0%,22,0,0%
Male,07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,6,s,s,6,s,s
Male,07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,20,s,s,20,s,s
Male,07X381,BRONX HAVEN HIGH SCHOOL   ,3,s,s,3,s,s
Male,07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH S,37,0,0%,37,0,0%
Male,07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,23,11,47.8%,23,11,47.8%
Male,07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL ST,64,7,10.9%,64,7,10.9%
Male,07X527,BRONX LEADERSHIP ACADEMY II HS,50,7,14%,50,7,14%
Male,07X547,NEW EXPLORERS HIGH SCHOOL,52,3,5.8%,52,4,7.7%
Male,07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN,67,2,3%,67,2,3%
Male,07X551,BRONX ACADEMY OF LETTERS,28,1,3.6%,28,1,3.6%
Male,07X600,ALFRED E. SMITH CAREER AND TECHNICAL,236,6,2.5%,236,6,2.5%
Male,07X655,SAMUEL GOMPERS CAREER AND TECHNICAL E,263,7,2.7%,263,7,2.7%
Male,07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,40,7,17.5%,40,7,17.5%
Male,08X282,WOMEN'S ACADEMY OF EXCELLENCE,.,.,.,.,.,.
Male,08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL T,50,4,8%,50,5,10%
Male,08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESE,71,2,2.8%,71,2,2.8%
Male,08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE,66,4,6.1%,66,4,6.1%
Male,08X312,MILLENNIUM ART ACADEMY,54,3,5.6%,54,3,5.6%
Male,08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNIT,39,6,15.4%,39,6,15.4%
Male,08X377,BRONX COMMUNITY HIGH SCHOOL,31,0,0%,31,0,0%
Male,08X405,HERBERT H. LEHMAN HIGH SCHOOL,632,87,13.8%,632,93,14.7%
Male,08X450,ADLAI E. STEVENSON HIGH SCHOOL,3,s,s,3,s,s
Male,08X452,BRONX GUILD,27,0,0%,27,0,0%
Male,08X519,FELISA RINCON DE GAUTIER INSTITUTE FO,38,0,0%,38,0,0%
Male,08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEA,41,0,0%,41,0,0%
Male,08X560,HIGH SCHOOL X560 - BRONX ACADEMY HIGH,53,0,0%,53,0,0%
Male,08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC,131,5,3.8%,131,5,3.8%
Male,08X686,NEW SCHOOL FOR ARTS AND SCIENCES,.,.,.,.,.,.
Male,09X227,BRONX EXPEDITIONARY LEARNING HIGH SCH,59,0,0%,59,0,0%
Male,09X231,EAGLE ACADEMY FOR YOUNG MEN,100,14,14%,100,14,14%
Male,09X239,URBAN ASSEMBLY ACADEMY FOR HISTORY AN,74,2,2.7%,74,3,4.1%
Male,09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY:,22,3,13.6%,22,3,13.6%
Male,09X252,MOTT HALL BRONX HIGH SCHOOL,53,1,1.9%,53,1,1.9%
Male,09X260,BRONX CENTER FOR SCIENCE AND MATHEMAT,50,28,56%,50,29,58%
Male,09X263,VALIDUS PREPARATORY ACADEMY: AN EXPED,32,0,0%,32,0,0%
Male,09X276,LEADERSHIP INSTITUTE,35,4,11.4%,35,4,11.4%
Male,09X297,MORRIS ACADEMY FOR COLLABORATIVE STUD,47,2,4.3%,47,2,4.3%
Male,09X329,DREAMYARD PREPARATORY SCHOOL,47,4,8.5%,47,6,12.8%
Male,09X403,BRONX INTERNATIONAL HIGH SCHOOL,47,3,6.4%,47,4,8.5%
Male,09X404,SCHOOL FOR EXCELLENCE,56,3,5.4%,56,3,5.4%
Male,09X412,BRONX HIGH SCHOOL OF BUSINESS,65,5,7.7%,65,5,7.7%
Male,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,36,15,41.7%,36,15,41.7%
Male,09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA,62,3,4.8%,62,4,6.5%
Male,09X505,BRONX SCHOOL FOR LAW GOVERNMENT AND,49,4,8.199999999999999%,49,4,8.199999999999999%
Male,09X517,FREDERICK DOUGLASS ACADEMY III SECOND,40,6,15%,40,6,15%
Male,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,73,11,15.1%,73,11,15.1%
Male,09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,6,s,s,6,s,s
Male,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDD,74,19,25.7%,74,19,25.7%
Male,10X213,BRONX ENGINEERING AND TECHNOLOGY ACAD,60,10,16.7%,60,10,16.7%
Male,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOO,27,6,22.2%,27,6,22.2%
Male,10X237,THE MARIE CURIE SCHOOL FOR MEDICINE,7,s,s,7,s,s
