OrganizationName,Brooklyn,Bronx,Manhattan,Queens,Staten Island,Fax,Phone,URL,noURL,Description,outsideLoc,outsideLocDesc,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Business,Child Care & Parent Information,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Domestic Violence,Education,Employment & Job Training,Health,Homelessness,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Personal Finance & Financial Education,Professional Association,Veterans & Military Families,Victim Services,Women's Groups,Youth Services,Faith-based organization,Foundation,Is registered with the Attorney General's office,New York City Agency,None of the above,Nonprofit,Comments,Other government organization,Published,Location 1,Location 2
World Education Services,Y,Y,Y,Y,Y,2127396100,2129666311,http://www.wes.org,N,"Evaluates all formal educational credentials from all countries.  Evaluation reports are accepted by US CIS, Dept.. of Labor, Dept.. of Defense, major state, federal and local agencies, as well as professional licensing boards and colleges and universities throughout the US.",,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Queens Independent Living Center,N,N,N,Y,N,7183938575,7187134718,http://www.qilc.org,N,"Provides speakers to groups from each of the targeted communities about the Americans with Disabilities Act, rights for people with disabilities, rehabilitation programs, vocational services, benefits and other entitlement programs for persons with disabilities; assists with applying for Section 8 housing subsidies; provides assistance with the  application process for SSI, SSDI, Medicaid, food stamps and public assistance; assists with learning how to use accessible public transportation; assists with applying for Access-A-Ride (paratransitservice); provides advocacy assistance and may represent individuals at fair hearings; provides peer counseling; assists with independent living skills training; provides information and referral about adaptive equipment and other community resources.",N,,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Queens Jewish Community Council (QJCC),N,N,N,Y,N,7185448011,7185449033,http://www.qjcc.org,N,Services include: benefits counseling; job placement;security devices; emergency financial assistance; food distribution; child health class.,,,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Queens Parent Resource Center,N,N,N,Y,N,7185237261,7185236953,http://www.qprc.net,N,"Services include;Medicaid service coordination, residential habitation, day habitation, residential placements, family support programs, and family assistance services.",,,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Queensborough Community College - Center for Immigration,N,N,N,Y,N,7182815140,7186316611,http://www.qcc.cuny.edu,N,"Free legal advice regarding immigration issues which include citizenship application and information, application for permanent residency, appeals to immigration, employment-based visa, Infopass immigration appointments, inquiry of case status, political asylum, US passport filing, change of status, advice on most other immigration issues, update immigration documents and diversity lottery.  All counseling is confidential.",,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
The Committee for Hispanic Children and Families (CHCF),Y,Y,Y,Y,Y,2122068093,2122061090,http://www.chcfinc.org,N,"Since 1982, The Committee for Hispanic Children and Families, Inc. (CHCF) has been dedicated to improving the quality of life for Latino children and their families.  Believing that the most effective way to serve Latino families is by building upon their existing strengths and fostering self-sufficiency, CHCF provides a number of services to the community in the areas of Youth Development, Child Care Services, and Family Health Education.  Grounded in its direct services, CHCF is active in the local, state and national policy arenas around issues of child welfare and the well-being of Latino children.  For more information, please call (212) 206-1090 or visit our website at http://www.chcfinc.org",N,,N,N,N,N,Y,N,Y,N,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Concerned Citizens of Queens (Ciudadanos Conscientes de Queens),N,N,N,Y,N,7184784318,7184781605,,Y,Provides services primarily in the area of immigration.  Also offers citizenship and ESOL classes.,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
CONNECT (LAP),Y,Y,Y,Y,Y,2126830016,2126830015,http://www.connectnyc.org/,N,"Help survivors of domestic violence navigate the legal system through professional advocacy , user-friendly information, and accurate referrals.  Services include: developing strategies to address a client;s legal issues in Criminal and/or Family Court; advocating on behalf of clients with city or state agencies; and offering clients with Brooklyn Family Court cases access to an in-house legal representation program.  All client information is strictly confidential.",,,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Reformed Church of Newtown,N,N,N,Y,N,7185920864,7185924466,,Y,"The Reformed Church of Newtown offers a Madarin Chinese School.  Saturday morning 9:30 AM - 12:30 PM. $140/semester.  $20.00 registration fee,  One semester is four months.  Summer program for children is free.",,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Queensborough Community College - Continuing Education,N,N,N,Y,N,7182793238,7186316343,http://www.qcc.cuny.edu/ContEd/Default.htm,N,"Offers beginning, intermediate and advanced classes in English as a Second language.  An intensive ""Port of Entry language Program for Asians"" is offered to prepare new Asian immigrants planning to continue their education in NY.  Free classes are offered in Adult Literacy ESL and preparation for the GED.  Many other vocational training courses are offered.  Career guidance workshops are also available.",,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Association of the Bar of the CIty of New York - Immigrant Women and Children Project,Y,Y,Y,Y,Y,2123547438,2123824711,http://www.abcny.org,N,Immigration assistance for victims of domestic violence and human trafficking.,,,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,,N,N,N,N,N,N,Y,,N,Published,,
Central Queens YM and YWHA,N,N,N,Y,N,7187930515,7182685011,http://www.cqyjcc.org/html/library.shtml,N,"Book and non-book Judaica collection in Hebrew, Yiddish, and English",N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Hamilton-Madison House Sunrise Clubhouse,N,N,N,Y,N,,7187799500,http://hmhonline.org,N,"Funded by NYC Department of Health and Mental Hygiene, Sunrise clubhouse's goals and objectives are to assist Asian American mentally ill adults to develop self-esteem and group affiliation and to promote their recovery from mental illness and their reintegration into meaningful roles in community life.  The Club is composed of three major components:  food service, business activities and leisure time.",N,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,N,Published,,
Centro Civico Colombiano,N,N,N,Y,N,7182712598,7186994833,http://www.centrocivicocolombiano.com,N,"Services include computer class, Karate class, Spanish class, Colombian dancing, third-age program yoga, American citizenship, immigration, G.E.D., and a library.",N,,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Metropolitan Council on Jewish Poverty,N,N,Y,N,N,2124539600,2124539500,http://www.metcouncil.org,N,"Programs include: extended services program, home attendant vendor program, home attendant training program, home energy assistance program, Kosher meals on whells program, project Machson, emergency cash assistance, homelss roject, crisis intervention services, emergency food program, BRIA Employment Placement Program, Family Violence Intervention Project, Camp Scholarships, Housing and Community Development",,,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Maidstone Foundation [Family Support Service for Russians],N,N,Y,N,N,6462850538,2128895760,http://www.maidstonefoundation.org,N,"Provides information, referrals, case management and advocacy for Russians with adult or child family members with mental retardation, autism,cerebral palsy, epilepsy, learning disabilitites, neurological impairment and head injuries.  Speakers and support groups are offered.",N,,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Council of Aid for Central Asian Jews - After school service/Summer Day Camp,N,N,N,Y,N,7185201275,7185201275,,N,School age service after school time.,,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
English Language Center at LaGuardia Community College,N,N,N,Y,N,7186092004,7184825360,http://esl.lagcc.cuny.edu,N,"The English Language Center offers several programs in English as a Second Language:  a Day Intensive Program (20 hours/week), a Night Intensive Program (10 hours/week), and a part-time Non-Intensive Program (5 hours/week).  Levels are beginning, intermediate, and advanced. The Center also has programs in Office and Computer Skills for ESL students.",N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Emerald Isle Immigration Center,N,N,N,Y,N,7183247741,7184785502,http://www.eiic.org,N,"Founded by Irish immigrants, but now serves all immigrants..  Services include counseling and assistance with immigration matters, counseling on obtaining citizenship, training for the citizichip exam, educational counseling (how to apply to schools and colleges, etc.) computer training and employment counseling.",,,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Program for Deaf Adults at LaGuardia Community College,N,N,N,Y,N,7184825119,7184825324,http://www.lagcc.cuny.edu/pda,N,"A multi-cultural educational program offering American Sign Language instruction:  ESL, adult basic education, pre-vocatinal skills, academic studies, pre-GED preparation, Regents competency test preparation, academic preparation for deaf immigrants, college preparation, typingand TTY skills, WordPerfect and Lotus, driver's education, special needs tutoring, career development seminars, MELD (support group for deaf mothers and fathers) and interpreter continuing education.",N,,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Family Development Centers of St. Christopher-Ottilie,N,N,N,Y,N,7185074247,7185070700,http://www.sco.org,N,"For families where there is a crisis involving children. Provides counseling, advocacy and casework to reduce problems and keep family intact and out of placement. Emphasizes referrals from the protective services field office.",,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Latin American Cultural Center of Queens,N,N,N,Y,N,7182614308,7182617664,,Y,"Promotes Hispanic culture, works to meet the cultural needs of the Latino community in Queens and foster cross-cultural connections with other ethnic communities.  Programs include:  CITY BRIDGES (an after-school program for children of different ethnic groups designed to promote mutual understanding), FOUNDATION FOR YOUTH (a program for teenagers that inroduces them to adult Latino role models in different professions), CAREERS IN VISUAL ARTS (helps young people prepare for education and work in the field of visual arts), CULTURAL PROGRAMS (offers bilingual concerts, foldk dance performances, etc.), ESL PROGRAMS.",N,,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Latin American Immigrant Association,N,N,N,Y,N,7184572268,7184260226,,Y,"Legal services on all immigration matters, divorce, domestic violence",N,,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Latin American Integration Center,N,N,N,Y,N,7185650646,7185658500,http://www.laicnyc.org,N,"Information and referral, public education regarding civil rights,US citizenship campaigns, voter registration campaigns, classes in citizenship test preparation and English as a Second Language, Conversational English on one-to-one basis, leadership workshops.",N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Korean Community Services of Metropolitan New York,N,N,N,Y,N,7188866000,7189396137,http://www.kcsny.org,N,"COMMUNITY LINKING (contacts are maintained with government agencies, other community agencies and schools to provide them with information regarding the needs and concerns of the Korean community), COMMUNITY EDUCATION (Workshops and seminars are offered which are designed to increase public awareness of minority needs and rights, and to inform the Korean community of important issues and pending legislation), INFORMATION AND REFERRAL (Individuals are given information regarding access to needed services and are referred to appropriate agencies.  Assistance is provided for petitioners for citizenship, permanent resident status, and other immigration related affairs. Also offer citizenship preparation class and ESOL classes.), PUBLIC HEALTH PROGRAM (culturally sensitive HIV/AIDS prevention education is provided through media development, including educational AIDS calendars and newspaper articles. A Peer Education Project for Korean American adolescents provides workshops at various locations in the Korean community).",N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Korean Family Counseling and Research Center,N,N,N,Y,N,7183210554,7183212400,http://www.kfccny.org,N,"Services include family counseling, counseling and Safe Home Shelter for battered women, Asian sisterhood mentoring program for young Asian American women, legal and medical service referrals, and substance abuse counseling.",Y,"Hicksville, NY",N,N,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,Y,,Y,N,N,N,N,N,Y,,N,Published,,
Fedcap,Y,Y,Y,Y,Y,2127274374,2127274200,http://www.fedcap.org,N,,N,,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,Y,,N,Published,,
Haitian Centers Council,Y,N,N,N,N,7189405296,7189405200,,N,Services include immigration/refugee assistance; citizenship education; public education using local french/creole media; health education; housing; senior citizens; AIDS eduation and prevention; parenting skills; domestic violence prevention; cultural enrichment; dropout prevention; youth services; family services.,,,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Queens Library HealthLink,N,N,N,Y,N,,7189905197,http://www.queenslibrary.org/index.aspx?page_nm=QL_HealthLink,N,Community-based initiative to increase access to cancer screening and treatment.  Community members are invited to participate in Neighborhood-specific councils to address health issues.,N,,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
School Sisters of Notre Dame Educational Center,N,N,N,Y,N,,7187380588,,Y,provide free preparation for GED Test to under served women in Queens,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Institute for the Puerto Rican/Hispanic Elderly,Y,N,Y,N,N,7184783844,7184787171,,N,Services include:  entitlement; advocacy and service monitoring; crisis counseling; hotline; leadersip training; employment/training; translation; social/cultural activities; information & referral; case management and linkage.,N,,Y,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
International High School at LaGuardia Community College,N,N,N,Y,N,7183926904,7184825453,http://www.lagcc.cuny.edu/ihs/,N,A high school / college curiculum combining substantive study of all subject matter with intensive study and reinforcement of English.,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Builders for Family and Youth / Catholic Charities,N,N,N,Y,N,7187797775,7187791234,,N,"An out-patient mental health clinic for adults and children (over age 6).  Have a MICA (mentally illness and chemical abuse) specialist, forensic program with anger management groups.  AA (Alcoholics Anonymous) & NA (Narcotic anonymous) meeting, a mobile outreach team, food [pantry, and Meals-on-Wheels.  Have a psychiatrist on staff.",,,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Asian Women In Business,Y,Y,Y,Y,Y,2128681373,2128681368,http://www.awib.org,N,"Founded in 1995, Asian Women In Business (AWIB) is the only non-profit, tax-exempt organization in the country with the primary mission of assisting Asian women entrepreneurs. Over the years, AWIB, a dynamic organization, has expanded its mission to address identified needs and issues affecting the business and professional development of Asian Americans. AWIB also serves on various tasks forces and boards to promote the inclusion of minority and women owned businesses and professionals.",N,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,N,Y,,N,Published,,
VISIONS at Selis Manor,N,N,Y,N,N,6464864343,6464864444,http://www.visionsvcb.org,N,,N,,Y,N,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Women's Business Center,N,N,N,Y,N,7182630594,7182630546,http://queensny.org/,N,,N,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Women's Enterprise Development Center,N,Y,N,N,N,,9149486098,http://www.wedc-westchester.org,N,"WEDC builds a vibrant community of women entrepreneurs by providing high quality training programs and support services to both start-up and established women business owners in Westchester County and the Lower Hudson Valley, including training and microenterprise funding opportunities for minority and economically disadvantaged women.",N,,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Tender Care Human Services,N,N,N,Y,N,7188836649,7188836660,http://www.tendercareny.org/,N,,N,,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Transitional Services for New York,N,N,N,Y,N,7182978658,7185268400,http://www.tsiny.org/,N,"Using self-help approach and with selective assistance, Center members are empowered to address concerns in the following areas: english as a second language, access to community-based mental health services and the health care system; entitlements: SSI, SSD, Medicaid; education and employment opportunities; advocacy/empowerment; socialization and leisure time activities; anti-stigma initiatives and computer classes.",N,,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
UJA-Federation of New York,N,N,Y,N,N,2128887538,2129801000,http://www.ujafedny.org/,N,,Y,"Long Island, Westchester, Great Neck",N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Turning Point,N,N,N,Y,N,7188839449,7188839400,http://www.turningpoint-ny.org/,N,,,,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
A Better Balance,Y,Y,Y,Y,Y,,2122853039,http://abetterbalance.org,N,"A Better Balance is a legal advocacy organization dedicated to empowering individuals to meet the conflicting demands of work and family without sacrificing their economic security.    We are engaging government and the private sector to bring about systemic change.   Since 2005, we have been working to help people across the economic spectrum care for their families without losing their jobs or suffering other discrimination because of their family responsibilities.  Workers should not have to face impossible choices between earning a paycheck and Paid caring for their loved ones.   Caring for family members should be valued as work.",,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
ABC No Rio,N,N,Y,N,N,,,,N,ABC No Rio is a collectively-run center for art and activism. We are known internationally as a venue for oppositional culture. ABC No Rio was founded in 1980 by artists committed to political and social engagement and we retain these values to the present.,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
ACCION New York,N,N,Y,N,N,,2123870377,http://www.accionnewyork.org,N,ACCION New York and New Jersey is a nonprofit organization that contributes to the economic development of the New York metropolitan region by providing loans and advisory services to individuals and small businesses that do not have access to traditional sources of credit.,,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"African Ancestral Lesbians United for Societal Change, Inc.",Y,Y,Y,Y,Y,,2127419110,http://www.aalusc.org,N,"The organization is fully committed to the spiritual, cultural, educational, economic and social empowerment of African Ancestral women. It is dedicated to advocate for women's rights through a redefined philosophy and holistic objectives that use workshops with open discussions to empower and achieve the organization's mission.",,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,"3C New York
10014
(40.73358645135369, -74.01019960472792)",
Agency for Women and Children Development Inc,Y,Y,Y,Y,Y,,7183675437,http://www.awcd.org,N,"The mission of AWCD is to reduce poverty, empower disadvantaged women to build a healthy and just society, and facilitate a better quality of life for all children, particularly those living in absolute poverty in the United States and third world countries. The agency also pledges unconditional support in the fight against any type of discrimination and hate crimes directed at women and children.",,,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"AIDS Center of Queens County, Inc.",N,N,N,Y,N,,7188962500,http://www.acqc.org/mentalhealth.php,N,"The mission of the AIDS Center of Queens County is to enhance the quality of life for individuals and their families infected, affected and at risk for HIV/AIDS and other related conditions. We do this by providing comprehensive services in a non-judgmental, safe and supportive environment",,,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
AIDS Community Research Initiative of America,Y,Y,Y,Y,Y,2129243936,2129243934,http://www.acria.org/,N,"The AIDS Community Research Initiative of America (ACRIA) is a non-profit community-based AIDS research and treatment education center. In conjunction with recognized leaders in AIDS research and treatment, primary-care providers, and people living with HIV disease; ACRIA: identifies scientifically promising therapies for AIDS and HIV-related illness, designs and implements studies on these interventions, and submits the findings for publication; conducts research geared towards the further understanding of HIV disease, treatment, and prevention; and provides education about AIDS treatments and research to the communities affected by HIV/AIDS.",N,,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
The New York Women's Foundation,Y,Y,Y,Y,Y,2125647386,2122614586,http://www.nywf.org,N,"The New York Womenâ€™s Foundation is a voice for women and a force for change. We are a cross-cultural alliance of women catalyzing partnerships and leveraging human and financial capital to achieve sustained economic security and justice for women and girls. With fierce determination, we mobilize hearts, minds and resources to create an equitable and just future for women, families and communities in New York City.",N,,N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,N,Y,,Y,N,N,N,N,N,Y,,N,Published,,
"ParentJobNet, Inc.",N,N,Y,N,N,,9175469104,http://www.ParentJobNet.org,N,"Our mission is to help educate, prepare, and connect low to moderate income public school parents, particularly women, with job opportunities and other resources that empower them to build financial security and peace of mind for their families.",N,,N,N,N,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Japanese American Association of New York,Y,Y,Y,Y,Y,2128400616,2128406942,http://www.jaany.org,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Jewish Community Council of the Rockaway Peninsula,N,N,N,Y,N,7183274903,7183277755,http://www.jccrp.org,N,,,,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Korean American Association for Rehabilitation of the Disabled,N,N,N,Y,N,7186614429,7184453929,http://www.kaard.org,N,,,,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Korean American Senior Center of Corona,N,N,N,Y,N,7184786055,7186519220,http://www.kcsny.org,N,,,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Kurdish Library,Y,Y,Y,Y,Y,7183984365,7187837930,http://www.kurdishlibrarymuseum.org,N,,,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Korean Youth Center of New York,Y,Y,Y,Y,Y,7183212525,7183211010,,N,,,,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
VHA New York Harbor Healthcare-Brooklyn Campus,Y,N,Y,Y,Y,7184394116,7188366600,http://va.gov,N,Veterans hospital providing inpatient/outpatient care including mental health and social services.,N,,Y,N,N,N,N,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,N,,Y,Published,,
Veterans Health Administration (VHA),Y,Y,Y,Y,Y,2129513382,2126867500,http://vaww.visn3.med.va.gov/index.asp,N,"Program for Women who are Veterans which provides assistance with health care, mental health and housing issues",N,,Y,N,N,N,Y,N,Y,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,,N,N,N,N,N,N,Y,,N,Published,,
Bramson ORT Technical Institute,Y,N,N,Y,N,7185755119,7182615800,http://www.bramsonort.edu,N,"Two year technical college that offers Associate degrees in: Accounting,Medical Assistant;Business & Hotel Management;Computer Networking, Computer Programming,Computer Information Systems,Electronics Technology,Grapic Design,Web Design & Web Animation, HVAC& CADD, Distance Learning is available,job placement assitance and Financial Aid for all qualified students.",N,,N,N,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,,Y,N,N,N,N,N,Y,,N,Published,,
Asian American Business Development Center,N,N,Y,N,N,,2129662786,http://www.aabdc.com,N,"Established in 1994, the Asian American Business Development Center, Inc. (AABDC) is a 501(c)(3) non-profit organization whose mission is to assist Asian-owned businesses to compete in the mainstream marketplace.",N,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Step Up Women's Network,N,N,Y,N,N,2125040831,6468333021,http://www.suwn.org,N,"Step Up Women's Network is a national non-profit membership organization dedicated to strengthening community resources for women and girls. Through teen empowerment programs for underserved girls, women's health education and advocacy, professional mentorship and social networking opportunities, we educate and activate our members to ensure that women and girls have the tools they need to create a better future.",Y,"Chicago, Los Angeles",N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Ackerman Institute for the Family,N,N,Y,N,N,2127440206,2128794900,http://www.ackerman.org,N,"For almost half a century the Ackerman Institute for the Family has played a leading role in developing and disseminating major research and training programs in family therapy while also providing a broad array of clinical services. Ackerman is not only one of the premier family therapy institutes in New York City, but also has a major impact on family therapy across the country and around the world.",N,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
AIDS Treatment Data Network,N,N,Y,N,N,2122608869,2122608868,http://www.atdn.org,N,,N,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Alpha Kappa Alpha - Epsilon Pi Omega Day Care Center,N,N,N,Y,N,7183227139,7183226242,http://www.akaepsilonpiomega.org/content/view/17/33/,N,IVY AKAdemy Day Care,,,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Alternatives to Violence Project,Y,N,Y,N,Y,3158648210,3158648210,http://www.avpusa.org/,N,:  AVP/USA is an association of community based groups and prison based groups offering experiential workshops in personal growth and creative conflict management.  The national organization provides support for the work of these local groups,Y,across the US,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,"353 Kings Ferry
13081
(42.67145535028425, -76.62820337398648)",
American Foundation for Suicide Prevention - New York City Metro Chapter,N,N,N,Y,N,,5168694215,http://www.afsp.org,N,"The American Foundation for Suicide Prevention (AFSP) is the leading national not-for-profit organization exclusively dedicated to understanding and preventing suicide through research, education and advocacy, and to reaching out to people with mental disorders and those impacted by suicide.",N,,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
American Foundation for the Blind,N,N,Y,N,N,2125027777,8002325463,http://www.afb.org,N,Information Line,N,,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
American Friends Service Committee,N,N,Y,N,N,2125294603,2125980950,http://www.afsc.org/nymetro/,N,"Peace and alternatives to war, hunger and world development, urban affairs, prisons and criminal justice, refugee displacement and immigration, community conflict resolution, and opportunities for youth have been the focus of the AFSC's New York Metropoli",,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
