PropID,Boro,Community Board,Council District,Garden Name,Address,Size,Jurisdiction,NeighborhoodName,Cross Streets
NA,M,M11,9,Villa Santurce Jardinera - 112th Street,74 E. 112th Street,0.045,HPD,East Harlem,Park & Madison Avenues
NA,M,M11,9,Villa Santurce Jardineras - Park Avenue,Park Avenue,0.090,HPD,East Harlem,111th & 112th Streets
X347,X,X01,17,Vogue Community Garden,431 E. 156th Street,0.047,DPR,Melrose,Active
B456,B,B08,35,Walt L. Shamal Community Garden,1093-1095 Dean Street,0.149,DPR,Crown Heights,Active
NA,X,X07,11,Walton High School,2780 Reservoir Avenue,0.046,DOE,Kingsbridge Heights,Strong & 196th Street
X272A,X,X01,8,Wanaqua Garden,460-464 E. 136th Street,0.228,DPR,,Active
NA,B,B06,38,Warren-St.Marks Community Garden,623 Warren Street,0.057,TPL,Park Slope,b/w 4th & 5th avenue
X088A,X,X09,18,Waterfront Community Garden,2008 Gildersleeve Avenue,0.270,DPR,Soundview,Active
B538,B,B03,36,Welcome Home Garden,681 Halsey Street,0.059,DPR,Bed-Stuy,Developed
M306,M,M07,8,West 104th Street Garden,6-10 W. 104th Street/ 14-18 W. 104th Street,0.380,DPR,Upper West Side,Active
M368,M,M09,9,West 111th Street People's Garden,1036-53 Amsterdam Avenue,0.109,DPR,Upper West Side,Active
M362,M,M10,9,West 124th Street Community Garden,West 124th Street and 5th Avenue,0.046,DPR,,Active
M380,M,M10,,West 131st Street Community Garden,34 West 131st Street,NA,DPR,Harlem,Active
M296,M,M10,9,West 132nd Street Garden,108-114 W. 132nd Street,0.171,DPR,Central Harlem,Active
NA,M,M12,7,West 181st Street Beautification Project,814 West 181st Street,0.046,DOT,Washington Heights,Pinehurst/181st
M307,M,M07,6,West 87th Street Park & Garden,55-57 West 87th Street,0.090,DPR,Upper West Side,Active
NA,B,B08,36,Westbrook Memorial Garden,1233 Pacific Street,0.118,TPL,Crown Heights,Bedford & Nostrand Avenues
NA,R,R01,49,Westervelt Community & Family Garden,143 Westervelt Avenue,0.011,NYRP,,At Curtis Pl near Hamilton Avenue
M322,M,M09,7,William A. Harris Garden,NWC of 153rd St & St. Nicholas,NA,DPR,,Active
M328,M,M10,9,William B. Washington Memorial Garden,321-325 West 126th Street,0.090,DPR,,Active
NA,B,B05,37,Williams Avenue Community Garden (formerly Shaw Block Association),88 Williams Avenuenue,0.126,NYRP,,Liberty & Atlantic
X164A,X,X02,,Wishing Well Garden,886 Reverend James A. Polite,0.351,DPR,,Active
NA,B,BK4,34,Woodbine St. Block Assoc.,146 Woodbine Street,0.057,TPL,,
X333,X,X04,16,Woodycrest Community Garden,949 Woodycrest Avenue,0.012,DPR,Highbridge,Active
