BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Address,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Estimated Gross Income,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Estimated Expense,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Expense per SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Net Operating Income,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 – Boro-Block-Lot,COMPARABLE RENTAL – 1 – Address,COMPARABLE RENTAL – 1 – Neighborhood,COMPARABLE RENTAL – 1 – Building Classification,COMPARABLE RENTAL – 1 – Total Units,COMPARABLE RENTAL – 1 – Year Built,COMPARABLE RENTAL – 1 – Gross SqFt,COMPARABLE RENTAL – 1 – Estimated Gross Income,COMPARABLE RENTAL – 1 – Gross Income per SqFt,COMPARABLE RENTAL – 1 – Estimated Expense,COMPARABLE RENTAL – 1 – Expense per SqFt,COMPARABLE RENTAL – 1 – Net Operating Income,COMPARABLE RENTAL – 1 – Full Market Value,COMPARABLE RENTAL – 1 – Market Value per SqFt,COMPARABLE RENTAL – 1 – Distance from Coop in miles,COMPARABLE RENTAL – 2 – Boro-Block-Lot,COMPARABLE RENTAL – 2 – Address,COMPARABLE RENTAL – 2 – Neighborhood,COMPARABLE RENTAL – 2 – Building Classification,COMPARABLE RENTAL – 2 – Total Units,COMPARABLE RENTAL – 2 – Year Built,COMPARABLE RENTAL – 2 – Gross SqFt,COMPARABLE RENTAL – 2 – Estimated Gross Income,COMPARABLE RENTAL – 2 – Gross Income per SqFt,COMPARABLE RENTAL – 2 – Estimated Expense,COMPARABLE RENTAL – 2 – Expense per SqFt,COMPARABLE RENTAL – 2 – Net Operating Income,COMPARABLE RENTAL – 2 – Full Market Value,COMPARABLE RENTAL – 2 – Market Value per SqFt,COMPARABLE RENTAL – 2 – Distance from Coop in miles,COMPARABLE RENTAL – 3 – Boro-Block-Lot,COMPARABLE RENTAL – 3 – Address,COMPARABLE RENTAL – 3 – Neighborhood,COMPARABLE RENTAL – 3 – Building Classification,COMPARABLE RENTAL – 3 – Total Units,COMPARABLE RENTAL – 3 – Year Built,COMPARABLE RENTAL – 3 – Gross SqFt,COMPARABLE RENTAL – 3 – Estimated Gross Income,COMPARABLE RENTAL – 3 – Gross Income per SqFt,COMPARABLE RENTAL – 3 – Estimated Expense,COMPARABLE RENTAL – 3 – Expense per SqFt,COMPARABLE RENTAL – 3 – Net Operating Income,COMPARABLE RENTAL – 3 – Full Market Value,COMPARABLE RENTAL – 3 – Market Value per SqFt,COMPARABLE RENTAL – 3 – Distance from Coop in miles
3-06286-0043,"1973 81 STREET
Brooklyn, NY
(40.60782113000698, -73.9958832264075)",BENSONHURST,D4-ELEVATOR,54,1926,48000,493440,10.28,264000,5.5,229440,1428000,29.75,3-06316-0059,"1935 83 STREET
Brooklyn, NY
(40.60720991322413, -73.99786780341141)",BENSONHURST,D1-ELEVATOR,48,1938,50400,554904,11.01,304920,6.05,249984,1545000,30.65,0.1,3-06240-0037,"7602 21 AVENUE
Brooklyn, NY
(40.608904617789165, -73.99024548225728)",BENSONHURST,D1-ELEVATOR,84,1930,108000,1132089,10.48,657148,6.08,474941,2717000,25.16,0.25,3-06335-0029,"2160 84 STREET
Brooklyn, NY
(40.6035988238799, -73.99352257830556)",BENSONHURST,D1-ELEVATOR,53,1939,"52,500","539,700",10.28,"323,925",6.17,"215,775","1,343,000",25.58,0.35
3-06299-0043,"2155 82 STREET
Brooklyn, NY
(40.604838306734834, -73.99243560415776)",BENSONHURST,D4-ELEVATOR,88,1962,78684,1010303,12.84,522462,6.64,487841,3257000,41.39,3-06335-0001,"2101 85 STREET
Brooklyn, NY
(40.60386054409642, -73.99535100275575)",BENSONHURST,D1-ELEVATOR,72,1927,62400,839280,13.45,436176,6.99,403104,1848000,29.62,0.15,3-06287-0036,"8002 21 AVENUE
Brooklyn, NY
(40.6066660786074, -73.99257482674874)",BENSONHURST,D1-ELEVATOR,59,1927,54600,701111,12.84,362799,6.64,338312,2057000,37.67,0.15,3-06319-0006,"8201 BAY PARKWAY
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BENSONHURST,D1-ELEVATOR,48,1927,"48,000","490,080",10.21,"294,240",6.13,"195,840","1,144,000",23.83,0.16
3-06316-0006,"8201 19 AVENUE
Brooklyn, NY
(40.60819611929362, -73.99805859229205)",BENSONHURST,D4-ELEVATOR,60,1927,54000,493365,9.14,197732,3.66,295633,1760000,32.59,3-06316-0059,"1935 83 STREET
Brooklyn, NY
(40.60720991322413, -73.99786780341141)",BENSONHURST,D1-ELEVATOR,48,1938,50400,554904,11.01,304920,6.05,249984,1545000,30.65,0,3-06287-0036,"8002 21 AVENUE
Brooklyn, NY
(40.6066660786074, -73.99257482674874)",BENSONHURST,D1-ELEVATOR,59,1927,54600,701111,12.84,362799,6.64,338312,2057000,37.67,0.18,3-06315-0034,"8210 19 AVENUE
Brooklyn, NY
(40.60816988546952, -73.99818241029607)",BENSONHURST,D1-ELEVATOR,53,1939,"46,200","578,044",12.51,"303,646",6.57,"274,398","1,749,000",37.86,0.14
3-06379-0050,"30 BAY 29 STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BATH BEACH,D4-ELEVATOR,100,1960,120440,1203923,10,415517,3.45,788406,4922000,40.87,3-06378-0019,"8635 21 AVENUE
Brooklyn, NY
(40.60253429326686, -73.99678043887103)",BATH BEACH,D7-ELEVATOR,121,1962,109640,1663239,15.17,847517,7.73,815722,5607000,51.14,0.05,3-06381-0017,"8645 BAY PARKWAY
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",GRAVESEND,D1-ELEVATOR,101,1950,119279,1137819,9.54,615871,5.16,521948,2915000,24.44,0.1,3-06441-0001,"8800 20 AVENUE
Brooklyn, NY
(40.60062668157155, -74.00244173820965)",BATH BEACH,D1-ELEVATOR,122,1960,"112,712","1,579,095",14.01,"790,111",7.01,"788,984","5,191,000",46.06,0.36
3-06379-0065,"54 BAY 29 STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BATH BEACH,C6-WALK-UP,32,1926,34000,377090,11.09,94405,2.78,282685,1744000,51.29,3-06379-0021,"45 BAY 28 STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BATH BEACH,C1-WALK-UP,25,1926,18140,238874,13.17,81804,4.51,157070,1044000,57.55,0,3-06381-0033,"8611 BAY PARKWAY
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",GRAVESEND,C1-WALK-UP,27,1924,21000,245246,11.68,141546,6.74,103700,664000,31.62,0.1,3-06414-0001,"8758 BAY PARKWAY
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BATH BEACH,C7-WALK-UP,37,1926,"30,344","464,567",15.31,"236,683",7.80,"227,884","1,144,000",37.70,0.16
3-06439-0052,"208 BAY 22 STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BATH BEACH,C6-WALK-UP,16,1916,13940,174477,12.52,67924,4.87,106553,674000,48.35,3-06439-0046,"194 BAY 22 STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BATH BEACH,C1-WALK-UP,12,1916,13940,180523,12.95,97441,6.99,83082,554000,39.74,0,3-06447-0046,"8806 BAY PARKWAY
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BATH BEACH,C1-WALK-UP,16,1927,13000,175761,13.52,83825,6.45,91936,599000,46.08,0.39,3-06435-0014,"199 BAY 17 STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BATH BEACH,C1-WALK-UP,26,1928,"24,000","324,439",13.52,"117,583",4.90,"206,856","1,369,000",57.04,0.20
3-06480-0006,"8988 15 AVENUE
Brooklyn, NY
(40.60383956501885, -74.01742414038465)",BATH BEACH,C6-WALK-UP,54,1950,46730,511226,10.94,269165,5.76,242061,1188000,25.42,3-06461-0036,"1662 CROPSEY AVENUE
Brooklyn, NY
(40.58133857330649, -73.9857319918521)",BATH BEACH,C1-WALK-UP,48,1926,42720,422895,9.9,232730,5.45,190165,1125000,26.33,0.34,3-06399-0072,"8754 17 AVENUE
Brooklyn, NY
(40.60554339814144, -74.0080768124127)",BATH BEACH,C1-WALK-UP,16,1914,16192,218916,13.52,113830,7.03,105086,696000,42.98,0.52,3-06367-0037,"8609 BAY 16 STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BATH BEACH,C1-WALK-UP,32,1924,"24,710","277,740",11.24,"161,109",6.52,"116,631","751,000",30.39,0.70
3-06485-0003,"1511 INDEPENDENCE AVENUE
Brooklyn, NY
(40.60404471525183, -74.01665874063883)",BATH BEACH,C6-WALK-UP,134,1950,113700,1373496,12.08,741324,6.52,632172,4022000,35.37,3-06461-0036,"1662 CROPSEY AVENUE
Brooklyn, NY
(40.58133857330649, -73.9857319918521)",BATH BEACH,C1-WALK-UP,48,1926,42720,422895,9.9,232730,5.45,190165,1125000,26.33,0.24,3-06399-0072,"8754 17 AVENUE
Brooklyn, NY
(40.60554339814144, -74.0080768124127)",BATH BEACH,C1-WALK-UP,16,1914,16192,218916,13.52,113830,7.03,105086,696000,42.98,0.46,3-06367-0037,"8609 BAY 16 STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BATH BEACH,C1-WALK-UP,32,1924,"24,710","277,740",11.24,"161,109",6.52,"116,631","751,000",30.39,0.64
3-06494-0051,"763 OCEAN PARKWAY
Brooklyn, NY
(40.62992320214026, -73.97124816037079)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,124,1937,138600,1460844,10.54,795564,5.74,665280,4131000,29.81,3-06494-0037,"785 OCEAN PARKWAY
Brooklyn, NY
(40.62936969085903, -73.97113745811454)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,60,1951,62485,841459,13.47,458010,7.33,383449,1936000,30.98,0,3-06503-0051,"505 ELMWOOD AVENUE
Brooklyn, NY
(40.6274679266822, -73.97242827373174)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,65,1938,71500,844135,11.81,464079,6.49,380056,2288000,32,0.12,3-06511-0001,"800 AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,67,1938,"77,400","815,763",10.54,"443,898",5.74,"371,865","2,112,000",27.29,0.17
3-06495-0001,"855 7 STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,131,1963,123271,1455831,11.81,554720,4.5,901111,5756000,46.69,3-06503-0051,"505 ELMWOOD AVENUE
Brooklyn, NY
(40.6274679266822, -73.97242827373174)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,65,1938,71500,844135,11.81,464079,6.49,380056,2288000,32,0.17,3-05421-0006,"665 OCEAN PARKWAY
Brooklyn, NY
(40.63219382373039, -73.9716665732602)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,53,1931,55500,646997,11.66,346669,6.25,300328,1782000,32.11,0.18,3-05423-0049,"716 OCEAN PARKWAY
Brooklyn, NY
(40.63089949002186, -73.97205692753123)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,47,1931,"54,500","525,469",9.64,"239,848",4.40,"285,621","1,693,000",31.06,0.21
3-06498-0068,"759 10 STREET
Brooklyn, NY
(40.66432347591286, -73.97792939840764)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,63,1958,67142,782876,11.66,328324,4.89,454552,2911000,43.36,3-06513-0073,"829 10 STREET
Brooklyn, NY
(40.628814400994564, -73.96692271923106)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,59,1938,64200,654036,10.19,369828,5.76,284208,1694000,26.39,0.18,3-06494-0037,"785 OCEAN PARKWAY
Brooklyn, NY
(40.62936969085903, -73.97113745811454)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,60,1951,62485,841459,13.47,458010,7.33,383449,1936000,30.98,0.21,3-05421-0006,"665 OCEAN PARKWAY
Brooklyn, NY
(40.63219382373039, -73.9716665732602)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,53,1931,"55,500","646,997",11.66,"346,669",6.25,"300,328","1,782,000",32.11,0.22
3-06503-0030,"820 OCEAN PARKWAY
Brooklyn, NY
(40.62847072202831, -73.97159994115235)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,132,1961,144060,1603388,11.13,828345,5.75,775043,4783000,33.2,3-06494-0037,"785 OCEAN PARKWAY
Brooklyn, NY
(40.62936969085903, -73.97113745811454)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,60,1951,62485,841459,13.47,458010,7.33,383449,1936000,30.98,0.12,3-05423-0049,"716 OCEAN PARKWAY
Brooklyn, NY
(40.63089949002186, -73.97205692753123)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,47,1931,54500,525469,9.64,239848,4.4,285621,1693000,31.06,0.15,3-05420-0058,"682 OCEAN PARKWAY
Brooklyn, NY
(40.631691942660595, -73.97220404155601)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,41,1931,"40,800","454,165",11.13,"230,988",5.66,"223,177","1,254,000",30.74,0.20
3-06510-0001,"840 8 STREET
Brooklyn, NY
(40.62891590242369, -73.96892705920907)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,168,1953,180000,2535715,14.09,1266750,7.04,1268965,8806000,48.92,3-05428-0039,"777 FOSTER AVENUE
Brooklyn, NY
(40.63111055767231, -73.96930012153646)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,104,1958,103450,1543817,14.92,674090,6.52,869727,5993000,57.93,0.23,3-06637-0019,"1628 OCEAN PARKWAY
Brooklyn, NY
(40.60883709925021, -73.96787711432601)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,123,1928,109200,1437936,13.17,798718,7.31,639218,4250000,38.92,1.36,,, , , , , , , , , , , , , 
3-06518-0005,"902 OCEAN PARKWAY
Brooklyn, NY
(40.62648317571489, -73.97121922523903)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,48,1949,64200,679105,10.58,379522,5.91,299583,1860000,28.97,3-06494-0037,"785 OCEAN PARKWAY
Brooklyn, NY
(40.62936969085903, -73.97113745811454)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,60,1951,62485,841459,13.47,458010,7.33,383449,1936000,30.98,0.29,3-06511-0001,"800 AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,67,1938,77400,815763,10.54,443898,5.74,371865,2112000,27.29,0.25,3-06512-0075,"825 9 STREET
Brooklyn, NY
(40.628804080105525, -73.96787575306008)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,54,1937,"60,000","598,482",9.97,"318,097",5.30,"280,385","1,573,000",26.22,0.29
3-06527-0051,"1075 OCEAN PARKWAY
Brooklyn, NY
(40.62243835264795, -73.96981925024139)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,42,1953,52800,628848,11.91,348480,6.6,280368,1789000,33.88,3-06513-0001,"1002 AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,60,1938,66000,656640,9.95,370905,5.62,285735,1705000,25.83,0.39,3-06732-0028,"1256 13 STREET
Brooklyn, NY
(40.61888545159246, -73.96212518933207)",MIDWOOD,D1-ELEVATOR,59,1931,52000,619239,11.91,343031,6.6,276208,1762000,33.88,0.44,3-06494-0037,"785 OCEAN PARKWAY
Brooklyn, NY
(40.62936969085903, -73.97113745811454)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,60,1951,"62,485","841,459",13.47,"458,010",7.33,"383,449","1,936,000",30.98,0.47
3-06532-0057,"1185 OCEAN PARKWAY
Brooklyn, NY
(40.61982430668152, -73.96931896119813)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,65,1940,70800,708708,10.01,400728,5.66,307980,1923000,27.16,3-06542-0070,"1235 OCEAN PARKWAY
Brooklyn, NY
(40.61858069927959, -73.96908664913882)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,119,1942,126000,1574175,12.49,803110,6.37,771065,4664000,37.02,0.17,3-06725-0001,"1402 AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",MIDWOOD,D1-ELEVATOR,96,1928,108000,1080904,10.01,611422,5.66,469482,2695000,24.95,0.41,3-06726-0001,"1111 AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",MIDWOOD,D1-ELEVATOR,36,1930,"37,941","360,224",9.49,"191,826",5.06,"168,398","905,000",23.85,0.49
3-06532-0076,"1119 OCEAN PARKWAY
Brooklyn, NY
(40.62133302033695, -73.96960931741106)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,84,1951,95600,956956,10.01,541096,5.66,415860,2596000,27.15,3-06542-0070,"1235 OCEAN PARKWAY
Brooklyn, NY
(40.61858069927959, -73.96908664913882)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,119,1942,126000,1574175,12.49,803110,6.37,771065,4664000,37.02,0.17,3-06725-0001,"1402 AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",MIDWOOD,D1-ELEVATOR,96,1928,108000,1080904,10.01,611422,5.66,469482,2695000,24.95,0.41,3-06726-0001,"1111 AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",MIDWOOD,D1-ELEVATOR,36,1930,"37,941","360,224",9.49,"191,826",5.06,"168,398","905,000",23.85,0.49
3-06568-0033,"1360 OCEAN PARKWAY
Brooklyn, NY
(40.61552840662446, -73.9691562109708)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,176,1964,174082,2344885,13.47,1225537,7.04,1119348,7413000,42.58,3-06568-0015,"1314 OCEAN PARKWAY
Brooklyn, NY
(40.61663257771015, -73.96936006516697)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,65,1929,54600,771445,14.13,393649,7.21,377796,2486000,45.53,0,3-06542-0001,"1201 OCEAN PARKWAY
Brooklyn, NY
(40.61936084830656, -73.96923036080167)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,56,1953,60780,818470,13.47,428116,7.04,390354,2585000,42.53,0.19,3-06587-0017,"1420 OCEAN PARKWAY
Brooklyn, NY
(40.614001485049386, -73.96885366041815)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,60,1941,"64,200","811,455",12.64,"339,946",5.30,"471,509","2,387,000",37.18,0.19
3-06587-0051,"1500 OCEAN PARKWAY
Brooklyn, NY
(40.612176910587664, -73.96850847065512)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,72,1940,72000,856800,11.9,422640,5.87,434160,2770000,38.47,3-06587-0017,"1420 OCEAN PARKWAY
Brooklyn, NY
(40.614001485049386, -73.96885366041815)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,60,1941,64200,811455,12.64,339946,5.3,471509,2387000,37.18,0,3-06612-0042,"1600 OCEAN PARKWAY
Brooklyn, NY
(40.60964294839144, -73.96801083261866)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,59,1940,79524,855682,10.76,249971,3.14,605711,2475000,31.12,0.17,3-06612-0063,"1685 5 STREET
Brooklyn, NY
(40.60639602864785, -73.97834230095057)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,60,1940,"55,000","683,775",12.43,"328,623",5.97,"355,152","1,738,000",31.60,0.17
3-06614-0017,"1530 8 STREET
Brooklyn, NY
(40.60961327254108, -73.98200923096232)",OCEAN PARKWAY-NORTH,D4-ELEVATOR,91,1963,98417,1223323,12.43,587549,5.97,635774,4022000,40.87,3-06612-0042,"1600 OCEAN PARKWAY
Brooklyn, NY
(40.60964294839144, -73.96801083261866)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,59,1940,79524,855682,10.76,249971,3.14,605711,2475000,31.12,0.15,3-06612-0063,"1685 5 STREET
Brooklyn, NY
(40.60639602864785, -73.97834230095057)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,60,1940,55000,683775,12.43,328623,5.97,355152,1738000,31.6,0.15,3-06637-0019,"1628 OCEAN PARKWAY
Brooklyn, NY
(40.60883709925021, -73.96787711432601)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,123,1928,"109,200","1,437,936",13.17,"798,718",7.31,"639,218","4,250,000",38.92,0.22
3-06620-0001,"100 AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",GRAVESEND,D4-ELEVATOR,65,1938,87324,1084564,12.42,570226,6.53,514338,3254000,37.26,3-06621-0001,"106 AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",GRAVESEND,D1-ELEVATOR,47,1936,45600,566293,12.42,297882,6.53,268411,1628000,35.7,0.05,3-06621-0006,"1602 10 STREET
Brooklyn, NY
(40.60981873590446, -73.96339468762649)",GRAVESEND,D1-ELEVATOR,47,1931,45600,581924,12.76,302738,6.64,279186,1694000,37.15,0.05,3-06622-0026,"1648 9 STREET
Brooklyn, NY
(40.60871399162663, -73.96413055088821)",GRAVESEND,D1-ELEVATOR,60,1926,"62,640","673,553",10.75,"393,865",6.29,"279,688","1,683,000",26.87,0.10
3-06681-0307,"1890 5 STREET
Brooklyn, NY
(40.60440188840597, -73.96816667819243)",OCEAN PARKWAY-SOUTH,D4-ELEVATOR,95,1940,104000,1075868,10.34,447804,4.31,628064,3909000,37.59,3-06681-0440,"1850 OCEAN PARKWAY
Brooklyn, NY
(40.603601477318925, -73.9668824400115)",OCEAN PARKWAY-SOUTH,D1-ELEVATOR,70,1938,91350,951645,10.42,410736,4.5,540909,2409000,26.37,0.05,3-06663-0063,"1777 OCEAN PARKWAY
Brooklyn, NY
(40.60530061719997, -73.9665837885603)",OCEAN PARKWAY-SOUTH,D7-ELEVATOR,76,1926,78750,830738,10.55,331502,4.21,499236,2453000,31.15,0.19,3-06662-0033,"1750 OCEAN PARKWAY
Brooklyn, NY
(40.605624582795045, -73.96726531984423)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,73,1959,"83,519","936,052",11.21,"282,558",3.38,"653,494","2,607,000",31.21,0.19
3-06681-0399,"1800 OCEAN PARKWAY
Brooklyn, NY
(40.604781356629104, -73.9670985805753)",OCEAN PARKWAY-SOUTH,D4-ELEVATOR,83,1931,76000,801800,10.55,319960,4.21,481840,2992000,39.37,3-06663-0063,"1777 OCEAN PARKWAY
Brooklyn, NY
(40.60530061719997, -73.9665837885603)",OCEAN PARKWAY-SOUTH,D7-ELEVATOR,76,1926,78750,830738,10.55,331502,4.21,499236,2453000,31.15,0.09,3-06681-0440,"1850 OCEAN PARKWAY
Brooklyn, NY
(40.603601477318925, -73.9668824400115)",OCEAN PARKWAY-SOUTH,D1-ELEVATOR,70,1938,91350,951645,10.42,410736,4.5,540909,2409000,26.37,0.11,3-06637-0027,"1648 OCEAN PARKWAY
Brooklyn, NY
(40.60830767652901, -73.96779045094254)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,71,1932,"72,000","818,466",11.37,"469,705",6.52,"348,761","2,178,000",30.25,0.22
3-06681-0415,"1802 OCEAN PARKWAY
Brooklyn, NY
(40.604687768398115, -73.96708110024777)",OCEAN PARKWAY-SOUTH,D4-ELEVATOR,113,1926,138600,1444212,10.42,712404,5.14,731808,4551000,32.84,3-06681-0440,"1850 OCEAN PARKWAY
Brooklyn, NY
(40.603601477318925, -73.9668824400115)",OCEAN PARKWAY-SOUTH,D1-ELEVATOR,70,1938,91350,951645,10.42,410736,4.5,540909,2409000,26.37,0,3-06681-0449,"1860 OCEAN PARKWAY
Brooklyn, NY
(40.6033751666498, -73.96684105245723)",OCEAN PARKWAY-SOUTH,D1-ELEVATOR,48,1934,60000,608389,10.14,250126,4.17,358263,1474000,24.57,0,3-06663-0063,"1777 OCEAN PARKWAY
Brooklyn, NY
(40.60530061719997, -73.9665837885603)",OCEAN PARKWAY-SOUTH,D7-ELEVATOR,76,1926,"78,750","830,738",10.55,"331,502",4.21,"499,236","2,453,000",31.15,0.15
3-06682-0013,"1811 OCEAN PARKWAY
Brooklyn, NY
(40.60454227740446, -73.96643619121743)",OCEAN PARKWAY-SOUTH,D4-ELEVATOR,82,1953,119000,1255450,10.55,500990,4.21,754460,4685000,39.37,3-06681-0440,"1850 OCEAN PARKWAY
Brooklyn, NY
(40.603601477318925, -73.9668824400115)",OCEAN PARKWAY-SOUTH,D1-ELEVATOR,70,1938,91350,951645,10.42,410736,4.5,540909,2409000,26.37,0.09,3-06662-0033,"1750 OCEAN PARKWAY
Brooklyn, NY
(40.605624582795045, -73.96726531984423)",OCEAN PARKWAY-NORTH,D1-ELEVATOR,73,1959,83519,936052,11.21,282558,3.38,653494,2607000,31.21,0.2,3-06663-0063,"1777 OCEAN PARKWAY
Brooklyn, NY
(40.60530061719997, -73.9665837885603)",OCEAN PARKWAY-SOUTH,D7-ELEVATOR,76,1926,"78,750","830,738",10.55,"331,502",4.21,"499,236","2,453,000",31.15,0.12
3-06694-0072,"1280 OCEAN AVENUE
Brooklyn, NY
(40.63102094017308, -73.95749003001404)",FLATBUSH-CENTRAL,D4-ELEVATOR,66,1935,75000,671546,8.95,342332,4.56,329214,1963000,26.17,3-07548-0006,"1299 OCEAN AVENUE
Brooklyn, NY
(40.630591742262084, -73.95721488480619)",MIDWOOD,D1-ELEVATOR,48,1924,62784,531976,8.47,343558,5.47,188418,1127000,17.95,0.06,3-07548-0029,"1245 OCEAN AVENUE
Brooklyn, NY
(40.63185924671585, -73.95745284541245)",MIDWOOD,D1-ELEVATOR,48,1941,55800,511898,9.17,299034,5.36,212864,1267000,22.71,0.06,3-06703-0035,"855 19 STREET
Brooklyn, NY
(40.581962651261065, -73.98694536155462)",MIDWOOD,D1-ELEVATOR,60,1941,"76,860","627,946",8.17,"414,275",5.39,"213,671","1,258,000",16.37,0.17
3-06706-0014,"918 14 STREET
Brooklyn, NY
(40.62697929720986, -73.96272072547987)",MIDWOOD,D4-ELEVATOR,59,1928,50400,618912,12.28,295344,5.86,323568,2052000,40.71,3-06713-0041,"1123 AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",MIDWOOD,D1-ELEVATOR,54,1929,42720,633018,14.82,330065,7.73,302953,2002000,46.86,0.19,3-06716-0075,"1025 14 STREET
Brooklyn, NY
(40.624455467150895, -73.96217048543996)",MIDWOOD,D1-ELEVATOR,35,1927,33600,359753,10.71,184831,5.5,174922,1014000,30.18,0.17,3-06531-0006,"1014 AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",OCEAN PARKWAY-NORTH,D7-ELEVATOR,48,1924,"51,390","631,311",12.28,"334,666",6.51,"296,645","1,881,000",36.60,0.23
