PrimaryProjectType,SubType,ProjectStatus,StartDateActual,FinishDateActual,ProjectSiteName,ProjectSiteAddress,Acronym,CO2e (MT) Calculated
HVAC System Upgrade,Retrofit,Substantially Completed,04-Apr-12,,Fleet Services Shop,654 West 158th Street,DOT,263.59
Other,Retro-commissioning,Proposed,,,Fleet Services Shop,654 West 158th Street,,
Other,Retro-commissioning,Survey,09-Aug-11,,Fleet Services Shop,654 West 158th Street,,
Lighting System Upgrade,Retrofit,Completed,10-Jan-11,31-Aug-11,Ferry Maintenance Facility,1 Bay Street,DOT,136.37
Comprehensive,Retrofit,Install,30-Mar-12,,Ferry Maintenance Facility - 1 Bay Street,1 Bay Street,DOT,312.65
Lighting System Upgrade,Retrofit,Completed,15-Jul-11,05-Nov-11,5 Dubois Avenue,5 Dubois Avenue,DOT,24.23
Other,Photovoltaic,Substantially Completed,24-Oct-11,22-Feb-12,Sunrise Yard,88-20 Pitkin Ave and Linden Blvd,DOT,22.7
HVAC System Upgrade,Retrofit,Design,,,Randall's Island 5 Borough Complex,,DPR,
Energy Audit,None,Completed,06-Oct-10,05-Aug-11,Randall's Island 5 Borough Complex,1 E 99th Street,DPR,379.19
Other,Retro-commissioning,Proposed,,,5 Boro,1 Randalls Island,DPR,
Other,Retro-commissioning,Survey,,,5 Boro,1 Randalls Island,DPR,
Lighting System Upgrade,Retrofit,Completed,04-Oct-07,01-Apr-08,Tony Dapolito Recreational Center, 3 Clarkson Street,DPR,40
Lighting System Upgrade,Retrofit,Completed,04-Oct-07,01-Apr-08,St. John's Recreation Center,1251 PROSPECT PLACE,DPR,60.75
HVAC System Upgrade,,Cancelled,,,,,,
Comprehensive,Retrofit,Install,06-Jan-12,,St. Mary's Rec Center,450 St. Ann's Avenue,DPR,267.33
Comprehensive,Solar Thermal,Install,,,St. Mary's Rec Center,450 St. Ann's Avenue,DPR,12.83
Other,Retro-commissioning,Proposed,,,St. Mary's Rec Center,450 St. Ann's Avenue,DPR,
Other,Retro-commissioning,Completed,,,St. Mary's Rec Center,450 St. Ann's Avenue,DPR,0
Lighting System Upgrade,Retrofit,Design,,,Central Park Zoo,"76 Central Park, 830 5th Avenue",DPR,69.55
Comprehensive,Retrofit,Design,,,Central Park Zoo,"76 Central Park, 830 5th Avenue",DPR,247.36
Lighting System Upgrade,Retrofit,Completed,10-Jan-11,29-Sep-11,Ranaqua Garage And Shops - 1 Bronx River Pkwy, 1 Bronx River Pkwy,DPR,54.15
Lighting System Upgrade,Retrofit,Substantially Completed,11-Oct-11,19-Mar-12,Jackie Robinson Recreation Center,89 Bradhurst Avenue,DPR,27.43
Lighting System Upgrade,Retrofit,Cancelled,08-Apr-11,31-May-11,Queens Museum,Flushing Meadows Corona Park,DCLA,
Other,Cogen,Survey,,,Flushing Meadows Aquatic Center,Flushing Meadows Park,DPR,727.96
HVAC System Upgrade,Retrofit,Design,,,Brooklyn Cruise Terminal,Conover & Pioneer Street,NYCEDC,209.72
Lighting System Upgrade,Retrofit,Completed,27-Mar-09,30-Jul-09,Engine Company 206,1201 GRAND ST,FDNY,25.27
Lighting System Upgrade,Retrofit,Completed,27-Mar-09,15-Sep-09,Engine Company 207,"301 Gold Street, 172 Tillary Street",FDNY,33.08
Lighting System Upgrade,Retrofit,Completed,27-Mar-09,24-Jun-09,Engine Company 42 & Ladder 56,1781 Monroe Avenue,FDNY,11.52
Lighting System Upgrade,Retrofit,Completed,27-Mar-09,10-Jul-09,Engine Company 45 & Ladder 58,925 E TREMONT AVE,FDNY,27.45
Lighting System Upgrade,Retrofit,Completed,08-Sep-11,05-Dec-11,Energy Efficient lighting at FDNY-Engine Company 71,"720 Melrose Ave Bronx, NY",FDNY,30.63
Lighting System Upgrade,Retrofit,Completed,06-May-10,21-Oct-10,Fleet Services R&T Building - 48-34 35th Street,48-34 35th Street,FDNY,253.34
Lighting System Upgrade,Retrofit,Completed,29-Aug-11,30-Sep-11,Engine Company 222,32 Ralph Avenue,FDNY,13.74
HVAC System Upgrade,Solar Thermal,Design,,,Engine Company 264,16-15 Central Avenue,FDNY,3.41
HVAC System Upgrade,Solar Thermal,Design,,,Engine Company 265,48-06 Rockaway Beach,FDNY,3.72
HVAC System Upgrade,Solar Thermal,Design,,,Engine Company 266,92-20 Rockaway Beach,FDNY,1.7
HVAC System Upgrade,Solar Thermal,Design,,,Engine Company 268,259 116 Street,FDNY,3.34
HVAC System Upgrade,Solar Thermal,Design,,,Engine Company 329,402 Beach 169 Street,FDNY,1.7
Lighting System Upgrade,Retrofit,Substantially Completed,01-Jul-11,31-Dec-11,Engine Company 268,259 Beach 116 Street,FDNY,15.94
Lighting System Upgrade,Retrofit,Completed,01-Apr-11,30-Sep-11, Engine Co. 211- Lighting Upgrade,26 Hooper Street,FDNY,45.41
Other,Photovoltaic,Substantially Completed,16-Dec-11,24-Feb-12,R&T Repair Shop,48-34 35th Street,FDNY,13.51
Other,Photovoltaic,Substantially Completed,16-Dec-11,23-Mar-12,Engine Company 168 / Emergency Maintenance Station 22,1100 Rossville Ave,FDNY,18.02
HVAC System Upgrade,Retrofit,Install,,,Coney Island Hospital Boilers,2601 Ocean Pkwy Brooklyn NY,HHC,4022.55
Energy Audit,None,Completed,,,,,HHC,
Lighting System Upgrade,Retrofit,Completed,13-May-08,17-Oct-08,Morrisania Diagnostic & Treatment Ctr,1223 GERARD AVENUE MORRISANIA N F C CNTR,HHC,152.33
Comprehensive,Retrofit,Design,,,Metropolitan Hospital,"1901 1st Avenue  New York, NY 10029",HHC,9521.89
Energy Audit,None,Completed,,,Metropolitan Hospital,"1901 1st Avenue  New York, NY 10029",HHC,
Comprehensive,Retrofit,Design,,,Elmhurst Hospital Center,"79-01 Broadway  Elmhurst, NY  11373",HHC,6459.37
Energy Audit,None,Completed,,,Elmhurst Hospital Center,"79-01 Broadway  Elmhurst, NY  11373",HHC,
Energy Audit,None,Completed,03-Aug-11,03-Feb-12,Woodhull Hospital,"760 Broadway, Brooklyn",HHC,1763.8
Lighting System Upgrade,Retrofit,Completed,15-Dec-10,06-May-11,Human Resources Administration - 33-28 Northern Blvd,33-28 to 34-08 Northern Blvd,HRA,83.86
Lighting System Upgrade,Retrofit,Completed,03-Jan-11,27-Apr-11,Human Resources Administration - 109 East 16th Street,109 East 16th Street,HRA,126.43
Lighting System Upgrade,Retrofit,Completed,12-Jul-10,10-Sep-10,Human Resources Administration - 30 Thornton Street,"731 Flushing Avenue, 30 Thornton Street",HRA,67.82
Lighting System Upgrade,Retrofit,Completed,12-Sep-11,31-Oct-11,Human Resources Administration - 260 11th Avenue,"260 11th Avenue, 246 11th Avenue",HRA,92.81
Lighting System Upgrade,Retrofit,Design,,,Bushwick Multi Service Center,1420 Burswick Ave,HRA,23.19
Energy Audit,None,Completed,04-Nov-10,03-Jun-11,Bushwick Multi Service Center,1420 Bushwick Ave,HRA,23.19
Other,Retro-commissioning,Proposed,,,Bushwick Multi Service Center,1420 Burswick Ave,HRA,
Other,Retro-commissioning,Survey,,,Bushwick Multi Service Center,1420 Burswick Ave,HRA,
HVAC System Upgrade,,Completed,,,,,,47.45
Lighting System Upgrade,Retrofit,Completed,20-Mar-08,16-Oct-08,Midtown North - Manhattan Zone,524 WEST 42ND ST,NYPD,48.84
Lighting System Upgrade,Retrofit,Completed,05-Sep-07,13-Sep-08,44th Precinct,2 EAST 169TH ST,NYPD,42.07
Lighting System Upgrade,Retrofit,Completed,05-Sep-07,11-Sep-08,40th Precinct,257 ALEXANDER AVENUE,NYPD,22.42
Lighting System Upgrade,Retrofit,Completed,05-Sep-07,12-Sep-08,41st Precinct,1035 LONGWOOD AVENUE,NYPD,71.69
Lighting System Upgrade,Retrofit,Completed,05-Sep-07,14-Sep-08,49th Precinct,2121 EASTCHESTER ROAD,NYPD,50.65
Lighting System Upgrade,Retrofit,Completed,05-Sep-07,15-Sep-08,Old 44th Precinct (Bronx Task Force),1278 SEDGWICK AVENUE,NYPD,13.48
Lighting System Upgrade,Retrofit,Completed,12-Dec-08,20-Jul-09,34th Precinct,4295 BROADWAY,NYPD,40.08
Lighting System Upgrade,Retrofit,Completed,12-Dec-08,20-Jul-09,Traffic Control Division,134-40 W 30TH ST,NYPD,30.02
Lighting System Upgrade,Retrofit,Completed,12-Dec-08,20-Jul-09,Pier 36 Precinct,PIER 36 & SOUTH STREET,NYPD,15.9
Lighting System Upgrade,Retrofit,Completed,01-Dec-08,20-Jul-09,123rd Precinct,116 Main Street,NYPD,12.63
Lighting System Upgrade,Retrofit,Completed,20-May-09,28-Jan-10,111th Precinct,45-06 215TH STREET,NYPD,26.75
Lighting System Upgrade,Retrofit,Completed,20-May-09,28-Jan-10,61st Precinct,2575 CONEY ISLAND AVENUE,NYPD,41.65
Lighting System Upgrade,Retrofit,Completed,20-May-09,28-Jan-10,62nd Precinct,1925 BATH AVENUE,NYPD,22.51
Lighting System Upgrade,Retrofit,Completed,20-May-09,28-Jan-10,63rd Precinct,1844 BROOKLYN AVENUE,NYPD,12.31
Lighting System Upgrade,Retrofit,Completed,20-May-09,28-Jan-10,66th Precinct,5822 16TH AVENUE,NYPD,12.23
Lighting System Upgrade,Retrofit,Completed,20-May-09,28-Jan-10,70th Precinct,154 LAWRENCE AVENUE,NYPD,14.23
Lighting System Upgrade,Retrofit,Completed,12-Feb-10,24-Nov-10,Group 5 - 71st/76th/90th/94th/77 Annex Pcts,421 EMPIRE BOULEVARD,NYPD,64.13
Lighting System Upgrade,Retrofit,Completed,30-Jun-10,24-Nov-10,Group 5 - 71st/76th/90th/94th/77 Annex Pcts,191 UNION STREET,NYPD,41.78
Lighting System Upgrade,Retrofit,Completed,30-Jun-10,24-Nov-10,Group 5 - 71st/76th/90th/94th/77 Annex Pcts,653 GRAND AVENUE,NYPD,25.83
Lighting System Upgrade,Retrofit,Completed,12-Feb-10,24-Nov-10,Group 5 - 71st/76th/90th/94th/77 Annex Pcts,211 UNION AVE,NYPD,91.94
Lighting System Upgrade,Retrofit,Completed,30-Jun-10,24-Nov-10,Group 5 - 71st/76th/90th/94th/77 Annex Pcts,100 MESEROLE AVENUE,NYPD,57.6
Lighting System Upgrade,Retrofit,Substantially Completed,26-Jan-11,21-Oct-11,100th Precinct,"9224 Rockaway  Beach, or 92-24 Rockaway Beach Boulevard",NYPD,22.13
Lighting System Upgrade,Retrofit,Substantially Completed,26-Jan-11,14-Oct-11,101st Precinct,"1612 Mott Avenue, or 16-12 Mott Avenue",NYPD,20.56
Lighting System Upgrade,Retrofit,Substantially Completed,26-Jan-11,09-Dec-11,114th Precinct,34-16 ASTORIA BOULEVARD,NYPD,57.26
Lighting System Upgrade,Retrofit,Substantially Completed,29-Aug-11,27-Aug-12,BMS/QMS Building,59-06 LAUREL HILL BLVD,NYPD,112.24
HVAC System Upgrade,Retrofit,Install,17-Jan-12,,NYPD Forensic Investigation Division,150-18 Jamaica Avenue Queens NY,NYPD,804.2
HVAC System Upgrade,Retrofit,Completed,10-Mar-08,31-Dec-08,NYPD - 33rd Precinct,"2207 Amsterdam Ave., NY, NY",NYPD,1.26
HVAC System Upgrade,Retrofit,Completed,13-Sep-10,27-Sep-11,1086 Simpson Street Bronx NY 10459,,NYPD,157.12
HVAC System Upgrade,Retrofit,Completed,,,,,NYPD,
HVAC System Upgrade,Retrofit,Completed,10-Mar-08,12-Sep-11,79th Pct.,263 Tompkins Ave.,NYPD,287.26
HVAC System Upgrade,Retrofit,Completed,,13-May-10,NYPD Shop # 1,11 Front Street Brooklyn NY,NYPD,136.02
Lighting System Upgrade,Retrofit,Completed,04-Dec-09,11-Jun-10,Police Forensic Lab - Lighting,150-18 JAMAICA AVENUE,NYPD,125.53
Comprehensive,Retrofit,Cancelled,,,122nd Precinct,2320 Hylan Blvd,NYPD,7.13
Other,Retro-commissioning,Proposed,,,122nd Precinct,2320 Hylan Blvd,NYPD,
Other,Retro-commissioning,Survey,,,122nd Precinct,2320 Hylan Blvd,NYPD,
HVAC System Upgrade,Retrofit,Design,07-Nov-11,,Police Headquarters,1 Police Plaza,NYPD,2914.41
Other,Retro-commissioning,Survey,,,Police Headquarters,1 Police Plaza,NYPD,
HVAC System Upgrade,Retrofit,Design,,,69th Precinct - 9720 Foster Avenue,9720 Foster Avenue,NYPD,64.56
Lighting System Upgrade,Retrofit,Completed,12-Sep-11,02-Dec-11,NYPD Central Repair Shop,53-15 5bth Street,NYPD,98.39
Other,Photovoltaic,Substantially Completed,14-Dec-11,24-Feb-12,114th Precinct - Photovoltaic,34-16 Astoria Blvd,NYPD,15.77
Other,Photovoltaic,Substantially Completed,14-Dec-11,24-Feb-12,115th Precinct - Photovoltaic,92-15 Northern Blvd,NYPD,22.52
Other,Photovoltaic,Substantially Completed,14-Dec-11,07-Mar-12,48th Precinct - Photovoltaic,450 Cross Bronx Expressway,NYPD,13.51
Lighting System Upgrade,Retrofit,Design,,,Old 41st Precinct,1086 Simpson Street,NYPD,59.4
Other,Cogen,Install,,,New York Police Academy,"College Point, Queens",NYPD,0
HVAC System Upgrade,Retrofit,Install,15-Mar-12,,Humanities & Social Sciences Library,454 Fifth Avenue,NYPL,2122.53
Other,Retro-commissioning,Survey,,,Humanities & Social Sciences Library,454 Fifth Avenue,NYPL,
Lighting System Upgrade,Retrofit,Completed,17-Dec-10,11-Apr-11,Andrew Heiskell Library,40 West 20th Street,NYPL,26.63
Lighting System Upgrade,Retrofit,Completed,01-Apr-11,31-Dec-11,Pelham Bay Branch Library,3060 Middletown Road,NYPL,23.59
Lighting System Upgrade,Retrofit,Substantially Completed,24-Oct-11,15-Mar-12,Wakefield Branch,4100 Lowerre Place,NYPL,15.48
Lighting System Upgrade,Retrofit,Substantially Completed,12-Mar-12,29-Mar-12,Woodhaven Branch Library,8541 Forest Pkwy,QPL,8.27
HVAC System Upgrade,Retrofit,Design,,,Staten Island Zoo,"614 Broadway Staten Island, NY",,111.18
Comprehensive,Retrofit,Substantially Completed,30-Jan-12,29-Jun-12,Woodside Inspection Facility,24-55 Brooklyn-Queens Expwy,TLC,61.06
Other,Retro-commissioning,Survey,09-Aug-11,,Woodside Inspection Facility,24-55 Brooklyn-Queens Expwy,TLC,
