DEVELOPMENT NAME,BUILDING NUMBER,STAIR HALL NUMBER,ADDRESS,BOROUGH_CODE,CITY,ZIP CODE,NEW TENANT DATA SYSTEM,FACILITY,COMMENTS,MONTH,YEAR
TAFT,10,20,1716 MADISON AVENUE,1,NEW YORK,10029,97,COMMERCIAL SPACE (STORE #3),FP,December,2012
VAN DYKE I,14,20,330 POWELL STREET,3,BROOKLYN,11212,61,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
WASHINGTON,15,20,1775 3RD AVENUE,1,NEW YORK,10029,62,COMMUNITY CENTER / SENIOR CENTER,CO,December,2012
TAFT,10,21,1718 MADISON AVENUE,1,NEW YORK,10029,97,COMMERCIAL SPACE (STORE #4),FP,December,2012
CYPRESS HILLS,11,21,720 EUCLID AVENUE,3,BROOKLYN,11208,70,DAY CARE CENTER,CO,December,2012
WASHINGTON,15,22,216 EAST 99TH STREET,1,NEW YORK,10029,62,COMMERCIAL SPACE (STORE #1),FP,December,2012
LOW HOUSES,2,22,137 BELMONT AVENUE,3,BROOKLYN,11212,169,COMMUNITY CENTER/ SENIOR CENTER,CO,December,2012
TAFT,10,22,1720 MADISON AVENUE,1,NEW YORK,10029,97,COMMERCIAL SPACE (STORE #4),FP,December,2012
CLAREMONT REHAB (GROUP 2),6,22,1278 CLAY AVENUE,2,BRONX,10456,307,COMMERCIAL SPACE (STORE #1),FP,December,2012
CLAREMONT REHAB (GROUP 2),6,22,1280 CLAY AVENUE,2,BRONX,10456,307,COMMERCIAL SPACE (STORE #2),FP,December,2012
BAY VIEW,22,22,5985 SHORE PARKWAY,3,BROOKLYN,11236,92,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
VANDALIA AVENUE,3,23,47 VANDALIA AVENUE,3,BROOKLYN,11239,315,SENIOR CENTER,CO,December,2012
THROGGS NECK,11,23,461 SWINTON AVENUE,2,BRONX,10465,63,DAY CARE CENTER,CO,December,2012
TAFT,10,23,1724 MADISON AVENUE,1,NEW YORK,10029,97,COMMERCIAL SPACE (STORE #5) IS USED AS A DAY CARE CENTER,"CO, FP",December,2012
HARLEM RIVER,4,23,224 WEST 152ND STREET,1,NEW YORK,10039,3,DAY CARE CENTER,CO,December,2012
ARMSTRONG I,10,23,360 NOSTRAND AVENUE,3,BROOKLYN,11216,210,SENIOR CENTER,CO,December,2012
PINK,23,23,2700 LINDEN BOULEVARD,3,BROOKLYN,11208,89,DAY CARE CENTER,CO,December,2012
THROGGS NECK,11,24,475 SWINTON AVENUE,2,BRONX,10465,63,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
TAFT,10,24,1726 MADISON AVENUE,1,NEW YORK,10029,97,COMMERCIAL SPACE (STORE #5) IS USED AS A DAY CARE CENTER,"CO, FP",December,2012
PINK,23,24,2702 LINDEN BOULEVARD,3,BROOKLYN,11208,89,COMMUNITY CENTER/ SENIOR CENTER,CO,December,2012
LOW HOUSES,4,24,232 POWELL STREET,3,BROOKLYN,11212,169,DAY CARE/ HEAD START CENTER,CO,December,2012
RIIS II,17,24,80 AVENUE D,1,NEW YORK,10009,19,COMMUNITY CENTER,CO,December,2012
BARUCH,12,24,300 DELANCEY STREET,1,NEW YORK,10002,60,DAY CARE CENTER,CO,December,2012
QUEENSBRIDGE NORTH,11,25,10-43 41ST AVENUE,4,LONG ISLAND CITY,11101,505,COMMERCIAL SPACE (STORE #13) IS USED AS QUEENSBRIDGE PUBLIC LIBRARY,"CO, FP",December,2012
QUEENSBRIDGE NORTH,11,25,10-41 41ST AVENUE,4,LONG ISLAND CITY,11101,505,COMMERCIAL SPACE (STORE #12),FP,December,2012
RIIS II,18,25,90 AVENUE D,1,NEW YORK,10009,19,DAY CARE CENTER,CO,December,2012
QUEENSBRIDGE NORTH,11,25,10-37 41ST AVENUE,4,LONG ISLAND CITY,11101,505,COMMERCIAL SPACE (STORE #10),FP,December,2012
QUEENSBRIDGE NORTH,11,25,10-39 41ST AVENUE,4,LONG ISLAND CITY,11101,505,COMMERCIAL SPACE (STORE #11),FP,December,2012
HARLEM RIVER,5,25,58 MACOMBS PLACE,1,NEW YORK,10039,3,COMMERCIAL SPACE (STORE #23),FP,December,2012
HARLEM RIVER,5,25,58 1/2 MACOMBS PLACE,1,NEW YORK,10039,3,COMMERCIAL SPACE (STORE #24),FP,December,2012
HARLEM RIVER,5,25,56 MACOMBS PLACE,1,NEW YORK,10039,3,COMMERCIAL SPACE (STORE #21),FP,December,2012
HARLEM RIVER,5,25,56 1/2 MACOMBS PLACE,1,NEW YORK,10039,3,COMMERCIAL SPACE (STORE #22),FP,December,2012
HARLEM RIVER,5,25,54 MACOMBS PLACE,1,NEW YORK,10039,3,COMMERCIAL SPACE (STORE #19),FP,December,2012
HARLEM RIVER,5,25,54 1/2 MACOMBS PLACE,1,NEW YORK,10039,3,COMMERCIAL SPACE (STORE #20),FP,December,2012
303 VERNON AVENUE,1,25,1060 MYRTLE AVENUE,3,BROOKLYN,11206,156,COMPUTER LAB,CO,December,2012
RAVENSWOOD,18,25,35-32 21ST STREET,4,ASTORIA,11106,48,RAVENSWOOD PUBLIC LIBRARY,CO,December,2012
AMSTERDAM ADDITION,1,25,243 WEST 64TH STREET,1,NEW YORK,10023,187,DAY CARE CENTER,CO,December,2012
JEFFERSON,14,25,2089 3RD AVENUE,1,NEW YORK,10029,64,MENTAL HEALTH CLINIC,CO,December,2012
JEFFERSON,14,25,2095 3RD AVENUE,1,NEW YORK,10029,64,MENTAL HEALTH CLINIC,CO,December,2012
PELHAM PARKWAY,16,25,2280 WALLACE AVENUE,2,BRONX,10467,39,DAY CARE CENTER,CO,December,2012
WHITMAN,13,25,285 MYRTLE AVENUE,3,BROOKLYN,11205,514,COMMUNITY OPERATIONS OFFICE SPACE,CO,December,2012
TAFT,10,25,1728 MADISON AVENUE,1,NEW YORK,10029,97,COMMERCIAL SPACE (STORE #6),FP,December,2012
AMSTERDAM ADDITION,1,25,250 WEST 65TH STREET,1,NEW YORK,10023,187,COMMUNITY CENTER/ NORC/ SENIOR CENTER,CO,December,2012
BETANCES IV,7,25,528 EAST 146TH STREET,2,BRONX,10455,230,DAY CARE CENTER,CO,December,2012
QUEENSBRIDGE NORTH,11,26,40-10 10TH STREET,4,LONG ISLAND CITY,11101,505,REFERRAL SERVICES,CO,December,2012
EDENWALD,15,26,1141 EAST 229TH STREET,2,BRONX,10466,57,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
BARUCH,13,26,294 DELANCEY STREET,1,NEW YORK,10002,60,HEAD START CENTER,CO,December,2012
TAFT,10,26,1730 MADISON AVENUE,1,NEW YORK,10029,97,COMMERCIAL SPACE (STORE #8),FP,December,2012
RAVENSWOOD,18,26,35-40 21ST STREET,4,ASTORIA,11106,48,COMMUNITY CENTER,CO,December,2012
RIIS II,19,26,108 AVENUE D,1,NEW YORK,10009,19,DAY CARE CENTER,CO,December,2012
BAY VIEW,25,26,5955 SHORE PARKWAY,3,BROOKLYN,11236,92,COMMUNITY CENTER,CO,December,2012
STUYVESANT GARDENS II,1,26,150 MALCOLM X BOULEVARD,3,BROOKLYN,11221,333,SENIOR CENTER,CO,December,2012
JEFFERSON,14,26,210 EAST 115TH STREET,1,NEW YORK,10029,64,MENTAL HEALTH CLINIC,CO,December,2012
SAMUEL (CITY),26,26,649 MALCOLM X BOULEVARD,1,NEW YORK,10037,377,"COMMERCIAL SPACE (STORES #1, 2)",FP,December,2012
QUEENSBRIDGE NORTH,11,26,10-29 41ST AVENUE,4,LONG ISLAND CITY,11101,505,HEALTH CLINIC,CO,December,2012
QUEENSBRIDGE NORTH,11,26,10-31 41ST AVENUE,4,LONG ISLAND CITY,11101,505,"COMMERCIAL SPACE (STORES #7, 8)",FP,December,2012
QUEENSBRIDGE NORTH,11,26,10-33 41ST AVENUE,4,LONG ISLAND CITY,11101,505,"COMMERCIAL SPACE (STORES #7, 8)",FP,December,2012
QUEENSBRIDGE NORTH,11,26,10-35 41ST AVENUE,4,LONG ISLAND CITY,11101,505,COMMERCIAL SPACE (STORE #9),FP,December,2012
HARBORVIEW TERRACE,2,26,530 WEST 55TH STREET,1,NEW YORK,10019,262,SENIOR CENTER,CO,December,2012
GOMPERS,3,26,80 PITT STREET,1,NEW YORK,10002,100,COMMUNITY CENTER/ SENIOR CENTER/ HEAD START CENTER,CO,December,2012
QUEENSBRIDGE NORTH,12,27,40-11 10TH STREET,4,LONG ISLAND CITY,11101,505,COMMUNITY OPERATIONS OFFICE SPACE,CO,December,2012
HARBORVIEW TERRACE,1,27,536 WEST 56TH STREET,1,NEW YORK,10019,262,COMMUNITY OPERATIONS ART CENTER,CO,December,2012
SAMUEL (CITY),27,27,645 MALCOLM X BOULEVARD,1,NEW YORK,10037,377,"COMMERCIAL SPACE (STORES #1, 2)",FP,December,2012
RAVENSWOOD,19,27,14-01 36TH AVENUE,4,ASTORIA,11106,48,IHAD LITERACY PROGRAM,CO,December,2012
TAFT,10,27,1732 MADISON AVENUE,1,NEW YORK,10029,97,COMMERCIAL SPACE (STORE #9) IS USED AS  A COMMUNITY CENTER,"CO, FP",December,2012
QUEENSBRIDGE NORTH,12,28,10-17 41ST AVENUE,4,LONG ISLAND CITY,11101,505,COMMERCIAL SPACE (STORES #1-6),FP,December,2012
HUNTS POINT AVENUE REHAB,13,28,875 IRVINE STREET,2,BRONX,10474,367,DAY CARE CENTER,CO,December,2012
BARUCH,14,28,280 DELANCEY STREET,1,NEW YORK,10002,60,HEALTH CLINIC,CO,December,2012
QUEENSBRIDGE NORTH,12,28,10-07 41ST AVENUE,4,LONG ISLAND CITY,11101,505,COMMERCIAL SPACE (STORES #1-6),FP,December,2012
HARLEM RIVER,5,29,42 1/2 MACOMBS PLACE,1,NEW YORK,10039,3,COMMERCIAL SPACE (STORE #18),FP,December,2012
SHEEPSHEAD BAY,15,29,3525 NOSTRAND AVENUE,3,BROOKLYN,11229,36,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
HARLEM RIVER,5,29,42 MACOMBS PLACE,1,NEW YORK,10039,3,COMMERCIAL SPACE (STORE #17),FP,December,2012
EAST RIVER,10,29,453 EAST 102ND STREET,1,NEW YORK,10029,9,VOCATIONAL TRAINING CENTER,CO,December,2012
HARLEM RIVER,5,29,40 1/2 MACOMBS PLACE,1,NEW YORK,10039,3,"COMMERCIAL SPACE (STORES #15, 16)",FP,December,2012
REHAB PROGRAM (TAFT REHABS),3,30,1940 A C POWELL BOULEVARD,1,NEW YORK,10026,516,COMMERCIAL SPACE (STORE #4),FP,December,2012
REHAB PROGRAM (TAFT REHABS),3,30,1944 A C POWELL BOULEVARD,1,NEW YORK,10026,516,COMMERCIAL SPACE (STORE #2),FP,December,2012
GLEBE AVENUE-WESTCHESTER AVENUE,1,30,2125 GLEBE AVENUE,2,BRONX,10462,225,SENIOR CENTER,CO,December,2012
GLENWOOD,15,30,5816 FARRAGUT ROAD,3,BROOKLYN,11234,44,COMMUNITY CENTER,CO,December,2012
REHAB PROGRAM (TAFT REHABS),3,30,1942 A C POWELL BOULEVARD,1,NEW YORK,10026,516,COMMERCIAL SPACE (STORE #3),FP,December,2012
REHAB PROGRAM (TAFT REHABS),4,31,184 LENOX AVENUE,1,NEW YORK,10026,516,COMMERCIAL SPACE (STORE #3),FP,December,2012
LOWER EAST SIDE REHAB (GROUP 5),1,31,89 AVENUE C,1,NEW YORK,10009,292,"COMMERCIAL SPACE (STORES #1, 2, 3)",FP,December,2012
LOWER EAST SIDE REHAB (GROUP 5),1,31,97 AVENUE C,1,NEW YORK,10009,292,"COMMERCIAL SPACE (STORES #1, 2, 3)",FP,December,2012
REHAB PROGRAM (TAFT REHABS),4,31,180 LENOX AVENUE,1,NEW YORK,10026,516,COMMERCIAL SPACE (STORE #1),FP,December,2012
REHAB PROGRAM (TAFT REHABS),4,31,182 LENOX AVENUE,1,NEW YORK,10026,516,COMMERCIAL SPACE (STORE #2),FP,December,2012
HUGHES APARTMENTS,1,31,301 SUTTER AVENUE,3,BROOKLYN,11212,168,COMMUNITY CENTER / SENIOR CENTER,CO,December,2012
MURPHY,2,32,1811 CROTONA AVENUE,2,BRONX,10457,133,DAY CARE CENTER,CO,December,2012
LOWER EAST SIDE REHAB (GROUP 5),2,32,99 AVENUE C,1,NEW YORK,10009,292,"COMMERCIAL SPACE (STORES #4, 5)",FP,December,2012
MURPHY,2,32,601 CROTONA PARK NORTH,2,BRONX,10457,133,COMMUNITY CENTER,CO,December,2012
LOWER EAST SIDE REHAB (GROUP 5),2,32,103 AVENUE C,1,NEW YORK,10009,292,"COMMERCIAL SPACE (STORES #4, 5)",FP,December,2012
VAN DYKE I,24,32,392 BLAKE AVENUE,3,BROOKLYN,11212,61,COMMUNITY CENTER,CO,December,2012
METRO NORTH PLAZA,2,32,304 EAST 102ND STREET,1,NEW YORK,10029,181,DAY CARE CENTER,CO,December,2012
PELHAM PARKWAY,21,33,2222 WALLACE AVENUE,2,BRONX,10467,39,DAY CARE CENTER,CO,December,2012
EDENWALD,21,33,1135 229TH DRIVE SOUTH,2,BRONX,10466,57,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
SOTOMAYOR HOUSES,31,33,1000 ROSEDALE AVENUE,2,BRONX,10472,67,COMMUNITY CENTER,CO,December,2012
SOUTH JAMAICA I,11,33,159-07 108TH AVENUE,4,JAMAICA,11433,8,COMMUNITY OPERATIONS STORAGE,CO,December,2012
METRO NORTH PLAZA,3,33,345 EAST 101ST STREET,1,NEW YORK,10029,181,HEAD START CENTER,CO,December,2012
SAMUEL (CITY),33,33,2453 A C POWELL BOULEVARD,1,NEW YORK,10030,377,"COMMERCIAL SPACE (STORES #1, 2, 3 [STORE #3 IS USED BY THE RESIDENT ASSOCIATION])",FP,December,2012
CLAREMONT PARKWAY-FRANKLIN AVENUE,3,33,1315 FRANKLIN AVENUE,2,BRONX,10456,334,SENIOR CENTER,CO,December,2012
WHITMAN,37,33,140 NORTH PORTLAND AVENUE,3,BROOKLYN,11205,514,COMMERCIAL SPACE (STORE #19),FP,December,2012
BROWNSVILLE,20,33,320 BLAKE AVENUE,3,BROOKLYN,11212,16,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
OCEAN BAY APARTMENTS (OCEANSIDE),2,33,338 BEACH 56TH STREET,4,FAR ROCKAWAY,11692,51,DAY CARE CENTER,CO,December,2012
PELHAM PARKWAY,21,34,785 PELHAM PARKWAY NORTH,2,BRONX,10467,39,COMMUNITY CENTER,CO,December,2012
LONG ISLAND BAPTIST HOUSES,4,34,340A WILLIAMS AVENUE,3,BROOKLYN,11207,276,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
SAMUEL (CITY),34,34,2449 A C POWELL BOULEVARD,1,NEW YORK,10030,377,"COMMERCIAL SPACE (STORES #1, 2)",FP,December,2012
WOODSIDE,13,35,50-19 BROADWAY,4,WOODSIDE,11377,33,COMMUNITY CENTER,CO,December,2012
BARUCH HOUSES ADDITION,18,35,72 COLUMBIA STREET,1,NEW YORK,10002,198,NORC,CO,December,2012
335 EAST 111TH STREET,1,35,335 EAST 111TH STREET,1,NEW YORK,10029,203,JOB TRAINING PROGRAM,CO,December,2012
WHITMAN,37,35,293 MYRTLE AVENUE,3,BROOKLYN,11205,514,COMMERCIAL SPACE (STORE #11),FP,December,2012
POMONOK,9,36,67-09 KISSENA BOULEVARD,4,FLUSHING,11367,53,COMMUNITY CENTER / SENIOR CENTER,CO,December,2012
KINGSBOROUGH EXTENSION,17,36,447 KINGSBOROUGH 4TH WALK,3,BROOKLYN,11233,161,SENIOR CENTER,CO,December,2012
WHITMAN,37,36,293A MYRTLE AVENUE,3,BROOKLYN,11205,514,"COMMERCIAL SPACE (STORES #12, 13)",FP,December,2012
WHITMAN,37,37,295 MYRTLE AVENUE,3,BROOKLYN,11205,514,"COMMERCIAL SPACE (STORES #12, 13)",FP,December,2012
BROWNSVILLE,22,37,528 MOTHER GASTON BOULEVARD,3,BROOKLYN,11212,16,SENIOR CENTER,CO,December,2012
REID APARTMENTS,1,37,720 EAST NEW YORK AVENUE,3,BROOKLYN,11203,167,SENIOR CENTER,CO,December,2012
SARATOGA VILLAGE,1,37,940 HANCOCK STREET,3,BROOKLYN,11233,158,COMMUNITY CENTER,CO,December,2012
WOODSIDE,14,38,50-37 BROADWAY,4,WOODSIDE,11377,33,DAY CARE CENTER,CO,December,2012
CORSI HOUSES,1,38,307 EAST 116TH STREET,1,NEW YORK,10029,199,COMMUNITY CENTER / SENIOR CENTER,CO,December,2012
WASHINGTON HEIGHTS REHAB PHASE III,8,38,2111 AMSTERDAM AVENUE,1,NEW YORK,10032,523,COMMERCIAL SPACE (STORE #2),FP,December,2012
WASHINGTON HEIGHTS REHAB PHASE III,8,38,2109 AMSTERDAM AVENUE,1,NEW YORK,10032,523,COMMERCIAL SPACE (STORE #1),FP,December,2012
WHITMAN,37,38,295A MYRTLE AVENUE,3,BROOKLYN,11205,514,"COMMERCIAL SPACE (STORES #12, 13)",FP,December,2012
RAVENSWOOD,27,38,34-35 12TH STREET,4,ASTORIA,11106,48,SENIOR CENTER/ NORC,CO,December,2012
WHITMAN,37,39,297 MYRTLE AVENUE,3,BROOKLYN,11205,514,"COMMERCIAL SPACE (STORES #15, 18)",FP,December,2012
BOSTON ROAD PLAZA,2,40,2424 BOSTON ROAD,2,BRONX,10467,189,SENIOR CENTER,CO,December,2012
OCEAN HILL APARTMENTS,3,40,305 MACDOUGAL STREET,3,BROOKLYN,11233,162,COMMUNITY CENTER,CO,December,2012
WHITMAN,37,40,297A MYRTLE AVENUE,3,BROOKLYN,11205,514,COMMERCIAL SPACE (STORE #16),FP,December,2012
SAMUEL (MHOP) I,41,41,2401 A C POWELL BOULEVARD,1,NEW YORK,10030,389,COMMERCIAL SPACE (STORE #1) IS USED AS A RESIDENT ASSOCIATION MEETING ROOM,FP,December,2012
HARLEM RIVER,7,41,2633 A C POWELL BOULEVARD,1,NEW YORK,10039,3,COMMERCIAL SPACE (STORES #1-7) IS USED AS A COMMUNITY CENTER (YMCA),"CO, FP",December,2012
HARLEM RIVER,7,41,2627 A C POWELL BOULEVARD,1,NEW YORK,10039,3,COMMERCIAL SPACE (STORES #1-7) - SECONDARY ADDRESS FOR COMMUNITY CENTER,"CO, FP",December,2012
OCEAN BAY APARTMENTS (OCEANSIDE),6,41,339 BEACH 54TH STREET,4,FAR ROCKAWAY,11692,51,SENIOR PROGRAM,CO,December,2012
WHITMAN,37,41,299 MYRTLE AVENUE,3,BROOKLYN,11205,514,COMMERCIAL SPACE (STORE #17),FP,December,2012
WHITMAN,38,42,327 MYRTLE AVENUE,3,BROOKLYN,11205,514,COMMERCIAL SPACE (STORE #20),FP,December,2012
DE HOSTOS APARTMENTS,1,43,690 AMSTERDAM AVENUE,1,NEW YORK,10025,155,HEALTH CLINIC,CO,December,2012
DE HOSTOS APARTMENTS,1,43,201 WEST 93RD STREET,1,NEW YORK,10025,155,IHAD LITERACY,CO,December,2012
WHITMAN,38,43,329 MYRTLE AVENUE,3,BROOKLYN,11205,514,COMMERCIAL SPACE (STORE #21),FP,December,2012
DE HOSTOS APARTMENTS,1,43,696 AMSTERDAM AVENUE,1,NEW YORK,10025,155,COMMUNITY CENTER,CO,December,2012
WHITMAN,38,44,329A MYRTLE AVENUE,3,BROOKLYN,11205,514,COMMERCIAL SPACE (STORE #22),FP,December,2012
VLADECK,19,44,351 MADISON STREET,1,NEW YORK,10002,6,NORC,CO,December,2012
WSUR (SITE C) 589 AMSTERDAM AVENUE,1,45,589 AMSTERDAM AVENUE,1,NEW YORK,10024,174,MENTAL HEALTH CLINIC,CO,December,2012
WHITMAN,38,45,331 MYRTLE AVENUE,3,BROOKLYN,11205,514,COMMERCIAL SPACE (STORE #23),FP,December,2012
WHITMAN,38,46,331A MYRTLE AVENUE,3,BROOKLYN,11205,514,COMMERCIAL SPACE (STORES # 24-29),FP,December,2012
THOMAS APARTMENTS,1,46,102 WEST 91ST STREET,1,NEW YORK,10024,268,SENIOR PROGRAM,CO,December,2012
VLADECK,20,46,367 MADISON STREET,1,NEW YORK,10002,6,FAMILY/ YOUTH PROGRAM,CO,December,2012
SOUTH JAMAICA II,19,46,108-17 159TH STREET,4,JAMAICA,11433,66,DAY CARE CENTER,CO,December,2012
BETANCES IV,1,47,490 EAST 143RD STREET,2,BRONX,10454,230,HEAD START CENTER,CO,December,2012
WHITMAN,39,47,105 NORTH PORTLAND AVENUE,3,BROOKLYN,11205,514,SENIOR CENTER,CO,December,2012
SAMUEL (CITY),48,48,669 LENOX AVENUE,1,NEW YORK,10037,377,COMMUNITY CENTER/ DAY CARE CENTER,CO,December,2012
QUEENSBRIDGE NORTH,27,48,10-25 41ST AVENUE,4,LONG ISLAND CITY,11101,505,COMMUNITY CENTER/ SENIOR CENTER/ COMPUTER ROOM/ NORC,CO,December,2012
QUEENSBRIDGE SOUTH,28,50,10-26 41ST AVENUE,4,LONG ISLAND CITY,11101,5,DAY CARE CENTER,CO,December,2012
WILLIAMSBURG,8,51,239 GRAHAM AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE (STORE #14),FP,December,2012
WILLIAMSBURG,8,51,237 GRAHAM AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE (STORE #15),FP,December,2012
SOUTH JAMAICA II,23,52,109-04 160TH STREET,4,JAMAICA,11433,66,COMMUNITY CENTER,CO,December,2012
WOODSIDE,19,52,50-37 NEWTOWN ROAD,4,WOODSIDE,11377,33,SENIOR CENTER,CO,December,2012
WILLIAMSBURG,8,53,247 GRAHAM AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE (STORE #9),FP,December,2012
WILLIAMSBURG,8,53,241 GRAHAM AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE (STORE #13),FP,December,2012
WILLIAMSBURG,8,53,243 GRAHAM AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE (STORE #12),FP,December,2012
WILLIAMSBURG,8,53,245 GRAHAM AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE (STORE #11),FP,December,2012
WOODSIDE,20,53,50-53 NEWTOWN ROAD,4,WOODSIDE,11377,33,CHILD HEALTH CLINIC,CO,December,2012
WILLIAMSBURG,8,53,152 MAUJER STREET,3,BROOKLYN,11206,2,COMMERCIAL SPACE (STORE #10),FP,December,2012
WILLIAMSBURG,8,55,235 GRAHAM AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE (STORE #16),FP,December,2012
PALMETTO GARDENS,1,55,85 PALMETTO STREET,3,BROOKLYN,11221,195,SENIOR CENTER,CO,December,2012
WILLIAMSBURG,8,56,231 GRAHAM AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE (STORE #18),FP,December,2012
WILLIAMSBURG,8,56,233 GRAHAM AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE (STORE #17),FP,December,2012
WILLIAMSBURG,9,57,242 GRAHAM AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE (STORE #6) IS USED AS A TENANT PATROL OFFICE,FP,December,2012
MARCY,23,57,582 PARK AVENUE,3,BROOKLYN,11206,21,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
WILLIAMSBURG,9,57,238 GRAHAM AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE (STORE #8),FP,December,2012
WILLIAMSBURG,9,57,240 GRAHAM AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE (STORE #7),FP,December,2012
MITCHEL,11,58,200 ALEXANDER AVENUE,2,BRONX,10454,145,DAY CARE CENTER,CO,December,2012
WILLIAMSBURG,9,58,248 GRAHAM AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE (STORE #3),FP,December,2012
WILLIAMSBURG,9,58,246 GRAHAM AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE (STORE #4),FP,December,2012
WILLIAMSBURG,9,58,244 GRAHAM AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE (STORE #5),FP,December,2012
MITCHEL,11,59,210 ALEXANDER AVENUE,2,BRONX,10454,145,COMMUNITY CENTER,CO,December,2012
WILLIAMSBURG,9,60,254 GRAHAM AVENUE,3,BROOKLYN,11206,2,"COMMERCIAL SPACE (STORES #1, 2) IS USED BY THE  RESIDENT ASSOCIATION",FP,December,2012
WILLIAMSBURG,9,60,252 GRAHAM AVENUE,3,BROOKLYN,11206,2,"COMMERCIAL SPACE (STORES #1, 2) IS USED BY THE  RESIDENT ASSOCIATION",FP,December,2012
WILLIAMSBURG,9,60,250 GRAHAM AVENUE,3,BROOKLYN,11206,2,"COMMERCIAL SPACE (STORES #1, 2) IS USED BY THE  RESIDENT ASSOCIATION",FP,December,2012
BETANCES VI,4,64,474 WILLIS AVENUE,2,BRONX,10455,285,"COMMERCIAL SPACE (STORES #1, 2, 3)",FP,December,2012
BETANCES VI,5,65,465 SAINT ANNS AVENUE,2,BRONX,10455,285,COMMUNITY CENTER,CO,December,2012
THROGGS NECK ADDITION,32,67,550 BALCOM AVENUE,2,BRONX,10465,193,COMMUNITY CENTER,CO,December,2012
EDENWALD,41,69,1140 EAST 229TH STREET,2,BRONX,10466,57,DAY CARE CENTER,CO,December,2012
EDENWALD,41,70,1150 EAST 229TH STREET,2,BRONX,10466,57,COMMUNITY CENTER,CO,December,2012
RANDALL AVENUE-BALCOM AVENUE,36,71,2705 SCHLEY AVENUE,2,BRONX,10465,245,SENIOR CENTER,CO,December,2012
WILLIAMSBURG,11,72,222 GRAHAM AVENUE,3,BROOKLYN,11206,2,DAY CARE CENTER,CO,December,2012
INGERSOLL,36,78,177 MYRTLE AVENUE,3,BROOKLYN,11201,14,COMMUNITY CENTER,CO,December,2012
ARMSTRONG I,12,81,252A LEXINGTON AVENUE,3,BROOKLYN,11216,210,NYCHA SOCIAL SERVICES OFFICE,CO,December,2012
WILLIAMSBURG,13,82,210 GRAHAM AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE  (STORES #20-22),FP,December,2012
WILLIAMSBURG,13,82,202 GRAHAM AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE (STORES #23 TO 26) IS USED AS A SENIOR CENTER,"CO, FP",December,2012
WILLIAMSBURG,13,82,214 GRAHAM AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE (STORE #19),FP,December,2012
WILLIAMSBURG,13,82,212 GRAHAM AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE  (STORES #20-22),FP,December,2012
ARMSTRONG I,11,84,262 LEXINGTON AVENUE,3,BROOKLYN,11216,210,HEAD START CENTER,CO,December,2012
WILLIAMSBURG,13,84,206 GRAHAM AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE (STORES #23 TO 26),FP,December,2012
WILLIAMSBURG,13,84,208 GRAHAM AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE (STORES #20-22),FP,December,2012
WILLIAMSBURG,13,85,204 GRAHAM AVENUE,3,BROOKLYN,11206,2,COMMERCIAL SPACE (STORES #23 TO 26),FP,December,2012
ARMSTRONG I,11,85,264 LEXINGTON AVENUE,3,BROOKLYN,11216,210,AFTER SCHOOL PROGRAM,CO,December,2012
RED HOOK EAST,28,86,594 CLINTON STREET,3,BROOKLYN,11231,4,COMMERCIAL SPACE (STORE #6),FP,December,2012
RED HOOK EAST,28,86,588A CLINTON STREET,3,BROOKLYN,11231,4,COMMERCIAL SPACE (STORE #2),FP,December,2012
ARMSTRONG II,6,86,495 GATES AVENUE,3,BROOKLYN,11216,228,COMMUNITY CENTER,CO,December,2012
RED HOOK EAST,28,86,592A CLINTON STREET,3,BROOKLYN,11231,4,COMMERCIAL SPACE (STORE #5),FP,December,2012
