ID,Business Name,Trade Name,Sidewalk Cafe Type,License Number,Full Address,Address Building,Address Street Name,City,State,ZIP Code,Borough,Address Location,Phone Number,Lic Area Sq Ft
564,HURRICANE STRAUSS INC,WESTVILLE,Unenclosed Sidewalk Cafe,1346238,"246 W 18TH ST, NEW YORK, NY 10011",246,W 18TH ST,NEW YORK,NY,10011,Manhattan,,(212) 741-7971,92
565,HUSSIEN ENVIRONMENT INC.,CLEOPATRAS NEEDLE.,Enclosed Sidewalk Cafe,916146,"2483 BROADWAY, NEW YORK, NY 10025",2483,BROADWAY,NEW YORK,NY,10025,Manhattan,,(212) 769-6969,228
566,I MALATESTA TRATTORIA INC,MALATESTA TRATTORIA,Unenclosed Sidewalk Cafe,1076713,"649 WASHINGTON STREET, NYC, NY 10014",649,WASHINGTON STREET,NYC,NY,10014,Manhattan,,(212) 741-1207,333
567,IANO CORP,ACQUA,Unenclosed Sidewalk Cafe,1277777,"718 AMSTERDAM AVENUE, NEW YORK, NY 10025",718,AMSTERDAM AVENUE,NEW YORK,NY,10025,Manhattan,,(212) 349-4433,324
568,IFETA CORP,DIWINE,Unenclosed Sidewalk Cafe,1311304,"41-15 31 AVENUE, ASTORIA, NY 11103",41-15,  31 AVENUE,ASTORIA,NY,11103,Queens,,(718) 777-1355,144
569,IGUANA NEW YORK LTD.,IGUANA,Unenclosed Sidewalk Cafe,1170078,"240 W 54TH ST, NEW YORK, NY 10019",240,W 54TH ST,NEW YORK,NY,10019,Manhattan,,(212) 765-5454,294
570,"IL BARETTO, LLC",,Unenclosed Sidewalk Cafe,1422759,"750 11TH AVE, NEW YORK, NY 10019",750,  11TH AVE,NEW YORK,NY,10019,Manhattan,,(212) 757-2270,172
571,IL BUCO CORP.,,Unenclosed Sidewalk Cafe,1109238,"47 BOND STREET, NEW YORK, NY 10012",47,BOND STREET,NEW YORK,NY,10012,Manhattan,,(212) 533-1932,154
572,IL BUCO VINERIA LLC,IL BUCO ALIMENTARI & VINERIA,Unenclosed Sidewalk Cafe,1422675,"53 GREAT JONES ST, NEW YORK, NY 10012",53,GREAT JONES ST,NEW YORK,NY,10012,Manhattan,,(212) 837-2622,105
573,IL COMMENDATORE RESTAURANT INC,CASA BELLA RESTAURANT,Unenclosed Sidewalk Cafe,1189682,"127 MULBERRY ST, NEW YORK, NY 10013",127,MULBERRY ST,NEW YORK,NY,10013,Manhattan,,(212) 431-4080,325
574,IL MATTONE CORP.,IL MATTONE,Unenclosed Sidewalk Cafe,1230536,"413 GREENWICH STREET, NEW YORK CITY, NY 10013",413,GREENWICH STREET,NEW YORK CITY,NY,10013,Manhattan,,(212) 343-0030,320
575,IL MELOGRANO LLC,,Unenclosed Sidewalk Cafe,1277785,"501 W 51ST ST, NEW YORK, NY 10019",501,W 51ST ST,NEW YORK,NY,10019,Manhattan,,(212) 757-9290,120
576,IL PORTO LLC,,Unenclosed Sidewalk Cafe,1310867,"37 WASHINGTON AVENUE, BROOKLYN, NY 11205",37,WASHINGTON AVENUE,BROOKLYN,NY,11205,Brooklyn,,(718) 624-0954,207
577,IL RIFUGIO INC,TARALLUCCI E VINO,Unenclosed Sidewalk Cafe,1382144,"475 COLUMBUS AVENUE, NEW YORK, NY 10024",475,COLUMBUS AVENUE,NEW YORK,NY,10024,Manhattan,,(212) 362-5454,195
578,ILION INC.,V.I.P.'S CAFE,Enclosed Sidewalk Cafe,1210814,"131 EAST GUNHILL ROAD, BRONX, NY 10467",131,EAST GUNHILL ROAD,BRONX,NY,10467,Bronx,,(718) 655-8500,169
579,INDIA FOOD INTERNATIONAL INC.,INDIAN CAFE,Enclosed Sidewalk Cafe,735569,"2791 BROADWAY, NEW YORK, NY 10025",2791,BROADWAY,NEW YORK,NY,10025,Manhattan,,(212) 749-9200,548
580,INOVATIVE RESTAURANTS LLC,INOTECA,Unenclosed Sidewalk Cafe,1141963,"133 LUDLOW STREET, NEW YORK, NY 10002",133,LUDLOW STREET,NEW YORK,NY,10002,Manhattan,98 RIVINGTON STREET,(212) 614-0473,183
581,ISLAND REST I CORP,ISLAND BURGERS & SHAKES,Unenclosed Sidewalk Cafe,1426156,"766 9TH AVE, NEW YORK, NY 10019",766,  9TH AVE,NEW YORK,NY,10019,Manhattan,,(212) 307-7934,60
582,"ITM GARDEN,INC.",,Unenclosed Sidewalk Cafe,1214291,"10 LITTLE WEST 12 ST, NEW YORK, NY 10014",10,LITTLE WEST 12 ST,NEW YORK,NY,10014,Manhattan,,(212) 226-1844,280
583,IVY'S BISTRO LLC,,Unenclosed Sidewalk Cafe,1261306,"385 GREENWICH STREET, NEW YORK, NY 10013",385,GREENWICH STREET,NEW YORK,NY,10013,Manhattan,,(212) 343-1139,172
584,IXHEL CORPORATION,CAFE FRIDA,Enclosed Sidewalk Cafe,1392090,"368 COLUMBUS AVENUE, NEW YORK, NY 10024",368,COLUMBUS AVENUE,NEW YORK,NY,10024,Manhattan,,(914) 235-7050,285
585,"J & D OPERATORS,LLC",PROHIBITION,Unenclosed Sidewalk Cafe,957290,"503 COLUMBUS AVE, NEW YORK, NY 10024",503,COLUMBUS AVE,NEW YORK,NY,10024,Manhattan,,(212) 579-3100,185
586,J OF K CORP,MOMOYA AMSTERDAM,Unenclosed Sidewalk Cafe,1265442,"427 AMSTERDAM AVENUE, NEW YORK, NY 10024",427,AMSTERDAM AVENUE,NEW YORK,NY,10024,Manhattan,,(212) 631-0049,177
587,J.J.M.A.P. CORP,VIA TRENTA,Unenclosed Sidewalk Cafe,1402273,"36-19 30TH AVE, ASTORIA, NY 11103",36-19, 30TH AVE,ASTORIA,NY,11103,Queens,,(201) 920-7558,357
588,J.M.M.T. CAFE INC,,Unenclosed Sidewalk Cafe,1225897,"360 3RD AVE, NEW YORK, NY 10016",360,3RD AVE,NEW YORK,NY,10016,Manhattan,,(212) 696-2122,103
589,"J.N.P.K.,INC",ARMONDO'S RESTAURANTE/S/C #672,Enclosed Sidewalk Cafe,832521,"74-27 37 AVENUE, JACKSON HEIGHTS, NY 11372",74-27,  37 AVENUE,JACKSON HEIGHTS,NY,11372,Queens,,(718) 898-0113,307
590,J.P.G. LLC,PHILIP MARIE,Unenclosed Sidewalk Cafe,1003313,"569 HUDSON STREET, NEW YORK, NY 10014",569,HUDSON STREET,NEW YORK,NY,10014,Manhattan,,(212) 242-6200,169
591,JADA RESTAURANT INC.,PETITE ABEILLE,Unenclosed Sidewalk Cafe,1029004,"134 W BROADWAY, NEW YORK, NY 10013",134,W BROADWAY,NEW YORK,NY,10013,Manhattan,,(212) 727-1505,214
592,JAMES-ZAC CORP.,BRUNO THE KING OF RAVIOLI,Unenclosed Sidewalk Cafe,1258099,"282-284 FIRST AVENUE, NEW YORK, NY 10009",282-284,FIRST AVENUE,NEW YORK,NY,10009,Manhattan,,(201) 646-0505,205
593,JAN CO CENTRAL INC,BURGER KING,Enclosed Sidewalk Cafe,1354338,"3451 BROADWAY, NY, NY 10031",3451,BROADWAY,NY,NY,10031,Manhattan,,(401) 946-4000,152
594,"JAPONICA-U.S.A.,INC.",JAPONICA,Enclosed Sidewalk Cafe,885853,"100 UNIVERSITY PLACE, NEW YORK, NY 10003",100,UNIVERSITY PLACE,NEW YORK,NY,10003,Manhattan,,(212) 243-7752,226
595,JEMANYA CORP,MISS FAVELA,Unenclosed Sidewalk Cafe,1331625,"57 SOUTH    5 STREET, BROOKLYN, NY 11211",57,SOUTH    5 STREET,BROOKLYN,NY,11211,Brooklyn,,(718) 230-4040,168
596,JESSICA CHELSEA CORP,TELLO'S,Unenclosed Sidewalk Cafe,1384661,"198 8 AVENUE, NEW YORK, NY 10011",198,   8 AVENUE,NEW YORK,NY,10011,Manhattan,,(212) 691-8696,332
597,"JL MEGRE CO., INC.",HAAGEN-DAZS SHOP #107,Unenclosed Sidewalk Cafe,1278108,"120 MONTAGUE ST, BROOKLYN, NY 11201",120,MONTAGUE ST,BROOKLYN,NY,11201,Brooklyn,,(718) 797-3700,62
598,JO-RACH INC,THE CAFFE PALERMO,Unenclosed Sidewalk Cafe,920440,"148 MULBERRY STREET, NY, NY 10013",148,MULBERRY STREET,NY,NY,10013,Manhattan,,(212) 431-4205,125
599,JOHN-PHIL TAVERN CORP,PARNELLS,Unenclosed Sidewalk Cafe,1219526,"350 E 53RD ST, NEW YORK, NY 10022",350,E 53RD ST,NEW YORK,NY,10022,Manhattan,,(212) 753-1761,322
600,JOS HOSPITALITY GROUP LLC,B CAFE,Unenclosed Sidewalk Cafe,1312628,"566 AMSTERDAM AVE, NEW YORK, NY 10024",566,AMSTERDAM AVE,NEW YORK,NY,10024,Manhattan,,(646) 245-3459,108
601,"JOY BURGER BAR, INC.",,Unenclosed Sidewalk Cafe,1386368,"361 AVENUE OF THE AMERICAS, NEW YORK, NY 10014",361,AVENUE OF THE AMERICAS,NEW YORK,NY,10014,Manhattan,,(212) 414-9500,296
602,JPD RESTAURANT LLC,PIG N' WHISTLE,Unenclosed Sidewalk Cafe,1368233,"202 WEST   36 STREET, NEW YORK, NY 10018",202,WEST   36 STREET,NEW YORK,NY,10018,Manhattan,,(212) 239-4820,47
603,JPS VENTURES INC.,ST. JAMES CAFE,Enclosed Sidewalk Cafe,1283643,"441 AMSTERDAM AVE, NEW YORK, NY 10024",441,AMSTERDAM AVE,NEW YORK,NY,10024,Manhattan,,(212) -,224
604,"JPS VENTURES, INC",ST. JAMES GATE,Unenclosed Sidewalk Cafe,1283635,"441 AMSTERDAM AVENUE, NEW YORK, NY 10024",441,AMSTERDAM AVENUE,NEW YORK,NY,10024,Manhattan,,(212) 362-6202,120
605,JRC GROUP INC,,Enclosed Sidewalk Cafe,1245357,"1501 2 AVENUE, NEW YORK, NY 10075",1501,   2 AVENUE,NEW YORK,NY,10075,Manhattan,,(212) 327-0582,323
606,JTN RIVIERA CORP,BISTRO 61,Unenclosed Sidewalk Cafe,1310081,"1113 FIRST AVENUE, NEW YORK, NY 10065",1113,FIRST AVENUE,NEW YORK,NY,10065,Manhattan,,(212) 223-6220,169
607,JUDEX ENTERPRISES INC.,PANGEA,Unenclosed Sidewalk Cafe,954269,"178 2 AVENUE, NEW YORK, NY 10003",178,   2 AVENUE,NEW YORK,NY,10003,Manhattan,,(212) 995-0900,237
608,"JVC PIZZERIA, INC",IL FORNAIO,Unenclosed Sidewalk Cafe,1143227,"132A MULBERRY STREET, NEW YORK, NY 10013",132A,MULBERRY STREET,NEW YORK,NY,10013,Manhattan,,(212) 226-8306,102
609,K.I.D. RESTAURANT CORP.,MANATUS RESTAURANT,Unenclosed Sidewalk Cafe,885879,"340 BLEECKER STREET, NEW YORK, NY 10014",340,BLEECKER STREET,NEW YORK,NY,10014,Manhattan,,(212) 989-7042,160
610,K.K.& D. OF 79TH ST. REST. CORP.,,Unenclosed Sidewalk Cafe,1171759,"1022 MADISON AVENUE, NEW YORK, NY 10075",1022,MADISON AVENUE,NEW YORK,NY,10075,Manhattan,,(212) 535-4115,163
611,KANG YUE USA CORP.,MOCA ASIAN BISTRO,Unenclosed Sidewalk Cafe,1312716,"107-18 70 ROAD, FOREST HILLS, NY 11375",107-18,  70 ROAD,FOREST HILLS,NY,11375,Queens,,(718) 263-3333,184
612,KARABINIS DINER CORP,OASIS DINER,Enclosed Sidewalk Cafe,1352645,"2132 FLATBUSH AVE, BROOKLYN, NY 11234",2132,FLATBUSH AVE,BROOKLYN,NY,11234,Brooklyn,,(718) 258-0043,473
613,KARAVAS FOOD LTD,KARAVAS PLACE TAVERN,Enclosed Sidewalk Cafe,1001562,"162 W 4TH ST, NY, NY 10014",162,W 4TH ST,NY,NY,10014,Manhattan,,(212) 243-8007,236
614,KATOUNA INC,PERFECTO PIZZERIA,Unenclosed Sidewalk Cafe,1278350,"2479 BROADWAY, NEW YORK, NY 10025",2479,BROADWAY,NEW YORK,NY,10025,Manhattan,,(212) 721-6130,400
615,KAZO INC,PIERRE LOTI,Unenclosed Sidewalk Cafe,1422033,"300 1/2 E 52ND ST, NEW YORK, NY 10022",300 1/2,E 52ND ST,NEW YORK,NY,10022,Manhattan,,(212) 755-5684,230
616,KEDROS LTD,,Enclosed Sidewalk Cafe,1188845,"1505 THIRD AVENUE, NEW YORK, NY 10028",1505,THIRD AVENUE,NEW YORK,NY,10028,Manhattan,,(212) 249-6505,233
617,KEM REST INC,DON GIOVANNI,Unenclosed Sidewalk Cafe,885830,"214 10 AVENUE, NEW YORK, NY 10011",214,  10 AVENUE,NEW YORK,NY,10011,Manhattan,,(212) 242-9054,390
618,KHYBER PASS CORP,BAMIYAN RESTAURANT,Enclosed Sidewalk Cafe,907217,"358 THIRD AVENUE, NEW YORK, NY 10016",358,THIRD AVENUE,NEW YORK,NY,10016,Manhattan,,(212) 481-3232,381
619,KIEFFER & NORELL LLC,PICNIC MARKET CAFE,Unenclosed Sidewalk Cafe,1189644,"2665 BROADWAY, NEW YORK, NY 10025",2665,BROADWAY,NEW YORK,NY,10025,Manhattan,,(914) 533-7176,235
620,KIKU ASIAN BISTRO CORP.,,Unenclosed Sidewalk Cafe,1421584,"2 LINCOLN PL, BROOKLYN, NY 11217",2,LINCOLN PL,BROOKLYN,NY,11217,Brooklyn,,(718) 638-3366,305
621,"KIMAN COFFEE SHOP,INC.",BIG NICK'S BURGER JOINT & PIZZA JOINT,Unenclosed Sidewalk Cafe,955758,"2173-75 BROADWAY, NEW YORK, NY 10024",2173-75,BROADWAY,NEW YORK,NY,10024,Manhattan,,(212) 513-1988,234
622,KING LUKE INC,MARLOW AND SONS,Unenclosed Sidewalk Cafe,1163028,"81 BROADWAY, BROOKLYN, NY 11249",81,BROADWAY,BROOKLYN,NY,11249,Brooklyn,,(718) 486-3077,199
623,KING SOLOMON NY INC,L'ABELLA PIZZERIA AND RESTAURANT,Enclosed Sidewalk Cafe,1413650,"69-26 MAIN STREET, FLUSHING, NY 11367",69-26,MAIN STREET,FLUSHING,NY,11367,Queens,,(718) 261-0196,508
624,"KITCHEN TABLE, INC",FRANK RESTAURANT,Unenclosed Sidewalk Cafe,1025932,"88 2 AVENUE, NEW YORK, NY 10003",88,   2 AVENUE,NEW YORK,NY,10003,Manhattan,,(212) 420-6562,187
625,KIWI'S HISTORICAL BUILDING LTD,HALLO BERLIN,Unenclosed Sidewalk Cafe,1198845,"626 10 AVENUE, NEW YORK, NY 10036",626,  10 AVENUE,NEW YORK,NY,10036,Manhattan,,(212) 977-1944,179
626,KMG GROUP LLC,MOLLY PITCHERS'S ALE HOUSE,Unenclosed Sidewalk Cafe,1254082,"1641 2 AVENUE, NEW YORK, NY 10028",1641,   2 AVENUE,NEW YORK,NY,10028,Manhattan,,(212) 249-3067,416
627,KRILIC ENTERPRISES INC.,BRICK CAFE,Unenclosed Sidewalk Cafe,1142044,"30-95 33 STREET, QUEENS, NY 11102",30-95,  33 STREET,QUEENS,NY,11102,Queens,,(718) 267-2735,498
628,"KRILIC ENTERPRISES, INC.",BRICK CAFE,Unenclosed Sidewalk Cafe,1103683,"3095 33RD ST, ASTORIA, NY 11102",3095, 33RD ST,ASTORIA,NY,11102,Queens,,(718) 267-2735,394
629,KRINIS RESTAURANT CORP,LYRIC RESTAURANT,Unenclosed Sidewalk Cafe,1420823,"283 3RD AVE, NEW YORK, NY 10010",283,   3RD AVE,NEW YORK,NY,10010,Manhattan,,(212) 213-2222,331
630,KY & YL INC,SPICE,Unenclosed Sidewalk Cafe,1430586,"104 2ND AVE, NEW YORK, NY 10003",104,2ND AVE,NEW YORK,NY,10003,Manhattan,,(212) 533-8900,205
631,L & J BRAZIL RESTAURANT INC,VIA BRAZIL,Unenclosed Sidewalk Cafe,1251386,"34 W 46TH ST, NEW YORK, NY 10036",34,W 46TH ST,NEW YORK,NY,10036,Manhattan,,(212) 643-9271,127
632,L PLUS L PRODUCTIONS LLC,OFRENDA,Unenclosed Sidewalk Cafe,1347094,"113 7TH AVE S, NEW YORK, NY 10014",113, 7TH AVE S,NEW YORK,NY,10014,Manhattan,,(646) 318-1847,207
633,L&D HOSPITALITY MANAGEMENT LLC,KINGS CLUB,Unenclosed Sidewalk Cafe,1381424,"5 KING STREET, NEW YORK, NY 10012",5,KING STREET,NEW YORK,NY,10012,Manhattan,,(917) 209-6177,628
634,"L&L FOODS OF FIRST AVENUE, LLC",MCDONALD'S RESTAURANT,Enclosed Sidewalk Cafe,1066226,"104 1ST AVE, NEW YORK, NY 10009",104,1ST AVE,NEW YORK,NY,10009,Manhattan,,(203) 656-3661,281
635,"L. SZECHUAN EAST, LTD",PIG HEAVEN RESTAURANT,Unenclosed Sidewalk Cafe,1013335,"1540 2 AVENUE, NEW YORK, NY 10028",1540,   2 AVENUE,NEW YORK,NY,10028,Manhattan,,(212) 744-4333,166
636,"L.E. GLOBE, LLC",CAFE D' ALSACE,Unenclosed Sidewalk Cafe,1214833,"1695 SECOND AVENUE, NEW YORK, NY 10128",1695,SECOND AVENUE,NEW YORK,NY,10128,Manhattan,A/K/A: 238 E 88TH STREET,(212) 722-5133,565
637,"L'ATRE ENTERPRISES, INC",,Unenclosed Sidewalk Cafe,1159486,"314 BLEECKER STREET, NEW YORK, NY 10014",314,BLEECKER STREET,NEW YORK,NY,10014,Manhattan,,(212) 675-9463,64
638,LA BOCA WINE BAR LLC,THE BODEGA,Unenclosed Sidewalk Cafe,1418171,"24 SAINT NICHOLAS AVE, BROOKLYN, NY 11237",24,SAINT NICHOLAS AVE,BROOKLYN,NY,11237,Brooklyn,,(646) 924-8488,270
639,"LA BOUCHERIE, INC.",LES HALLES,Unenclosed Sidewalk Cafe,1185970,"411-413 PARK AVENUE SOUTH, NEW YORK, NY 10016",411-413,PARK AVENUE SOUTH,NEW YORK,NY,10016,Manhattan,,(212) 679-4111,199
640,LA MELA RISTORANTE ITALIANO INC,LA MELA RISTORANTE,Unenclosed Sidewalk Cafe,1274929,"167-171 MULBERRY STREET, NEW YORK, NY 10013",167-171,MULBERRY STREET,NEW YORK,NY,10013,Manhattan,,(212) 431-9493,133
641,LA MERIDIANA 2 LTD.,NUMERO 28,Unenclosed Sidewalk Cafe,1323159,"176 2ND AVE, NEW YORK, NY 10003",176,   2ND AVE,NEW YORK,NY,10003,Manhattan,,(917) 865-9278,173
642,LA PALA LLC,,Unenclosed Sidewalk Cafe,1200156,"198 ALLEN STREET, NEW YORK, NY 10002",198,ALLEN STREET,NEW YORK,NY,10002,Manhattan,,(212) 475-1251,198
643,LA PASTA PRESTO GRILL INC.,FIGARO BISTRO GRILL,Unenclosed Sidewalk Cafe,1357151,"959 2 AVENUE, NEW YORK, NY 10022",959,   2 AVENUE,NEW YORK,NY,10022,Manhattan,,(212) 207-4795,84
644,LA RIPAILLE CORP,LA RIPAILLE RESTAURANT,Unenclosed Sidewalk Cafe,1010686,"605 HUDSON ST, NEW YORK, NY 10014",605,HUDSON ST,NEW YORK,NY,10014,Manhattan,,(212) 255-4406,129
645,"LA SCALA RESTAURANT, LLC",FIVE NAPKIN BURGER,Unenclosed Sidewalk Cafe,1277876,"630 9 AVENUE, NEW YORK, NY 10036",630,   9 AVENUE,NEW YORK,NY,10036,Manhattan,,(212) 333-23,455
646,LA VILLETTE LLC,LA VILLETTE,Unenclosed Sidewalk Cafe,1443856,"10 DOWNING ST, NEW YORK, NY 10014",10,DOWNING ST,NEW YORK,NY,10014,Manhattan,,(212) 255-0300,
647,LADL LLC.,JACK'S,Unenclosed Sidewalk Cafe,1226076,"80 UNIVERSITY PLACE, NEW YORK, NY 10003",80,UNIVERSITY PLACE,NEW YORK,NY,10003,Manhattan,,(212) 627-3706,288
648,"LAFAYETTE STREET PARTNERS, LLC",CHINATOWN BRASSERIE,Unenclosed Sidewalk Cafe,1219985,"380 LAFAYETTE STREET, NEW YORK, NY 10003",380,LAFAYETTE STREET,NEW YORK,NY,10003,Manhattan,,(212) 533-7000,962
649,LAMARCA INC,LAMARCA CHEESE SHOP,Enclosed Sidewalk Cafe,852766,"161 EAST   22 STREET, NEW YORK, NY 10010",161,EAST   22 STREET,NEW YORK,NY,10010,Manhattan,,(212) 673-7920,142
650,LARRY KEVIN K CORP,THE SNUG,Unenclosed Sidewalk Cafe,1277071,"751 9TH AVE, NEW YORK, NY 10019",751,9TH AVE,NEW YORK,NY,10019,Manhattan,,(646) 763-8924,60
651,LASAGNA RESTAURANT INC.,LASAGNA RESTAURANT,Unenclosed Sidewalk Cafe,1249445,"941 2 AVENUE, NEW YORK, NY 10022",941,   2 AVENUE,NEW YORK,NY,10022,Manhattan,,(212) 308-5853,353
652,LCN CAFE CORP.,THEATER CAFE,Unenclosed Sidewalk Cafe,1162474,"106-03 METROPOLITAN AVE, QUEENS, NY 11375",106-03,METROPOLITAN AVE,QUEENS,NY,11375,Queens,,(718) 261-0014,528
653,LE BASKET INC,,Unenclosed Sidewalk Cafe,1334388,"683 BROADWAY, NEW YORK, NY 10012",683,BROADWAY,NEW YORK,NY,10012,Manhattan,,(212) 420-9772,229
654,LE MAGNIFIQUE LLC,,Unenclosed Sidewalk Cafe,1362784,"138-140 EAST 73 STREET, NEW YORK, NY 10022",138-140,EAST 73 STREET,NEW YORK,NY,10022,Manhattan,A.K.A 1022 LEXINGTON AVENUE,(917) 945-3768,253
655,LE VIKING LLC,CHEZ LUCIENNE,Unenclosed Sidewalk Cafe,1310252,"308 LENOX AVENUE, NEW YORK, NY 10027",308,LENOX AVENUE,NEW YORK,NY,10027,Manhattan,,(212) 289-5555,337
656,LE-SE AMSTERDAM 732 RESTAURANT INC.,DIVE BAR,Unenclosed Sidewalk Cafe,1138270,"732 AMSTERDAM AVE, NEW YORK, NY 10025",732,AMSTERDAM AVE,NEW YORK,NY,10025,Manhattan,,(212) 749-4358,147
657,"LEAHLALA, LLC",ABILENE,Unenclosed Sidewalk Cafe,1221041,"442 COURT STREET, BROOKLYN, NY 11231",442,COURT STREET,BROOKLYN,NY,11231,Brooklyn,,(718) 522-6900,126
658,LEITRIM PUB INC,DJ REYNOLD'S,Unenclosed Sidewalk Cafe,1347910,"351 W 57TH ST, NEW YORK, NY 10019",351,W 57TH ST,NEW YORK,NY,10019,Manhattan,,(212) 245-2912,136
659,LEKKAS RESTAURANT CORPORATION,GREEK CORNER,Enclosed Sidewalk Cafe,920314,"322 SEVENTH AVENUE, NEW YORK, NY 10001",322,SEVENTH AVENUE,NEW YORK,NY,10001,Manhattan,,(212) 239-0760,159
660,LENNY'S 54TH STREET LLC,,Enclosed Sidewalk Cafe,1233427,"1024 SECOND AVENUE, NEW YORK, NY 10022",1024,SECOND AVENUE,NEW YORK,NY,10022,Manhattan,,(212) 355-5700,418
661,LENNY'S 74TH STREET LLC,LENNY'S,Unenclosed Sidewalk Cafe,1339241,"302 COLUMBUS AVENUE, NEW YORK, NY 10023",302,COLUMBUS AVENUE,NEW YORK,NY,10023,Manhattan,,(212) 580-8300,181
662,LENNY'S 77TH STREET LLC,,Unenclosed Sidewalk Cafe,1237547,"1481 SECOND AVENUE, NEW YORK, NY 10075",1481,SECOND AVENUE,NEW YORK,NY,10075,Manhattan,,(212) 760-2700,256
663,LENNY'S 77TH STREET LLC,LENNYS,Enclosed Sidewalk Cafe,1239318,"1481 2ND AVE, NEW YORK, NY 10075",1481,2ND AVE,NEW YORK,NY,10075,Manhattan,,(212) 760-2700,272
664,LENOX ROOM CORP,,Unenclosed Sidewalk Cafe,1136163,"1278 THIRD AVENUE, NEW YORK, NY 10021",1278,THIRD AVENUE,NEW YORK,NY,10021,Manhattan,,(212) 772-0404,85
665,LES BRASSEURS,LA MANGEOIRE,Unenclosed Sidewalk Cafe,1189247,"1008 2 AVENUE, NEW YORK, NY 10022",1008,   2 AVENUE,NEW YORK,NY,10022,Manhattan,,(212) 759-7086,213
666,"LETTA #1, LLC.",NICOLETTA,Unenclosed Sidewalk Cafe,1422450,"160 2ND AVE, NEW YORK, NY 10003",160,   2ND AVE,NEW YORK,NY,10003,Manhattan,,(347) 854-0150,349
667,LEX90 CORP,CORRADO BAKERY,Unenclosed Sidewalk Cafe,1259291,"1361 LEXINGTON AVENUE, NEW YORK, NY 10128",1361,LEXINGTON AVENUE,NEW YORK,NY,10128,Manhattan,,(212) 348-8943,158
668,LGR FIRST CORP,SIMONE ESSPRESSO & WINE BAR,Unenclosed Sidewalk Cafe,1142739,"134 1 AVENUE, NEW YORK, NY 10009",134,   1 AVENUE,NEW YORK,NY,10009,Manhattan,,(212) 982-6665,192
669,LIC SEAFOOD INC.,OFF THE HOOK,Unenclosed Sidewalk Cafe,1283835,"3210 36TH AVE, LIC, NY 11106",3210, 36TH AVE,LIC,NY,11106,Queens,,(718) 786-6015,123
670,LIGNORANTI LLC,OFICINA LATINA,Unenclosed Sidewalk Cafe,1421348,"24 PRINCE ST, NEW YORK, NY 10012",24,PRINCE ST,NEW YORK,NY,10012,Manhattan,,(646) 381-2555,29
671,LIRA OF NEW YORK INC,LUKE'S BAR & GRILL,Unenclosed Sidewalk Cafe,882869,"1394 3 AVENUE, NEW YORK, NY 10075",1394,   3 AVENUE,NEW YORK,NY,10075,Manhattan,,(212) 249-7070,98
672,LITTLE CUPCAKE CORP.,LITTLE CUPCAKE CORP BAKESHOP,Unenclosed Sidewalk Cafe,1220615,"9102 3RD AVE, BROOKLYN, NY 11209",9102, 3RD AVE,BROOKLYN,NY,11209,Brooklyn,,(718) 680-4127,123
673,LITTLE MOROCCO RESTAURANT CORP.,,Unenclosed Sidewalk Cafe,1261303,"24-39 STEINWAY STREET, QUEENS, NY 11103",24-39,STEINWAY STREET,QUEENS,NY,11103,Queens,,(718) 204-8118,420
674,LITTLE SIAM CORP,YUM YUM BANGKOK,Unenclosed Sidewalk Cafe,1277774,"658 9TH AVE, NEW YORK, NY 10036",658,9TH AVE,NEW YORK,NY,10036,Manhattan,,(212) 956-0639,219
675,LIVING BREAD LLC,CILANTRO,Unenclosed Sidewalk Cafe,1095967,"1321 1 AVENUE, NEW YORK, NY 10021",1321,   1 AVENUE,NEW YORK,NY,10021,Manhattan,,(212) 722-4242,360
676,LJ202 LLC,BOCCA DI BACCO,Unenclosed Sidewalk Cafe,1384716,"1496 2 AVENUE, NEW YORK, NY 10075",1496,   2 AVENUE,NEW YORK,NY,10075,Manhattan,,(212) 779-1700,481
677,LLB INC.,PASCALOU,Unenclosed Sidewalk Cafe,1197788,"1308 MADISON AVENUE, NEW YORK, NY 10128",1308,MADISON AVENUE,NEW YORK,NY,10128,Manhattan,,(212) 534-7522,65
678,"LNV BROADWAY, LLC",MARIA BONITA,Enclosed Sidewalk Cafe,1435387,"2672 BROADWAY, NEW YORK, NY 10025",2672,BROADWAY,NEW YORK,NY,10025,Manhattan,,(212) 866-2920,600
679,"LOCO 111, INC.",SAN LOCO,Unenclosed Sidewalk Cafe,1229855,"111 STANTON ST, NEW YORK, NY 10002",111,STANTON ST,NEW YORK,NY,10002,Manhattan,,(212) 253-9671,92
680,LOS CUATES LLC,ROSARITO RESTAURANT,Unenclosed Sidewalk Cafe,1418335,"168-170 WYTHE AVE, BROOKLYN, NY 11211",168-170,WYTHE AVE,BROOKLYN,NY,11211,Brooklyn,,(718) ???-????,485
681,"LOS POLLITOS III, INC",LA STALLA RESTAURANT,Unenclosed Sidewalk Cafe,1222976,"499 MYRTLE AVE, BROOKLYN, NY 11205",499,MYRTLE AVE,BROOKLYN,NY,11205,Brooklyn,,(718) 636-6125,348
682,LOUYA CORP,JACQUE'S BISTRO,Unenclosed Sidewalk Cafe,1173625,"204-206 EAST   85 STREET, NEW YORK, NY 10028",204-206,EAST   85 STREET,NEW YORK,NY,10028,Manhattan,,(212) 327-2272,260
683,LT & LT LLC,VIET CAFE,Unenclosed Sidewalk Cafe,1424385,"345 GREENWICH ST, NEW YORK, NY 10013",345,GREENWICH ST,NEW YORK,NY,10013,Manhattan,,(212) 431-5888,177
