Name,Location,Type
Pelham Fritz,18 Mount Morris Park West,Recreation Centers
Greenbelt Recreation Center,"Brielle Avenue (between Walcott and Rockland avenues, across from Sea View Hospital)",Recreation Centers
West Bronx (Community Center),1527 Jessup Avenue,Recreation Centers
Hunts Point,765 Manida Street,Recreation Centers
Det. Keith L. Williams (Field House),106-16 173rd Street between 106th and 107th avenues,Recreation Centers
Playground for All Children (Field House),111-01 Corona Avenue,Recreation Centers
Al Oerter Recreation Center,131-40 Fowler Avenue,Recreation Centers
Flushing Meadows Corona Park Pool & Rink,Avery Avenue and 131 Street,Recreation Centers
Claremont,170th Street and Clay Avenue,Pools
Crotona,173rd Street and Fulton Avenue,Pools
Haffen,Ely and Burke Avenues,Pools
Mapes,E. 180th Street between Mapes & Prospect Avenues,Pools
Mullaly,E. 164th St. bet. Jerome & River Aves.,Pools
Van Cortlandt,W. 242nd St. and Broadway,Pools
St. Mary's,St. Ann's Avenue and E. 145th Street,Pools
Betsy Head,"Boyland, Livonia and Dumont Avenues",Pools
Bushwick,"Humboldt Street, Flushing & Bushwick Avenues",Pools
Commodore Barry,"Flushing and Park Avenues, Navy and North Elliot Streets",Pools
Douglas and DeGraw,Third Avenue and Nevins Street,Pools
Howard,"Glenmore and Mother Gaston Blvd., East New York Avenue",Pools
Kosciusko,Kosciusko between Marcy and Dekalb Avenues,Pools
Red Hook,Bay and Henry Streets,Pools
Sunset Park,Seventh Avenue between 41st and 44th Streets,Pools
Brownsville,Linden and Mother Gaston Blvds. and Christopher Avenue B077,Pools
Metropolitan,Bedford and Metropolitan Avenues,Pools
St. John's,"Prospect Place, between Troy and Schenectady Avenues",Pools
Asser Levy,Asser Levy Place and E. 23rd Street,Pools
Tony Dapolito,Clarkson St. and Seventh Ave. South,Pools
Dry Dock,E. 10th St. between Aves. C and D,Pools
Hamilton Fish,Pitt Street and Houston Street,Pools
Highbridge,Amsterdam Ave. and W. 173rd Street,Pools
Jackie Robinson,Bradhurst Avenue and W. 146th Street,Pools
John Jay,East of York Avenue on 77th St.,Pools
Lasker,110th Street & Lenox Avenue,Pools
Marcus Garvey,124th Street and Fifth Avenue,Pools
Sheltering Arms,W. 129th Street and Amsterdam Ave.,Pools
Thomas Jefferson,E. 112th Street and First Avenue,Pools
Wagner,E. 124th Street between First and Second Avenues,Pools
Asser Levy,Asser Levy Place and E. 23rd Street,Pools
Chelsea,West 25th St. between 9th & 10th Aves,Pools
Hansborough,134th St. between Fifth & Lenox Aves.,Pools
Recreation Center 54,E. 54th St. bet. First and Second Aves.,Pools
Frederick Douglass,Amsterdam Ave. between 100th & 102nd Streets,Pools
Thompson Street,Thompson St. between Spring & Prince Streets,Pools
Astoria,19th Street and 23rd Drive,Pools
Fisher,99th Street and 32nd Avenue,Pools
Liberty,173rd Street and 106th Avenue,Pools
Fort Totten,338 Story Avenue,Pools
Roy Wilkins,177th Street and Baisley Boulevard,Pools
Faber,Faber Street and Richmond Terrace,Pools
Lyons,Pier 6 and Victory Boulevard,Pools
Tottenville,Hylan Boulevard and Joline Avenue,Pools
West Brighton,Henderson Avenue between Broadway and Chappel Streets,Pools
Flushing Meadows Corona Park Pool & Rink,Avery Avenue and 131 Street,Pools
Flushing Meadows Corona Park Pool & Rink,Avery Avenue and 131 Street,Pools
Floating Pool,Tiffany Street & Viele Avenue ,Pools
