Building Address,Building Name,Building Park,Submarket Name,Submarket Cluster,County Name,PropertyType,Building Class,Building Status,Year Built,Year Renovated,Number Of Stories,Last Sale Price,Last Sale Date,For Sale Status,For Sale Price,Land Area (AC),Rentable Building Area,Typical Floor Size,Number Of Elevators,Core Factor,Percent Leased,Average Weighted Rent,Services,Total New Space (SF),Total Relet Space (SF),Total Sublet Space (SF),Total Vacant Avail Relet Space (SF),Total Vacant Avail Sublet Space (SF),Max Building Contiguous Space,Max Floor Contiguous Space,Total Available Space (SF),Amenities,Zoning,Number Of Parking Spaces,Parking Ratio,Building Operating Expenses,Building Tax Expenses,Location 1
1 Times Sq,1 Times Square,,Times Square,Midtown,Manhattan,Office,B,Existing,1904,1967,25,110000000,06/26/1993,N,,0.1904,117000,5950,4,,100,-,,,,,,,,,,"Metro/Subway, On Site Management, Property Manager on Site, Signage","C6-7, New York",,,"2011 Tax @ $21.10/sf; 2011 Ops @ $14.82/sf, 2010 Est Ops @ $13.99/sf","2011 Tax @ $21.10/sf; 2011 Ops @ $14.82/sf, 2010 Est Ops @ $13.99/sf","1 Times Sq
New York, NY 10036
(40.75656445024312, -73.98617777974034)"
3 Times Sq,The Reuters Bldg,,Times Square,Midtown,Manhattan,Office,A,Existing,2001,,32,,,N,,0.6802,855000,30598,0,,100,-,,,,,,,,,,"Bus Line, LEED Registered, Metro/Subway, Signage",C6-7,,,"2010 Tax @ $0.35/sf, 2011 Est Tax @ $17.35/sf; 2011 Est Ops @ $14.42/sf","2010 Tax @ $0.35/sf, 2011 Est Tax @ $17.35/sf; 2011 Est Ops @ $14.42/sf","3 Times Sq
New York, NY 10036
(40.75660671837689, -73.98627922326138)"
5 Times Sq,Five Times Square,,Times Square,Midtown,Manhattan,Office,A,Existing,2002,,37,1280000000,11/19/2002,N,,0.6,1101779,29778,18,,100,58,Sublet - Plus Electric,,0,95003,0,95003,95003,31675,95003,"Bus Line, Corner Lot, Metro/Subway",C6-7,,,2008 Combined Tax/Ops @ $18.77/sf; 2010 Est Ops @ $16.03/sf,2008 Combined Tax/Ops @ $18.77/sf; 2010 Est Ops @ $16.03/sf,"5 Times Sq
New York, NY 10036
(40.75664898651065, -73.98638066678241)"
7 Times Sq,Times Square Tower,,Times Square,Midtown,Manhattan,Office,A,Existing,2004,,48,,,N,,0.5153,1238797,25808,26,,98.11,74.41,Direct - Plus Electric,,29210,17584,23437,17584,17584,17584,46794,"Bus Line, Corner Lot, Energy Star Labeled, LEED Registered, Metro/Subway",NZS,,,2011 Tax @ $13.85/sf; 2011 Est Ops @ $13.38/sf,2011 Tax @ $13.85/sf; 2011 Est Ops @ $13.38/sf,"7 Times Sq
New York, NY 10036
(40.756691254649255, -73.98648211031504)"
Two Times Square,,,Times Square,Midtown,Manhattan,Retail,,Existing,1991,,30,,,N,,0.3199,30000,1000,0,,100,-,,,,,,,,,,,,,,,,"Two Times Square
New York, NY 10036
(40.756612485560694, -73.98614289812899)"
213 W 40th St,,,Times Square,Midtown,Manhattan,Office,C,Existing,1910,,6,2800000,08/01/1996,N,,0.0574,14000,2500,0,,100,Negotiable,Direct - Plus Electric,,1700,0,0,0,1700,1700,1700,24/7 Building Access,"M1-6, Manhattan",,,"2011 Tax @ $5.34/sf; 2011 Ops @ $5.13/sf, 2010 Est Ops @ $7.05/sf","2011 Tax @ $5.34/sf; 2011 Ops @ $5.13/sf, 2010 Est Ops @ $7.05/sf","213 40th St
New York, NY 10036
(40.5930924427657, -73.9909658652445)"
215 W 40th St,,,Times Square,Midtown,Manhattan,Office,C,Existing,1924,,14,25000000,01/16/2002,N,,0.112,65186,4938,3,,100,Negotiable,Direct - Plus Electric,,0,2000,0,2000,2000,2000,2000,,"M1-6,Manhattan,(L1)",,,"2011 Tax @ $7.05/sf; 2011 Ops @ $8.25/sf, 2010 Est Ops @ $8.82/sf","2011 Tax @ $7.05/sf; 2011 Ops @ $8.25/sf, 2010 Est Ops @ $8.82/sf","215 40th St
New York, NY 10036
(40.59308868559697, -73.99096962241323)"
230 W 41st St,The New Herald Tribune Bldg,,Times Square,Midtown,Manhattan,Office,B,Existing,1923,2002,20,59990000,07/13/2000,N,,0.6428,302000,26500,8,,100,Negotiable,Direct - Plus Electric,,37248,7899,0,7899,13340,9009,45147,On Site Management,"M1-6, New York",,,"2011 Tax @ $6.44/sf; 2011 Ops @ $17.36/sf, 2010 Est Ops @ $16.12/sf","2011 Tax @ $6.44/sf; 2011 Ops @ $17.36/sf, 2010 Est Ops @ $16.12/sf","230 41st St
New York, NY 10036
(40.755729396383664, -73.98835789668838)"
120 W 42nd St,,,Penn Plaza/Garment,Midtown,Manhattan,Office,C,Existing,1912,,6,12375000,06/05/2002,N,,0.0567,75269,12544,1,,100,Negotiable,,,75219,0,0,0,63297,27363,75219,,"C6-7, Manhattan (O1)",,,2008 Tax @ $1.08/sf,2008 Tax @ $1.08/sf,"120 42nd St
New York, NY 10036
(40.75533024246631, -73.98533930599118)"
218-220 W 42nd St,Candler Tower,42nd Street Retail Shops,Times Square,Midtown,Manhattan,Office,B,Existing,1921,,25,208000000,06/20/2002,N,,0.3482,227685,11833,8,,99.03,Negotiable,,,2200,39190,2200,0,23266,11833,41390,"24/7 Building Access, Balconies, Concierge, Energy Star Labeled","C6-7, New York, O3",,,"2010 Tax @ $10.66/sf, 2011 Est Tax @ $13.81/sf; 2000 Ops @ $4.24/sf, 2011 Est Ops @ $21.83/sf","2010 Tax @ $10.66/sf, 2011 Est Tax @ $13.81/sf; 2000 Ops @ $4.24/sf, 2011 Est Ops @ $21.83/sf","218 220 W 42nd St
New York, NY 10036
(40.75934682719435, -73.989860554421)"
243 W 42nd St,E Walk,E Walk,Times Square,Midtown,Manhattan,Retail (Theme/Festival Center),,Existing,2000,,4,,,N,,1.0044,161000,43750,0,,100,Negotiable,,,2509,0,0,0,2509,2509,2509,"Bus Line, Enclosed Mall, Metro/Subway, Mixed Use",,,,"2011 Est Tax @ $25.41/sf; 2011 Ops @ $20.57/sf, 2010 Est Ops @ $24.82/sf","2011 Est Tax @ $25.41/sf; 2011 Ops @ $20.57/sf, 2010 Est Ops @ $24.82/sf","243 42nd St
New York, NY 10036
(40.7565888124199, -73.98816954068609)"
229 W 43rd St,The Times Square Building,,Times Square,Midtown,Manhattan,Office,A,Existing,1913,2008,16,160000000,06/28/2007,N,,1.46,789826,49364,11,,34.44,Negotiable,,,517806,0,517806,0,477889,64040,517806,"Bus Line, Metro/Subway","C6-5, New York (O9)",,,"2011 Tax @ $9.02/sf; 2011 Ops @ $15.38/sf, 2010 Est Ops @ $9.43/sf","2011 Tax @ $9.02/sf; 2011 Ops @ $15.38/sf, 2010 Est Ops @ $9.43/sf","229 43rd St
New York, NY 10036
(40.75708489676276, -73.98727767505787)"
145 W 45th St,,,Times Square,Midtown,Manhattan,Office,B,Existing,1920,,12,12600000,12/07/1995,N,,0.1581,81600,6800,3,,100,Negotiable,,,2106,0,0,0,2106,2106,2106,"24/7 Building Access, Restaurant, Security System","C655, Manhattan",,,"2011 Tax @ $7.30/sf; 2011 Ops @ $10.28/sf, 2010 Est Ops @ $15.76/sf","2011 Tax @ $7.30/sf; 2011 Ops @ $10.28/sf, 2010 Est Ops @ $15.76/sf","145 45th St
New York, NY 10036
(40.75762643183614, -73.9847007261664)"
151 W 46th St,,,Times Square,Midtown,Manhattan,Office,C,Existing,1927,,16,10675000,03/14/1997,N,,0.1148,63162,5000,3,,96.04,Negotiable,,,2500,0,2500,0,2500,2500,2500,,"C6-5.5, New York",,,"2010 Tax @ $7.21/sf, 2011 Est Tax @ $7.65/sf; 2007 Ops @ $18.65/sf, 2011 Est Ops @ $7.81/sf","2010 Tax @ $7.21/sf, 2011 Est Tax @ $7.65/sf; 2007 Ops @ $18.65/sf, 2011 Est Ops @ $7.81/sf","151 46th St
New York, NY 10036
(40.75821219382584, -73.98419909745314)"
114 W 47th St,U.S. Trust Bldg,,Times Square,Midtown,Manhattan,Office,A,Existing,1989,,26,,,N,,0.5739,507456,22727,12,,100,Negotiable,,,0,7747,0,0,7747,7747,7747,"Energy Star Labeled, On Site Management, Property Manager on Site",C6-5.5,,,"2011 Tax @ $16.46/sf; 2007 Ops @ $35.39/sf, 2011 Est Ops @ $20.61/sf","2011 Tax @ $16.46/sf; 2007 Ops @ $35.39/sf, 2011 Est Ops @ $20.61/sf","114 47th St
New York, NY 10036
(40.75844601755347, -73.98280514830776)"
240 W 52nd St,,,Columbus Circle,Midtown,Manhattan,Retail,,Existing,1920,,5,,,N,,0.0918,14300,2860,0,,0,Negotiable,,,14300,0,14300,0,14300,4000,14300,,C6-5,,,2008 Tax @ $4.94/sf,2008 Tax @ $4.94/sf,"240 52nd St
New York, NY 10036
(40.6474086184609, -74.01720917378775)"
1500 Broadway,Times Square Plaza,,Times Square,Midtown,Manhattan,Office,A,Existing,1974,,33,,,N,,0.5825,501358,15193,10,,83.53,Negotiable,,,96609,30628,82589,0,38550,14020,127237,"24/7 Building Access, Bus Line, Concierge, Metro/Subway, On Site Management, Property Manager on Site, Restaurant",C6-7T,,,2011 Tax @ $16.50/sf; 2011 Est Ops @ $20.86/sf,2011 Tax @ $16.50/sf; 2011 Est Ops @ $20.86/sf,"1500 Broadway
New York, NY 10036
(40.75687220400221, -73.98599774151177)"
1501 Broadway,Paramount Bldg,,Times Square,Midtown,Manhattan,Office,B,Existing,1926,2006,31,,,N,,0.9504,638566,20598,13,,100,Negotiable,Direct - Plus Electric,,3956,4000,0,0,4000,4000,7956,"24/7 Building Access, Banking, Food Service, On Site Management, Property Manager on Site, Restaurant",C6-7.5,,,"2011 Tax @ $8.26/sf, 2010 Est Tax @ $8.35/sf; 2011 Ops @ $20.08/sf","2011 Tax @ $8.26/sf, 2010 Est Tax @ $8.35/sf; 2011 Ops @ $20.08/sf","1501 Broadway
New York, NY 10036
(40.75664722311285, -73.98607810294877)"
1540 Broadway,,1540 Broadway,Times Square,Midtown,Manhattan,Office,A,Existing,1989,,44,254800000,11/07/2006,N,,0.888,1172383,26337,17,,94.19,Negotiable,,,108245,27000,68174,27000,37257,27000,135245,"24/7 Building Access, Bus Line, Concierge, Food Service, Metro/Subway, Signage","C6-7T, New York",,,2001 Tax @ $6.79/sf; 2009 Ops @ $20.23/sf,2001 Tax @ $6.79/sf; 2009 Ops @ $20.23/sf,"1540 Broadway
New York, NY 10036
(40.75821098926468, -73.98527751716185)"
1585 Broadway,Morgan Stanley Bldg,,Times Square,Midtown,Manhattan,Office,A,Existing,1990,,41,,,N,,1.31,1350000,57062,26,,99.95,Negotiable,,,626,0,626,0,626,626,626,"Bus Line, Commuter Rail, Concierge, Fitness Center, Metro/Subway, On Site Management, Property Manager on Site",C6-7.5,,,,,"1585 Broadway
New York, NY 10036
(40.75992989890182, -73.9848915754157)"
1604-1610 Broadway,,,Times Square,Midtown,Manhattan,Retail,,Existing,1912,2001,3,21000000,11/30/2001,N,,1.5709,29875,9958,0,,100,Negotiable,,,20978,0,0,0,20978,8865,20978,,"M1-6, New York, L1",,,2008 Combined Tax/Ops @ $137.30/sf; 2007 Combined Est Tax/Ops @ $101.72/sf,2008 Combined Tax/Ops @ $137.30/sf; 2007 Combined Est Tax/Ops @ $101.72/sf,"1604 1610
New York, NY 10036
(40.75934682719435, -73.989860554421)"
1675 Broadway,,,Columbus Circle,Midtown,Manhattan,Office,A,Existing,1989,,35,,,N,,0.5814,761092,21745,18,,100,Negotiable,,,0,3750,0,0,3750,2350,3750,"Atrium, Banking, Concierge",C6-7.5,,0.08,"2011 Tax @ $14.48/sf; 2007 Ops @ $31.78/sf, 2011 Est Ops @ $13.70/sf","2011 Tax @ $14.48/sf; 2007 Ops @ $31.78/sf, 2011 Est Ops @ $13.70/sf","1675 Broadway
New York, NY 10036
(40.760096273839764, -73.98486230863858)"
620 Eighth Ave,New York Times,,Times Square,Midtown,Manhattan,Office,A,Existing,2007,,52,225000000,03/05/2005,N,,1.8365,1500000,33143,28,,100,Negotiable,,,0,93985,0,30917,63068,31534,93985,"Atrium, Bus Line, Conferencing Facility, Metro/Subway, On Site Management, Security System, Signage",M1-6,,,2009 Est Ops @ $22.50/sf,2009 Est Ops @ $22.50/sf,"620 Eighth Ave
New York, NY 10036
(40.756567089116984, -73.99022537861946)"
701 Seventh Ave,,,Times Square,Midtown,Manhattan,Office,C,Existing,1910,,10,,,N,,0.3116,112000,11200,1,,81.61,Negotiable,Direct - Plus Electric,,20600,0,20600,0,6437,6437,20600,,C6-7T,,,"2011 Tax @ $7.32/sf; 2011 Ops @ $8.58/sf, 2010 Est Ops @ $9.33/sf","2011 Tax @ $7.32/sf; 2011 Ops @ $8.58/sf, 2010 Est Ops @ $9.33/sf","701 Seventh Ave
New York, NY 10036
(40.75922547953279, -73.98457658628757)"
750 Seventh Ave,,,Times Square,Midtown,Manhattan,Office,A,Existing,1990,,36,485000000,05/03/2007,N,,0.598,591169,19194,11,,99.44,Negotiable,,,48349,14613,3329,14613,45020,17749,62962,"Concierge, Energy Star Labeled, Metro/Subway, Property Manager on Site","C67T, Manhattan",,,"2010 Tax @ $11.50/sf, 2011 Est Tax @ $11.60/sf; 2001 Ops @ $15.97/sf, 2011 Est Ops @ $14.94/sf","2010 Tax @ $11.50/sf, 2011 Est Tax @ $11.60/sf; 2001 Ops @ $15.97/sf, 2011 Est Ops @ $14.94/sf","750 Seventh Ave
New York, NY 10036
(40.759842914885056, -73.9842263035319)"
761-779 Seventh Ave,,,Columbus Circle,Midtown,Manhattan,Retail,,Existing,1986,,2,6500000,08/27/1992,N,,0.6916,4000,2000,0,,62.5,Negotiable,,,1500,0,1500,0,1500,1500,1500,,"C6-7, New York",,,,,"761 779 Seventh Ave
New York, NY 10036
(40.75934682719435, -73.989860554421)"
787 Seventh Ave,Equitable Building,,Columbus Circle,Midtown,Manhattan,Office,A,Existing,1985,,54,,,N,,1.8365,1743413,46900,30,,100,Negotiable,,,0,46306,0,46306,28677,28677,46306,"Atrium, Banking, Energy Star Labeled, Fitness Center, Metro/Subway, Restaurant, Security System",C6-6,,0.05,"2011 Tax @ $13.02/sf; 2010 Ops @ $21.36/sf, 2011 Est Ops @ $20.58/sf","2011 Tax @ $13.02/sf; 2010 Ops @ $21.36/sf, 2011 Est Ops @ $20.58/sf","787 Seventh Ave
New York, NY 10036
(40.75981723342805, -73.9841623585609)"
4 Times Sq,,,Times Square,Midtown,Manhattan,Office,A,Existing,1999,,48,,,N,,1.0514,1755000,31456,32,,97.42,Negotiable,,,45366,37281,45366,37281,45366,37281,82647,"Bus Line, Energy Star Labeled, Metro/Subway","NZS, C6-5.5",,,"2010 Tax @ $0.42/sf, 2011 Est Tax @ $0.30/sf; 2011 Est Ops @ $17.27/sf","2010 Tax @ $0.42/sf, 2011 Est Tax @ $0.30/sf; 2011 Est Ops @ $17.27/sf","4 Times Sq
New York, NY 10036
(40.75665475369446, -73.98624434165002)"
11 Times Sq,Eleven Times Square,,Times Square,Midtown,Manhattan,Office,A,Existing,2010,,40,,,N,,0.06,1111960,27727,0,24,38.090000000000003,Negotiable,,,688417,0,633417,0,353551,40856,688417,"24/7 Building Access, A/C, Atrium, Bus Line, Card Key Access, Commuter Rail, Concierge, Corner Lot, LEED Certified - Gold, LEED Registered, Mail Room, Metro/Subway, On Site Management, Property Manager on Site, Restaurant, Signage",C6-7,,,,,"11 Times Sq
New York, NY 10036
(40.756691254649255, -73.98648211031504)"
