"Borough, Block and Lot #",Facility Address,Natural Gas Utility (Con Edison or National Grid,Building Manager,Owner,Owner Address,DEP Boiler Application #,Deadline for phasing out #6 oil (i.e. data of next DEP permit renewal after July 1 2012),Boiler Model,Number of identical boilers,Boiler capacity (Gross BTU),Boiler Installation Date,Estimated retirement date of boiler (assuming 35 year average useful life),Is boiler dual fuel capable?,Age range of boiler,Burner Model,Primary Fuel,Total Estimated Cosumption - High Estimate (Gallons) ,Total Estimated Cosumption - Low Estimate (Gallons) ,Total Estimated Cosumption - High Estimate (MMBTUs) ,Total Estimated Cosumption - Low Estimate  (MMBTUs) ,Needs to comply with Greener Greater Buildings Laws?,Deadline for complying with Audit and Retrocommissioning Law,Building Type,City Council District,Total area of buildings on lot,Number of buildings on property (tax lot),Number of floors,Number of residential units,Number of total units,Year constructed,Condominium housing?,Cooperative housing?
1021740145,"15 SICKLES STREET
Manhattan, NY 10040
(40.86136443058655, -73.92781160621604)",Con Edison,15-27 ASSOCIATES,DUNMORE REALTY,"115 VERMILYIA AVE
MANHATTAN, NY 10034
(40.86637365428976, -73.92166024353565)",CA329187J,7/6/05,FEDERAL FST 125,1,5.3,1987,2022, ,21 to 26 years old,ICI MM-54 P,#4,57488,40241,8336,5835,Yes,2014,"Churches, Synagogues, etc.",10,51780,1,5,58,58,1926, , 
1005800060,"185 VARICK STREET
Manhattan, NY 10014
(40.72776655226841, -74.00547752571252)",Con Edison,185 VARICK REALTY CORP.,185 VARICK RLTY CORP,"185 VARICK STREET
MANHATTAN, NY 10014
(40.72776655226841, -74.00547752571252)",CA250492Y,7/6/05,FEDERAL  FST-125,1,5.3,1992,2027, ,16 to 20 years old,IND. COMB.  MMG-54 (P),#4,57488,40241,8336,5835,Yes,2020,Elevator Apartments,3,68476,1,6,0,7,1930, , 
1018950076,"417 RIVERSIDE DRIVE
Manhattan, NY 10025
(40.80736014272708, -73.96696808737175)",Con Edison,417 RIVERSIDE DRIVE INC,417 RIVERSIDE DRIVE,"300 55 STREET
MANHATTAN, NY 10019
(40.76543669712509, -73.98393298423655)",CA296495N,7/6/05,FEDERAL  FST-150,1,6.27,1995,2030,DUAL FUEL,11 to 15 years old,HEVE  DEG-63 (P),#4,57488,40241,8336,5835,Yes,2015,Elevator Apartments,9,69485,1,13,76,76,1910, ,YES
1001430021,"335 GREENWICH STREET
Manhattan, NY 10013
(40.7179135736929, -74.01054023969135)",Con Edison,HANOVER RIVER HOUSE INC.,HANOVER RIVER HOUSE I,"250 PARK AVE
NEW YORK, NY 10013
(40.7550285938421, -73.97571849071687)",CA176798Y,7/5/05,BEST 5C-125,1,5.3,1998,2033,DUAL FUEL,11 to 15 years old,INDUSTRIAL COMB. DEG-54 (P),#4,57488,40241,8336,5835,Yes,2013,Elevator Apartments,1,55800,1,13,28,29,1931, ,YES
1021390322,"736 173 STREET
Manhattan, NY 10032
(40.84568187096898, -73.94131256721298)",Con Edison,HOWARD SCHWADE,HAVEN AVENUE ASSOCIAT,"139 A HAVEN AVE
NY, NY 10032
(40.83693034905639, -73.94917852197119)",CA375494R,7/5/05,ROCKMILLS  MP-125,1,5.3,1994,2029, ,16 to 20 years old,INDUSTRIAL COMB. MMG-54 (P),#4,57488,40241,8336,5835,,,Walk-Up Apartments,10,45665,1,5,78,78,1922, , 
1000520021,"120 LIBERTY STREET
Manhattan, NY 10006
(40.70998155339447, -74.01233888374998)",Con Edison,SAMSON,120 LIBERTY ST. LLC,"97 77 QUEENS BLVD
REGO PARK, NY 11374
(40.72646491702238, -73.86148084756303)",CA011497P,7/7/05,FEDERAL  FST-125  (NEW),1,5.3,1997,2032,DUAL FUEL,11 to 15 years old,INDUSTRIAL COMB. MM-54S(EXIST),#4,57488,40241,8336,5835,Yes,2022,Walk-Up Apartments,1,57945,1,13,21,24,1900, ,YES
1019950016,"41 TIEMANN PLACE
Manhattan, NY 10027
(40.8154270613299, -73.95946774164742)",Con Edison,WILLIAM RIBBINS,FS 41-45 TIEMANN PLAC,,CA371687P,7/6/05,FEDERAL FST 125,1,5.6,1987,2022, ,21 to 26 years old,HEVE MMG 63 P,#4,57488,40241,8336,5835,Yes,2015,Elevator Apartments,9,57996,1,6,93,94,1907, , 
1011430037,"116 72 STREET
Manhattan, NY 10023
(40.77764757825492, -73.97942351061866)",Con Edison,116 WEST 72ND ST.RLTY  COUGAR  MGMT,"O'TOOL, JAMES R","3000 HEMPSTEAD TURNPIKE
LEVITOWN, NY 11756
(40.72469446179383, -73.52414192014447)",CA122398L,7/5/05,FEDERAL FST-125,1,5.3,1998,2033,DUAL FUEL,11 to 15 years old,INDUSTRIAL COMB. DEG 54 P,#6,57488,40241,8623,6036,Yes,2013,Walk-Up Apartments,6,50590,2,15,90,92,1918, ,YES
1008437501,"73 5 AVENUE
Manhattan, NY 10003
(40.736799336308195, -73.99303043978091)",Con Edison,73 5TH CONDOMINIUM,,"80 11th STREET
MANHATTAN, NY 10003
(40.732700651617776, -73.99196023750764)",CA108679R,7/4/05,FEDERAL FST - 125,1,5.32,1979,2014, ,31 to 35 years old,HEV-E DE-54-S,#6,57488,40241,8623,6036,Yes,2013,Elevator Apartments,2,52396,1,11,17,33,1907,YES, 
1021740194,"35 45 ARDEN STREET
Manhattan, NY 10040
(40.85809553188335, -73.92925548994884)",Con Edison,ARDEN REALTY  M.P. MGMT CO.,"ARDEN REALTY, L.L.C.","1274 49 STREET
BKLYN, NY 11219
(40.635345584477456, -73.99272455499542)",CA079096P,7/6/05,SPENCER 4FL 563A 40,1,5.25,1996,2031,DUAL FUEL,11 to 15 years old,HEVE MEG 54P,#6,57488,40241,8623,6036,Yes,2014,Elevator Apartments,10,52705,1,5,68,68,1930, , 
1007310050,"408 34 STREET
Manhattan, NY 10001
(40.75352240602829, -73.99669850820369)",Con Edison,GUTMAN MANAGEMENT,MADISON GARDENS APT C,"244 59TH ST
NEW YORK, NY 10019
(40.76733360458442, -73.98021964556622)",CA092091M,7/4/05,FEDERAL  FST-125,1,5.3,1991,2026, ,16 to 20 years old,IND.COMB.  DEG-54 (P),#6,57488,40241,8623,6036,,,Elevator Apartments,3,46500,1,7,68,68,1960, , 
1009070016,"225 26 STREET
Manhattan, NY 10010
(40.74037157304227, -73.98081873840576)",Con Edison,"KALED MANAGEMENT CORP,",STEVEN N. MILLER FAMI,"7001 BRUSH HOLLOW RD
WESTBURY, NY 11590
(40.77841790737546, -73.55890314606256)",CA138098X,7/5/05,NEW-FEDERAL FST-125,1,5.3,1998,2033,DUAL FUEL,11 to 15 years old,NEW-I.C. DEG-54 P,#6,57488,40241,8623,6036,Yes,2017,Elevator Apartments,2,54252,1,7,89,90,1963, , 
1009060042,"220 26 STREET
Manhattan, NY 10010
(40.74041150638671, -73.98105997461253)",Con Edison,KALEDMANAGEMENT CO.,STEVEN N. MILLER FAMI,"6991 BRUSH HOLLOW RD
WESTBURY, NY 11590
(40.7774295175292, -73.55923766794287)",CA295492N,7/5/05,FEDERAL FST 125,1,5.3,1992,2027, ,16 to 20 years old,I.C.I. DEG 54 P,#6,57488,40241,8623,6036,,,Factory & Industrial Buildings,2,48300,1,7,89,89,1963, , 
1018387502,"425 CENTRAL PARK
Manhattan, NY 10025
(40.7959402074944, -73.96162373215955)",Con Edison,LIPSHITZ AND VOGEL,,"55 FIFTH AVENUE
MANHATTAN, NY 10003
(40.73486579394523, -73.99443338214661)",CA138797P,7/5/05,FEDERAL  FST-125,1,5.3,1997,2032,DUAL FUEL,11 to 15 years old,INDUSTRIAL COMB.  DEG-54 (P),#6,57488,40241,8623,6036,,,Walk-Up Apartments,8,47796,1,7,61,61,1941, , 
1016030034,"69 97 STREET
Manhattan, NY 10029
(40.78769246391321, -73.953094771098)",Con Edison,MOUNT SINAI MEDICAL CTR.R.E. DEPT.,MSMC RESIDENTIAL REAL,"902 BROADWAY
NEW YORK, NY 10010
(40.73945233629462, -73.9896759686116)",CA210694X,7/4/05,FEDERAL  FST-150,1,6.3,1994,2029, ,16 to 20 years old,HEVE  DEG-63 (P),#6,57488,40241,8623,6036,,,Walk-Up Apartments,8,14862,1,6,24,24,1950, , 
1021340250,"15608 RIVERSIDE DRIVE
Manhattan, NY 10032
(40.83455208331995, -73.94901853449032)",Con Edison,NATIONAL MANAGEMENT,156-08 REALTY CO. LLC,"1920 MANHATTAN
NY 10116
(40.8110019996426, -73.95309800037239)",CA267888L,7/5/05,ROCKMILLS MP-150 SL,1,6.3,1988,2023, ,21 to 26 years old,HEVE DE-63-S,#6,57488,40241,8623,6036,Yes,2014,Walk-Up Apartments,7,71287,1,6,66,66,1920, , 
1021370014,"600 161 STREET
Manhattan, NY 10032
(40.83659589154521, -73.94319705452632)",Con Edison,SIMON MANAGEMENT,BROADWAY PORTFOLIO I,"750 LEXINGTON AVE
MANHATTAN, NY 10022
(40.76249398753119, -73.96802742600755)",CA279195R,#N/A,FEDERAL FST-125,1,5.3,1995,2030,DUAL FUEL,11 to 15 years old,I.C. MEG-54 (P),#6,57488,40241,8623,6036,Yes,2017,Walk-Up Apartments,10,105000,1,10,60,70,1920, , 
1012120005,"171 81 STREET
Manhattan, NY 10024
(40.78414916335874, -73.97656099503864)",Con Edison,STELLAR MANAGEMENT,AMWEST REALTY ASSOCIA,"156 WILLIAM STREET
N Y, NEW YORK 10038
(40.70999054661479, -74.0060256431043)",CB120500Y,7/6/05,EASTMOND ESP-125,1,5.25,2000,2035,DUAL FUEL,5 to 10 years old,IND.COMB.  DEG-54 P,#6,57488,40241,8623,6036,,,Loft Buildings,6,15535,1,5,20,22,1900, , 
1021410029,"615 172 STREET
Manhattan, NY 10032
(40.84386327389585, -73.93876623469446)",Con Edison,THE ASCONIA LLC,THE ASCONIA LLC,"172 90 HIGHLAND AVENUE
JAMAICA ESTATES, NY 11432
(40.71311535449007, -73.79282099978928)",CA072094J,7/7/05,ROCKMILLS  MP-125,1,5.3,1994,2029, ,16 to 20 years old,INDUSTRIAL COMB.  DEG-54 (P),#6,57488,40241,8623,6036,Yes,2021,Elevator Apartments,10,69906,1,6,72,78,1922, , 
1013370006,"307 44 STREET
Manhattan, NY 10017
(40.75106124603298, -73.97102405208422)",Con Edison,URBAN ASSOC./307 EAST 44TH ST. OWNERS,BEAUX ARTS II LLC C/O,"307 44TH STREET
MANHATTAN, NY 10019
(40.76761164715987, -73.99180550022362)",CA275987R,7/6/05,FEDERAL FST 200,1,8.4,1987,2022, ,21 to 26 years old,IND. COMB. DEG 84P,#6,57488,40241,8623,6036,Yes,2017,Walk-Up Apartments,4,186255,2,16,312,318,1929, , 
1010360028,"305 45 STREET
Manhattan, NY 10036
(40.75926232477645, -73.98854941904047)",Con Edison,WEMBLY MANAGEMENT CO INC.,"I BLDG CO., INC.","417 5th AVENUE
MANHATTAN, NY 10016
(40.7508150795849, -73.98282286232246)",CA066786J,7/5/05,FEDERAL  FST-125  SP,1,5.3,1986,2021, ,21 to 26 years old,IND. COMB. MEG-54  (P),#6,57488,40241,8623,6036,,,Elevator Apartments,3,44466,1,6,85,85,1914, , 
1015110053,"140 83 STREET
Manhattan, NY 10028
(40.77751066707153, -73.9570032161875)",Con Edison,140 EAST 83ST. TEN CORP./SEQUOIA EQU.,140 E 83RD TENANTS CO,"666 LEXINGTON AVE
MT KISCO, NY 10549
(41.18852879162557, -73.73094102078198)",CA144782N,7/5/05,FITZGIBBONS #DL-242,1,7.4,1982,2017, ,26 to 30 years old,INDUSTRIAL COMBUSTION #DEG-84-S,#6,57487,40241,8623,6036,Yes,2021,Elevator Apartments,5,91090,1,16,64,67,1961, ,YES
1011657503,"2109 BROADWAY
Manhattan, NY 10023
(40.77992630106403, -73.98178152708138)",Con Edison,ANSONIA CONDOMINIUM,TBB LLC,"2109 BROADWAY
MANHATTAN, NY 10023
(40.77992630106403, -73.98178152708138)",CA008981J,7/6/05,KEWANEE LM 885,1,8.84,1981,2016, ,26 to 30 years old,ICI DEG 84 (P),#6,57487,40241,8623,6036,Yes,2015,Elevator Apartments,6,448837,1,17,385,387,0,YES, 
1022290005,"4996 BROADWAY
Manhattan, NY 10034
(40.86845108817744, -73.91864751473747)",Con Edison,BROADWAY-INWOOD CORP.,BROADWAY-INWOOD CORP.,"369 62 STREET
MANHATTAN, NY 10065
(40.76176277392071, -73.96119971107252)",CA187485R,7/7/05,FEDERAL #FST-150,1,6.2,1985,2020, ,21 to 26 years old,INDUSTR COMBUST #DEG-63-P,#6,57487,40241,8623,6036,Yes,2019,Elevator Apartments,10,55015,1,5,51,56,1925, , 
1013510017,"337 58 STREET
Manhattan, NY 10022
(40.75953984219718, -73.96368093850938)",Con Edison,CITY PROP MGMT CO/14 FL,339 EAST 58TH STREET,"55 5 AVENUE
MANHATTAN, NY 10003
(40.73486579394523, -73.99443338214661)",CA146982R,7/5/05,ROCKMILL MP-150,1,6.3,1982,2017, ,26 to 30 years old,HEVE OIL DEG 63P,#6,57487,40241,8623,6036,Yes,2021,Walk-Up Apartments,5,77102,1,11,102,102,1930, ,YES
1009160009,"211 35 STREET
Manhattan, NY 10016
(40.74621129665538, -73.97716331507755)",Con Edison,MIDTOWN MANON APTS LTD.,MIDTOWN MANOR APTS LT,"211 35TH ST
RIVERDALE, NY 10463
(40.88187196282087, -73.91120748054078)",CA112182N,7/4/05,PACIFIC 9151 A,1,5.3,1982,2017, ,26 to 30 years old,INDUSTRIAL COMBUSTION DEG-54(S),#6,57487,40241,8623,6036,Yes,2016,Elevator Apartments,4,57834,1,10,76,76,1929, ,YES
1021420244,"635 174 STREET
Manhattan, NY 10033
(40.845468304805976, -73.9386871479386)",Con Edison,MIRIMER MGMT. CORP.,"PAUL MASLIN & CO., IN",,CA186680H,7/7/05,FEDERAL FST 125,1,5.6,1980,2015, ,26 to 30 years old,HEV-E-MEG 54-S,#6,57487,40241,8623,6036,Yes,2022,Elevator Apartments,10,76812,1,6,62,75,1930, , 
1018710061,"820 END AVENUE
Manhattan, NY 10025
(40.79685012763133, -73.96372581059762)",Con Edison,SAMUEL GERTEL,820 WEST END AVENUE,"808 END AVENUE
NEW YORK, NY 10025
(40.79685012763133, -73.96372581059762)",CA146382N,7/5/05,FEDERAL#FLW 1518,1,7,1982,2017, ,26 to 30 years old,INDUSTRIAL COMBUSTION #DEG-84-S,#6,57487,40241,8623,6036,Yes,2021,Factory & Industrial Buildings,9,107869,1,16,96,96,1926, , 
1018840043,"526 113 STREET
Manhattan, NY 10025
(40.80518462774972, -73.96324885424649)",Con Edison,TRUSTEES OF COLUMBIA,TRUSTEES OF COLUMBIA,"400 119 STREET
MANHATTAN, NY 10027
(40.808041658732606, -73.9580165248943)",CA035782K,7/5/05,FEDERAL #FST-150,1,6.4,1982,2017, ,26 to 30 years old,INDUSTRIAL COMB DEG-84P,#6,57487,40241,8623,6036,,,"Churches, Synagogues, etc.",9,39680,1,8,40,40,1910, , 
1008480043,"250 PARK AVENUE
Manhattan, NY 10003
(40.738333453173844, -73.9878407889095)",Con Edison,JEFFREYMANAGEMENT,"250 PARK,","370 7 AVE
MANHATTAN, NY 10001
(40.748787298958746, -73.99223903639512)",CA134379Y,7/6/05,FEDERAL FST-250,1,10.8,1979,2014, ,31 to 35 years old,HEV-E-OIL DE-105 S,#6,57330,40131,8600,6020,Yes,2018,Office Buildings,2,111569,1,11,0,13,1911, , 
1014130045,"170 79 STREET
Manhattan, NY 10021
(40.76920532766377, -73.959183941086)",Con Edison,170 E.79TH ST.OWNERS/INSIGNIA RESIDENTIAL,170 TENANTS CORP,"179 70TH STREET
MANHATTAN, NY 10038
(40.70935929189784, -74.00307186237649)",CA276481Y,7/4/05,FEDERAL  FST 80,1,2.9,1981,2016, ,26 to 30 years old,I.C.I. MEG-34S,#4,57232,40062,8299,5809,Yes,2013,Elevator Apartments,4,51988,1,15,26,26,1927, ,YES
1015210064,"118 93 STREET
Manhattan, NY 10128
(40.78429416047438, -73.9532867186702)",Con Edison,DAKA REALTY COMPANY,D    93,"118 93TH STREET
MANHATTAN, NY 10128
(40.781770000585084, -73.95062814906976)",CA187382Y,7/4/05,ROCKMILLS MP-78,1,4.2,1982,2017, ,26 to 30 years old,I.C.I  DEG 42,#4,57232,40062,8299,5809,,,Elevator Apartments,4,42857,1,9,38,38,1926, , 
1021700260,"374 WADSWORTH AVENUE
Manhattan, NY 10040
(40.85657104417038, -73.9297991079008)",Con Edison,RUBIN EQUITIES,BRUIN EQUITIES LLC,"42 BAYVIEW AVENUE
MANHASSET, NY 11030
(40.799023427515465, -73.70257640397784)",CA307883X,7/6/05,FEDERAL FST 90,1,3.1,1983,2018, ,26 to 30 years old,I.C.I. MEG 42 P,#6,57232,40062,8585,6009,Yes,2020,Elevator Apartments,10,50094,1,6,43,43,1912, , 
1008630044,"4 PARK AVENUE
Manhattan, NY 10016
(40.74650915812013, -73.98194367109245)",Con Edison,4- PARK AVE ASSOCIATES,4 PARK AVENUE ASSOCIA,"7 PENN PLAZA
MANHATTAN, NY 10001
(40.74956954963903, -73.99160848411982)",CA270296P,7/7/05,ROCKMILLS  MP-200,1,7.31,1996,2031,DUAL FUEL,11 to 15 years old,INDUSTRIAL COMB.  DEG-84 P,#6,57159,40011,8574,6002,Yes,2013,Walk-Up Apartments,2,341950,1,21,364,370,1913, , 
1008260069,"48 25 STREET
Manhattan, NY 10010
(40.74181064914643, -73.98632814403372)",Con Edison,48 WEST 25TH ST. LLCC/O BERNSTEIN,48 WEST 25TH ST. LLC,"150 30TH STREET
NEW YORK, NY 10001
(40.74821173286, -73.99182534826161)",CA438884H,7/6/05,FEDERAL FST-175,1,7.3,1984,2019, ,26 to 30 years old,IRON FIREMAN AGO 6-9.8-RIL,#6,56940,39858,8541,5979,Yes,2016,Elevator Apartments,3,97554,1,12,0,10,1920, , 
1021420130,"629 173 STREET
Manhattan, NY 10032
(40.8446975731806, -73.93877623474995)",Con Edison,BROADWAY TOWER OWNER LLC,BROADWAY TOWERS OWNER,"31 10 37 AVENUE
L I C, NY 11101
(40.74570244980828, -73.93866902925225)",CA035589Z,7/4/05,FEDERAL FST 350,1,15.79,1989,2024, ,21 to 26 years old,ICI DEG 145 P,#6,56900,39830,8535,5974,Yes,2022,Elevator Apartments,10,78425,1,12,74,78,1926, ,YES
1012830017,"400 MADISON AVENUE
Manhattan, NY 10017
(40.75626066502224, -73.97673472460997)",Con Edison,MACKLOWE MGT. C/O PROPERTY MANAGER,400 MADISON AVE LLC C,"767 FIFTH AVENUE
NY, NY 10153
(40.763610909778, -73.9734706260478)",CA229882N,7/5/05,ROCKMILLS MP-250,1,9.9,1982,2017, ,26 to 30 years old,HEV-E-OIL IND COMB INC DEG-105(P),#4,56880,39816,8248,5773,Yes,2013,Walk-Up Apartments,3,146191,1,20,0,70,1929, , 
1007940030,"625 AVENUE
Manhattan, NY 10011
(40.74471526669623, -74.00460000028977)",Con Edison,625 OWNERSHIP LLC,625 OWNERSHIP,"675 SIXTH AVENUE
MANHATTAN, NY 10010
(40.74190748543464, -73.99351607367669)",CB105508M,7/7/05,BEST 5B - 70 (NEW) ,2,2.3,2008,2043,DUAL FUEL,Fewer than 5 years old,ICI MMG - 28 (NEW),#4,56722,39705,8225,5757,Yes,2014,Asylums & Homes,3,134235,1,5,7,13,1904, , 
1007190029,"421 21 STREET
Manhattan, NY 10011
(40.74553179232071, -74.00297513809082)",Con Edison,HERON PROPERTIES MGMT.LTD.,MARHEF CORPORATION,"850 THIRD AVENUE
MANHATTAN, NY 10022
(40.756746298918074, -73.97007974159317)",CA030287K,7/6/05,FEDERAL FST -60,1,2.6,1987,2022, ,21 to 26 years old,INDUSTRIAL COMBUSTION MMG-28,#4,56722,39705,8225,5757,,,Elevator Apartments,3,26800,1,6,36,36,1950, , 
1014060069,"755 PARK AVENUE
Manhattan, NY 10021
(40.77105306910082, -73.96366572864426)",Con Edison,755 PK. AVE. CORP. % B . H. % S RESIDENTIAL,755 PARK AVE CORP - B,"770 LEXINGTON AVENUE
MANHATTAN, NY 10021
(40.76920532766377, -73.959183941086)",CB025108L,7/6/05,(EXISTING) ROCKMILLS  MP-250 #2 ONLY,1,8.3,2008,2043,DUAL FUEL,Fewer than 5 years old,(NEW)  INDUSTRIAL COMBUSTION  DEG-105,#4,56721,39705,8225,5757,Yes,2016,Educational Structures,4,130533,1,12,45,48,1914, ,YES
1012137504,"109 82 STREET
Manhattan, NY 10024
(40.78405880155127, -73.9743471905694)",Con Edison,WEST 82ND CONDOMINIOM,,"114 39TH STREET
MANHATTAN, NY 10016
(40.74984906410224, -73.9782655877672)",CA484185X,7/5/05,FEDERAL FST-100,1,4.2,1985,2020, ,21 to 26 years old,IND. COMB.  MMG-42 (P),#4,56700,39690,8222,5755,Yes,2013,Elevator Apartments,6,55037,3,5,58,66,1900,YES, 
1007687502,"140 7 AVENUE
Manhattan, NY 10011
(40.741349905776474, -73.9976439617912)",Con Edison,CHADWIN HOUSE CONDO C/O MGRE,,"1981 MARCUS AVE
LAKESUCCESS, NY 11042
(40.757798505692335, -73.69440156673153)",CA311094P,7/5/05,FEDERAL FST 200,1,8.19,1994,2029, ,16 to 20 years old,HEVE-DEG 84 P,#6,56700,39690,8505,5954,Yes,2018,Walk-Up Apartments,3,87047,1,7,109,140,1962,YES, 
1002210030,"200 HUDSON STREET
Manhattan, NY 10013
(40.722910512391394, -74.0080265437201)",Con Edison,PARISH OF TRINITY CHURCH,TRINITY CHURCH CP,"74 VARICK AVE
MANHATTAN, NY 10013
(40.7225588054117, -74.00626582509449)",CA082383P,7/5/05,ROCKMILLS MP 4-186,2,7.9,1983,2018, ,26 to 30 years old,ICI DEG-84P,#6,56700,39690,8505,5954,Yes,2021,Elevator Apartments,1,328415,1,12,0,35,1927, , 
1021770228,"1326 RIVERSIDE DRIVE
Manhattan, NY 10033
(40.850833369623444, -73.94271337224154)",Con Edison,BELLA VISTA REALTY CORP.,RIVERSIDE GARDENS REA,"999 GOULD STREET
NEWHYDE PARK, NY 11040
(40.742501155429714, -73.67411019502862)",CA166597Z,7/5/05,ROCKMILLS MP-150,1,6.23,1997,2032,DUAL FUEL,11 to 15 years old,INDUSTRIAL COMB. MMG-63P,#4,56575,39602,8203,5742,Yes,2017,Garages & Gasoline Stations,7,54370,1,6,63,63,1924, , 
1021770218,"1312 RIVERSIDE DRIVE
Manhattan, NY 10033
(40.85097313867332, -73.94260053233006)",Con Edison,BELLA VISTA REALTY CORP.,BELLA VISTA REALTY CO,"162 ATLANTIC BEACH
NY 11509
(40.5875603309446, -73.73002151667959)",CA166797N,7/5/05,ROCKMILLS MP-150,1,6.23,1997,2032,DUAL FUEL,11 to 15 years old,INDUSTRIAL COMB.MMG-63 P,#4,56575,39602,8203,5742,,,Condominiums,7,41310,1,5,64,64,1926, , 
1020990063,"760 RIVERSIDE DRIVE
Manhattan, NY 10031
(40.832127471414026, -73.94935036881776)",Con Edison,LUDOR PROPERTIES,LUDOR PROPERTIES L P,"42 BAYVIEW AVENUE
MANHASSET, NY 11030
(40.799023427515465, -73.70257640397784)",CA236371R,7/6/05,ROCKMILLS - MP 125,1,4.6,1971,2010, ,36 - 40 year old,IRON FIREMAN A06-6.3,#6,56466,39526,8470,5929,Yes,2019,Condominiums,7,66366,1,6,56,56,1929, , 
1013747502,"502 PARK AVENUE
Manhattan, NY 10022
(40.76315846498699, -73.96975598566263)",Con Edison,KLENINHANS ELYSABETH,,"240 59 STREET
MANHATTAN, NY 10019
(40.76729351023122, -73.98012303266694)",CA164082K,7/4/05,FEDERAL FST-200,2,8.4,1982,2017, ,26 to 30 years old,INDUSTRIAL COMBUSTION DEG-84 (S),#6,56410,39487,8462,5923,Yes,2014,Elevator Apartments,4,252732,1,31,124,152,2002,YES, 
1008830088,"401 PARK AVENUE
Manhattan, NY 10016
(40.74311702099797, -73.98410019220975)",Con Edison,401 PARK AVENUE SO. ASSOCS. LLC/,"HAL PATTERSON, TRUSTE","30 26 STREET
MANHATTAN, NY 10010
(40.74275006547988, -73.98664002838736)",CA383185N,7/5/05,FEDERAL  #FST 300,1,11.9,1985,2020, ,21 to 26 years old,ICI DEG 145 P,#6,56346,39442,8452,5916,Yes,2013,Elevator Apartments,2,201344,1,12,0,19,1910, , 
1018820028,"501 110 STREET
Manhattan, NY 10025
(40.80303919611372, -73.96392137130026)",Con Edison,SNAMDHERA MANAGEMENT,STELLAR WEST 110 LLC,"156 WILLIAM ST
MANHATTAN, NY 10038
(40.70999054661479, -74.0060256431043)",CA349173R,7/4/05,ROCKMILLS MP 175,1,7.35,1973,2010, ,36 - 40 year old,INDUSTRIAL COMBUSTION DE 63,#6,56280,39396,8442,5909,Yes,2022,Loft Buildings,8,88930,1,10,66,69,1910, , 
1012510008,"321 90 STREET
Manhattan, NY 10024
(40.79162535703797, -73.97634608405303)",Con Edison,321 WEST 90TH OWNERS CORP.,321 WEST 90TH STREET,"1 DUPONT STREET
PLAINVIEW, NY 11803
(40.79724276989748, -73.46616262891547)",CA230386M,7/6/05,FEDERAL FST-125,1,5.3,1986,2021, ,21 to 26 years old,INDUSTRIAL COMBUSTION DEG-54 (P),#6,56210,39347,8432,5902,,,Elevator Apartments,6,46800,1,9,54,54,1929, , 
1013430005,"311 50 STREET
Manhattan, NY 10022
(40.75476419357291, -73.96820783808799)",Con Edison,GREAT BAY BLDG COMPANY.,GREAT BAY BLDG CO.,"613 MANHATTAN
NY 10021
(40.76920532766377, -73.959183941086)",CA321788Z,7/5/05,FEDERAL FST 150,1,6.3,1988,2023, ,21 to 26 years old,ICI DEG 63 P,#4,56000,39200,8120,5684,Yes,2013,Elevator Apartments,5,71137,1,14,111,111,1962, , 
1021800150,"121 BENNETT AVENUE
Manhattan, NY 10033
(40.854133881471, -73.9347993383837)",Con Edison,JANOFF & OLSHAN INC.,CHIZUK BETH ASSOCIATE,"939 EIGHTH AVE
MANHATTAN, NY 10019
(40.76588341073574, -73.98348863305)",CA227381X,7/7/05,ROCKMILLS MP4-162,1,6,1981,2016, ,26 to 30 years old,ICI DEG 63P,#6,56000,39200,8400,5880,Yes,2020,"Churches, Synagogues, etc.",7,76584,1,6,82,82,1928, , 
1018967501,"600 115 STREET
Manhattan, NY 10025
(40.80737928829671, -73.96456297234894)",Con Edison,MARVIN GOLD MANAGEMENT,600 WEST 115 ST OWNER,"6 GILBERT PARK
OSSINING, NY 10562
(41.1553887748459, -73.8593911862269)",CA125168J,7/7/05,ROCKMILLS R 182,1,7,1968,2010, ,41 - 45 years old,PETRO WD 6 AH,#6,56000,39200,8400,5880,Yes,2016,Elevator Apartments,9,69280,1,12,45,46,1911,YES, 
1006030028,"95 MORTON STREET
Manhattan, NY 10014
(40.731078283168, -74.00780874645042)",Con Edison,STELLAR MANAGEMENT CO.,BRICKMAN 95 MORTON LL,"156 WILLIAM STREET
MANHATTAN, NY 10038
(40.70999054661479, -74.0060256431043)",CA194581M,7/4/05,PACIFIC 9364 A,1,13.5,1981,2016, ,26 to 30 years old,ICI DEG 145 S,#6,56000,39200,8400,5880,Yes,2013,Walk-Up Apartments,3,154328,1,8,0,9,1911, , 
1015500035,"316 88 STREET
Manhattan, NY 10128
(40.77897405096179, -73.95036980107724)",Con Edison,THE CH.OF THE HOLY TRINITY,CHURCH OF THE HOLY TR,"316 88 STREET
MANHATTAN, NY 10128
(40.77897405096179, -73.95036980107724)",CA341983M,7/5/05,ROCKMILLS MP-125,1,5.2,1983,2018, ,26 to 30 years old,ST JOHNSON FD 68CA150HM,#4,55875,39112,8102,5671,,,Elevator Apartments,5,23800,1,3,0,1,1925, , 
